1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,77493.00,2186.00,13763.00,3978.00,0.00,0.00,15491.00,0.00,12165.00,579.00,2747.00,0.00,26396.00,6446.00,0.00,19950.00,0.00,0.00,5373.00,6235.00,4071.00,460052.00,0.00,0.00,2621.00,305725.00,243070.00,62655.00,1570.00,632.00,938.00,8818.00,6299.00,135019.00,64390.00,446949.00
1959:Q3,79925.00,2346.00,14886.00,3497.00,0.00,998.00,15706.00,0.00,12375.00,593.00,2738.00,0.00,26923.00,6810.00,0.00,20113.00,0.00,0.00,5450.00,6218.00,3901.00,468150.00,0.00,0.00,2626.00,311853.00,247259.00,64594.00,1720.00,739.00,981.00,9032.00,6327.00,136592.00,66569.00,454794.00
1959:Q4,79408.00,2110.00,14369.00,3464.00,0.00,576.00,16104.00,0.00,12842.00,548.00,2714.00,0.00,27072.00,6995.00,0.00,20077.00,0.00,0.00,5597.00,6203.00,3913.00,474916.00,0.00,0.00,2639.00,315994.00,250333.00,65661.00,1882.00,847.00,1035.00,9484.00,6350.00,138567.00,65531.00,461039.00
1960:Q1,79580.00,1993.00,14609.00,3628.00,0.00,154.00,16471.00,0.00,13200.00,583.00,2688.00,0.00,27326.00,6971.00,0.00,20355.00,0.00,0.00,5783.00,5571.00,4045.00,476445.00,0.00,0.00,2652.00,313829.00,246581.00,67248.00,2020.00,947.00,1073.00,9911.00,6371.00,141662.00,65307.00,462172.00
1960:Q2,83547.00,1928.00,17440.00,4038.00,0.00,0.00,16823.00,0.00,13511.00,638.00,2674.00,0.00,27660.00,7058.00,0.00,20602.00,0.00,0.00,5793.00,5582.00,4283.00,478795.00,0.00,0.00,2661.00,313237.00,244884.00,68353.00,2220.00,1049.00,1171.00,10030.00,6389.00,144258.00,68865.00,464113.00
1960:Q3,84750.00,1851.00,17374.00,4316.00,0.00,155.00,17260.00,0.00,13775.00,797.00,2688.00,0.00,27940.00,7200.00,0.00,20740.00,0.00,0.00,5873.00,5567.00,4414.00,485742.00,0.00,0.00,2673.00,316213.00,246289.00,69924.00,2400.00,1150.00,1250.00,10344.00,6406.00,147706.00,69725.00,470717.00
1960:Q4,83760.00,1693.00,15377.00,4819.00,0.00,-176.00,17573.00,0.00,13739.00,1087.00,2747.00,0.00,28260.00,7382.00,0.00,20878.00,0.00,0.00,6004.00,5553.00,4657.00,493313.00,0.00,0.00,2686.00,319791.00,248820.00,70971.00,2492.00,1252.00,1240.00,10860.00,6426.00,151058.00,68781.00,478334.00
1961:Q1,82905.00,1659.00,13004.00,5183.00,0.00,79.00,17710.00,0.00,13581.00,1323.00,2806.00,0.00,28942.00,7528.00,0.00,21414.00,0.00,0.00,6003.00,5555.00,4770.00,496347.00,0.00,0.00,2691.00,319255.00,246835.00,72420.00,2596.00,1306.00,1290.00,11193.00,6447.00,154165.00,68034.00,481476.00
1961:Q2,85581.00,1868.00,14929.00,5554.00,0.00,0.00,17899.00,0.00,13946.00,1129.00,2824.00,0.00,28860.00,7689.00,0.00,21171.00,0.00,0.00,6042.00,5574.00,4855.00,500912.00,0.00,0.00,2707.00,320922.00,247672.00,73250.00,2763.00,1360.00,1403.00,11203.00,6469.00,156848.00,70232.00,485563.00
1961:Q3,89421.00,2214.00,16699.00,5542.00,0.00,556.00,18108.00,0.00,13790.00,1511.00,2807.00,0.00,29667.00,7891.00,0.00,21776.00,0.00,0.00,6211.00,5601.00,4823.00,511905.00,0.00,0.00,2723.00,327870.00,252852.00,75018.00,2858.00,1417.00,1441.00,11602.00,6493.00,160359.00,74190.00,496674.00
