1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q2,74276.00,39643.00,39467.00,108.00,68.00,1140.00,33493.00,74276.00,69848.00,4428.00
1992:Q3,74372.00,44605.00,44341.00,164.00,100.00,1000.00,28767.00,74372.00,70352.00,4020.00
1992:Q4,74452.00,41647.00,41423.00,140.00,84.00,1224.00,31581.00,74452.00,69572.00,4880.00
1993:Q1,71400.00,39264.00,39044.00,136.00,84.00,1596.00,30540.00,71400.00,67100.00,4300.00
1993:Q2,71872.00,36433.00,36105.00,204.00,124.00,1380.00,34059.00,71872.00,67000.00,4872.00
1993:Q3,72208.00,46401.00,45989.00,256.00,156.00,1584.00,24223.00,72208.00,67292.00,4916.00
1993:Q4,72736.00,39038.00,38734.00,192.00,112.00,2104.00,31594.00,72736.00,67336.00,5400.00
1994:Q1,70960.00,40401.00,40033.00,232.00,136.00,2352.00,28207.00,70960.00,66188.00,4772.00
1994:Q2,71932.00,37792.00,37692.00,64.00,36.00,1484.00,32656.00,71932.00,67300.00,4632.00
1994:Q3,74440.00,48742.00,48622.00,76.00,44.00,1588.00,24110.00,74440.00,68276.00,6164.00
1994:Q4,73348.00,37458.00,37474.00,-12.00,-4.00,1384.00,34506.00,73348.00,68284.00,5064.00
1995:Q1,73528.00,48333.00,48233.00,64.00,36.00,1504.00,23691.00,73528.00,66644.00,6884.00
1995:Q2,73232.00,39233.00,39065.00,108.00,60.00,2536.00,31463.00,73232.00,67140.00,6092.00
1995:Q3,73212.00,47675.00,47475.00,128.00,72.00,2936.00,22601.00,73212.00,67608.00,5604.00
1995:Q4,73364.00,-73538.00,-73826.00,176.00,112.00,3564.00,143338.00,73364.00,67372.00,5992.00
1996:Q1,73116.00,135038.00,134710.00,200.00,128.00,4128.00,-66050.00,73116.00,66464.00,6652.00
1996:Q2,74056.00,52079.00,52055.00,16.00,8.00,4972.00,17005.00,74056.00,66380.00,7676.00
1996:Q3,72540.00,36116.00,35932.00,112.00,72.00,3576.00,32848.00,72540.00,67140.00,5400.00
1996:Q4,74608.00,42876.00,42824.00,32.00,20.00,4132.00,27600.00,74608.00,67292.00,7316.00
1997:Q1,70736.00,43387.00,43347.00,24.00,16.00,3704.00,23645.00,70736.00,66072.00,4664.00
1997:Q2,74796.00,38527.00,38467.00,36.00,24.00,4360.00,31909.00,74796.00,67128.00,7668.00
1997:Q3,72944.00,44617.00,44513.00,64.00,40.00,4840.00,23487.00,72944.00,68248.00,4696.00
1997:Q4,76900.00,42305.00,42053.00,156.00,96.00,4712.00,29883.00,76900.00,68680.00,8220.00
1998:Q1,72992.00,36831.00,36571.00,160.00,100.00,4108.00,32053.00,72992.00,67644.00,5348.00
1998:Q2,76876.00,39484.00,39324.00,100.00,60.00,5744.00,31648.00,76876.00,68888.00,7988.00
1998:Q3,72952.00,47966.00,47534.00,268.00,164.00,1784.00,23202.00,72952.00,70176.00,2776.00
1998:Q4,81448.00,51527.00,51007.00,312.00,208.00,4276.00,25645.00,81448.00,70712.00,10736.00
1999:Q1,73992.00,39384.00,39204.00,108.00,72.00,4256.00,30352.00,73992.00,69664.00,4328.00
1999:Q2,80052.00,37551.00,37491.00,36.00,24.00,5128.00,37373.00,80052.00,70864.00,9188.00
1999:Q3,77756.00,49613.00,49709.00,-56.00,-40.00,3716.00,24427.00,77756.00,71972.00,5784.00
1999:Q4,81104.00,48467.00,48755.00,-180.00,-108.00,4564.00,28073.00,81104.00,72212.00,8892.00
2000:Q1,78960.00,37004.00,37392.00,-244.00,-144.00,8308.00,33648.00,78960.00,71632.00,7328.00
2000:Q2,79360.00,31714.00,31802.00,-56.00,-32.00,4992.00,42654.00,79360.00,71872.00,7488.00
2000:Q3,80908.00,53107.00,52975.00,84.00,48.00,5056.00,22745.00,80908.00,73000.00,7908.00
2000:Q4,79844.00,-29922.00,-30606.00,448.00,236.00,2504.00,107262.00,79844.00,73412.00,6432.00
2001:Q1,79456.00,130616.00,127512.00,2040.00,1064.00,-3280.00,-47880.00,79456.00,72184.00,7272.00
2001:Q2,83092.00,51818.00,50850.00,636.00,332.00,3180.00,28094.00,83092.00,73220.00,9872.00
2001:Q3,80428.00,49879.00,45779.00,2696.00,1404.00,-4560.00,35109.00,80428.00,74028.00,6400.00
2001:Q4,86164.00,49227.00,47303.00,1208.00,716.00,2296.00,34641.00,86164.00,73872.00,12292.00
2002:Q1,84356.00,49337.00,49573.00,-148.00,-88.00,5472.00,29547.00,84356.00,72212.00,12144.00
2002:Q2,81720.00,42549.00,41373.00,740.00,436.00,2092.00,37079.00,81720.00,73324.00,8396.00
2002:Q3,94388.00,45412.00,41440.00,2496.00,1476.00,852.00,48124.00,94388.00,80784.00,13604.00
2002:Q4,120292.00,13711.00,4855.00,5356.00,3500.00,22268.00,84313.00,120292.00,109580.00,10712.00
2003:Q1,128592.00,-169841.00,-181121.00,6912.00,4368.00,24364.00,274069.00,128592.00,114608.00,13984.00
2003:Q2,92640.00,253745.00,253625.00,72.00,48.00,11064.00,-172169.00,92640.00,79496.00,13144.00
2003:Q3,98268.00,23939.00,26287.00,-1608.00,-740.00,15392.00,58937.00,98268.00,85396.00,12872.00
2003:Q4,93184.00,18445.00,21005.00,-1752.00,-808.00,16056.00,58683.00,93184.00,79612.00,13572.00
2004:Q1,93944.00,42242.00,42622.00,-368.00,-12.00,12176.00,39526.00,93944.00,80660.00,13284.00
2004:Q2,91880.00,57961.00,58513.00,-468.00,-84.00,3980.00,29939.00,91880.00,80256.00,11624.00
2004:Q3,98020.00,63053.00,59621.00,1980.00,1452.00,2472.00,32495.00,98020.00,81668.00,16352.00
2004:Q4,98560.00,20816.00,21620.00,-756.00,-48.00,15768.00,61976.00,98560.00,82728.00,15832.00
2005:Q1,95952.00,65819.00,66111.00,-396.00,104.00,5992.00,24141.00,95952.00,80392.00,15560.00
2005:Q2,97308.00,73398.00,72830.00,156.00,412.00,2996.00,20914.00,97308.00,82316.00,14992.00
2005:Q3,100200.00,58354.00,56166.00,992.00,1196.00,6336.00,35510.00,100200.00,83480.00,16720.00
2005:Q4,97780.00,-5455.00,-4683.00,-576.00,-196.00,11496.00,91739.00,97780.00,82520.00,15260.00
2006:Q1,94604.00,62044.00,62752.00,-500.00,-208.00,8880.00,23680.00,94604.00,78752.00,15852.00
