1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q4,41275.00,1975.00,37517.00,1783.00,0.00,41275.00,8420.00,0.00,0.00,1342.00,909.00,17276.00,0.00,10289.00,1110.00,1478.00,10.00,4.00,0.00,437.00,0.00
1967:Q1,41968.00,2010.00,38188.00,1770.00,0.00,41968.00,8379.00,0.00,0.00,1404.00,941.00,17470.00,0.00,10654.00,1135.00,1535.00,9.00,5.00,0.00,436.00,0.00
1967:Q2,42801.00,2052.00,38994.00,1755.00,0.00,42801.00,8348.00,0.00,0.00,1426.00,973.00,17852.00,0.00,10983.00,1132.00,1591.00,9.00,5.00,0.00,482.00,0.00
1967:Q3,43748.00,2101.00,39910.00,1738.00,0.00,43748.00,8340.00,0.00,0.00,1472.00,1006.00,18341.00,0.00,11301.00,1157.00,1618.00,9.00,7.00,0.00,497.00,0.00
1967:Q4,44815.00,2155.00,40940.00,1720.00,0.00,44815.00,8385.00,0.00,0.00,1557.00,1041.00,18795.00,0.00,11717.00,1165.00,1646.00,9.00,9.00,0.00,491.00,0.00
1968:Q1,45477.00,2188.00,41574.00,1702.00,13.00,45477.00,8390.00,0.00,0.00,1650.00,1078.00,19133.00,0.00,11874.00,1167.00,1693.00,11.00,10.00,0.00,471.00,0.00
1968:Q2,46242.00,2227.00,42305.00,1684.00,26.00,46242.00,8332.00,0.00,0.00,1731.00,1117.00,19538.00,0.00,12080.00,1155.00,1732.00,11.00,12.00,0.00,504.00,30.00
1968:Q3,47141.00,2271.00,43147.00,1670.00,53.00,47141.00,8395.00,0.00,0.00,1800.00,1158.00,19972.00,0.00,12325.00,1161.00,1734.00,14.00,15.00,0.00,524.00,43.00
1968:Q4,48251.00,2327.00,44204.00,1654.00,66.00,48251.00,8330.00,0.00,0.00,1900.00,1202.00,20467.00,0.00,12754.00,1161.00,1764.00,16.00,18.00,0.00,564.00,75.00
1969:Q1,49196.00,2372.00,45071.00,1635.00,118.00,49196.00,8391.00,0.00,0.00,1963.00,1240.00,20939.00,0.00,12961.00,1165.00,1786.00,18.00,22.00,0.00,562.00,149.00
1969:Q2,50352.00,2431.00,46190.00,1610.00,121.00,50352.00,8324.00,0.00,0.00,2133.00,1290.00,21553.00,0.00,13198.00,1164.00,1815.00,20.00,26.00,0.00,614.00,215.00
1969:Q3,51512.00,2489.00,47300.00,1598.00,125.00,51512.00,8236.00,0.00,0.00,2325.00,1401.00,22049.00,0.00,13513.00,1185.00,1840.00,28.00,30.00,0.00,601.00,304.00
1969:Q4,53176.00,2573.00,48888.00,1573.00,142.00,53176.00,7905.00,0.00,0.00,2581.00,1588.00,22543.00,0.00,14235.00,1215.00,1875.00,31.00,35.00,0.00,675.00,493.00
1970:Q1,53467.00,2588.00,49180.00,1556.00,143.00,53467.00,6844.00,0.00,0.00,2694.00,1821.00,22907.00,0.00,14559.00,1223.00,1900.00,53.00,40.00,0.00,660.00,766.00
1970:Q2,55054.00,2669.00,50705.00,1532.00,148.00,55054.00,6872.00,0.00,0.00,2785.00,1900.00,23476.00,0.00,14964.00,1223.00,1937.00,150.00,45.00,0.00,810.00,892.00
1970:Q3,57668.00,2800.00,53191.00,1506.00,172.00,57668.00,7659.00,0.00,0.00,2934.00,2008.00,24169.00,0.00,15356.00,1199.00,1947.00,246.00,53.00,0.00,1073.00,1024.00
