1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1998:Q3,1643622.00,7749.00,1717.00,9802.00,38309.00,627731.00,38309.00,207823.00,104820.00,2151.00,274628.00,21499.00,1015882.00,95796.00,-174863.00,-180666.00,5803.00,1676285.00
1998:Q4,1676455.00,9973.00,1983.00,9949.00,37532.00,639064.00,37532.00,212576.00,106104.00,3252.00,279600.00,22410.00,1188056.00,115863.00,-348375.00,-354187.00,5812.00,1709503.00
1999:Q1,1709850.00,7600.00,2169.00,10546.00,41037.00,657123.00,41037.00,211463.00,113106.00,4536.00,286981.00,22793.00,1216866.00,122112.00,-370396.00,-376654.00,6258.00,1743773.00
1999:Q2,1744334.00,9450.00,1651.00,10968.00,40909.00,660889.00,40909.00,213790.00,114932.00,3241.00,288017.00,23968.00,1312387.00,128360.00,-444248.00,-450772.00,6524.00,1778808.00
1999:Q3,1776803.00,9370.00,2120.00,11736.00,39259.00,670704.00,39259.00,204790.00,112839.00,3122.00,310694.00,23855.00,1231949.00,120845.00,-333035.00,-339605.00,6570.00,1814602.00
1999:Q4,1809809.00,9225.00,1692.00,11784.00,40375.00,681303.00,40375.00,198824.00,129022.00,3044.00,310038.00,25687.00,1407716.00,140858.00,-508831.00,-515945.00,7114.00,1850792.00
2000:Q1,1844366.00,11100.00,2400.00,11800.00,45400.00,695000.00,45400.00,196900.00,124500.00,2900.00,325300.00,24300.00,1449700.00,150600.00,-545934.00,-552911.00,6977.00,1888844.00
2000:Q2,1880121.00,12778.00,2869.00,12107.00,45179.00,698673.00,47652.00,194886.00,143291.00,2836.00,310008.00,24741.00,1408895.00,155780.00,-480901.00,-488133.00,7232.00,1927310.00
2000:Q3,1917574.00,12556.00,4738.00,12914.00,41857.00,704547.00,46805.00,185471.00,159082.00,2272.00,310917.00,21781.00,1429789.00,170961.00,-481569.00,-489038.00,7469.00,1966602.00
2000:Q4,1959036.00,9935.00,1606.00,13220.00,39836.00,721119.00,47257.00,179057.00,178873.00,1707.00,314225.00,22122.00,1298683.00,178341.00,-325826.00,-334042.00,8216.00,2006392.00
2001:Q1,2005982.00,8313.00,1475.00,13827.00,36015.00,697891.00,45909.00,177342.00,176064.00,1943.00,296633.00,21862.00,1185877.00,170422.00,-129700.00,-139050.00,9350.00,2050845.00
2001:Q2,2052559.00,13291.00,1944.00,14434.00,38694.00,708765.00,51061.00,183128.00,194655.00,1779.00,278142.00,20503.00,1265772.00,181102.00,-191946.00,-201340.00,9394.00,2096171.00
2001:Q3,2098766.00,13369.00,1813.00,14941.00,36372.00,679138.00,51214.00,166813.00,178346.00,715.00,282050.00,20944.00,1125466.00,162483.00,44240.00,34029.00,10211.00,2142352.00
2001:Q4,2145116.00,11448.00,1781.00,15447.00,33951.00,668411.00,51266.00,155099.00,180737.00,1651.00,279658.00,20984.00,1260360.00,184263.00,-51529.00,-61529.00,10000.00,2188961.00
2002:Q1,2187613.00,12126.00,2550.00,15954.00,32430.00,675783.00,52218.00,163285.00,181928.00,686.00,277666.00,20925.00,1294055.00,193344.00,-59554.00,-68447.00,8893.00,2232663.00
2002:Q2,2234061.00,11004.00,2619.00,16461.00,28708.00,654356.00,50970.00,153870.00,186219.00,822.00,262475.00,20766.00,1192749.00,178024.00,129374.00,119453.00,9921.00,2277113.00
2002:Q3,2280305.00,11959.00,2249.00,16248.00,28337.00,636363.00,50310.00,156284.00,189259.00,837.00,239673.00,20927.00,973655.00,152652.00,437915.00,427577.00,10338.00,2322299.00
2002:Q4,2324683.00,12925.00,1696.00,15513.00,27056.00,617599.00,48036.00,158882.00,192558.00,858.00,217265.00,21098.00,1056772.00,167385.00,404639.00,394195.00,10444.00,2367850.00
2003:Q1,2366917.00,13910.00,1138.00,14798.00,25808.00,599323.00,45820.00,162134.00,196651.00,876.00,193842.00,21297.00,1035799.00,166739.00,488105.00,477453.00,10652.00,2411837.00
2003:Q2,2410205.00,14731.00,903.00,14413.00,25137.00,573994.00,44629.00,161290.00,195736.00,851.00,171488.00,22796.00,1215260.00,185115.00,357856.00,347540.00,10316.00,2456972.00
2003:Q3,2458023.00,14075.00,862.00,13770.00,24017.00,607026.00,42640.00,155486.00,216040.00,2570.00,190290.00,21453.00,1273898.00,191131.00,311791.00,301029.00,10762.00,2503620.00
2003:Q4,2505530.00,13741.00,842.00,13444.00,23446.00,637119.00,41628.00,148631.00,235068.00,4386.00,207406.00,20399.00,1420987.00,207879.00,167673.00,156347.00,11326.00,2551643.00
2004:Q1,2602900.00,13426.00,823.00,13136.00,22910.00,669714.00,40675.00,143553.00,256252.00,6478.00,222756.00,19055.00,1446593.00,213772.00,203471.00,191765.00,11706.00,2647064.00
2004:Q2,2699997.00,12517.00,767.00,12247.00,21359.00,691699.00,37921.00,134943.00,273153.00,8253.00,237429.00,17755.00,1444746.00,215636.00,283271.00,271254.00,12017.00,2743713.00
2004:Q3,2801295.00,15294.00,3396.00,14827.00,16607.00,678312.00,31226.00,139774.00,260694.00,2304.00,244314.00,17160.00,1414445.00,224517.00,416737.00,392792.00,23945.00,2841697.00
2004:Q4,2894780.00,12871.00,5204.00,19729.00,15833.00,661612.00,31815.00,148691.00,231128.00,2539.00,247439.00,15004.00,1557152.00,249922.00,357453.00,321729.00,35724.00,2940110.00
2005:Q1,2945904.00,9979.00,7267.00,23601.00,13737.00,667002.00,31678.00,156079.00,207940.00,1953.00,269352.00,13603.00,1514044.00,252016.00,444655.00,404467.00,40188.00,2989427.00
2005:Q2,2997339.00,8105.00,9371.00,28899.00,12800.00,668379.00,31806.00,164628.00,184810.00,1555.00,285580.00,11653.00,1540028.00,259498.00,458606.00,403030.00,55576.00,3039339.00
2005:Q3,3042226.00,8047.00,12132.00,31718.00,8613.00,676473.00,26683.00,159742.00,185323.00,1476.00,303249.00,14231.00,1588510.00,268799.00,433703.00,367118.00,66585.00,3089948.00
2005:Q4,3086914.00,6095.00,14413.00,35970.00,6958.00,693187.00,26576.00,152468.00,181911.00,1647.00,330585.00,13437.00,1605563.00,278131.00,433160.00,353645.00,79515.00,3140934.00
2006:Q1,3143520.00,4291.00,17024.00,39802.00,5088.00,721448.00,25890.00,150428.00,180526.00,1741.00,362863.00,13077.00,1673634.00,292975.00,376181.00,284997.00,91184.00,3205668.00
2006:Q2,3204749.00,2897.00,19655.00,43258.00,2727.00,745307.00,24355.00,145994.00,178983.00,1815.00,394160.00,13254.00,1626350.00,287823.00,463478.00,359603.00,103875.00,3271533.00
2006:Q3,3262623.00,3083.00,21233.00,45192.00,2878.00,744534.00,26081.00,145818.00,178051.00,1694.00,392890.00,14279.00,1671635.00,292664.00,467125.00,361316.00,105809.00,3338623.00
2006:Q4,3320430.00,3274.00,22864.00,47148.00,3032.00,773135.00,27859.00,149806.00,189486.00,1605.00,404379.00,15337.00,1765134.00,306237.00,384269.00,276637.00,107632.00,3406455.00
2007:Q1,3355909.00,3467.00,24528.00,49117.00,3188.00,788910.00,29668.00,152609.00,191119.00,1514.00,414000.00,16414.00,1762756.00,309013.00,398516.00,289131.00,109385.00,3450359.00
2007:Q2,3388260.00,3664.00,26231.00,51074.00,3345.00,820957.00,31512.00,158227.00,196619.00,1431.00,433168.00,17517.00,1845558.00,321758.00,298156.00,187227.00,110929.00,3495469.00
2007:Q3,3432727.00,3602.00,26122.00,49350.00,3264.00,813980.00,31155.00,149118.00,190981.00,1368.00,441358.00,17417.00,1904515.00,314754.00,299723.00,189351.00,110372.00,3541720.00
2007:Q4,3477284.00,3541.00,26000.00,47649.00,3184.00,806766.00,30791.00,140220.00,185232.00,1402.00,449121.00,17310.00,1875980.00,294163.00,402691.00,292921.00,109770.00,3588471.00
2008:Q1,3531542.00,3485.00,25913.00,46065.00,3110.00,809833.00,30475.00,131713.00,180426.00,1372.00,465847.00,17227.00,1737253.00,258867.00,629789.00,520477.00,109312.00,3640226.00
2008:Q2,3581710.00,3425.00,25780.00,44441.00,3033.00,830834.00,30112.00,131788.00,182928.00,1318.00,484688.00,17114.00,1744796.00,243634.00,668653.00,559987.00,108666.00,3692371.00
2008:Q3,3640973.00,3481.00,26578.00,44164.00,3054.00,841972.00,30798.00,134215.00,174377.00,1326.00,501256.00,15768.00,1592214.00,212385.00,901357.00,801179.00,100178.00,3745476.00
2008:Q4,3704904.00,3511.00,27140.00,43677.00,3056.00,790085.00,31238.00,127599.00,156936.00,1268.00,473044.00,14489.00,1227981.00,170072.00,1424893.00,1332784.00,92109.00,3798991.00
2009:Q1,3745776.00,3501.00,27337.00,42799.00,3025.00,770573.00,31288.00,132951.00,151263.00,1149.00,453922.00,13236.00,1099245.00,151794.00,1634266.00,1550065.00,84201.00,3837745.00
2009:Q2,3778245.00,3445.00,27149.00,41464.00,2958.00,699837.00,30917.00,138636.00,143452.00,1049.00,385783.00,11964.00,1280306.00,164004.00,1547118.00,1470953.00,76165.00,3877538.00
2009:Q3,3814344.00,3434.00,27339.00,40614.00,2929.00,682977.00,30963.00,139603.00,146226.00,1131.00,365054.00,11919.00,1484771.00,182554.00,1377807.00,1298940.00,78867.00,3918431.00
2009:Q4,3855165.00,3424.00,27550.00,39736.00,2898.00,700848.00,31024.00,145402.00,152209.00,1330.00,370883.00,11876.00,1566234.00,189237.00,1313362.00,1231614.00,81748.00,3959833.00
2010:Q1,3968196.00,3412.00,27754.00,38810.00,2866.00,706845.00,31072.00,147659.00,155537.00,1506.00,371071.00,11825.00,1657973.00,195332.00,1323379.00,1238701.00,84678.00,4071258.00
2010:Q2,4088968.00,3404.00,28008.00,37873.00,2835.00,703966.00,31164.00,144778.00,156660.00,1680.00,369684.00,11787.00,1470978.00,181804.00,1648313.00,1560396.00,87917.00,4183498.00
2010:Q3,4195474.00,3663.00,30478.00,39833.00,3024.00,696270.00,33708.00,145189.00,153653.00,1750.00,361970.00,11694.00,1589563.00,193757.00,1627192.00,1534766.00,92426.00,4296272.00
2010:Q4,4302203.00,3931.00,33057.00,41846.00,3220.00,724055.00,36357.00,153668.00,154699.00,1993.00,377338.00,11570.00,1728779.00,203870.00,1551875.00,1454821.00,97054.00,4408700.00
2011:Q1,4346676.00,4205.00,35693.00,43877.00,3419.00,735032.00,39062.00,157859.00,153648.00,2147.00,382316.00,11421.00,1793316.00,209064.00,1510649.00,1408926.00,101723.00,4457451.00
2011:Q2,4393813.00,4495.00,38493.00,46015.00,3630.00,733712.00,41932.00,158018.00,149996.00,2214.00,381552.00,11247.00,1741497.00,206179.00,1608545.00,1501910.00,106635.00,4506298.00
2011:Q3,4450252.00,4318.00,36981.00,44207.00,3487.00,726616.00,40284.00,155657.00,137992.00,1799.00,390884.00,11143.00,1477612.00,160491.00,1985397.00,1882517.00,102880.00,4555332.00
2011:Q4,4493335.00,4123.00,35309.00,42208.00,3330.00,728760.00,38463.00,160743.00,128199.00,1437.00,399918.00,10990.00,1655256.00,148349.00,1865010.00,1766330.00,98680.00,4604100.00
2012:Q1,4531077.00,3927.00,33632.00,40204.00,3171.00,732676.00,36637.00,169397.00,119295.00,1087.00,406260.00,10829.00,1866275.00,143898.00,1696465.00,1602006.00,94459.00,4650466.00
2012:Q2,4576939.00,3744.00,32062.00,38327.00,3023.00,728588.00,34927.00,171173.00,108894.00,745.00,412849.00,10698.00,1808668.00,115810.00,1836019.00,1745486.00,90533.00,4696676.00
2012:Q3,4620517.00,3765.00,32246.00,38547.00,3041.00,720615.00,35127.00,171422.00,105781.00,1068.00,407217.00,10364.00,1864459.00,136518.00,1810962.00,1717826.00,93136.00,4743268.00
2012:Q4,4665026.00,3786.00,32421.00,38757.00,3057.00,726299.00,35318.00,172903.00,103502.00,1421.00,413155.00,10010.00,1810680.00,152688.00,1887328.00,1791524.00,95804.00,4789600.00
2013:Q1,4709754.00,3801.00,32546.00,38906.00,3069.00,735064.00,35454.00,173852.00,101419.00,1781.00,422558.00,9633.00,1964837.00,174496.00,1747402.00,1649040.00,98362.00,4838609.00
2013:Q2,4759182.00,3818.00,32701.00,39090.00,3084.00,765906.00,35621.00,178734.00,101186.00,2253.00,448112.00,9242.00,1966848.00,189198.00,1749295.00,1648176.00,101119.00,4887905.00
2013:Q3,4800415.00,3937.00,33717.00,40305.00,3179.00,789921.00,36729.00,182788.00,103415.00,2335.00,464654.00,9359.00,2025597.00,202195.00,1692205.00,1588784.00,103421.00,4937508.00
2013:Q4,4840428.00,4055.00,34723.00,41508.00,3274.00,816047.00,37825.00,188307.00,106342.00,2393.00,481180.00,9462.00,2172066.00,216174.00,1543119.00,1437477.00,105642.00,4986900.00
2014:Q1,4896556.00,4175.00,35753.00,42739.00,3371.00,826038.00,38947.00,188961.00,107250.00,2367.00,488513.00,9565.00,2154716.00,223090.00,1597109.00,1489207.00,107902.00,5047933.00
2014:Q2,4949025.00,4292.00,36751.00,43933.00,3466.00,835877.00,40035.00,189329.00,108306.00,2363.00,495844.00,9647.00,2202968.00,233885.00,1578206.00,1468196.00,110010.00,5109471.00
2014:Q3,5015125.00,4360.00,37335.00,44630.00,3521.00,842504.00,40670.00,187149.00,105946.00,2280.00,506459.00,9842.00,2172770.00,245419.00,1654744.00,1541571.00,113173.00,5171609.00
2014:Q4,5078014.00,4424.00,37887.00,45290.00,3573.00,836363.00,41272.00,181298.00,102206.00,2240.00,509347.00,10030.00,2257772.00,262537.00,1620138.00,1503872.00,116266.00,5233900.00
2015:Q1,5142307.00,4487.00,38428.00,45937.00,3624.00,826426.00,41861.00,176435.00,98803.00,2207.00,507120.00,10214.00,2269646.00,282352.00,1661193.00,1541878.00,119315.00,5297921.00
2015:Q2,5209618.00,4554.00,39000.00,46621.00,3678.00,852177.00,42484.00,177973.00,97068.00,2220.00,532432.00,10408.00,2242999.00,296686.00,1713495.00,1590996.00,122499.00,5362924.00
2015:Q3,5283090.00,4488.00,38439.00,45949.00,3625.00,847187.00,41872.00,173523.00,95118.00,2039.00,534635.00,9926.00,2057743.00,277184.00,1998549.00,1878401.00,120148.00,5429081.00
2015:Q4,5348627.00,4452.00,38127.00,45576.00,3595.00,855711.00,41533.00,174823.00,95500.00,2004.00,541851.00,9598.00,2157226.00,284042.00,1950300.00,1832295.00,118005.00,5496000.00
2016:Q1,5415418.00,4249.00,36387.00,43496.00,3431.00,870212.00,39637.00,175598.00,95926.00,2392.00,556659.00,8316.00,2155107.00,282507.00,2011713.00,1899069.00,112644.00,5562919.00
2016:Q2,5482210.00,4258.00,36466.00,43590.00,3438.00,875734.00,39724.00,173927.00,94510.00,2395.00,565178.00,8160.00,2154739.00,295062.00,2060763.00,1947527.00,113236.00,5629838.00
