1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1298.00,35.00,219.00,35.00,31.00,0.00,0.00,153.00,0.00,1044.00,0.00,1298.00,0.00,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1413.00,36.00,224.00,36.00,43.00,0.00,0.00,145.00,0.00,1153.00,0.00,1413.00,0.00,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1516.00,35.00,255.00,35.00,65.00,0.00,0.00,155.00,0.00,1226.00,0.00,1516.00,0.00,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q2,20003.00,203.00,2036.00,203.00,511.00,0.00,0.00,1322.00,0.00,17764.00,0.00,20003.00,0.00,ND,ND,ND,ND,ND
1961:Q3,21007.00,256.00,2160.00,256.00,549.00,0.00,0.00,1355.00,0.00,18591.00,0.00,21007.00,0.00,ND,ND,ND,ND,ND
1961:Q4,22875.00,174.00,2449.00,174.00,688.00,0.00,0.00,1587.00,0.00,20252.00,0.00,22875.00,0.00,ND,ND,ND,ND,ND
1962:Q1,23048.00,316.00,2420.00,316.00,652.00,0.00,0.00,1452.00,0.00,20312.00,0.00,23048.00,0.00,ND,ND,ND,ND,ND
1962:Q2,18436.00,254.00,2358.00,254.00,511.00,0.00,0.00,1593.00,0.00,15824.00,0.00,18436.00,0.00,ND,ND,ND,ND,ND
1962:Q3,19088.00,273.00,2600.00,273.00,789.00,0.00,0.00,1538.00,0.00,16215.00,0.00,19088.00,0.00,ND,ND,ND,ND,ND
1962:Q4,21271.00,289.00,2643.00,289.00,737.00,0.00,0.00,1617.00,0.00,18339.00,0.00,21271.00,0.00,ND,ND,ND,ND,ND
1963:Q1,22549.00,316.00,2646.00,316.00,718.00,0.00,0.00,1612.00,0.00,19587.00,0.00,22549.00,0.00,ND,ND,ND,ND,ND
1963:Q2,23693.00,289.00,2487.00,289.00,589.00,0.00,0.00,1609.00,0.00,20917.00,0.00,23693.00,0.00,ND,ND,ND,ND,ND
1963:Q3,24496.00,286.00,2719.00,286.00,728.00,0.00,0.00,1705.00,0.00,21491.00,0.00,24496.00,0.00,ND,ND,ND,ND,ND
