1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q2,638879.00,5190.00,21462.00,4736.00,150830.00,2923.00,73127.00,13333.00,53160.00,8287.00,440715.00,130871.00,4286.00,238207.00,67351.00,2512.00,0.00,0.00,433.00,13001.00,597830.00,7785.00,160139.00,355212.00,38407.00,6565.00,6468.00,4329.00,2139.00,4889.00,562.00,379.00,17424.00,0.00,0.00,17424.00,0.00
1968:Q3,658805.00,6660.00,22413.00,5695.00,158552.00,3348.00,76731.00,13906.00,55952.00,8615.00,448970.00,131284.00,4327.00,243242.00,70117.00,2464.00,0.00,0.00,460.00,13591.00,617672.00,10400.00,164273.00,361105.00,42058.00,7041.00,6592.00,4370.00,2222.00,5026.00,664.00,383.00,20130.00,0.00,0.00,20130.00,0.00
1968:Q4,683864.00,7195.00,21859.00,6688.00,163897.00,2924.00,78410.00,14275.00,59162.00,9126.00,467505.00,142036.00,4428.00,248562.00,72479.00,2464.00,0.00,0.00,488.00,13768.00,641629.00,10008.00,178376.00,367814.00,45929.00,7515.00,6693.00,4472.00,2221.00,5259.00,620.00,392.00,19023.00,0.00,0.00,19023.00,0.00
1969:Q1,681872.00,6490.00,22066.00,7076.00,160006.00,3278.00,73383.00,14506.00,59361.00,9478.00,471174.00,140493.00,4464.00,252722.00,73495.00,2413.00,0.00,0.00,518.00,12129.00,640752.00,12272.00,165570.00,374682.00,41578.00,9360.00,6606.00,4509.00,2097.00,5331.00,774.00,396.00,24184.00,1000.00,0.00,23184.00,0.00
1969:Q2,696845.00,6258.00,20808.00,7400.00,156062.00,3460.00,67989.00,14881.00,60689.00,9043.00,488721.00,148831.00,4880.00,258147.00,76863.00,2457.00,0.00,0.00,550.00,14589.00,655913.00,18721.00,172648.00,377600.00,38957.00,11215.00,6938.00,4929.00,2009.00,6413.00,618.00,402.00,22402.00,2000.00,0.00,20402.00,0.00
1969:Q3,699757.00,6950.00,22508.00,8766.00,153922.00,3596.00,66655.00,14395.00,60340.00,8936.00,492762.00,145958.00,5232.00,263116.00,78456.00,2470.00,0.00,0.00,584.00,11795.00,660225.00,15411.00,169879.00,378752.00,32472.00,13077.00,7299.00,5284.00,2015.00,7940.00,738.00,408.00,34249.00,3000.00,0.00,31249.00,0.00
1969:Q4,715077.00,7320.00,22085.00,10199.00,154694.00,3524.00,66954.00,15242.00,59829.00,9145.00,505991.00,155409.00,5451.00,265620.00,79511.00,2572.00,0.00,0.00,619.00,11597.00,675025.00,17983.00,183161.00,382331.00,30874.00,14777.00,7543.00,5506.00,2037.00,9289.00,704.00,372.00,27991.00,4000.00,0.00,23991.00,0.00
1970:Q1,708778.00,6940.00,22568.00,11011.00,153260.00,3608.00,62201.00,16206.00,60783.00,10462.00,499432.00,148485.00,5352.00,266712.00,78883.00,2594.00,0.00,0.00,658.00,12315.00,670160.00,16206.00,170559.00,385193.00,32035.00,15278.00,7466.00,5406.00,2060.00,9745.00,1143.00,378.00,32158.00,5000.00,0.00,27158.00,0.00
1970:Q2,725122.00,7090.00,21991.00,11572.00,157778.00,3859.00,61518.00,16862.00,63539.00,12000.00,510843.00,154289.00,5973.00,269675.00,80906.00,2160.00,0.00,0.00,698.00,12990.00,686193.00,15657.00,177697.00,393565.00,35793.00,15746.00,8126.00,6033.00,2093.00,10236.00,857.00,383.00,28134.00,6000.00,0.00,22134.00,0.00
1970:Q3,747598.00,7260.00,23938.00,14130.00,168100.00,4569.00,66726.00,18529.00,66321.00,11955.00,520267.00,157302.00,5848.00,274379.00,82738.00,2587.00,0.00,0.00,741.00,10575.00,710510.00,15103.00,178285.00,399943.00,49735.00,16179.00,8016.00,5906.00,2110.00,10525.00,1044.00,388.00,31293.00,8000.00,0.00,23293.00,0.00
