1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,32734.00,17661.00,88.00,698.00,4367.00,519.00,361.00,0.00,0.00,11628.00,0.00,0.00,774.00,193.00,490.00,477.00,0.00,0.00,0.00,3804.00,285.00,3519.00,1228.00,1228.00,0.00,0.00,0.00,0.00,0.00,1204.00,0.00,20.00,1184.00,0.00,0.00,0.00,3846.00,3461.00,385.00,3142.00,3142.00,882.00,882.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q1,33062.00,17625.00,106.00,709.00,4401.00,576.00,211.00,0.00,0.00,11622.00,0.00,0.00,815.00,204.00,423.00,596.00,0.00,0.00,0.00,3885.00,290.00,3595.00,961.00,961.00,0.00,0.00,0.00,0.00,0.00,1268.00,0.00,22.00,1246.00,0.00,0.00,0.00,4474.00,4027.00,447.00,3015.00,3015.00,815.00,815.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q2,33380.00,17366.00,127.00,783.00,4353.00,578.00,3.00,0.00,0.00,11522.00,0.00,0.00,783.00,196.00,299.00,680.00,0.00,0.00,0.00,3980.00,302.00,3678.00,1079.00,1079.00,0.00,0.00,0.00,0.00,0.00,1383.00,0.00,25.00,1358.00,0.00,0.00,0.00,4569.00,4112.00,457.00,3210.00,3210.00,814.00,814.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q3,33778.00,17508.00,145.00,734.00,4348.00,644.00,118.00,0.00,0.00,11519.00,0.00,0.00,958.00,239.00,533.00,664.00,0.00,0.00,0.00,4076.00,310.00,3766.00,1119.00,1119.00,0.00,0.00,0.00,0.00,0.00,1426.00,0.00,26.00,1400.00,0.00,0.00,0.00,4513.00,4062.00,451.00,3106.00,3106.00,833.00,833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q4,34593.00,17937.00,166.00,756.00,4327.00,670.00,81.00,0.00,0.00,11937.00,0.00,0.00,1046.00,261.00,619.00,688.00,0.00,0.00,0.00,4189.00,320.00,3869.00,1265.00,1265.00,0.00,0.00,0.00,0.00,0.00,1386.00,0.00,26.00,1360.00,0.00,0.00,0.00,4810.00,4329.00,481.00,2805.00,2805.00,894.00,894.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q1,35193.00,18134.00,196.00,729.00,4436.00,721.00,7.00,0.00,0.00,12045.00,0.00,0.00,1223.00,306.00,873.00,656.00,0.00,0.00,0.00,4300.00,330.00,3970.00,696.00,696.00,0.00,0.00,0.00,0.00,0.00,1467.00,0.00,28.00,1439.00,0.00,0.00,0.00,5062.00,4556.00,506.00,3054.00,3054.00,951.00,951.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q2,35873.00,18211.00,227.00,744.00,4426.00,758.00,0.00,0.00,0.00,12056.00,0.00,0.00,1082.00,270.00,729.00,623.00,0.00,0.00,0.00,4398.00,340.00,4058.00,929.00,929.00,0.00,0.00,0.00,0.00,0.00,1635.00,0.00,33.00,1602.00,0.00,0.00,0.00,4817.00,4335.00,482.00,3486.00,3486.00,1045.00,1045.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q3,35982.00,18550.00,251.00,748.00,4452.00,817.00,19.00,0.00,0.00,12263.00,0.00,0.00,1025.00,256.00,691.00,590.00,0.00,0.00,0.00,4475.00,350.00,4125.00,1010.00,1010.00,0.00,0.00,0.00,0.00,0.00,1706.00,0.00,34.00,1672.00,0.00,0.00,0.00,4290.00,3861.00,429.00,3554.00,3554.00,1116.00,1116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q4,37422.00,18931.00,273.00,769.00,4468.00,850.00,60.00,0.00,0.00,12511.00,0.00,0.00,955.00,239.00,582.00,612.00,0.00,0.00,0.00,4548.00,360.00,4188.00,1298.00,1298.00,0.00,0.00,0.00,0.00,0.00,1666.00,0.00,34.00,1632.00,0.00,0.00,0.00,4859.00,4373.00,486.00,3770.00,3770.00,1156.00,1156.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q1,38400.00,19210.00,295.00,788.00,4584.00,875.00,85.00,0.00,0.00,12583.00,0.00,0.00,843.00,211.00,472.00,582.00,0.00,0.00,0.00,4643.00,370.00,4273.00,1087.00,1087.00,0.00,0.00,0.00,0.00,0.00,1831.00,0.00,40.00,1791.00,0.00,0.00,0.00,5499.00,4949.00,550.00,3804.00,3804.00,1272.00,1272.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
