1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,10420.00,588.00,416.00,0.00,76.00,96.00,9880.00,2532.00,1504.00,5844.00,-192.00,-92.00,-100.00,140.00,4.00,10420.00,-7636.00,12152.00,12236.00,-84.00,394.00,-476.00,1200.00,68.00,672.00,48.00,20.00,0.00,372.00,100.00,0.00,-80.00,1488.00,1488.00,0.00,3298.00
1963:Q1,2996.00,4304.00,1104.00,0.00,-292.00,3492.00,-1144.00,-48.00,-1080.00,-16.00,-324.00,96.00,-420.00,160.00,0.00,2996.00,20864.00,-18472.00,-18376.00,-96.00,178.00,228.00,-1432.00,8.00,-908.00,56.00,16.00,0.00,-480.00,-140.00,0.00,16.00,-1276.00,-1276.00,0.00,2906.00
1963:Q2,10260.00,3892.00,32.00,0.00,0.00,3860.00,6128.00,6324.00,1336.00,-1532.00,56.00,8.00,48.00,180.00,4.00,10260.00,900.00,2076.00,2280.00,-204.00,6792.00,-1268.00,296.00,-44.00,64.00,56.00,8.00,0.00,344.00,-144.00,0.00,12.00,1344.00,1344.00,0.00,120.00
1963:Q3,5000.00,-204.00,248.00,0.00,-156.00,-296.00,5308.00,-5460.00,-72.00,10840.00,-288.00,-96.00,-192.00,184.00,0.00,5000.00,4156.00,3336.00,3532.00,-196.00,-5800.00,1060.00,156.00,-64.00,416.00,68.00,4.00,0.00,-184.00,-148.00,0.00,64.00,-324.00,-324.00,0.00,2416.00
1963:Q4,2488.00,3208.00,-328.00,0.00,144.00,3392.00,-1056.00,-3256.00,1112.00,1088.00,168.00,64.00,104.00,164.00,4.00,2488.00,-7200.00,8552.00,8636.00,-84.00,-2940.00,3700.00,548.00,-56.00,464.00,84.00,-4.00,0.00,216.00,-160.00,0.00,4.00,1320.00,1320.00,0.00,-1492.00
1964:Q1,6460.00,2296.00,1164.00,0.00,-168.00,1300.00,3860.00,2704.00,380.00,776.00,144.00,84.00,60.00,160.00,0.00,6460.00,3928.00,-9104.00,-9108.00,4.00,1136.00,2180.00,-832.00,-32.00,-688.00,116.00,0.00,0.00,-300.00,-16.00,0.00,88.00,296.00,296.00,0.00,8856.00
1964:Q2,7684.00,568.00,-220.00,0.00,88.00,700.00,6152.00,3480.00,1300.00,1372.00,804.00,16.00,788.00,156.00,4.00,7684.00,6368.00,4072.00,3956.00,116.00,4520.00,-5520.00,304.00,-24.00,-60.00,192.00,0.00,0.00,248.00,-32.00,0.00,-20.00,1404.00,1404.00,0.00,-3464.00
1964:Q3,22556.00,2852.00,-436.00,0.00,-84.00,3372.00,18476.00,-1216.00,784.00,18908.00,1080.00,212.00,868.00,148.00,0.00,22556.00,13460.00,3336.00,3180.00,156.00,954.00,4100.00,-44.00,-28.00,140.00,28.00,0.00,0.00,-148.00,-16.00,0.00,-20.00,912.00,912.00,0.00,-162.00
1964:Q4,-1040.00,2492.00,872.00,0.00,376.00,1244.00,-4572.00,-5120.00,868.00,-320.00,912.00,-20.00,932.00,124.00,4.00,-1040.00,1536.00,456.00,324.00,132.00,-4762.00,4296.00,884.00,-60.00,696.00,140.00,-8.00,0.00,144.00,-16.00,0.00,-12.00,1224.00,1224.00,0.00,-4674.00
1965:Q1,4088.00,2236.00,272.00,0.00,-272.00,2236.00,1140.00,3452.00,-288.00,-2024.00,620.00,44.00,576.00,92.00,0.00,4088.00,3324.00,-3052.00,-3156.00,104.00,2012.00,-2756.00,-1528.00,-64.00,-808.00,-560.00,0.00,0.00,-256.00,136.00,0.00,24.00,-972.00,-516.00,-456.00,7060.00
