1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q2,792332.00,792332.00,0.00,56873.00,0.00,0.00,394113.00,88307.00,22674.00,109534.00,120831.00,267816.00,259843.00,0.00,264673.00
1992:Q3,801933.00,801933.00,0.00,57843.00,0.00,0.00,394774.00,90706.00,23689.00,113540.00,121381.00,272158.00,264124.00,0.00,265651.00
1992:Q4,824769.00,824769.00,0.00,65741.00,0.00,0.00,400258.00,91694.00,24173.00,120277.00,122626.00,292258.00,263987.00,0.00,268524.00
1993:Q1,807262.00,807262.00,0.00,63351.00,0.00,0.00,395674.00,91424.00,24627.00,119788.00,112398.00,281767.00,265446.00,0.00,260049.00
1993:Q2,818662.00,818662.00,0.00,64553.00,0.00,0.00,404008.00,95387.00,25330.00,119082.00,110302.00,286864.00,271990.00,0.00,259808.00
1993:Q3,842668.00,842668.00,0.00,66608.00,0.00,0.00,416558.00,98893.00,26045.00,123831.00,110733.00,298288.00,281967.00,0.00,262413.00
1993:Q4,886169.00,886169.00,0.00,77229.00,0.00,353.00,433559.00,101634.00,26805.00,130455.00,116134.00,325011.00,289768.00,0.00,271390.00
1994:Q1,883876.00,883876.00,0.00,71705.00,0.00,350.00,434943.00,101583.00,27546.00,127977.00,119772.00,316400.00,294262.00,0.00,273214.00
1994:Q2,918580.00,918580.00,0.00,73256.00,0.00,354.00,451556.00,108183.00,28703.00,132574.00,123954.00,331247.00,308539.00,0.00,278794.00
1994:Q3,959953.00,959953.00,0.00,74741.00,0.00,558.00,472980.00,114343.00,29435.00,137886.00,130010.00,348625.00,322892.00,0.00,288436.00
1994:Q4,1021168.00,1021168.00,0.00,86621.00,0.00,6865.00,497245.00,119594.00,30370.00,146052.00,134421.00,383187.00,330198.00,0.00,307783.00
1995:Q1,1024546.00,1024546.00,0.00,79747.00,0.00,6874.00,497208.00,120631.00,31460.00,153268.00,135358.00,381573.00,333728.00,0.00,309245.00
1995:Q2,1063126.00,1063126.00,0.00,80505.00,0.00,6211.00,510078.00,125693.00,33112.00,166238.00,141289.00,401754.00,342968.00,0.00,318404.00
1995:Q3,1109599.00,1109599.00,0.00,78280.00,0.00,7166.00,525614.00,129178.00,34046.00,189591.00,145724.00,427090.00,356289.00,0.00,326220.00
1995:Q4,1168160.00,1168160.00,0.00,85061.00,0.00,9182.00,542434.00,131939.00,34336.00,213085.00,152123.00,464947.00,367069.00,0.00,336144.00
1996:Q1,1162207.00,1162207.00,0.00,76678.00,0.00,11536.00,531479.00,131511.00,33881.00,224607.00,152515.00,456188.00,370159.00,0.00,335860.00
1996:Q2,1196579.00,1196579.00,0.00,72017.00,0.00,13039.00,545855.00,136055.00,33652.00,242096.00,153865.00,471729.00,383448.00,0.00,341402.00
1996:Q3,1229847.00,1229847.00,0.00,68520.00,0.00,15529.00,558840.00,140935.00,32867.00,257317.00,155839.00,484730.00,394361.00,0.00,350756.00
1996:Q4,1273878.00,1273878.00,0.00,77745.00,0.00,17671.00,572174.00,144148.00,33753.00,273490.00,154897.00,524417.00,397690.00,0.00,351771.00
1997:Q1,1254175.00,1254175.00,0.00,69957.00,0.00,20512.00,551018.00,143949.00,32847.00,278296.00,157596.00,505699.00,392005.00,0.00,356471.00
1997:Q2,1278038.00,1278038.00,0.00,67973.00,0.00,22885.00,558500.00,147640.00,31488.00,287881.00,161671.00,513922.00,403800.00,0.00,360316.00
1997:Q3,1305805.00,1305805.00,0.00,68657.00,0.00,25614.00,558150.00,150016.00,30401.00,308273.00,164694.00,527696.00,413964.00,0.00,364145.00
1997:Q4,1344165.00,1344165.00,0.00,84409.00,0.00,27635.00,562236.00,152362.00,29521.00,320460.00,167542.00,555533.00,423206.00,0.00,365426.00
1998:Q1,1324043.00,1324043.00,0.00,78297.00,0.00,31397.00,541244.00,150733.00,27725.00,329394.00,165253.00,535467.00,422978.00,0.00,365598.00
1998:Q2,1367744.00,1367744.00,0.00,77050.00,0.00,33586.00,541974.00,152400.00,25593.00,366778.00,170363.00,559889.00,433807.00,0.00,374048.00
1998:Q3,1400718.00,1400718.00,0.00,75691.00,0.00,36992.00,550126.00,154339.00,26750.00,380646.00,176174.00,567097.00,449033.00,0.00,384588.00
1998:Q4,1441272.00,1441272.00,0.00,79349.00,0.00,36516.00,564372.00,155406.00,28370.00,393914.00,183345.00,597660.00,461638.00,0.00,381974.00
1999:Q1,1442398.00,1442398.00,0.00,75270.00,0.00,40636.00,553068.00,155817.00,30235.00,403528.00,183844.00,579336.00,472460.00,0.00,390602.00
1999:Q2,1471581.00,1471581.00,0.00,74866.00,0.00,42787.00,541784.00,158177.00,31820.00,431160.00,190987.00,593009.00,489518.00,0.00,389054.00
1999:Q3,1511895.00,1511895.00,0.00,73865.00,0.00,46457.00,540632.00,162911.00,35782.00,460790.00,191458.00,604129.00,505680.00,0.00,402086.00
1999:Q4,1553622.00,1553622.00,0.00,76120.00,0.00,47988.00,569484.00,167921.00,33809.00,456658.00,201642.00,627467.00,511021.00,0.00,415134.00
2000:Q1,1553765.00,1553765.00,0.00,71829.00,0.00,52264.00,564839.00,169225.00,31704.00,458914.00,204990.00,616812.00,521215.00,0.00,415738.00
2000:Q2,1601771.00,1601771.00,0.00,74293.00,0.00,54105.00,576184.00,176030.00,31172.00,477024.00,212963.00,636949.00,546785.00,0.00,418037.00
2000:Q3,1667073.00,1667073.00,0.00,75304.00,0.00,58542.00,593763.00,181316.00,35470.00,493623.00,229055.00,657911.00,565916.00,0.00,443246.00
2000:Q4,1741267.00,1741267.00,0.00,81490.00,0.00,59662.00,615834.00,184434.00,36992.00,528406.00,234449.00,702247.00,581221.00,0.00,457799.00
2001:Q1,1749724.00,1749724.00,0.00,75429.00,0.00,64386.00,607977.00,182761.00,37580.00,546897.00,234694.00,694173.00,590387.00,0.00,465164.00
2001:Q2,1784249.00,1784249.00,0.00,73212.00,0.00,66683.00,615405.00,186356.00,38738.00,560589.00,243266.00,709029.00,610164.00,0.00,465056.00
2001:Q3,1814351.00,1814351.00,0.00,69824.00,0.00,70765.00,615283.00,187338.00,39291.00,574686.00,257164.00,705033.00,634388.00,0.00,474930.00
2001:Q4,1891827.00,1891827.00,0.00,73053.00,0.00,72470.00,639537.00,189570.00,39427.00,597800.00,279970.00,735093.00,674204.00,0.00,482530.00
2002:Q1,1883516.00,1883516.00,0.00,68303.00,0.00,76092.00,632857.00,187717.00,38976.00,596494.00,283077.00,711468.00,682285.00,0.00,489763.00
2002:Q2,1917644.00,1917644.00,0.00,68867.00,0.00,76396.00,635441.00,191618.00,40725.00,610542.00,294055.00,729216.00,692424.00,0.00,496004.00
2002:Q3,1951608.00,1951608.00,0.00,69560.00,0.00,80449.00,654650.00,195884.00,40856.00,597771.00,312438.00,741402.00,703210.00,0.00,506996.00
2002:Q4,1997008.00,1997008.00,0.00,74798.00,0.00,80490.00,671275.00,195744.00,36818.00,630365.00,307518.00,772123.00,708794.00,0.00,516091.00
2003:Q1,1989123.00,1989123.00,0.00,72443.00,0.00,83129.00,661850.00,194013.00,35242.00,632525.00,309921.00,750644.00,710089.00,0.00,528390.00
2003:Q2,2021930.00,2021930.00,0.00,72407.00,0.00,82164.00,677449.00,198917.00,31250.00,631817.00,327926.00,759335.00,726902.00,0.00,535693.00
2003:Q3,2059675.00,2059675.00,0.00,73056.00,0.00,83311.00,686824.00,203426.00,27180.00,611235.00,374643.00,764703.00,750351.00,0.00,544621.00
2003:Q4,2102932.00,2102932.00,0.00,59065.00,0.00,82366.00,747263.00,205877.00,20552.00,594765.00,393044.00,790388.00,759485.00,0.00,553059.00
2004:Q1,2096472.00,2096472.00,0.00,56003.00,0.00,85403.00,739501.00,207086.00,15964.00,580545.00,411970.00,768593.00,760294.00,0.00,567585.00
2004:Q2,2114539.00,2114539.00,0.00,56100.00,0.00,84728.00,748704.00,211684.00,2228.00,574857.00,436238.00,774312.00,768021.00,0.00,572206.00
2004:Q3,2164875.00,2164875.00,0.00,54104.00,0.00,87140.00,765494.00,214471.00,0.00,572548.00,471118.00,792724.00,790243.00,0.00,581908.00
2004:Q4,2220119.00,2220119.00,0.00,59211.00,0.00,86074.00,795570.00,215384.00,0.00,571534.00,492346.00,824421.00,797863.00,0.00,597835.00
2005:Q1,2204974.00,2204974.00,0.00,55350.00,0.00,89425.00,773895.00,216127.00,0.00,576796.00,493381.00,793899.00,803803.00,0.00,607272.00
2005:Q2,2232389.00,2232389.00,0.00,56016.00,0.00,88936.00,777982.00,221322.00,0.00,593075.00,495058.00,807870.00,809581.00,0.00,614938.00
2005:Q3,2278385.00,2278385.00,0.00,57797.00,0.00,91715.00,807646.00,229487.00,0.00,583315.00,508425.00,818699.00,825211.00,0.00,634475.00
2005:Q4,2320555.00,2320555.00,0.00,59583.00,0.00,89822.00,816116.00,228588.00,0.00,609912.00,516534.00,856683.00,823097.00,0.00,640775.00
2006:Q1,2337585.00,2337585.00,67399.00,53120.00,0.00,110095.00,795500.00,227343.00,0.00,583007.00,501121.00,841578.00,781943.00,480967.00,233097.00
2006:Q2,2349611.00,2349611.00,68760.00,50058.00,0.00,109606.00,796546.00,230434.00,0.00,587489.00,506718.00,859216.00,774149.00,487126.00,229120.00
2006:Q3,2411441.00,2411441.00,73345.00,48324.00,0.00,110459.00,816717.00,234469.00,0.00,595649.00,532478.00,876504.00,792096.00,510548.00,232293.00
2006:Q4,2456716.00,2456716.00,74840.00,48293.00,0.00,108664.00,836748.00,236066.00,0.00,617173.00,534932.00,923877.00,784975.00,521382.00,226482.00
2007:Q1,2440267.00,2440267.00,77802.00,47910.00,0.00,112177.00,818734.00,232177.00,0.00,617233.00,534234.00,892745.00,780928.00,544989.00,221605.00
2007:Q2,2477193.00,2477193.00,77763.00,49311.00,0.00,111854.00,835021.00,232847.00,0.00,623377.00,547020.00,916525.00,785885.00,549271.00,225512.00
2007:Q3,2555820.00,2555820.00,81734.00,50413.00,0.00,115000.00,858548.00,236920.00,0.00,646393.00,566812.00,946292.00,808960.00,577381.00,223187.00
2007:Q4,2609880.00,2609880.00,82536.00,49827.00,0.00,115657.00,894883.00,236570.00,0.00,652513.00,577894.00,1001879.00,801174.00,589489.00,217338.00
2008:Q1,2602465.00,2602465.00,86177.00,46560.00,0.00,121100.00,883831.00,230147.00,0.00,652909.00,581741.00,972843.00,797713.00,619316.00,212593.00
2008:Q2,2620825.00,2620825.00,86278.00,47069.00,0.00,122355.00,902987.00,231083.00,0.00,658149.00,572904.00,983450.00,798129.00,626606.00,212640.00
2008:Q3,2644119.00,2644119.00,89365.00,46642.00,0.00,131000.00,923362.00,236094.00,0.00,637021.00,580635.00,983190.00,801695.00,659319.00,199915.00
2008:Q4,2644184.00,2644184.00,88922.00,47337.00,0.00,135152.00,964965.00,236200.00,0.00,610227.00,561381.00,1004244.00,777289.00,674505.00,188146.00
2009:Q1,2578630.00,2578630.00,90376.00,44177.00,0.00,146888.00,930799.00,234849.00,0.00,595969.00,535572.00,940643.00,755684.00,706079.00,176224.00
2009:Q2,2549264.00,2549264.00,87523.00,43796.00,0.00,154260.00,913679.00,234591.00,0.00,590904.00,524511.00,927596.00,742024.00,710879.00,168765.00
2009:Q3,2559110.00,2559110.00,86786.00,43148.00,0.00,183213.00,910803.00,240203.00,0.00,582335.00,512622.00,916701.00,736810.00,745418.00,160181.00
2009:Q4,2555390.00,2555390.00,82528.00,43593.00,0.00,232650.00,906265.00,237126.00,0.00,572473.00,480755.00,916311.00,719095.00,771523.00,148461.00
2010:Q1,2493546.00,2493546.00,84435.00,45332.00,0.00,247758.00,1227190.00,227998.00,0.00,58955.00,601878.00,854659.00,717952.00,800223.00,120712.00
2010:Q2,2478859.00,2478859.00,82752.00,44886.00,0.00,264795.00,1214336.00,225821.00,0.00,55585.00,590684.00,841390.00,708066.00,811012.00,118391.00
2010:Q3,2504217.00,2504217.00,77299.00,44670.00,0.00,323981.00,1197398.00,224903.00,0.00,52903.00,583063.00,829334.00,698419.00,846303.00,130161.00
2010:Q4,2647203.00,2647203.00,71327.00,44784.00,0.00,363784.00,1185512.00,226470.00,0.00,50340.00,704986.00,839439.00,713492.00,855697.00,238575.00
2011:Q1,2629196.00,2629196.00,70098.00,44171.00,0.00,413923.00,1143618.00,218138.00,0.00,47332.00,691916.00,792422.00,730150.00,898397.00,208227.00
2011:Q2,2654278.00,2654278.00,69014.00,44860.00,0.00,430571.00,1159783.00,220853.00,0.00,44901.00,684296.00,801007.00,734565.00,906360.00,212346.00
2011:Q3,2703868.00,2703868.00,68113.00,45743.00,0.00,472791.00,1163051.00,223905.00,0.00,45441.00,684824.00,806231.00,743922.00,941797.00,211918.00
2011:Q4,2758267.00,2758267.00,67074.00,47059.00,0.00,494759.00,1192572.00,223030.00,0.00,46208.00,687565.00,841535.00,751231.00,960978.00,204523.00
2012:Q1,2747543.00,2747543.00,64036.00,46021.00,0.00,531393.00,1156059.00,223046.00,0.00,46791.00,680197.00,797897.00,759594.00,995704.00,194348.00
2012:Q2,2796897.00,2796897.00,63509.00,46451.00,0.00,558492.00,1174932.00,231173.00,0.00,47075.00,675265.00,807489.00,777869.00,1012313.00,199226.00
2012:Q3,2856745.00,2856745.00,60033.00,46991.00,0.00,602207.00,1186165.00,236667.00,0.00,48042.00,676640.00,812724.00,798784.00,1042456.00,202781.00
2012:Q4,2920354.00,2920354.00,58023.00,48036.00,0.00,622248.00,1218629.00,243640.00,0.00,49993.00,679785.00,845737.00,809210.00,1055170.00,210237.00
2013:Q1,2921225.00,2921225.00,56235.00,41715.00,0.00,665236.00,1191247.00,245542.00,0.00,49966.00,671284.00,805011.00,821041.00,1092722.00,202451.00
2013:Q2,2964518.00,2964518.00,54458.00,42103.00,0.00,680570.00,1211508.00,253142.00,0.00,48158.00,674579.00,815134.00,841218.00,1100526.00,207640.00
2013:Q3,3035531.00,3035531.00,52630.00,42565.00,0.00,720074.00,1231448.00,261875.00,0.00,48488.00,678451.00,820836.00,866583.00,1135099.00,213013.00
2013:Q4,3096199.00,3096199.00,51839.00,43431.00,0.00,735517.00,1271570.00,265555.00,0.00,49147.00,679140.00,857697.00,878751.00,1146459.00,213292.00
2014:Q1,3102972.00,3102972.00,50643.00,42847.00,0.00,776550.00,1246541.00,269159.00,0.00,47297.00,669935.00,818203.00,892259.00,1182970.00,209540.00
2014:Q2,3170586.00,3170586.00,49483.00,43632.00,0.00,791798.00,1284238.00,283470.00,0.00,46282.00,671683.00,840245.00,918232.00,1191371.00,220738.00
2014:Q3,3249427.00,3249427.00,47536.00,44449.00,0.00,833020.00,1305417.00,293264.00,0.00,49101.00,676640.00,850825.00,943417.00,1226390.00,228795.00
2014:Q4,3317991.00,3317991.00,47595.00,44370.00,0.00,846248.00,1343108.00,302777.00,0.00,49791.00,684102.00,891520.00,957883.00,1236270.00,232318.00
2015:Q1,3322829.00,3322829.00,46836.00,43187.00,0.00,887282.00,1312145.00,307738.00,0.00,48175.00,677466.00,849517.00,972239.00,1272357.00,228716.00
2015:Q2,3397816.00,3397816.00,46060.00,44789.00,0.00,901363.00,1349593.00,322728.00,0.00,51218.00,682065.00,875726.00,998365.00,1279245.00,244480.00
2015:Q3,3481351.00,3481351.00,45469.00,45045.00,0.00,936547.00,1383612.00,333390.00,0.00,48037.00,689251.00,891319.00,1030141.00,1312096.00,247795.00
2015:Q4,3535728.00,3535728.00,44157.00,43581.00,0.00,949665.00,1428326.00,342317.00,0.00,46009.00,681673.00,937878.00,1038759.00,1318379.00,240712.00
2016:Q1,3539367.00,3539367.00,42768.00,41718.00,0.00,989749.00,1405777.00,345072.00,0.00,44843.00,669440.00,902650.00,1046947.00,1355597.00,234173.00
2016:Q2,3605325.00,3605325.00,41365.00,41935.00,0.00,1001136.00,1446578.00,357816.00,0.00,49278.00,667217.00,930463.00,1071552.00,1363476.00,239834.00
2016:Q3,3695987.00,3695987.00,39947.00,42181.00,0.00,1038685.00,1475708.00,373529.00,0.00,52037.00,673900.00,946067.00,1101884.00,1396335.00,251701.00
