date,FU413065005.Q,FU413065105.Q,FU413065405.Q,FU413065505.Q,FU413065605.Q,FU413065005.Q
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4.00,0.00,0.00,0.00,4.00,4.00
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,3.00,0.00,0.00,0.00,3.00,3.00
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,25.00,0.00,0.00,0.00,25.00,25.00
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
2011:Q2,48950.00,43177.00,5799.00,0.00,-26.00,48950.00
2011:Q3,41262.00,38804.00,3967.00,0.00,-1509.00,41262.00
2011:Q4,27385.00,22291.00,5139.00,0.00,-45.00,27385.00
2012:Q1,24925.00,20259.00,4714.00,0.00,-48.00,24925.00
2012:Q2,47030.00,38658.00,7940.00,0.00,432.00,47030.00
2012:Q3,30517.00,25328.00,5228.00,0.00,-39.00,30517.00
2012:Q4,28371.00,19434.00,9008.00,0.00,-71.00,28371.00
2013:Q1,25333.00,18132.00,7260.00,0.00,-59.00,25333.00
2013:Q2,34377.00,25072.00,9337.00,0.00,-32.00,34377.00
2013:Q3,42555.00,33895.00,8688.00,0.00,-28.00,42555.00
2013:Q4,28520.00,20255.00,8303.00,0.00,-38.00,28520.00
2014:Q1,16242.00,11352.00,4918.00,0.00,-28.00,16242.00
2014:Q2,14168.00,8634.00,5564.00,0.00,-30.00,14168.00
2014:Q3,23592.00,18002.00,5618.00,0.00,-28.00,23592.00
2014:Q4,20990.00,12838.00,8196.00,0.00,-44.00,20990.00
2015:Q1,-2318.00,-5876.00,3597.00,0.00,-39.00,-2318.00
2015:Q2,31058.00,22204.00,8879.00,0.00,-25.00,31058.00
2015:Q3,52214.00,45393.00,6025.00,0.00,796.00,52214.00
2015:Q4,45994.00,32354.00,13677.00,0.00,-37.00,45994.00
2016:Q1,28399.00,18905.00,9142.00,0.00,352.00,28399.00
2016:Q2,40123.00,27022.00,13070.00,0.00,31.00,40123.00
