1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q3,145579.00,29532.00,1176.00,0.00,320.00,28036.00,114180.00,4220.00,1078.00,108882.00,589.00,198.00,391.00,1278.00,0.00,145579.00,72831.00,48588.00,28404.00,20184.00,5516.00,5867.00,4961.00,1337.00,1217.00,488.00,245.00,0.00,79.00,1046.00,0.00,549.00,1596.00,1596.00,0.00,6220.00
1958:Q4,152969.00,30264.00,1041.00,0.00,279.00,28944.00,120791.00,4250.00,1529.00,115012.00,618.00,198.00,420.00,1296.00,0.00,152969.00,73738.00,50622.00,30287.00,20335.00,5453.00,6564.00,5194.00,1345.00,1366.00,496.00,244.00,0.00,125.00,1047.00,0.00,571.00,2006.00,2006.00,0.00,9392.00
1959:Q1,147117.00,29629.00,1231.00,0.00,315.00,28083.00,115552.00,3590.00,1422.00,110540.00,819.00,213.00,606.00,1108.00,9.00,147117.00,73282.00,47640.00,27470.00,20170.00,4986.00,7667.00,5067.00,1348.00,1218.00,505.00,241.00,0.00,83.00,1082.00,0.00,590.00,1950.00,1950.00,0.00,6525.00
1959:Q2,148412.00,29889.00,929.00,0.00,306.00,28654.00,116495.00,4420.00,1586.00,110489.00,1099.00,230.00,869.00,919.00,10.00,148412.00,72456.00,48115.00,28437.00,19678.00,5914.00,7849.00,5144.00,1348.00,1206.00,516.00,234.00,0.00,120.00,1118.00,0.00,602.00,2122.00,2122.00,0.00,6812.00
1959:Q3,150588.00,30007.00,1081.00,0.00,318.00,28608.00,118585.00,6140.00,1479.00,110966.00,1372.00,249.00,1123.00,614.00,10.00,150588.00,76025.00,47069.00,27953.00,19116.00,7379.00,7507.00,5134.00,1345.00,1158.00,527.00,227.00,0.00,112.00,1160.00,0.00,605.00,2046.00,2046.00,0.00,5428.00
1959:Q4,154416.00,30826.00,895.00,0.00,353.00,29578.00,121941.00,5050.00,1525.00,115366.00,1028.00,262.00,766.00,611.00,10.00,154416.00,75571.00,48131.00,29394.00,18737.00,6111.00,8258.00,5364.00,1337.00,1309.00,535.00,221.00,0.00,157.00,1205.00,0.00,600.00,2140.00,2140.00,0.00,8841.00
1960:Q1,146475.00,29378.00,947.00,0.00,231.00,28200.00,115409.00,4410.00,1086.00,109913.00,1055.00,259.00,796.00,622.00,11.00,146475.00,73783.00,45208.00,26730.00,18478.00,5762.00,8847.00,5140.00,1334.00,1127.00,538.00,223.00,0.00,102.00,1217.00,0.00,599.00,1576.00,1576.00,0.00,6159.00
1960:Q2,149325.00,29743.00,899.00,0.00,264.00,28580.00,117845.00,7030.00,1354.00,109461.00,1085.00,255.00,830.00,641.00,11.00,149325.00,72070.00,46020.00,27736.00,18284.00,8627.00,8813.00,5263.00,1333.00,1188.00,536.00,229.00,0.00,146.00,1230.00,0.00,601.00,1873.00,1873.00,0.00,6659.00
1960:Q3,151285.00,29588.00,958.00,0.00,200.00,28430.00,119912.00,7440.00,1385.00,111087.00,1109.00,251.00,858.00,665.00,11.00,151285.00,75706.00,46081.00,27935.00,18146.00,8918.00,8456.00,5251.00,1333.00,1183.00,536.00,236.00,0.00,104.00,1249.00,0.00,610.00,1836.00,1836.00,0.00,5037.00
1960:Q4,156322.00,30612.00,862.00,0.00,226.00,29524.00,123862.00,5945.00,1649.00,116268.00,1148.00,247.00,901.00,688.00,12.00,156322.00,77582.00,46486.00,28442.00,18044.00,7154.00,8223.00,5498.00,1332.00,1330.00,546.00,243.00,0.00,152.00,1271.00,0.00,624.00,2122.00,2122.00,0.00,9257.00
