1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,171505.00,162772.00,158002.00,28.00,0.00,4742.00,8733.00,8485.00,248.00,0.00,0.00,171505.00,161281.00,1346.00,1346.00,0.00,280.00,4036.00,1740.00,1324.00,0.00,0.00,0.00,416.00,0.00,2822.00
1960:Q4,176937.00,165847.00,160849.00,29.00,0.00,4969.00,11090.00,10832.00,258.00,0.00,0.00,176937.00,164461.00,3000.00,3000.00,0.00,262.00,4557.00,1798.00,1374.00,0.00,0.00,0.00,424.00,0.00,2859.00
1961:Q1,182482.00,171051.00,165927.00,30.00,0.00,5094.00,11431.00,11163.00,268.00,0.00,0.00,182482.00,169701.00,3272.00,3272.00,0.00,300.00,4883.00,1863.00,1427.00,0.00,0.00,0.00,436.00,0.00,2463.00
1961:Q2,189071.00,176434.00,171164.00,31.00,0.00,5239.00,12637.00,12358.00,279.00,0.00,0.00,189071.00,175096.00,3863.00,3863.00,0.00,288.00,5266.00,1930.00,1482.00,0.00,0.00,0.00,448.00,0.00,2628.00
1961:Q3,192783.00,179040.00,173656.00,32.00,0.00,5352.00,13743.00,13452.00,291.00,0.00,0.00,192783.00,177733.00,4606.00,4606.00,0.00,300.00,5242.00,1999.00,1539.00,0.00,0.00,0.00,460.00,0.00,2903.00
1961:Q4,197676.00,184140.00,178481.00,33.00,0.00,5626.00,13536.00,13239.00,297.00,0.00,0.00,197676.00,182845.00,4100.00,4100.00,0.00,284.00,5465.00,2071.00,1598.00,0.00,0.00,0.00,473.00,0.00,2911.00
1962:Q1,206020.00,190451.00,184629.00,33.00,0.00,5789.00,15569.00,15268.00,301.00,0.00,0.00,206020.00,189204.00,5395.00,5395.00,0.00,290.00,6087.00,2140.00,1660.00,0.00,0.00,0.00,480.00,0.00,2904.00
1962:Q2,213477.00,197269.00,191311.00,33.00,0.00,5925.00,16208.00,15907.00,301.00,0.00,0.00,213477.00,196080.00,5554.00,5554.00,0.00,300.00,6341.00,2211.00,1723.00,0.00,0.00,0.00,488.00,0.00,2991.00
1962:Q3,218126.00,202547.00,196480.00,33.00,0.00,6034.00,15579.00,15279.00,300.00,0.00,0.00,218126.00,201423.00,4903.00,4903.00,0.00,270.00,6115.00,2286.00,1790.00,0.00,0.00,0.00,496.00,0.00,3129.00
1962:Q4,226318.00,209944.00,203594.00,34.00,0.00,6316.00,16374.00,16073.00,301.00,0.00,0.00,226318.00,208828.00,5000.00,5000.00,0.00,269.00,6450.00,2362.00,1858.00,0.00,0.00,0.00,504.00,0.00,3409.00
1963:Q1,234903.00,216743.00,210205.00,35.00,0.00,6503.00,18160.00,17847.00,313.00,0.00,0.00,234903.00,215765.00,5344.00,5344.00,0.00,260.00,7309.00,2423.00,1930.00,0.00,0.00,0.00,493.00,0.00,3802.00
1963:Q2,242334.00,223877.00,217165.00,37.00,0.00,6675.00,18457.00,18129.00,328.00,0.00,0.00,242334.00,223030.00,5160.00,5160.00,0.00,254.00,7466.00,2485.00,2004.00,0.00,0.00,0.00,481.00,0.00,3939.00
1963:Q3,247248.00,228467.00,221614.00,38.00,0.00,6815.00,18781.00,18437.00,344.00,0.00,0.00,247248.00,227746.00,5117.00,5117.00,0.00,250.00,7458.00,2549.00,2081.00,0.00,0.00,0.00,468.00,0.00,4128.00
1963:Q4,255852.00,235539.00,228351.00,40.00,0.00,7148.00,20313.00,19956.00,357.00,0.00,0.00,255852.00,234936.00,5687.00,5687.00,0.00,260.00,8093.00,2616.00,2161.00,0.00,0.00,0.00,455.00,0.00,4260.00
1964:Q1,263318.00,241251.00,233870.00,41.00,0.00,7340.00,22067.00,21703.00,364.00,0.00,0.00,263318.00,240745.00,6724.00,6724.00,0.00,260.00,8361.00,2698.00,2244.00,0.00,0.00,0.00,454.00,0.00,4530.00
1964:Q2,271028.00,248397.00,240739.00,41.00,0.00,7617.00,22631.00,22261.00,370.00,0.00,0.00,271028.00,247988.00,6452.00,6452.00,0.00,257.00,8680.00,2781.00,2330.00,0.00,0.00,0.00,451.00,0.00,4870.00
1964:Q3,277057.00,253848.00,245996.00,42.00,0.00,7810.00,23209.00,22833.00,376.00,0.00,0.00,277057.00,253567.00,6309.00,6309.00,0.00,240.00,8887.00,2869.00,2419.00,0.00,0.00,0.00,450.00,0.00,5185.00
1964:Q4,286271.00,261194.00,252946.00,42.00,0.00,8206.00,25077.00,24696.00,381.00,0.00,0.00,286271.00,261041.00,6671.00,6671.00,0.00,272.00,9812.00,2960.00,2512.00,0.00,0.00,0.00,448.00,0.00,5515.00
1965:Q1,295943.00,268846.00,260423.00,44.00,0.00,8379.00,27097.00,26699.00,398.00,0.00,0.00,295943.00,268791.00,7704.00,7704.00,0.00,260.00,10450.00,3069.00,2609.00,0.00,0.00,0.00,460.00,0.00,5669.00
1965:Q2,303524.00,275017.00,266347.00,46.00,0.00,8624.00,28507.00,28093.00,414.00,0.00,0.00,303524.00,275058.00,8601.00,8601.00,0.00,260.00,10573.00,3179.00,2709.00,0.00,0.00,0.00,470.00,0.00,5853.00
1965:Q3,310388.00,280570.00,271746.00,48.00,0.00,8776.00,29818.00,29389.00,429.00,0.00,0.00,310388.00,280622.00,9212.00,9212.00,0.00,250.00,11049.00,3296.00,2813.00,0.00,0.00,0.00,483.00,0.00,5959.00
1965:Q4,319441.00,288458.00,279209.00,50.00,0.00,9199.00,30983.00,30535.00,448.00,0.00,0.00,319441.00,288514.00,8993.00,8993.00,0.00,250.00,12186.00,3417.00,2921.00,0.00,0.00,0.00,496.00,0.00,6081.00
1966:Q1,326323.00,293981.00,284560.00,52.00,0.00,9369.00,32342.00,31878.00,464.00,0.00,0.00,326323.00,294109.00,9886.00,9886.00,0.00,250.00,12244.00,3543.00,3034.00,0.00,0.00,0.00,509.00,0.00,6291.00
1966:Q2,332311.00,299348.00,289690.00,54.00,0.00,9604.00,32963.00,32481.00,482.00,0.00,0.00,332311.00,299561.00,9708.00,9708.00,0.00,240.00,12634.00,3671.00,3151.00,0.00,0.00,0.00,520.00,0.00,6497.00
1966:Q3,334584.00,301175.00,291424.00,54.00,0.00,9697.00,33409.00,32928.00,481.00,0.00,0.00,334584.00,301554.00,9774.00,9774.00,0.00,230.00,12761.00,3799.00,3271.00,0.00,0.00,0.00,528.00,0.00,6466.00
1966:Q4,339785.00,306483.00,296381.00,54.00,0.00,10048.00,33302.00,32820.00,482.00,0.00,0.00,339785.00,307135.00,8603.00,8603.00,0.00,220.00,13462.00,3952.00,3418.00,0.00,0.00,0.00,534.00,0.00,6413.00
1967:Q1,353136.00,316691.00,306410.00,56.00,0.00,10225.00,36445.00,35939.00,506.00,0.00,0.00,353136.00,317399.00,9556.00,9556.00,0.00,250.00,15000.00,4079.00,3539.00,0.00,0.00,0.00,540.00,0.00,6852.00
1967:Q2,364444.00,327431.00,316823.00,59.00,0.00,10549.00,37013.00,36485.00,528.00,0.00,0.00,364444.00,328269.00,8777.00,8777.00,0.00,270.00,15651.00,4244.00,3682.00,17.00,0.00,0.00,545.00,0.00,7233.00
1967:Q3,372564.00,335047.00,324283.00,62.00,0.00,10702.00,37517.00,36964.00,553.00,0.00,0.00,372564.00,335929.00,9099.00,9099.00,0.00,260.00,15389.00,4450.00,3829.00,69.00,0.00,0.00,552.00,0.00,7437.00
1967:Q4,380398.00,341194.00,330052.00,65.00,0.00,11077.00,39204.00,38622.00,582.00,0.00,0.00,380398.00,342305.00,9682.00,9682.00,0.00,267.00,15731.00,4734.00,4014.00,161.00,0.00,0.00,559.00,0.00,7679.00
1968:Q1,389189.00,349095.00,337704.00,69.00,0.00,11322.00,40094.00,39476.00,618.00,0.00,0.00,389189.00,351028.00,9375.00,9375.00,0.00,330.00,16272.00,4810.00,4136.00,108.00,0.00,0.00,566.00,0.00,7374.00
1968:Q2,393619.00,355212.00,343424.00,73.00,0.00,11715.00,38407.00,37750.00,657.00,0.00,0.00,393619.00,356713.00,8129.00,8129.00,0.00,321.00,16447.00,4948.00,4303.00,75.00,0.00,0.00,570.00,0.00,7061.00
1968:Q3,403163.00,361105.00,349204.00,76.00,0.00,11825.00,42058.00,41371.00,687.00,0.00,0.00,403163.00,364554.00,8539.00,8539.00,0.00,350.00,17286.00,5204.00,4485.00,146.00,0.00,0.00,573.00,0.00,7230.00
1968:Q4,413743.00,367814.00,355451.00,80.00,0.00,12283.00,45929.00,45208.00,721.00,0.00,0.00,413743.00,372542.00,9056.00,9056.00,0.00,368.00,18880.00,5488.00,4680.00,230.00,0.00,0.00,578.00,0.00,7409.00
1969:Q1,416259.00,374682.00,361848.00,86.00,106.00,12642.00,41578.00,40702.00,770.00,106.00,0.00,416259.00,377371.00,7692.00,7692.00,0.00,350.00,18224.00,5434.00,4799.00,52.00,0.00,0.00,583.00,0.00,7188.00
1969:Q2,416556.00,377600.00,364226.00,88.00,270.00,13016.00,38957.00,37898.00,789.00,270.00,0.00,416556.00,382359.00,4593.00,4593.00,0.00,352.00,16547.00,5772.00,5040.00,143.00,0.00,0.00,589.00,0.00,6933.00
1969:Q3,411224.00,378752.00,365027.00,96.00,422.00,13207.00,32472.00,31191.00,859.00,422.00,0.00,411224.00,380961.00,3525.00,3525.00,0.00,300.00,13361.00,6029.00,5220.00,211.00,0.00,0.00,598.00,0.00,7048.00
1969:Q4,413205.00,382331.00,368028.00,103.00,492.00,13708.00,30874.00,29453.00,929.00,492.00,0.00,413205.00,381297.00,3652.00,3652.00,0.00,211.00,13050.00,6206.00,5429.00,170.00,0.00,0.00,607.00,0.00,8789.00
