1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q3,1204.00,0.00,1204.00,0.00,1050.00,154.00,16838.00,1237.00,52.00,0.00,1097.00,88.00,0.00,15601.00,15582.00,-47.00,66.00,-15634.00
1963:Q4,1247.00,0.00,1247.00,0.00,1035.00,212.00,16843.00,1229.00,83.00,0.00,1087.00,59.00,0.00,15614.00,15513.00,-52.00,153.00,-15596.00
1964:Q1,1344.00,0.00,1344.00,0.00,904.00,440.00,16894.00,1173.00,89.00,0.00,952.00,132.00,0.00,15721.00,15461.00,-48.00,308.00,-15550.00
1964:Q2,968.00,0.00,968.00,0.00,786.00,182.00,16591.00,1053.00,162.00,0.00,833.00,58.00,0.00,15538.00,15461.00,-47.00,124.00,-15623.00
1964:Q3,878.00,0.00,878.00,0.00,651.00,227.00,16521.00,940.00,180.00,0.00,697.00,63.00,0.00,15581.00,15463.00,-46.00,164.00,-15643.00
1964:Q4,1201.00,0.00,1201.00,0.00,769.00,432.00,16672.00,1034.00,83.00,0.00,814.00,137.00,0.00,15638.00,15388.00,-45.00,295.00,-15471.00
1965:Q1,1191.00,0.00,1191.00,0.00,701.00,490.00,15829.00,939.00,75.00,0.00,749.00,115.00,0.00,14890.00,14563.00,-48.00,375.00,-14638.00
1965:Q2,1713.00,0.00,1713.00,0.00,1167.00,546.00,16021.00,1677.00,374.00,0.00,1214.00,89.00,0.00,14344.00,13934.00,-47.00,457.00,-14308.00
1965:Q3,1796.00,0.00,1796.00,0.00,837.00,959.00,15980.00,1306.00,326.00,0.00,887.00,93.00,0.00,14674.00,13858.00,-50.00,866.00,-14184.00
1965:Q4,1644.00,0.00,1644.00,0.00,863.00,781.00,15709.00,1396.00,332.00,0.00,912.00,152.00,0.00,14313.00,13733.00,-49.00,629.00,-14065.00
1966:Q1,1288.00,0.00,1288.00,0.00,729.00,559.00,15026.00,1233.00,104.00,0.00,788.00,341.00,0.00,13793.00,13634.00,-59.00,218.00,-13738.00
1966:Q2,1429.00,0.00,1429.00,0.00,707.00,722.00,14958.00,1103.00,96.00,0.00,767.00,240.00,0.00,13855.00,13433.00,-60.00,482.00,-13529.00
1966:Q3,1520.00,0.00,1520.00,0.00,372.00,1148.00,14876.00,1070.00,98.00,0.00,424.00,548.00,0.00,13806.00,13258.00,-52.00,600.00,-13356.00
1966:Q4,1647.00,0.00,1647.00,0.00,326.00,1321.00,14882.00,905.00,76.00,0.00,383.00,446.00,0.00,13977.00,13159.00,-57.00,875.00,-13235.00
1967:Q1,671.00,0.00,671.00,0.00,357.00,314.00,13855.00,620.00,77.00,0.00,417.00,126.00,0.00,13235.00,13107.00,-60.00,188.00,-13184.00
1967:Q2,1105.00,0.00,1105.00,0.00,367.00,738.00,14274.00,645.00,59.00,0.00,426.00,160.00,0.00,13629.00,13110.00,-59.00,578.00,-13169.00
1967:Q3,1572.00,0.00,1572.00,0.00,372.00,1200.00,14649.00,926.00,71.00,0.00,430.00,425.00,0.00,13723.00,13006.00,-58.00,775.00,-13077.00
1967:Q4,2765.00,0.00,2765.00,0.00,420.00,2345.00,14830.00,1304.00,83.00,0.00,480.00,741.00,0.00,13526.00,11982.00,-60.00,1604.00,-12065.00
1968:Q1,3223.00,0.00,3223.00,0.00,477.00,2746.00,13926.00,1959.00,219.00,0.00,534.00,1206.00,0.00,11967.00,10484.00,-57.00,1540.00,-10703.00
1968:Q2,3382.00,0.00,3382.00,0.00,903.00,2479.00,14063.00,2748.00,314.00,0.00,964.00,1470.00,0.00,11315.00,10367.00,-61.00,1009.00,-10681.00
1968:Q3,3879.00,0.00,3879.00,0.00,926.00,2953.00,14634.00,3058.00,388.00,0.00,988.00,1682.00,0.00,11576.00,10367.00,-62.00,1271.00,-10755.00
1968:Q4,4818.00,0.00,4818.00,0.00,1290.00,3528.00,15710.00,3340.00,525.00,0.00,1348.00,1467.00,0.00,12370.00,10367.00,-58.00,2061.00,-10892.00
1969:Q1,4922.00,0.00,4922.00,0.00,1321.00,3601.00,15758.00,3371.00,469.00,0.00,1379.00,1523.00,0.00,12387.00,10367.00,-58.00,2078.00,-10836.00
1969:Q2,4904.00,0.00,4904.00,0.00,1549.00,3355.00,16057.00,3915.00,786.00,0.00,1608.00,1521.00,0.00,12142.00,10367.00,-59.00,1834.00,-11153.00
1969:Q3,5579.00,0.00,5579.00,0.00,1782.00,3797.00,16743.00,4076.00,797.00,0.00,1838.00,1441.00,0.00,12667.00,10367.00,-56.00,2356.00,-11164.00
1969:Q4,5105.00,0.00,5105.00,0.00,2324.00,2781.00,16964.00,4691.00,1492.00,0.00,2385.00,814.00,0.00,12273.00,10367.00,-61.00,1967.00,-11859.00
1970:Q1,6314.00,867.00,5447.00,920.00,2577.00,1950.00,18217.00,4872.00,536.00,920.00,2637.00,779.00,867.00,12478.00,11367.00,-60.00,1171.00,-11903.00
1970:Q2,5306.00,867.00,4439.00,957.00,2350.00,1132.00,17195.00,4340.00,522.00,957.00,2419.00,442.00,867.00,11988.00,11367.00,-69.00,690.00,-11889.00
1970:Q3,4900.00,867.00,4033.00,991.00,1944.00,1098.00,16394.00,3785.00,377.00,991.00,1999.00,418.00,867.00,11742.00,11117.00,-55.00,680.00,-11494.00
1970:Q4,4282.00,867.00,3415.00,851.00,1935.00,629.00,15354.00,3573.00,340.00,851.00,2010.00,372.00,867.00,10914.00,10732.00,-75.00,257.00,-11072.00
1971:Q1,4963.00,1584.00,3379.00,1443.00,1680.00,256.00,15926.00,3672.00,231.00,1443.00,1775.00,223.00,1584.00,10670.00,10732.00,-95.00,33.00,-10963.00
1971:Q2,4581.00,1584.00,2997.00,1247.00,1428.00,322.00,15088.00,3149.00,175.00,1247.00,1501.00,226.00,1584.00,10355.00,10332.00,-73.00,96.00,-10507.00
1971:Q3,3508.00,1584.00,1924.00,1097.00,577.00,250.00,13715.00,2053.00,75.00,1097.00,654.00,227.00,1584.00,10078.00,10132.00,-77.00,23.00,-10207.00
1971:Q4,3779.00,1720.00,2059.00,1194.00,585.00,280.00,13985.00,2192.00,74.00,1194.00,661.00,263.00,1720.00,10073.00,10132.00,-76.00,17.00,-10206.00
1972:Q1,5254.00,2491.00,2763.00,1965.00,586.00,212.00,14916.00,2897.00,74.00,1965.00,663.00,195.00,2491.00,9528.00,9588.00,-77.00,17.00,-9662.00
1972:Q2,5340.00,2491.00,2849.00,1958.00,434.00,457.00,15830.00,2989.00,80.00,1958.00,512.00,439.00,2491.00,10350.00,10410.00,-78.00,18.00,-10490.00
1972:Q3,5221.00,2491.00,2730.00,1958.00,449.00,323.00,15708.00,2785.00,77.00,1958.00,532.00,218.00,2491.00,10432.00,10410.00,-83.00,105.00,-10487.00
1972:Q4,5155.00,2491.00,2664.00,1958.00,465.00,241.00,15642.00,2627.00,77.00,1958.00,543.00,49.00,2491.00,10524.00,10410.00,-78.00,192.00,-10487.00
1973:Q1,5428.00,2767.00,2661.00,2175.00,478.00,8.00,15915.00,2814.00,77.00,2175.00,558.00,4.00,2767.00,10334.00,10410.00,-80.00,4.00,-10487.00
1973:Q2,5411.00,2767.00,2644.00,2166.00,470.00,8.00,15898.00,2810.00,77.00,2166.00,563.00,4.00,2767.00,10321.00,10410.00,-93.00,4.00,-10487.00
1973:Q3,5424.00,2767.00,2657.00,2166.00,483.00,8.00,15911.00,2810.00,77.00,2166.00,563.00,4.00,2767.00,10334.00,10410.00,-80.00,4.00,-10487.00
1973:Q4,5493.00,2767.00,2726.00,2166.00,552.00,8.00,17145.00,2887.00,85.00,2166.00,632.00,4.00,2767.00,11491.00,11567.00,-80.00,4.00,-11652.00
1974:Q1,5703.00,2767.00,2936.00,2166.00,761.00,9.00,17355.00,3101.00,85.00,2166.00,847.00,3.00,2767.00,11487.00,11567.00,-86.00,6.00,-11652.00
1974:Q2,6061.00,2767.00,3294.00,2195.00,1005.00,94.00,17713.00,3371.00,85.00,2195.00,1087.00,4.00,2767.00,11575.00,11567.00,-82.00,90.00,-11652.00
1974:Q3,6964.00,2723.00,4241.00,2282.00,1713.00,246.00,18616.00,4159.00,85.00,2282.00,1788.00,4.00,2723.00,11734.00,11567.00,-75.00,242.00,-11652.00
1974:Q4,7040.00,2809.00,4231.00,2374.00,1852.00,5.00,18692.00,4312.00,0.00,2374.00,1935.00,3.00,2809.00,11571.00,11652.00,-83.00,2.00,-11652.00
1975:Q1,7498.00,2862.00,4636.00,2423.00,2194.00,19.00,19118.00,4655.00,0.00,2423.00,2227.00,5.00,2862.00,11601.00,11620.00,-33.00,14.00,-11620.00
1975:Q2,7458.00,2836.00,4622.00,2418.00,2179.00,25.00,19078.00,4625.00,0.00,2418.00,2207.00,0.00,2836.00,11617.00,11620.00,-28.00,25.00,-11620.00
1975:Q3,7363.00,2671.00,4692.00,2301.00,2144.00,247.00,18962.00,4662.00,0.00,2301.00,2165.00,196.00,2671.00,11629.00,11599.00,-21.00,51.00,-11599.00
1975:Q4,7312.00,2685.00,4627.00,2335.00,2212.00,80.00,18911.00,4571.00,0.00,2335.00,2236.00,0.00,2685.00,11655.00,11599.00,-24.00,80.00,-11599.00
1976:Q1,7995.00,2653.00,5342.00,2351.00,2420.00,571.00,19594.00,4801.00,0.00,2351.00,2450.00,0.00,2653.00,12140.00,11599.00,-30.00,571.00,-11599.00
1976:Q2,9508.00,2629.00,6879.00,2316.00,3198.00,1365.00,21106.00,5759.00,0.00,2316.00,3243.00,200.00,2629.00,12718.00,11598.00,-45.00,1165.00,-11598.00
1976:Q3,10002.00,2654.00,7348.00,2357.00,3952.00,1039.00,21600.00,6752.00,0.00,2357.00,3994.00,401.00,2654.00,12194.00,11598.00,-42.00,638.00,-11598.00
1976:Q4,9815.00,2665.00,7150.00,2395.00,4434.00,321.00,21413.00,7005.00,0.00,2395.00,4459.00,151.00,2665.00,11743.00,11598.00,-25.00,170.00,-11598.00
1977:Q1,10121.00,2659.00,7462.00,2389.00,4812.00,261.00,21779.00,7452.00,22.00,2389.00,4838.00,203.00,2659.00,11668.00,11636.00,-26.00,58.00,-11658.00
1977:Q2,10172.00,2674.00,7498.00,2486.00,4920.00,92.00,21830.00,7500.00,38.00,2486.00,4941.00,35.00,2674.00,11656.00,11620.00,-21.00,57.00,-11658.00
1977:Q3,9999.00,2669.00,7330.00,2489.00,4776.00,65.00,21657.00,7350.00,63.00,2489.00,4797.00,1.00,2669.00,11638.00,11595.00,-21.00,64.00,-11658.00
1977:Q4,10387.00,2787.00,7600.00,2629.00,4951.00,20.00,22106.00,7605.00,1.00,2629.00,4973.00,2.00,2787.00,11714.00,11718.00,-22.00,18.00,-11719.00
1978:Q1,10311.00,2837.00,7474.00,2693.00,4701.00,80.00,22029.00,7429.00,0.00,2693.00,4722.00,14.00,2837.00,11763.00,11718.00,-21.00,66.00,-11718.00
1978:Q2,10001.00,2843.00,7158.00,2804.00,4270.00,84.00,21707.00,7128.00,0.00,2804.00,4298.00,26.00,2843.00,11736.00,11706.00,-28.00,58.00,-11706.00
1978:Q3,10121.00,2939.00,7182.00,2942.00,4214.00,26.00,21789.00,7188.00,0.00,2942.00,4240.00,6.00,2939.00,11662.00,11668.00,-26.00,20.00,-11668.00
1978:Q4,9968.00,2989.00,6979.00,1558.00,1047.00,4374.00,21639.00,5402.00,0.00,1558.00,1076.00,2768.00,2989.00,13248.00,11671.00,-29.00,1606.00,-11671.00
1979:Q1,14256.00,4077.00,10179.00,2667.00,1121.00,6391.00,25735.00,6446.00,0.00,2667.00,1142.00,2637.00,4077.00,15212.00,11479.00,-21.00,3754.00,-11479.00
1979:Q2,14035.00,4090.00,9945.00,2670.00,1204.00,6071.00,25358.00,7036.00,0.00,2670.00,1237.00,3129.00,4090.00,14232.00,11323.00,-33.00,2942.00,-11323.00
1979:Q3,11504.00,4175.00,7329.00,2725.00,1280.00,3324.00,22732.00,5826.00,0.00,2725.00,1313.00,1788.00,4175.00,12731.00,11228.00,-33.00,1536.00,-11228.00
1979:Q4,11957.00,4173.00,7784.00,2724.00,1253.00,3807.00,23129.00,5328.00,0.00,2724.00,1280.00,1324.00,4173.00,13628.00,11172.00,-27.00,2483.00,-11172.00
1980:Q1,15377.00,5058.00,10319.00,3681.00,1222.00,5416.00,26549.00,8013.00,0.00,3681.00,1250.00,3082.00,5058.00,13478.00,11172.00,-28.00,2334.00,-11172.00
1980:Q2,16124.00,5353.00,10771.00,3782.00,1385.00,5604.00,27296.00,8463.00,0.00,3782.00,1416.00,3265.00,5353.00,13480.00,11172.00,-31.00,2339.00,-11172.00
1980:Q3,17131.00,5305.00,11826.00,4007.00,1665.00,6154.00,28299.00,9620.00,0.00,4007.00,1704.00,3909.00,5305.00,13374.00,11168.00,-39.00,2245.00,-11168.00
1980:Q4,20751.00,5155.00,15596.00,2610.00,2852.00,10134.00,31911.00,10550.00,0.00,2610.00,2910.00,5030.00,5155.00,16206.00,11160.00,-58.00,5104.00,-11160.00
1981:Q1,25275.00,6019.00,19256.00,3913.00,3448.00,11895.00,36429.00,12240.00,0.00,3913.00,3492.00,4835.00,6019.00,18170.00,11154.00,-44.00,7060.00,-11154.00
1981:Q2,24066.00,5637.00,18429.00,3690.00,3988.00,10751.00,35220.00,12042.00,0.00,3690.00,4031.00,4321.00,5637.00,17541.00,11154.00,-43.00,6430.00,-11154.00
1981:Q3,24172.00,5608.00,18564.00,3896.00,4618.00,10050.00,35324.00,13037.00,0.00,3896.00,4658.00,4483.00,5608.00,16679.00,11152.00,-40.00,5567.00,-11152.00
1981:Q4,24627.00,5703.00,18924.00,4095.00,5055.00,9774.00,35778.00,13834.00,0.00,4095.00,5094.00,4645.00,5703.00,16241.00,11151.00,-39.00,5129.00,-11151.00
1982:Q1,24248.00,5454.00,18794.00,4306.00,5367.00,9121.00,35398.00,13881.00,0.00,4306.00,5407.00,4168.00,5454.00,16063.00,11150.00,-40.00,4953.00,-11150.00
1982:Q2,24873.00,5351.00,19522.00,4461.00,6062.00,8999.00,36022.00,14782.00,0.00,4461.00,6101.00,4220.00,5351.00,15889.00,11149.00,-39.00,4779.00,-11149.00
1982:Q3,25099.00,5254.00,19845.00,4809.00,6406.00,8630.00,36247.00,14760.00,0.00,4809.00,6437.00,3514.00,5254.00,16233.00,11148.00,-31.00,5116.00,-11148.00
1982:Q4,28215.00,5405.00,22810.00,5250.00,7348.00,10212.00,39363.00,17076.00,0.00,5250.00,7378.00,4448.00,5405.00,16882.00,11148.00,-30.00,5764.00,-11148.00
