1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q1,121.00,223.00,1320.00,-32.00,0.00,0.00,768.00,0.00,-500.00,604.00,464.00,200.00,-4.00,428.00,0.00,144.00,16.00,0.00,1296.00,0.00,176.00,0.00,-60.00,0.00,1180.00,0.00,1180.00,-126.00
1964:Q2,103.00,228.00,1012.00,-24.00,0.00,0.00,748.00,0.00,-576.00,684.00,332.00,308.00,0.00,120.00,0.00,152.00,16.00,0.00,1256.00,0.00,120.00,0.00,-64.00,4.00,1196.00,0.00,1196.00,119.00
1964:Q3,46.00,234.00,908.00,-28.00,0.00,0.00,772.00,0.00,680.00,-592.00,292.00,392.00,0.00,-8.00,0.00,156.00,16.00,0.00,1336.00,0.00,96.00,0.00,-48.00,4.00,1284.00,0.00,1284.00,240.00
1964:Q4,-28.00,239.00,844.00,-60.00,0.00,0.00,860.00,0.00,524.00,-468.00,344.00,460.00,0.00,-128.00,0.00,156.00,16.00,0.00,1500.00,0.00,100.00,0.00,-48.00,4.00,1444.00,0.00,1444.00,389.00
1965:Q1,-251.00,262.00,1104.00,-64.00,0.00,0.00,872.00,0.00,-228.00,232.00,316.00,552.00,16.00,108.00,0.00,156.00,16.00,0.00,1668.00,0.00,96.00,0.00,120.00,4.00,1448.00,0.00,1448.00,51.00
1965:Q2,-233.00,274.00,1376.00,-88.00,0.00,0.00,824.00,0.00,-780.00,720.00,208.00,676.00,24.00,448.00,0.00,152.00,16.00,0.00,1588.00,0.00,84.00,0.00,-12.00,-4.00,1520.00,0.00,1520.00,-295.00
1965:Q3,62.00,290.00,1188.00,-84.00,0.00,0.00,984.00,0.00,172.00,-220.00,324.00,708.00,28.00,80.00,0.00,164.00,16.00,0.00,1728.00,0.00,80.00,0.00,72.00,-4.00,1580.00,0.00,1580.00,312.00
1965:Q4,652.00,307.00,1224.00,-64.00,0.00,0.00,1348.00,0.00,176.00,-140.00,668.00,644.00,20.00,-288.00,0.00,188.00,20.00,0.00,1752.00,0.00,80.00,0.00,44.00,-8.00,1636.00,0.00,1636.00,873.00
1966:Q1,990.00,276.00,976.00,-12.00,0.00,0.00,1088.00,0.00,-848.00,1044.00,308.00,584.00,-8.00,-328.00,0.00,220.00,16.00,0.00,1816.00,0.00,80.00,0.00,32.00,8.00,1696.00,0.00,1696.00,1554.00
1966:Q2,733.00,288.00,2400.00,24.00,0.00,0.00,1584.00,0.00,-636.00,1040.00,648.00,532.00,0.00,524.00,0.00,248.00,20.00,0.00,1776.00,0.00,76.00,0.00,-68.00,8.00,1760.00,0.00,1760.00,-179.00
1966:Q3,632.00,295.00,2584.00,28.00,0.00,0.00,1636.00,0.00,-52.00,356.00,788.00,544.00,0.00,640.00,0.00,264.00,16.00,0.00,1936.00,0.00,80.00,0.00,32.00,8.00,1816.00,0.00,1816.00,-312.00
1966:Q4,562.00,301.00,2560.00,-8.00,0.00,0.00,1544.00,0.00,-356.00,256.00,1020.00,624.00,12.00,728.00,0.00,264.00,20.00,0.00,1976.00,0.00,88.00,0.00,12.00,8.00,1868.00,0.00,1868.00,-324.00
1967:Q1,668.00,331.00,1940.00,-32.00,0.00,0.00,1424.00,0.00,-1472.00,944.00,1312.00,640.00,20.00,188.00,0.00,264.00,76.00,0.00,2404.00,0.00,92.00,0.00,316.00,8.00,1988.00,0.00,1988.00,801.00
