date,FU883140005.Q,FU313140003.Q,FU543140005.Q,FU883140005.Q,FU153040005.Q,FU763040005.Q,FU733040005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800.00,1165.00,2635.00,3800.00,3800.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150.00,605.00,2545.00,3150.00,3150.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843.00,213.00,2630.00,2843.00,2843.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751.00,84.00,2667.00,2751.00,2751.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945.00,309.00,2636.00,2945.00,2945.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1987:Q4,4236.00,-442.00,4678.00,4236.00,4236.00,0.00,0.00
1988:Q1,3490.00,21.00,3469.00,3490.00,3490.00,0.00,0.00
1988:Q2,5923.00,520.00,5403.00,5923.00,5923.00,0.00,0.00
1988:Q3,5308.00,37.00,5271.00,5308.00,5308.00,0.00,0.00
1988:Q4,9337.00,595.00,8742.00,9337.00,9337.00,0.00,0.00
1989:Q1,4022.00,22.00,4000.00,4022.00,4022.00,0.00,0.00
1989:Q2,8058.00,527.00,7531.00,8058.00,8058.00,0.00,0.00
1989:Q3,5193.00,-8.00,5201.00,5193.00,5193.00,0.00,0.00
1989:Q4,11287.00,616.00,10671.00,11287.00,11287.00,0.00,0.00
1990:Q1,7091.00,-4.00,7095.00,7091.00,7091.00,0.00,0.00
1990:Q2,6724.00,548.00,6176.00,6724.00,6724.00,0.00,0.00
1990:Q3,8610.00,35.00,8575.00,8610.00,8610.00,0.00,0.00
1990:Q4,5670.00,609.00,5061.00,5670.00,5670.00,0.00,0.00
1991:Q1,4869.00,61.00,4808.00,4869.00,4869.00,0.00,0.00
1991:Q2,8230.00,572.00,7658.00,8230.00,8230.00,0.00,0.00
1991:Q3,3917.00,-109.00,4026.00,3917.00,3917.00,0.00,0.00
1991:Q4,5268.00,672.00,4596.00,5268.00,5268.00,0.00,0.00
1992:Q1,7419.00,-116.00,7535.00,7419.00,7419.00,0.00,0.00
1992:Q2,4462.00,613.00,3849.00,4462.00,4462.00,0.00,0.00
1992:Q3,8914.00,167.00,8747.00,8914.00,8914.00,0.00,0.00
1992:Q4,7257.00,775.00,6482.00,7257.00,7257.00,0.00,0.00
1993:Q1,7517.00,3.00,7514.00,7517.00,7517.00,0.00,0.00
1993:Q2,9019.00,640.00,8379.00,9019.00,9019.00,0.00,0.00
1993:Q3,8949.00,69.00,8880.00,8949.00,8949.00,0.00,0.00
1993:Q4,9354.00,681.00,8673.00,9354.00,9354.00,0.00,0.00
1994:Q1,7007.00,6.00,7001.00,7007.00,7007.00,0.00,0.00
1994:Q2,6728.00,679.00,6049.00,6728.00,6728.00,0.00,0.00
1994:Q3,16388.00,98.00,16290.00,16388.00,16388.00,0.00,0.00
1994:Q4,6001.00,485.00,5516.00,6001.00,6001.00,0.00,0.00
1995:Q1,10295.00,50.00,10245.00,10295.00,10295.00,0.00,0.00
1995:Q2,11804.00,431.00,11373.00,11804.00,11804.00,0.00,0.00
1995:Q3,6209.00,74.00,6135.00,6209.00,6209.00,0.00,0.00
1995:Q4,8246.00,464.00,7782.00,8246.00,8246.00,0.00,0.00
1996:Q1,3504.00,92.00,3412.00,3504.00,3504.00,0.00,0.00
1996:Q2,7161.00,608.00,6553.00,7161.00,7161.00,0.00,0.00
1996:Q3,13644.00,39.00,13605.00,13644.00,13644.00,0.00,0.00
1996:Q4,13722.00,-122.00,13844.00,13722.00,13722.00,0.00,0.00
1997:Q1,11751.00,710.00,11041.00,11751.00,11751.00,0.00,0.00
1997:Q2,10812.00,551.00,10261.00,10812.00,10812.00,0.00,0.00
1997:Q3,12266.00,-24.00,12290.00,12266.00,12266.00,0.00,0.00
1997:Q4,8104.00,500.00,7604.00,8104.00,8104.00,0.00,0.00
1998:Q1,4758.00,180.00,4578.00,4758.00,4758.00,0.00,0.00
1998:Q2,9446.00,653.00,8793.00,9446.00,9446.00,0.00,0.00
1998:Q3,10240.00,3.00,10237.00,10240.00,10240.00,0.00,0.00
1998:Q4,16697.00,456.00,16241.00,16697.00,16697.00,0.00,0.00
1999:Q1,10357.00,169.00,10188.00,10357.00,10357.00,0.00,0.00
1999:Q2,13275.00,674.00,12601.00,13275.00,13275.00,0.00,0.00
1999:Q3,8076.00,57.00,8019.00,8076.00,8076.00,0.00,0.00
1999:Q4,12573.00,501.00,12072.00,12573.00,12573.00,0.00,0.00
2000:Q1,10934.00,292.00,10642.00,10934.00,10934.00,0.00,0.00
2000:Q2,8731.00,656.00,8075.00,8731.00,8731.00,0.00,0.00
2000:Q3,11449.00,54.00,11395.00,11449.00,11449.00,0.00,0.00
2000:Q4,13105.00,438.00,12667.00,13105.00,13105.00,0.00,0.00
2001:Q1,27564.00,159.00,27405.00,27564.00,27564.00,0.00,0.00
2001:Q2,24580.00,593.00,23987.00,24580.00,24580.00,0.00,0.00
2001:Q3,6023.00,7.00,6016.00,6023.00,6023.00,0.00,0.00
2001:Q4,18581.00,626.00,17955.00,18581.00,18581.00,0.00,0.00
2002:Q1,22232.00,-68.00,22300.00,22232.00,22232.00,0.00,0.00
2002:Q2,25631.00,1000.00,24631.00,25631.00,25631.00,0.00,0.00
2002:Q3,17304.00,-29.00,17333.00,17304.00,17304.00,0.00,0.00
2002:Q4,-2430.00,670.00,-3100.00,-2430.00,-2430.00,0.00,0.00
2003:Q1,18068.00,19.00,18049.00,18068.00,18068.00,0.00,0.00
2003:Q2,15419.00,420.00,14999.00,15419.00,15419.00,0.00,0.00
2003:Q3,18734.00,137.00,18597.00,18734.00,18734.00,0.00,0.00
2003:Q4,7252.00,550.00,6702.00,7252.00,7252.00,0.00,0.00
2004:Q1,-1180.00,-12.00,-1168.00,-1180.00,-1180.00,0.00,0.00
2004:Q2,10683.00,472.00,10211.00,10683.00,10683.00,0.00,0.00
2004:Q3,9361.00,54.00,9307.00,9361.00,9361.00,0.00,0.00
2004:Q4,7575.00,572.00,7003.00,7575.00,7575.00,0.00,0.00
2005:Q1,3591.00,1.00,3590.00,3591.00,3591.00,0.00,0.00
2005:Q2,-659.00,418.00,-1077.00,-659.00,-659.00,0.00,0.00
2005:Q3,6923.00,70.00,6853.00,6923.00,6923.00,0.00,0.00
2005:Q4,639.00,647.00,-8.00,639.00,639.00,0.00,0.00
2006:Q1,19879.00,76.00,19803.00,19879.00,19879.00,0.00,0.00
2006:Q2,3487.00,555.00,2932.00,3487.00,2376.00,1830.00,-719.00
2006:Q3,14495.00,137.00,14358.00,14495.00,11366.00,2806.00,323.00
2006:Q4,16665.00,734.00,15931.00,16665.00,13050.00,3576.00,39.00
2007:Q1,4585.00,361.00,4224.00,4585.00,1400.00,3216.00,-31.00
2007:Q2,7222.00,567.00,6655.00,7222.00,5372.00,1382.00,468.00
2007:Q3,2485.00,-16.00,2501.00,2485.00,-3978.00,2287.00,4176.00
2007:Q4,10347.00,653.00,9694.00,10347.00,5656.00,4014.00,677.00
2008:Q1,9415.00,-87.00,9502.00,9415.00,8664.00,1038.00,-287.00
2008:Q2,9787.00,488.00,9299.00,9787.00,10216.00,3014.00,-3443.00
2008:Q3,27660.00,-116.00,27776.00,27660.00,20523.00,6580.00,557.00
2008:Q4,25941.00,693.00,25248.00,25941.00,28112.00,-4183.00,2012.00
2009:Q1,17319.00,-58.00,17377.00,17319.00,15899.00,-265.00,1685.00
2009:Q2,-2972.00,515.00,-3487.00,-2972.00,-3309.00,681.00,-344.00
2009:Q3,-4323.00,35.00,-4358.00,-4323.00,-4357.00,-740.00,774.00
2009:Q4,8586.00,606.00,7980.00,8586.00,7558.00,1080.00,-52.00
2010:Q1,-473.00,-95.00,-378.00,-473.00,-1771.00,615.00,683.00
2010:Q2,4592.00,177.00,4415.00,4592.00,1565.00,715.00,2312.00
2010:Q3,10661.00,165.00,10496.00,10661.00,8787.00,1531.00,343.00
2010:Q4,-1691.00,615.00,-2306.00,-1691.00,-3734.00,1628.00,415.00
2011:Q1,11675.00,70.00,11605.00,11675.00,10291.00,1340.00,44.00
2011:Q2,14497.00,432.00,14065.00,14497.00,13634.00,988.00,-125.00
2011:Q3,33733.00,289.00,33444.00,33733.00,31237.00,1028.00,1468.00
2011:Q4,18168.00,472.00,17696.00,18168.00,15220.00,1889.00,1060.00
2012:Q1,-6330.00,106.00,-6436.00,-6330.00,-15569.00,3105.00,6134.00
2012:Q2,-16518.00,360.00,-16878.00,-16518.00,-18785.00,1201.00,1066.00
2012:Q3,774.00,-55.00,829.00,774.00,-2162.00,1485.00,1451.00
2012:Q4,2960.00,-124.00,3084.00,2960.00,2697.00,1589.00,-1326.00
2013:Q1,-154.00,41.00,-195.00,-154.00,-2574.00,1182.00,1238.00
2013:Q2,5186.00,183.00,5003.00,5186.00,3726.00,1173.00,287.00
2013:Q3,7001.00,-124.00,7125.00,7001.00,4657.00,1215.00,1129.00
2013:Q4,6820.00,130.00,6690.00,6820.00,2241.00,2176.00,2403.00
2014:Q1,7522.00,-20.00,7542.00,7522.00,4928.00,1411.00,1183.00
2014:Q2,9617.00,138.00,9479.00,9617.00,6814.00,1490.00,1313.00
2014:Q3,11934.00,306.00,11628.00,11934.00,9492.00,1241.00,1201.00
2014:Q4,15356.00,346.00,15010.00,15356.00,12294.00,1729.00,1333.00
2015:Q1,14480.00,-521.00,15001.00,14480.00,12134.00,1296.00,1050.00
2015:Q2,8880.00,231.00,8649.00,8880.00,5724.00,2156.00,1000.00
2015:Q3,16527.00,-145.00,16672.00,16527.00,14118.00,1409.00,1000.00
2015:Q4,7106.00,327.00,6779.00,7106.00,4444.00,1662.00,1000.00
2016:Q1,5468.00,-99.00,5567.00,5468.00,3085.00,1383.00,1000.00
2016:Q2,20351.00,195.00,20156.00,20351.00,17928.00,1423.00,1000.00
2016:Q3,9793.00,16.00,9777.00,9793.00,7305.00,1488.00,1000.00
