1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,1230.00,0.00,1227.00,ND,ND,3.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1212.00,0.00,255.00,-110.00,997.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,9.00,0.00,0.00,63.00,-3.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00
1961:Q2,-1022.00,0.00,-1025.00,ND,ND,3.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1159.00,0.00,-79.00,-50.00,-1002.00,ND,ND,2.00,ND,ND,0.00,ND,ND,0.00,0.00,7.00,0.00,0.00,-37.00,0.00,0.00,0.00,0.00,0.00,0.00,137.00,0.00,0.00,0.00
1961:Q3,1306.00,0.00,1307.00,ND,ND,-1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1687.00,0.00,556.00,-50.00,1122.00,ND,ND,-1.00,ND,ND,0.00,ND,ND,0.00,0.00,7.00,0.00,0.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,-381.00,0.00,0.00,0.00
1961:Q4,-1348.00,0.00,-1346.00,ND,ND,-2.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1888.00,0.00,-611.00,-48.00,-1156.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,9.00,0.00,0.00,-82.00,0.00,0.00,0.00,0.00,0.00,0.00,540.00,0.00,0.00,0.00
1962:Q1,1419.00,0.00,1421.00,ND,ND,-2.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1608.00,0.00,96.00,58.00,1299.00,ND,ND,-1.00,ND,ND,0.00,ND,ND,0.00,0.00,14.00,0.00,0.00,142.00,0.00,0.00,0.00,0.00,0.00,0.00,-189.00,0.00,0.00,0.00
1962:Q2,-1133.00,0.00,-1131.00,ND,ND,-2.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1081.00,0.00,-41.00,50.00,-1044.00,ND,ND,-1.00,ND,ND,0.00,ND,ND,0.00,0.00,17.00,0.00,0.00,-62.00,0.00,0.00,0.00,0.00,0.00,0.00,-52.00,0.00,0.00,0.00
1962:Q3,828.00,0.00,829.00,ND,ND,-1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1664.00,0.00,912.00,50.00,666.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,17.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,-836.00,0.00,0.00,0.00
1962:Q4,-717.00,0.00,-718.00,ND,ND,1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-901.00,0.00,-446.00,80.00,-565.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,14.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,184.00,0.00,0.00,0.00
1963:Q1,1515.00,0.00,1512.00,ND,ND,3.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,732.00,0.00,-467.00,-80.00,1239.00,ND,ND,2.00,ND,ND,0.00,ND,ND,0.00,0.00,11.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,783.00,0.00,0.00,0.00
1963:Q2,-1090.00,0.00,-1093.00,ND,ND,3.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1098.00,0.00,1.00,-100.00,-978.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,5.00,0.00,0.00,-27.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00
