1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q4,1759092.00,571267.00,343552.00,168757.00,634365.00,431815.00,372750.00,180710.00,180771.00,61097.00
1973:Q1,1815688.00,593828.00,353598.00,176766.00,659441.00,446414.00,378186.00,184233.00,182143.00,63025.00
1973:Q2,1857531.00,605466.00,361862.00,183161.00,685410.00,461449.00,379668.00,186987.00,196630.00,65217.00
1973:Q3,1903057.00,623265.00,371042.00,187983.00,710306.00,481201.00,379074.00,190412.00,209106.00,64939.00
1973:Q4,1940863.00,636677.00,382218.00,192980.00,727578.00,497437.00,381829.00,194779.00,223936.00,67368.00
1974:Q1,1984856.00,652427.00,392321.00,196565.00,751318.00,512155.00,381929.00,199182.00,225560.00,69114.00
1974:Q2,2032709.00,664990.00,400813.00,199933.00,779452.00,529291.00,385635.00,202632.00,241114.00,75588.00
1974:Q3,2079585.00,680994.00,410404.00,202348.00,802156.00,541863.00,390234.00,206201.00,258084.00,77454.00
1974:Q4,2115657.00,690672.00,419339.00,201926.00,820315.00,553066.00,396457.00,208213.00,270774.00,81295.00
1975:Q1,2158117.00,703087.00,427459.00,202454.00,831801.00,558834.00,412756.00,210473.00,265991.00,83427.00
1975:Q2,2203504.00,708692.00,435481.00,199092.00,841543.00,562444.00,440620.00,212649.00,265588.00,86853.00
1975:Q3,2255785.00,725589.00,445509.00,202035.00,851525.00,568023.00,464591.00,214080.00,261647.00,90157.00
1975:Q4,2311028.00,745477.00,459087.00,206996.00,860266.00,572665.00,485926.00,219359.00,277293.00,95421.00
1976:Q1,2374567.00,769695.00,474026.00,211812.00,873896.00,577948.00,505967.00,225009.00,277453.00,99764.00
1976:Q2,2439166.00,788180.00,485633.00,216337.00,891345.00,588836.00,528227.00,231414.00,283587.00,104279.00
1976:Q3,2502003.00,809240.00,500528.00,221278.00,910679.00,600863.00,546903.00,235181.00,289359.00,107341.00
1976:Q4,2562899.00,833929.00,517073.00,228961.00,931428.00,614346.00,559712.00,237830.00,308835.00,115750.00
1977:Q1,2639968.00,866845.00,536389.00,236168.00,960388.00,632301.00,572404.00,240331.00,306303.00,115741.00
1977:Q2,2713273.00,898177.00,556489.00,246398.00,988022.00,648520.00,580529.00,246545.00,322633.00,118821.00
1977:Q3,2806705.00,932030.00,579584.00,255421.00,1015394.00,665925.00,607628.00,251653.00,332245.00,124486.00
1977:Q4,2892827.00,963923.00,602997.00,264892.00,1050133.00,690322.00,622606.00,256165.00,362898.00,128603.00
1978:Q1,2988993.00,1004569.00,627038.00,274811.00,1081920.00,710784.00,637105.00,265399.00,365847.00,133706.00
1978:Q2,3090473.00,1047316.00,650880.00,289868.00,1117332.00,731047.00,650943.00,274882.00,391522.00,137453.00
1978:Q3,3194463.00,1089170.00,678732.00,301165.00,1148272.00,745665.00,672723.00,284298.00,405527.00,141931.00
1978:Q4,3286725.00,1124744.00,708641.00,311305.00,1184262.00,766056.00,682118.00,295601.00,439642.00,157916.00
1979:Q1,3379898.00,1170356.00,740030.00,322611.00,1221343.00,789843.00,685071.00,303128.00,448216.00,156885.00
1979:Q2,3479366.00,1209475.00,766252.00,333789.00,1266458.00,811542.00,693719.00,309714.00,479885.00,162071.00
1979:Q3,3593092.00,1252799.00,795664.00,345271.00,1308984.00,833769.00,714755.00,316554.00,502944.00,174970.00
1979:Q4,3682178.00,1290264.00,826724.00,354616.00,1343789.00,851773.00,725909.00,322216.00,538064.00,177190.00
1980:Q1,3784653.00,1333726.00,860063.00,359093.00,1383614.00,873560.00,739509.00,327804.00,553005.00,178432.00
1980:Q2,3853445.00,1348826.00,875720.00,352773.00,1404259.00,880652.00,767360.00,333000.00,570548.00,186356.00
1980:Q3,3939954.00,1378358.00,900209.00,354263.00,1431479.00,892677.00,791355.00,338762.00,586505.00,193283.00
1980:Q4,4045118.00,1413827.00,926526.00,358044.00,1474673.00,919612.00,812184.00,344434.00,620152.00,202120.00
1981:Q1,4144108.00,1441423.00,944614.00,363365.00,1509028.00,935219.00,842366.00,351291.00,621863.00,205525.00
1981:Q2,4256185.00,1473296.00,966081.00,369096.00,1566302.00,976519.00,860707.00,355880.00,659168.00,213865.00
1981:Q3,4355823.00,1497330.00,980800.00,376062.00,1617642.00,1014379.00,876789.00,364062.00,696737.00,219362.00
1981:Q4,4459363.00,1521194.00,998261.00,377882.00,1658457.00,1038680.00,907658.00,372054.00,723581.00,229445.00
1982:Q1,4568131.00,1543318.00,1012723.00,383538.00,1700124.00,1067945.00,941829.00,382860.00,730787.00,202587.00
1982:Q2,4670203.00,1563187.00,1021850.00,388711.00,1746192.00,1098087.00,967057.00,393767.00,770594.00,206370.00
1982:Q3,4783279.00,1565826.00,1017038.00,391153.00,1789873.00,1124827.00,1024123.00,403457.00,787521.00,212344.00
1982:Q4,4895638.00,1593247.00,1031175.00,396718.00,1807588.00,1129933.00,1081029.00,413774.00,823425.00,224064.00
1983:Q1,5033907.00,1605035.00,1033170.00,402687.00,1858041.00,1161482.00,1146269.00,424562.00,827243.00,227417.00
1983:Q2,5190851.00,1646840.00,1057024.00,412172.00,1896473.00,1185232.00,1207253.00,440285.00,859156.00,232026.00
1983:Q3,5350734.00,1696410.00,1085787.00,425395.00,1945750.00,1217534.00,1258653.00,449921.00,889085.00,235026.00
1983:Q4,5492125.00,1754013.00,1116384.00,444878.00,1996223.00,1247242.00,1280780.00,461109.00,931135.00,228209.00
1984:Q1,5700309.00,1811953.00,1153101.00,464733.00,2071525.00,1295249.00,1344109.00,472722.00,948948.00,230889.00
1984:Q2,5902342.00,1867373.00,1182190.00,489551.00,2158678.00,1352746.00,1389644.00,486647.00,996404.00,244542.00
1984:Q3,6101869.00,1910895.00,1210049.00,507427.00,2235208.00,1400349.00,1450932.00,504834.00,1044202.00,236715.00
1984:Q4,6302340.00,1971633.00,1243294.00,526584.00,2320616.00,1457968.00,1496457.00,513634.00,1104498.00,228122.00
1985:Q1,6560512.00,2075858.00,1316829.00,551452.00,2377928.00,1489462.00,1567286.00,539440.00,1132137.00,226372.00
1985:Q2,6778030.00,2138125.00,1348447.00,571290.00,2443881.00,1529107.00,1628224.00,567800.00,1191743.00,225312.00
1985:Q3,6995871.00,2217154.00,1402267.00,592622.00,2500359.00,1572171.00,1688195.00,590163.00,1256590.00,229851.00
1985:Q4,7334597.00,2322662.00,1450249.00,610574.00,2571990.00,1638943.00,1762014.00,677931.00,1338196.00,334967.00
1986:Q1,7508328.00,2379136.00,1489804.00,624425.00,2636246.00,1683409.00,1811367.00,681579.00,1395189.00,341825.00
1986:Q2,7741173.00,2430703.00,1529839.00,641290.00,2708912.00,1736961.00,1885675.00,715883.00,1479415.00,340821.00
1986:Q3,7969224.00,2506272.00,1589114.00,657442.00,2784841.00,1797050.00,1949671.00,728439.00,1567090.00,346133.00
1986:Q4,8212565.00,2586892.00,1649024.00,666355.00,2865996.00,1865801.00,2007547.00,752130.00,1679837.00,346060.00
1987:Q1,8385478.00,2627666.00,1694524.00,662981.00,2928834.00,1909989.00,2044222.00,784756.00,1751312.00,346797.00
1987:Q2,8586747.00,2703275.00,1757670.00,674860.00,2980456.00,1949741.00,2101468.00,801548.00,1842097.00,343206.00
1987:Q3,8766786.00,2767706.00,1804085.00,688353.00,3045039.00,2000781.00,2132373.00,821668.00,1916928.00,345985.00
1987:Q4,8930589.00,2788857.00,1828608.00,698640.00,3117442.00,2059211.00,2181714.00,842576.00,1959918.00,357180.00
1988:Q1,9139373.00,2866664.00,1887603.00,713264.00,3188485.00,2109421.00,2231681.00,852543.00,1997944.00,357261.00
1988:Q2,9345441.00,2937470.00,1945778.00,725994.00,3265739.00,2163681.00,2277616.00,864616.00,2071974.00,357017.00
1988:Q3,9535703.00,3003472.00,1999188.00,735994.00,3330957.00,2204713.00,2324952.00,876322.00,2126148.00,351923.00
1988:Q4,9747858.00,3079786.00,2054832.00,745206.00,3405468.00,2263524.00,2369615.00,892989.00,2213675.00,393132.00
1989:Q1,9933953.00,3142768.00,2092082.00,773653.00,3473199.00,2317885.00,2417116.00,900870.00,2320298.00,395130.00
