1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q3,3.00,16.00,29535.00,-20.00,720.00,0.00,92.00,2356.00,0.00,-128.00,328.00,2156.00,260.00,13132.00,172.00,12823.00,0.00,-8.00,11967.00,864.00,29548.00,18647.00,10888.00
1969:Q4,3.00,17.00,29350.00,80.00,836.00,0.00,104.00,976.00,0.00,96.00,232.00,648.00,328.00,14988.00,200.00,11838.00,0.00,152.00,10926.00,760.00,29364.00,18466.00,10884.00
1970:Q1,4.00,16.00,19572.00,20.00,868.00,0.00,104.00,1012.00,0.00,-408.00,-120.00,1540.00,56.00,4548.00,108.00,12856.00,0.00,40.00,11904.00,912.00,19584.00,17300.00,2272.00
1970:Q2,4.00,16.00,18776.00,-444.00,880.00,0.00,112.00,472.00,0.00,-388.00,328.00,532.00,-68.00,3700.00,804.00,13320.00,0.00,-640.00,12348.00,1612.00,18788.00,16392.00,2384.00
1970:Q3,4.00,16.00,17840.00,440.00,932.00,0.00,112.00,3688.00,0.00,672.00,1024.00,1992.00,-80.00,4140.00,-216.00,8824.00,0.00,680.00,7816.00,328.00,17852.00,15376.00,2464.00
1970:Q4,4.00,16.00,17152.00,312.00,864.00,0.00,116.00,3096.00,0.00,-112.00,-48.00,3256.00,-88.00,5876.00,8.00,6968.00,0.00,512.00,5904.00,552.00,17164.00,14332.00,2820.00
1971:Q1,6.00,19.00,15483.00,372.00,1008.00,0.00,124.00,-2800.00,0.00,540.00,-580.00,-2760.00,-364.00,7644.00,-104.00,9603.00,0.00,584.00,8507.00,512.00,15496.00,13335.00,2148.00
1971:Q2,6.00,19.00,15927.00,24.00,792.00,0.00,124.00,-3288.00,0.00,-1032.00,-664.00,-1592.00,-664.00,9440.00,328.00,9171.00,0.00,100.00,8039.00,1032.00,15940.00,13299.00,2628.00
1971:Q3,6.00,19.00,17099.00,148.00,1072.00,0.00,136.00,-1696.00,0.00,172.00,-12.00,-1856.00,-584.00,9820.00,420.00,7783.00,0.00,272.00,6591.00,920.00,17112.00,13915.00,3184.00
1971:Q4,6.00,19.00,18771.00,252.00,948.00,0.00,140.00,3280.00,0.00,324.00,64.00,2892.00,-440.00,8764.00,140.00,5687.00,0.00,408.00,4399.00,880.00,18784.00,14935.00,3836.00
1972:Q1,6.00,22.00,23236.00,432.00,972.00,0.00,612.00,3408.00,1232.00,1660.00,1008.00,-492.00,-1304.00,11588.00,200.00,7328.00,0.00,604.00,1844.00,4880.00,23252.00,15928.00,7308.00
1972:Q2,6.00,23.00,27391.00,232.00,1232.00,0.00,932.00,6524.00,1944.00,-356.00,1396.00,3540.00,-796.00,13772.00,408.00,5087.00,0.00,304.00,-3301.00,8084.00,27408.00,16807.00,10584.00
1972:Q3,6.00,23.00,28583.00,424.00,1336.00,0.00,964.00,9868.00,2112.00,688.00,2136.00,4932.00,-1072.00,13168.00,392.00,3503.00,0.00,444.00,-5185.00,8244.00,28600.00,17239.00,11344.00
1972:Q4,6.00,24.00,25198.00,852.00,1424.00,0.00,728.00,6092.00,1732.00,3032.00,1348.00,-20.00,-548.00,9772.00,40.00,6838.00,0.00,740.00,318.00,5780.00,25216.00,16878.00,8320.00
1973:Q1,7.00,23.00,23456.00,396.00,1520.00,0.00,520.00,8672.00,1396.00,1376.00,2080.00,3820.00,-856.00,6716.00,976.00,5512.00,0.00,-108.00,820.00,4800.00,23472.00,16056.00,7400.00
1973:Q2,7.00,24.00,21175.00,508.00,1364.00,0.00,352.00,4952.00,1112.00,1144.00,760.00,1936.00,-300.00,4000.00,828.00,9471.00,0.00,-244.00,6291.00,3424.00,21192.00,16191.00,4984.00
1973:Q3,7.00,25.00,22066.00,1296.00,1792.00,0.00,316.00,8440.00,1180.00,2800.00,720.00,3740.00,-312.00,2716.00,-316.00,8134.00,0.00,768.00,5294.00,2072.00,22084.00,17218.00,4848.00
1973:Q4,7.00,25.00,24062.00,460.00,1388.00,0.00,412.00,4196.00,1608.00,2672.00,896.00,-980.00,60.00,2848.00,952.00,13746.00,0.00,-516.00,10078.00,4184.00,24080.00,18874.00,5188.00
1974:Q1,7.00,16.00,25227.00,596.00,1668.00,0.00,460.00,4904.00,1900.00,2920.00,240.00,-156.00,68.00,2016.00,536.00,14979.00,0.00,376.00,10819.00,3784.00,25236.00,20159.00,5068.00
1974:Q2,8.00,16.00,26812.00,944.00,1716.00,0.00,480.00,6132.00,2060.00,3212.00,48.00,812.00,-64.00,188.00,748.00,16668.00,0.00,-292.00,12376.00,4584.00,26820.00,21408.00,5404.00
1974:Q3,8.00,16.00,29012.00,1012.00,1832.00,0.00,516.00,12076.00,2404.00,5292.00,988.00,3392.00,-36.00,868.00,2004.00,10740.00,0.00,-1036.00,6068.00,5708.00,29020.00,21328.00,7684.00
1974:Q4,8.00,17.00,27775.00,1092.00,2504.00,0.00,588.00,12460.00,2932.00,1296.00,3176.00,5056.00,16.00,4052.00,-124.00,7187.00,0.00,844.00,1915.00,4428.00,27784.00,19723.00,8052.00
1975:Q1,9.00,13.00,27836.00,1040.00,2152.00,0.00,680.00,17848.00,3704.00,4256.00,1472.00,8416.00,148.00,7368.00,-428.00,-972.00,0.00,1460.00,-7084.00,4652.00,27840.00,17412.00,10424.00
1975:Q2,10.00,12.00,30862.00,1156.00,2624.00,0.00,1456.00,15316.00,4716.00,3572.00,908.00,6120.00,-124.00,7768.00,-96.00,2762.00,0.00,1604.00,-10350.00,11508.00,30864.00,16350.00,14512.00
1975:Q3,10.00,13.00,34353.00,1072.00,2724.00,0.00,1868.00,15540.00,3756.00,5520.00,324.00,5940.00,-48.00,7248.00,2276.00,3673.00,0.00,-20.00,-13127.00,16820.00,34356.00,16809.00,17544.00
1975:Q4,10.00,13.00,31377.00,868.00,2488.00,0.00,1216.00,13548.00,2476.00,2000.00,1940.00,7132.00,68.00,7808.00,360.00,5021.00,0.00,936.00,-5935.00,10020.00,31380.00,18673.00,12704.00
1976:Q1,9.00,10.00,28107.00,868.00,2564.00,0.00,156.00,12244.00,3304.00,4868.00,1940.00,2132.00,0.00,8808.00,360.00,3107.00,0.00,1200.00,1719.00,188.00,28108.00,20923.00,7184.00
1976:Q2,9.00,10.00,23719.00,348.00,2204.00,0.00,-980.00,11996.00,2192.00,6392.00,1500.00,1912.00,0.00,6696.00,-228.00,3683.00,0.00,76.00,12479.00,-8872.00,23720.00,22947.00,772.00
1976:Q3,10.00,11.00,31919.00,-340.00,1800.00,0.00,984.00,640.00,1264.00,4640.00,764.00,-6028.00,-40.00,4904.00,772.00,23199.00,0.00,192.00,14347.00,8660.00,31920.00,23879.00,8040.00
1976:Q4,10.00,11.00,33535.00,-436.00,2172.00,0.00,1400.00,1148.00,784.00,6816.00,-1768.00,-4684.00,164.00,4732.00,1128.00,23227.00,0.00,392.00,10643.00,12192.00,33536.00,23179.00,10356.00
1977:Q1,10.00,12.00,38014.00,-44.00,2644.00,0.00,2332.00,3484.00,744.00,-808.00,4056.00,-508.00,24.00,6168.00,488.00,22918.00,0.00,40.00,1954.00,20924.00,38016.00,21606.00,16408.00
1977:Q2,10.00,12.00,28734.00,272.00,2936.00,92.00,64.00,15544.00,536.00,8336.00,2164.00,4508.00,476.00,7724.00,1380.00,246.00,0.00,576.00,-358.00,28.00,28736.00,21402.00,7332.00
1977:Q3,11.00,13.00,38242.00,508.00,3148.00,120.00,1872.00,5852.00,148.00,492.00,3920.00,1292.00,-212.00,9340.00,-800.00,18414.00,0.00,256.00,1570.00,16588.00,38244.00,22770.00,15472.00
1977:Q4,11.00,13.00,30778.00,564.00,3292.00,164.00,-344.00,16436.00,20.00,4912.00,-436.00,11940.00,44.00,9012.00,220.00,1390.00,0.00,444.00,4498.00,-3552.00,30780.00,25146.00,5632.00
