1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,2268.00,2500.00,15488.00,-12988.00,0.00,-232.00,-412.00,0.00,0.00,180.00,0.00,2268.00,-4120.00,-412.00,-3708.00,4572.00,0.00,836.00,0.00,836.00,1580.00,4080.00,-2500.00,1652.00,40.00,16.00,12.00,8.00,0.00,8.00,-1116.00,0.00,-1116.00,-264.00,-200.00,-64.00,180.00,180.00,0.00,60.00,0.00,0.00,0.00,44.00,0.00,44.00,20.00,0.00,-124.00,0.00,516.00,0.00,-1644.00,0.00,-1644.00
1957:Q1,5104.00,6872.00,1972.00,4900.00,0.00,-1768.00,-2332.00,0.00,0.00,364.00,200.00,5104.00,1628.00,-2332.00,3960.00,-2208.00,0.00,116.00,0.00,116.00,-2752.00,-3948.00,1196.00,8968.00,-136.00,12.00,16.00,-508.00,0.00,-508.00,-308.00,0.00,-308.00,-296.00,-220.00,-76.00,364.00,364.00,0.00,468.00,0.00,0.00,0.00,16.00,0.00,16.00,24.00,0.00,464.00,0.00,-520.00,0.00,-244.00,0.00,-244.00
1957:Q2,-16572.00,-14772.00,-3208.00,-11564.00,0.00,-1800.00,-1848.00,0.00,0.00,48.00,0.00,-16572.00,9844.00,-1848.00,11692.00,-7756.00,0.00,-44.00,0.00,-44.00,-1464.00,-184.00,-1280.00,-15604.00,68.00,8.00,16.00,-428.00,0.00,-428.00,-520.00,0.00,-520.00,-292.00,-220.00,-72.00,48.00,48.00,0.00,212.00,0.00,0.00,0.00,48.00,0.00,48.00,24.00,0.00,-292.00,0.00,-104.00,0.00,-336.00,0.00,-336.00
1957:Q3,9228.00,10408.00,71100.00,-60692.00,0.00,-1180.00,-1952.00,0.00,0.00,772.00,0.00,9228.00,-2972.00,-1952.00,-1020.00,2184.00,0.00,-556.00,0.00,-556.00,224.00,35560.00,-35336.00,11232.00,-48.00,8.00,16.00,56.00,0.00,56.00,-236.00,0.00,-236.00,-276.00,-208.00,-68.00,772.00,772.00,0.00,132.00,0.00,0.00,0.00,-4.00,0.00,-4.00,24.00,0.00,-528.00,0.00,544.00,0.00,-1344.00,0.00,-1344.00
1957:Q4,-6632.00,-5684.00,-1028.00,-4656.00,0.00,-948.00,-1504.00,0.00,0.00,556.00,0.00,-6632.00,-3372.00,-1504.00,-1868.00,3264.00,0.00,-828.00,0.00,-828.00,428.00,1628.00,-1200.00,-7364.00,-8.00,12.00,12.00,172.00,0.00,172.00,-1040.00,0.00,-1040.00,-296.00,-220.00,-76.00,556.00,556.00,0.00,-356.00,0.00,0.00,0.00,-56.00,0.00,-56.00,28.00,0.00,24.00,0.00,904.00,0.00,1288.00,0.00,1288.00
1958:Q1,5128.00,3812.00,-27644.00,31456.00,0.00,1316.00,-320.00,0.00,0.00,1036.00,600.00,5128.00,-3652.00,-320.00,-3332.00,-4780.00,0.00,-1336.00,0.00,-1336.00,2572.00,-316.00,2888.00,12484.00,-56.00,20.00,16.00,-928.00,0.00,-928.00,232.00,0.00,232.00,-200.00,-152.00,-48.00,1036.00,1036.00,0.00,184.00,0.00,0.00,0.00,148.00,0.00,148.00,28.00,0.00,2396.00,0.00,-468.00,0.00,-2568.00,0.00,-2568.00
1958:Q2,19588.00,20144.00,3304.00,16840.00,0.00,-556.00,-484.00,0.00,0.00,68.00,-140.00,19588.00,11224.00,-484.00,11708.00,-8216.00,0.00,276.00,0.00,276.00,6420.00,7240.00,-820.00,10428.00,112.00,28.00,16.00,-352.00,0.00,-352.00,-48.00,0.00,-48.00,84.00,64.00,20.00,68.00,68.00,0.00,-616.00,0.00,0.00,0.00,348.00,0.00,348.00,28.00,0.00,-444.00,0.00,2140.00,0.00,-1908.00,0.00,-1908.00
1958:Q3,-4656.00,-5860.00,23440.00,-29300.00,0.00,1204.00,-656.00,0.00,0.00,1860.00,0.00,-4656.00,-17088.00,-656.00,-16432.00,3340.00,0.00,304.00,0.00,304.00,-2240.00,-628.00,-1612.00,7872.00,-76.00,24.00,16.00,420.00,0.00,420.00,880.00,0.00,880.00,-4.00,-4.00,0.00,1860.00,1860.00,0.00,40.00,0.00,0.00,0.00,-180.00,0.00,-180.00,32.00,0.00,-536.00,0.00,-2672.00,0.00,3352.00,0.00,3352.00
1958:Q4,19056.00,18916.00,19704.00,-788.00,0.00,140.00,-632.00,0.00,0.00,772.00,0.00,19056.00,-1960.00,-632.00,-1328.00,11668.00,0.00,624.00,0.00,624.00,3380.00,-6368.00,9748.00,1480.00,112.00,4.00,12.00,696.00,0.00,696.00,-448.00,0.00,-448.00,80.00,60.00,20.00,772.00,772.00,0.00,244.00,0.00,0.00,0.00,180.00,0.00,180.00,28.00,0.00,-980.00,0.00,1620.00,0.00,1544.00,0.00,1544.00
1959:Q1,10312.00,10268.00,2048.00,8220.00,0.00,44.00,-944.00,0.00,0.00,988.00,0.00,10312.00,3144.00,-944.00,4088.00,4752.00,0.00,884.00,0.00,884.00,1340.00,-3016.00,4356.00,-3308.00,12.00,-4.00,12.00,-316.00,0.00,-316.00,116.00,0.00,116.00,100.00,76.00,24.00,988.00,988.00,0.00,324.00,0.00,0.00,0.00,124.00,0.00,124.00,80.00,0.00,820.00,0.00,-784.00,0.00,2028.00,0.00,2028.00
1959:Q2,8740.00,10448.00,-3056.00,13504.00,0.00,-1708.00,-1728.00,0.00,0.00,20.00,0.00,8740.00,7772.00,-1728.00,9500.00,3296.00,0.00,1268.00,0.00,1268.00,320.00,2112.00,-1792.00,-10952.00,20.00,-24.00,8.00,-16.00,0.00,-16.00,64.00,0.00,64.00,188.00,140.00,48.00,20.00,20.00,0.00,96.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,-516.00,0.00,-532.00,0.00,7648.00,0.00,7648.00
1959:Q3,10192.00,10480.00,-33556.00,44036.00,0.00,-288.00,-2196.00,0.00,0.00,1908.00,0.00,10192.00,-2644.00,-2196.00,-448.00,8828.00,0.00,840.00,0.00,840.00,2100.00,-30420.00,32520.00,-7904.00,20.00,-24.00,8.00,480.00,0.00,480.00,-180.00,0.00,-180.00,256.00,192.00,64.00,1908.00,1908.00,0.00,896.00,0.00,0.00,0.00,340.00,0.00,340.00,84.00,0.00,-44.00,0.00,504.00,0.00,4724.00,0.00,4724.00
1959:Q4,3316.00,5012.00,7364.00,-2352.00,0.00,-1696.00,-2316.00,0.00,0.00,620.00,0.00,3316.00,3760.00,-2316.00,6076.00,5240.00,0.00,1868.00,0.00,1868.00,-2344.00,176.00,-2520.00,-9140.00,12.00,-24.00,12.00,600.00,0.00,600.00,-1260.00,0.00,-1260.00,128.00,96.00,32.00,620.00,620.00,0.00,448.00,0.00,0.00,0.00,156.00,0.00,156.00,92.00,0.00,140.00,0.00,108.00,0.00,2900.00,0.00,2900.00
1960:Q1,-4876.00,-5116.00,-27684.00,22568.00,0.00,240.00,-684.00,0.00,0.00,924.00,0.00,-4876.00,12116.00,-684.00,12800.00,-6540.00,0.00,1432.00,0.00,1432.00,-1472.00,-13372.00,11900.00,-11424.00,-12.00,8.00,8.00,-376.00,0.00,-376.00,-160.00,0.00,-160.00,-328.00,-244.00,-84.00,924.00,924.00,0.00,804.00,0.00,0.00,0.00,196.00,0.00,196.00,104.00,0.00,816.00,0.00,-1080.00,0.00,108.00,0.00,108.00
1960:Q2,-2692.00,-2740.00,-5304.00,2564.00,0.00,48.00,-500.00,0.00,0.00,972.00,-424.00,-2692.00,3728.00,-500.00,4228.00,-6956.00,0.00,1244.00,0.00,1244.00,2436.00,4832.00,-2396.00,-2172.00,-16.00,24.00,8.00,-380.00,0.00,-380.00,-1016.00,0.00,-1016.00,-320.00,-240.00,-80.00,972.00,972.00,0.00,244.00,0.00,0.00,0.00,40.00,0.00,40.00,128.00,0.00,-476.00,0.00,184.00,0.00,-364.00,0.00,-364.00
1960:Q3,1832.00,940.00,43468.00,-42528.00,0.00,892.00,-128.00,0.00,0.00,1056.00,-36.00,1832.00,-8724.00,-128.00,-8596.00,-7204.00,0.00,1056.00,0.00,1056.00,1160.00,23344.00,-22184.00,12748.00,-16.00,28.00,8.00,8.00,0.00,8.00,12.00,0.00,12.00,-196.00,-148.00,-48.00,1056.00,1056.00,0.00,-284.00,0.00,0.00,0.00,-28.00,0.00,-28.00,120.00,0.00,52.00,0.00,1504.00,0.00,532.00,0.00,532.00
