1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,662127.00,21890.00,0.00,4910.00,0.00,24010.00,4834.00,1085.00,0.00,827.00,215729.00,831.00,128663.00,2827.00,24140.00,59268.00,213019.00,48540.00,13906.00,115701.00,34872.00,29066.00,0.00,1291.00,0.00,765.00,144701.00,619060.00,23660.00,147602.00,122702.00,0.00,44.00,10905.00,2849.00,3597.00,4459.00,11015.00,8544.00,2471.00,0.00,9046.00,230.00,66626.00,191968.00,1452.00,1374.00,32436.00,52620.00,0.00
1957:Q1,669106.00,22276.00,0.00,4929.00,0.00,22659.00,4604.00,1117.00,0.00,1527.00,215969.00,815.00,126924.00,3112.00,24504.00,60614.00,215295.00,48116.00,14332.00,117904.00,34943.00,28582.00,0.00,1330.00,0.00,788.00,150030.00,626716.00,21840.00,143972.00,126232.00,0.00,936.00,12335.00,3440.00,4002.00,4893.00,9717.00,7730.00,1987.00,0.00,9106.00,240.00,67324.00,199016.00,1352.00,1385.00,33261.00,52767.00,0.00
1957:Q2,683579.00,22590.00,0.00,4951.00,0.00,23431.00,4712.00,1149.00,0.00,1368.00,214581.00,776.00,123501.00,2937.00,25147.00,62220.00,221952.00,50490.00,14898.00,120299.00,36265.00,31190.00,0.00,1370.00,0.00,814.00,155471.00,639791.00,22582.00,143043.00,129781.00,0.00,658.00,12914.00,3195.00,4612.00,5107.00,9847.00,7951.00,1896.00,0.00,9687.00,240.00,67969.00,206575.00,1161.00,1392.00,33942.00,52954.00,0.00
1957:Q3,697314.00,22612.00,0.00,4970.00,0.00,23395.00,4748.00,1183.00,0.00,1322.00,219913.00,820.00,126693.00,2902.00,25642.00,63856.00,225417.00,50151.00,15127.00,123007.00,37132.00,29693.00,0.00,1410.00,0.00,840.00,161811.00,653486.00,23045.00,144728.00,131736.00,0.00,695.00,13818.00,3481.00,4805.00,5532.00,10076.00,8006.00,2070.00,0.00,9001.00,240.00,68606.00,214010.00,1410.00,1399.00,34722.00,53190.00,0.00
1957:Q4,711201.00,22752.00,0.00,4990.00,0.00,23843.00,4953.00,1216.00,0.00,1132.00,223692.00,962.00,126779.00,3685.00,26449.00,65817.00,229038.00,50713.00,15442.00,125438.00,37445.00,29050.00,0.00,1451.00,0.00,870.00,168214.00,666965.00,22704.00,147124.00,135000.00,0.00,30.00,14361.00,3644.00,5021.00,5696.00,10576.00,8336.00,2240.00,0.00,8714.00,250.00,69277.00,221333.00,1635.00,1359.00,34602.00,53395.00,0.00
1958:Q1,719582.00,22355.00,0.00,5026.00,0.00,22138.00,4842.00,1253.00,0.00,1643.00,228796.00,1360.00,127960.00,4520.00,27564.00,67392.00,228641.00,48684.00,15778.00,127542.00,36637.00,30537.00,0.00,1490.00,0.00,893.00,171968.00,674644.00,20136.00,143407.00,140684.00,0.00,597.00,15315.00,4436.00,4903.00,5976.00,10009.00,8355.00,1654.00,0.00,9463.00,250.00,69991.00,226766.00,1762.00,1362.00,34902.00,53612.00,0.00
1958:Q2,740021.00,21309.00,0.00,5047.00,0.00,22509.00,4944.00,1290.00,0.00,1512.00,237809.00,1473.00,133671.00,4004.00,29268.00,69393.00,233688.00,50145.00,16277.00,130214.00,37052.00,33280.00,0.00,1527.00,0.00,916.00,176190.00,693876.00,20285.00,147865.00,146137.00,0.00,598.00,14758.00,4082.00,4802.00,5874.00,11633.00,9659.00,1974.00,0.00,10610.00,250.00,70755.00,232144.00,1442.00,1363.00,36036.00,53829.00,0.00
1958:Q3,749409.00,20782.00,0.00,5063.00,0.00,22527.00,4961.00,1328.00,0.00,1465.00,241058.00,1417.00,135170.00,4318.00,30017.00,70136.00,235424.00,48511.00,15966.00,133782.00,37165.00,36288.00,0.00,1563.00,0.00,940.00,178010.00,701874.00,21209.00,145579.00,148605.00,0.00,928.00,14343.00,3778.00,5023.00,5542.00,10006.00,7861.00,2145.00,0.00,11791.00,260.00,71533.00,237630.00,1588.00,1364.00,37038.00,54089.00,0.00
1958:Q4,770923.00,20499.00,0.00,5078.00,0.00,23095.00,5194.00,1366.00,0.00,643.00,246657.00,1183.00,138852.00,4680.00,30508.00,71434.00,244087.00,51916.00,16975.00,137629.00,37567.00,40345.00,0.00,1599.00,0.00,966.00,181394.00,721969.00,21502.00,152969.00,151862.00,0.00,32.00,14064.00,3395.00,5115.00,5554.00,11606.00,9092.00,2514.00,0.00,13242.00,260.00,72294.00,243343.00,1698.00,1480.00,37617.00,54286.00,0.00
1959:Q1,776150.00,20408.00,0.00,5090.00,0.00,22602.00,5067.00,1417.00,0.00,1484.00,244495.00,1323.00,135516.00,4369.00,31234.00,72053.00,247454.00,50969.00,17548.00,140826.00,38111.00,41566.00,0.00,1639.00,0.00,992.00,183936.00,726889.00,21356.00,147117.00,154402.00,0.00,1120.00,14744.00,3792.00,5236.00,5716.00,11275.00,8831.00,2444.00,0.00,14132.00,270.00,73063.00,247721.00,1544.00,1480.00,38665.00,54528.00,0.00
