1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,50505.00,17329.00,0.00,5253.00,755.00,106.00,106.00,0.00,310.00,26423.00,35.00,26388.00,7725.00,18663.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,8.00,0.00,321.00,0.00,321.00,49605.00,15992.00,3630.00,29398.00,926.00,437.00,489.00,0.00,282.00,0.00,28190.00,0.00,0.00,0.00,585.00,423.00,162.00
1961:Q2,51588.00,17440.00,0.00,5281.00,1171.00,35.00,35.00,0.00,260.00,27029.00,26.00,27003.00,9351.00,17652.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,371.00,0.00,371.00,50677.00,16716.00,2903.00,30550.00,787.00,379.00,408.00,0.00,256.00,0.00,29507.00,0.00,0.00,0.00,508.00,425.00,83.00
1961:Q3,51565.00,17307.00,0.00,5406.00,1300.00,82.00,82.00,0.00,210.00,26904.00,23.00,26881.00,4591.00,22290.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,354.00,0.00,354.00,50649.00,16310.00,3870.00,30060.00,901.00,416.00,485.00,0.00,369.00,0.00,28790.00,0.00,0.00,0.00,409.00,432.00,-23.00
1961:Q4,53981.00,16842.00,0.00,5429.00,2300.00,115.00,115.00,0.00,162.00,28770.00,48.00,28722.00,4863.00,23859.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,15.00,0.00,348.00,0.00,348.00,53093.00,17387.00,3689.00,31412.00,887.00,422.00,465.00,0.00,294.00,0.00,30231.00,0.00,0.00,0.00,605.00,445.00,160.00
1962:Q1,52427.00,16643.00,0.00,5432.00,918.00,170.00,170.00,0.00,220.00,28600.00,21.00,28579.00,7957.00,20622.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,65.00,0.00,379.00,0.00,379.00,51454.00,16786.00,3900.00,30221.00,899.00,437.00,462.00,0.00,262.00,0.00,29060.00,0.00,0.00,0.00,547.00,453.00,94.00
1962:Q2,53893.00,16825.00,0.00,5442.00,1462.00,43.00,43.00,0.00,270.00,29453.00,40.00,29413.00,8446.00,20967.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,33.00,0.00,365.00,0.00,365.00,52912.00,17206.00,3185.00,31929.00,991.00,379.00,612.00,0.00,353.00,0.00,30585.00,0.00,0.00,0.00,592.00,458.00,134.00
1962:Q3,53714.00,16372.00,0.00,5394.00,1641.00,762.00,762.00,0.00,320.00,28816.00,14.00,28802.00,11911.00,16891.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,11.00,0.00,398.00,0.00,398.00,52726.00,17105.00,4270.00,30769.00,916.00,405.00,511.00,0.00,273.00,0.00,29580.00,0.00,0.00,0.00,582.00,462.00,120.00
1962:Q4,55704.00,16011.00,0.00,5411.00,2903.00,37.00,37.00,0.00,400.00,30530.00,52.00,30478.00,15624.00,14854.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,411.00,0.00,411.00,54770.00,17454.00,4519.00,32090.00,977.00,380.00,597.00,0.00,292.00,0.00,30821.00,0.00,0.00,0.00,707.00,467.00,240.00
1963:Q1,53872.00,15923.00,0.00,5422.00,1223.00,194.00,194.00,0.00,320.00,30366.00,29.00,30337.00,16046.00,14291.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,30.00,0.00,394.00,0.00,394.00,52845.00,16410.00,4210.00,31740.00,1291.00,440.00,851.00,0.00,219.00,0.00,30230.00,0.00,0.00,0.00,485.00,478.00,7.00
1963:Q2,55364.00,15753.00,0.00,5431.00,1638.00,96.00,96.00,0.00,220.00,31850.00,23.00,31827.00,17786.00,14041.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,376.00,0.00,376.00,54330.00,16965.00,3483.00,33381.00,1175.00,369.00,806.00,0.00,219.00,0.00,31987.00,0.00,0.00,0.00,501.00,481.00,20.00
1963:Q3,55498.00,15601.00,0.00,5432.00,1435.00,465.00,465.00,0.00,120.00,32023.00,16.00,32007.00,14032.00,17975.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,30.00,0.00,392.00,0.00,392.00,54449.00,16621.00,4550.00,32798.00,1328.00,388.00,940.00,0.00,180.00,0.00,31290.00,0.00,0.00,0.00,480.00,487.00,-7.00
1963:Q4,57805.00,15614.00,0.00,5422.00,2600.00,31.00,31.00,0.00,103.00,33652.00,70.00,33582.00,11207.00,22375.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,32.00,0.00,351.00,0.00,351.00,56815.00,17049.00,4259.00,34890.00,1241.00,361.00,880.00,0.00,216.00,0.00,33433.00,0.00,0.00,0.00,617.00,497.00,120.00
1964:Q1,56636.00,15721.00,0.00,5423.00,1497.00,55.00,55.00,0.00,280.00,33223.00,40.00,33183.00,7413.00,25770.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,437.00,0.00,437.00,55530.00,16611.00,4500.00,33905.00,1516.00,415.00,1101.00,0.00,174.00,0.00,32215.00,0.00,0.00,0.00,514.00,508.00,6.00
