date,FU893065105.Q,FU153165105.Q,FU103165105.Q,FU113165105.Q,FU893065105.Q,FU153065103.Q,FU103065105.Q,FU113065103.Q,FU313065105.Q,FU213065103.Q,FU763065105.Q,FU753065103.Q,FU743065103.Q,FU473065100.Q,FU543065105.Q,FU573065103.Q,FU223065143.Q,FU403065105.Q,FU413065105.Q,FU673065105.Q,FU613065105.Q,FU643065105.Q,FV893065153.Q,FU893065125.Q,FU763065125.Q,FU753065203.Q,FU473065125.Q,FU673065123.Q,FU613065123.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,3576.00,3576.00,0.00,0.00,3576.00,215.00,0.00,0.00,42.00,46.00,2702.00,0.00,5.00,89.00,76.00,27.00,59.00,84.00,0.00,0.00,231.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1961:Q4,3848.00,3848.00,0.00,0.00,3848.00,128.00,0.00,0.00,70.00,37.00,2573.00,0.00,7.00,68.00,363.00,30.00,53.00,266.00,0.00,0.00,253.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q1,2461.00,2461.00,0.00,0.00,2461.00,435.00,0.00,0.00,58.00,31.00,1666.00,0.00,10.00,51.00,49.00,32.00,47.00,150.00,0.00,0.00,-68.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q2,3749.00,3749.00,0.00,0.00,3749.00,243.00,0.00,0.00,-30.00,25.00,3254.00,0.00,13.00,-39.00,141.00,35.00,44.00,-157.00,0.00,0.00,220.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q3,4108.00,4108.00,0.00,0.00,4108.00,256.00,0.00,0.00,-13.00,20.00,3395.00,0.00,13.00,63.00,93.00,36.00,42.00,-23.00,0.00,0.00,226.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q4,3962.00,3962.00,0.00,0.00,3962.00,392.00,0.00,0.00,33.00,16.00,3049.00,0.00,11.00,69.00,315.00,35.00,42.00,-5.00,0.00,0.00,5.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1963:Q1,3045.00,3045.00,0.00,0.00,3045.00,314.00,0.00,0.00,-43.00,12.00,2734.00,0.00,10.00,100.00,164.00,35.00,45.00,-318.00,0.00,0.00,-8.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1963:Q2,4449.00,4449.00,0.00,0.00,4449.00,545.00,0.00,0.00,-330.00,6.00,4116.00,0.00,9.00,-6.00,169.00,35.00,46.00,-390.00,0.00,0.00,249.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1963:Q3,4861.00,4861.00,0.00,0.00,4861.00,167.00,0.00,0.00,-45.00,3.00,4115.00,0.00,8.00,74.00,195.00,37.00,48.00,-57.00,0.00,0.00,316.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1963:Q4,4444.00,4444.00,0.00,0.00,4444.00,186.00,0.00,0.00,46.00,4.00,3461.00,0.00,9.00,87.00,429.00,44.00,50.00,-30.00,0.00,0.00,158.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q1,3670.00,3670.00,0.00,0.00,3670.00,505.00,0.00,0.00,-27.00,5.00,2921.00,0.00,10.00,4.00,243.00,61.00,54.00,-17.00,0.00,0.00,-89.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q2,4592.00,4592.00,0.00,0.00,4592.00,265.00,0.00,0.00,-100.00,4.00,3868.00,0.00,11.00,-58.00,236.00,66.00,54.00,-13.00,0.00,0.00,259.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q3,4708.00,4708.00,0.00,0.00,4708.00,428.00,0.00,0.00,7.00,3.00,3765.00,0.00,12.00,57.00,228.00,59.00,57.00,-38.00,0.00,0.00,130.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q4,4259.00,4259.00,0.00,0.00,4259.00,458.00,0.00,0.00,19.00,3.00,3160.00,0.00,13.00,-35.00,487.00,58.00,65.00,14.00,0.00,0.00,17.00,0.00,0.00,ND,ND,ND,ND,ND,ND
