1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,240.00,0.00,0.00,240.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,0.00,0.00,240.00
1961:Q2,202.00,0.00,0.00,202.00,202.00,0.00,0.00,0.00,0.00,0.00,0.00,202.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202.00,0.00,0.00,202.00
1961:Q3,256.00,0.00,0.00,256.00,256.00,0.00,0.00,0.00,0.00,0.00,0.00,256.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256.00,0.00,0.00,256.00
1961:Q4,174.00,0.00,0.00,174.00,174.00,0.00,0.00,0.00,0.00,0.00,0.00,174.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.00,0.00,0.00,174.00
1962:Q1,316.00,0.00,0.00,316.00,316.00,0.00,0.00,0.00,0.00,0.00,0.00,316.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,316.00,0.00,0.00,316.00
1962:Q2,254.00,0.00,0.00,254.00,254.00,0.00,0.00,0.00,0.00,0.00,0.00,254.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254.00,0.00,0.00,254.00
1962:Q3,272.00,0.00,0.00,272.00,272.00,0.00,0.00,0.00,0.00,0.00,0.00,272.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272.00,0.00,0.00,272.00
1962:Q4,289.00,0.00,0.00,289.00,289.00,0.00,0.00,0.00,0.00,0.00,0.00,289.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,289.00,0.00,0.00,289.00
1963:Q1,315.00,0.00,0.00,315.00,315.00,0.00,0.00,0.00,0.00,0.00,0.00,315.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.00,0.00,0.00,315.00
1963:Q2,288.00,0.00,0.00,288.00,288.00,0.00,0.00,0.00,0.00,0.00,0.00,288.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288.00,0.00,0.00,288.00
1963:Q3,286.00,0.00,0.00,286.00,286.00,0.00,0.00,0.00,0.00,0.00,0.00,286.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286.00,0.00,0.00,286.00
1963:Q4,306.00,0.00,0.00,306.00,306.00,0.00,0.00,0.00,0.00,0.00,0.00,306.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,306.00,0.00,0.00,306.00
1964:Q1,290.00,0.00,0.00,290.00,290.00,0.00,0.00,0.00,0.00,0.00,0.00,290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.00,0.00,0.00,290.00
1964:Q2,334.00,0.00,0.00,334.00,334.00,0.00,0.00,0.00,0.00,0.00,0.00,334.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,334.00,0.00,0.00,334.00
1964:Q3,262.00,0.00,0.00,262.00,262.00,0.00,0.00,0.00,0.00,0.00,0.00,262.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262.00,0.00,0.00,262.00
1964:Q4,281.00,0.00,0.00,281.00,281.00,0.00,0.00,0.00,0.00,0.00,0.00,281.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.00,0.00,0.00,281.00
1965:Q1,386.00,0.00,0.00,386.00,386.00,0.00,0.00,0.00,0.00,0.00,0.00,386.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,386.00,0.00,0.00,386.00
