1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,613.00,0.00,0.00,0.00,0.00,0.00,0.00,212.00,212.00,208.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,401.00,315.00,86.00,0.00,0.00,0.00,613.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,608.00,315.00,315.00,293.00,0.00,86.00,208.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,-396.00,-103.00,-293.00,401.00,0.00
1957:Q1,739.00,0.00,0.00,0.00,0.00,0.00,0.00,326.00,326.00,320.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,413.00,325.00,88.00,0.00,0.00,0.00,739.00,6.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,733.00,325.00,325.00,408.00,0.00,88.00,320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,-407.00,1.00,-408.00,413.00,0.00
1957:Q2,787.00,0.00,0.00,0.00,0.00,0.00,0.00,309.00,309.00,303.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,478.00,389.00,89.00,0.00,0.00,0.00,787.00,6.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,781.00,389.00,389.00,392.00,0.00,89.00,303.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,-472.00,-80.00,-392.00,478.00,0.00
1957:Q3,800.00,0.00,0.00,0.00,0.00,0.00,0.00,330.00,330.00,324.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,470.00,380.00,90.00,0.00,0.00,0.00,800.00,6.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,794.00,380.00,380.00,414.00,0.00,90.00,324.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,-464.00,-50.00,-414.00,470.00,0.00
1957:Q4,774.00,0.00,0.00,0.00,0.00,0.00,0.00,347.00,347.00,341.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,427.00,336.00,91.00,0.00,0.00,0.00,774.00,6.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,768.00,336.00,336.00,432.00,0.00,91.00,341.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,-421.00,11.00,-432.00,427.00,0.00
1958:Q1,939.00,0.00,0.00,0.00,0.00,0.00,0.00,501.00,501.00,494.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,438.00,346.00,92.00,0.00,0.00,0.00,939.00,7.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00,932.00,346.00,346.00,586.00,0.00,92.00,494.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,-431.00,155.00,-586.00,438.00,0.00
1958:Q2,998.00,0.00,0.00,0.00,0.00,0.00,0.00,575.00,575.00,568.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,423.00,331.00,92.00,0.00,0.00,0.00,998.00,7.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00,991.00,331.00,331.00,660.00,0.00,92.00,568.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,-416.00,244.00,-660.00,423.00,0.00
1958:Q3,968.00,0.00,0.00,0.00,0.00,0.00,0.00,555.00,555.00,548.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,413.00,321.00,92.00,0.00,0.00,0.00,968.00,7.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00,961.00,321.00,321.00,640.00,0.00,92.00,548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,-406.00,234.00,-640.00,413.00,0.00
1958:Q4,1122.00,0.00,0.00,0.00,0.00,0.00,0.00,701.00,701.00,694.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,421.00,331.00,90.00,0.00,0.00,0.00,1122.00,7.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00,1115.00,331.00,331.00,784.00,0.00,90.00,694.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,-414.00,370.00,-784.00,421.00,0.00
1959:Q1,1224.00,0.00,0.00,0.00,0.00,0.00,0.00,801.00,801.00,790.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,423.00,327.00,96.00,0.00,0.00,0.00,1224.00,11.00,0.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00,0.00,1213.00,327.00,327.00,886.00,0.00,96.00,790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.00,0.00,-412.00,474.00,-886.00,423.00,0.00
1959:Q2,1069.00,0.00,0.00,0.00,0.00,0.00,0.00,636.00,636.00,626.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,433.00,335.00,98.00,0.00,0.00,0.00,1069.00,10.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,1059.00,335.00,335.00,724.00,0.00,98.00,626.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,0.00,-423.00,301.00,-724.00,433.00,0.00
1959:Q3,1405.00,0.00,0.00,0.00,0.00,0.00,0.00,934.00,934.00,919.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,471.00,369.00,102.00,0.00,0.00,0.00,1405.00,15.00,0.00,0.00,0.00,15.00,0.00,15.00,0.00,0.00,0.00,1390.00,369.00,369.00,1021.00,0.00,102.00,919.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-15.00,0.00,-456.00,565.00,-1021.00,471.00,0.00
1959:Q4,1230.00,0.00,0.00,0.00,0.00,0.00,0.00,751.00,751.00,738.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,479.00,373.00,106.00,0.00,0.00,0.00,1230.00,13.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00,0.00,0.00,1217.00,373.00,373.00,844.00,0.00,106.00,738.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.00,0.00,-466.00,378.00,-844.00,479.00,0.00
1960:Q1,1104.00,0.00,0.00,0.00,0.00,0.00,0.00,601.00,601.00,580.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,503.00,391.00,112.00,0.00,0.00,0.00,1104.00,21.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00,0.00,0.00,1083.00,391.00,391.00,692.00,0.00,112.00,580.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,-482.00,210.00,-692.00,503.00,0.00
1960:Q2,1241.00,0.00,0.00,0.00,0.00,0.00,0.00,679.00,679.00,654.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,562.00,444.00,118.00,0.00,0.00,0.00,1241.00,25.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,1216.00,444.00,444.00,772.00,0.00,118.00,654.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,-537.00,235.00,-772.00,562.00,0.00
