1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q3,34631.00,1411.00,0.00,0.00,19197.00,0.00,5498.00,571.00,10884.00,2244.00,120.00,11227.00,0.00,2445.00,231.00,0.00,19903.00,0.00,0.00,49.00,616.00,19238.00,0.00,19238.00
1964:Q4,34998.00,1396.00,0.00,0.00,19412.00,0.00,5629.00,454.00,10970.00,2359.00,120.00,11351.00,0.00,2484.00,235.00,0.00,20290.00,0.00,0.00,37.00,654.00,19599.00,0.00,19599.00
1965:Q1,35331.00,1380.00,0.00,0.00,19630.00,0.00,5572.00,512.00,11049.00,2497.00,124.00,11435.00,0.00,2523.00,239.00,0.00,20683.00,0.00,0.00,67.00,655.00,19961.00,0.00,19961.00
1965:Q2,35015.00,1358.00,0.00,0.00,19836.00,0.00,5377.00,692.00,11101.00,2666.00,130.00,10887.00,0.00,2561.00,243.00,0.00,21059.00,0.00,0.00,64.00,654.00,20341.00,0.00,20341.00
1965:Q3,36107.00,1337.00,0.00,0.00,20082.00,0.00,5420.00,637.00,11182.00,2843.00,137.00,11702.00,0.00,2602.00,247.00,0.00,21471.00,0.00,0.00,82.00,653.00,20736.00,0.00,20736.00
1965:Q4,36783.00,1321.00,0.00,0.00,20419.00,0.00,5464.00,602.00,11349.00,3004.00,142.00,12000.00,0.00,2649.00,252.00,0.00,21889.00,0.00,0.00,93.00,651.00,21145.00,0.00,21145.00
1966:Q1,36879.00,1318.00,0.00,0.00,20691.00,0.00,5252.00,863.00,11426.00,3150.00,140.00,11770.00,0.00,2704.00,256.00,0.00,22320.00,0.00,0.00,101.00,650.00,21569.00,0.00,21569.00
1966:Q2,36964.00,1324.00,0.00,0.00,21087.00,0.00,5093.00,1123.00,11588.00,3283.00,140.00,11386.00,0.00,2766.00,261.00,0.00,22745.00,0.00,0.00,84.00,652.00,22009.00,0.00,22009.00
1966:Q3,36450.00,1331.00,0.00,0.00,21496.00,0.00,5080.00,1212.00,11785.00,3419.00,140.00,10386.00,0.00,2832.00,265.00,0.00,23209.00,0.00,0.00,92.00,654.00,22463.00,0.00,22463.00
1966:Q4,37522.00,1329.00,0.00,0.00,21882.00,0.00,4991.00,1276.00,12040.00,3575.00,143.00,11000.00,0.00,2898.00,270.00,0.00,23647.00,0.00,0.00,95.00,622.00,22930.00,0.00,22930.00
1967:Q1,39428.00,1321.00,0.00,0.00,22251.00,0.00,4623.00,1512.00,12368.00,3748.00,171.00,12432.00,0.00,2964.00,289.00,0.00,24225.00,0.00,0.00,174.00,624.00,23427.00,0.00,23427.00
1967:Q2,39883.00,1305.00,0.00,0.00,22576.00,0.00,4335.00,1552.00,12785.00,3904.00,176.00,12486.00,0.00,3031.00,309.00,0.00,24671.00,0.00,0.00,101.00,625.00,23945.00,0.00,23945.00
1967:Q3,40953.00,1291.00,0.00,0.00,22913.00,0.00,4325.00,1304.00,13205.00,4079.00,181.00,13138.00,0.00,3100.00,330.00,0.00,25208.00,0.00,0.00,100.00,626.00,24482.00,0.00,24482.00
1967:Q4,41297.00,1285.00,0.00,0.00,23298.00,0.00,4286.00,1177.00,13542.00,4293.00,185.00,13000.00,0.00,3176.00,353.00,0.00,25761.00,0.00,0.00,97.00,658.00,25006.00,0.00,25006.00
1968:Q1,40913.00,1297.00,0.00,0.00,23744.00,0.00,4170.00,1215.00,13804.00,4555.00,188.00,12059.00,0.00,3247.00,378.00,0.00,26364.00,0.00,0.00,127.00,659.00,25578.00,0.00,25578.00
1968:Q2,43256.00,1324.00,0.00,0.00,24248.00,0.00,4007.00,1371.00,13998.00,4872.00,190.00,13773.00,0.00,3317.00,404.00,0.00,26910.00,0.00,0.00,91.00,660.00,26159.00,0.00,26159.00
1968:Q3,44387.00,1351.00,0.00,0.00,24758.00,0.00,3995.00,1391.00,14180.00,5192.00,192.00,14263.00,0.00,3391.00,432.00,0.00,27556.00,0.00,0.00,115.00,661.00,26780.00,0.00,26780.00
1968:Q4,45313.00,1362.00,0.00,0.00,25220.00,0.00,3933.00,1420.00,14403.00,5464.00,193.00,14600.00,0.00,3476.00,462.00,0.00,28239.00,0.00,0.00,75.00,692.00,27472.00,0.00,27472.00
1969:Q1,45388.00,1361.00,0.00,0.00,25637.00,0.00,3781.00,1511.00,14651.00,5694.00,195.00,14129.00,0.00,3572.00,494.00,0.00,29114.00,0.00,0.00,107.00,693.00,28314.00,0.00,28314.00
1969:Q2,45505.00,1347.00,0.00,0.00,25928.00,0.00,3939.00,1267.00,14908.00,5814.00,196.00,13826.00,0.00,3680.00,528.00,0.00,29943.00,0.00,0.00,101.00,695.00,29147.00,0.00,29147.00
1969:Q3,45510.00,1331.00,0.00,0.00,26381.00,0.00,3479.00,1643.00,15185.00,6074.00,197.00,13244.00,0.00,3792.00,565.00,0.00,30681.00,0.00,0.00,144.00,697.00,29840.00,0.00,29840.00
1969:Q4,46155.00,1321.00,0.00,0.00,26832.00,0.00,3448.00,1615.00,15496.00,6273.00,200.00,13300.00,0.00,3898.00,604.00,0.00,31600.00,0.00,0.00,126.00,657.00,30817.00,0.00,30817.00
1970:Q1,46771.00,1338.00,0.00,0.00,27604.00,0.00,3350.00,1684.00,15813.00,6757.00,208.00,12964.00,0.00,4011.00,646.00,0.00,32495.00,0.00,0.00,172.00,659.00,31664.00,0.00,31664.00
1970:Q2,45097.00,1372.00,0.00,0.00,28366.00,0.00,3242.00,1783.00,16110.00,7231.00,220.00,10321.00,0.00,4127.00,691.00,0.00,33301.00,0.00,0.00,125.00,661.00,32515.00,0.00,32515.00
1970:Q3,48069.00,1408.00,0.00,0.00,29409.00,0.00,3388.00,1638.00,16481.00,7902.00,233.00,12034.00,0.00,4246.00,739.00,0.00,34191.00,0.00,0.00,157.00,663.00,33371.00,0.00,33371.00
1970:Q4,50662.00,1432.00,0.00,0.00,30625.00,0.00,3398.00,1628.00,17021.00,8578.00,245.00,13200.00,0.00,4370.00,790.00,0.00,35105.00,0.00,0.00,193.00,677.00,34235.00,0.00,34235.00
1971:Q1,53411.00,1455.00,0.00,0.00,31576.00,0.00,3328.00,1704.00,17721.00,8823.00,245.00,14847.00,0.00,4443.00,845.00,0.00,36002.00,0.00,0.00,227.00,679.00,35096.00,0.00,35096.00
1971:Q2,54590.00,1476.00,0.00,0.00,32529.00,0.00,3220.00,1824.00,18575.00,8910.00,240.00,14970.00,0.00,4471.00,904.00,0.00,36873.00,0.00,0.00,260.00,681.00,35932.00,0.00,35932.00
1971:Q3,56300.00,1494.00,0.00,0.00,33481.00,0.00,3180.00,1881.00,19517.00,8903.00,233.00,15605.00,0.00,4521.00,966.00,0.00,37743.00,0.00,0.00,248.00,683.00,36812.00,0.00,36812.00
1971:Q4,58450.00,1509.00,0.00,0.00,34424.00,0.00,3183.00,1897.00,20481.00,8863.00,223.00,16600.00,0.00,4661.00,1033.00,0.00,38721.00,0.00,0.00,150.00,766.00,37805.00,0.00,37805.00
1972:Q1,61338.00,1521.00,0.00,0.00,35377.00,0.00,3055.00,2050.00,21508.00,8764.00,215.00,18225.00,0.00,4895.00,1105.00,0.00,39893.00,0.00,0.00,216.00,768.00,38909.00,0.00,38909.00
1972:Q2,63314.00,1531.00,0.00,0.00,36353.00,0.00,2886.00,2254.00,22639.00,8574.00,204.00,18815.00,0.00,5229.00,1182.00,0.00,41097.00,0.00,0.00,202.00,770.00,40125.00,0.00,40125.00
1972:Q3,65605.00,1537.00,0.00,0.00,37297.00,0.00,2757.00,2415.00,23776.00,8349.00,193.00,19740.00,0.00,5574.00,1264.00,0.00,42406.00,0.00,0.00,249.00,772.00,41385.00,0.00,41385.00
1972:Q4,68865.00,1540.00,0.00,0.00,38150.00,0.00,2901.00,2288.00,24820.00,8141.00,181.00,21800.00,0.00,5842.00,1352.00,0.00,43767.00,0.00,0.00,270.00,873.00,42624.00,0.00,42624.00
1973:Q1,69263.00,1540.00,0.00,0.00,39020.00,0.00,2734.00,2451.00,25807.00,8028.00,176.00,21031.00,0.00,6050.00,1446.00,0.00,44990.00,0.00,0.00,296.00,875.00,43819.00,0.00,43819.00
1973:Q2,69402.00,1534.00,0.00,0.00,39830.00,0.00,2674.00,2479.00,26774.00,7903.00,173.00,20101.00,0.00,6218.00,1546.00,0.00,46152.00,0.00,0.00,264.00,882.00,45006.00,0.00,45006.00
1973:Q3,72681.00,1529.00,0.00,0.00,40667.00,0.00,2738.00,2392.00,27674.00,7863.00,171.00,22302.00,0.00,6359.00,1653.00,0.00,47371.00,0.00,0.00,286.00,889.00,46196.00,0.00,46196.00
1973:Q4,71257.00,1527.00,0.00,0.00,41611.00,0.00,2837.00,2310.00,28462.00,8002.00,166.00,19700.00,0.00,6485.00,1768.00,0.00,48711.00,0.00,0.00,283.00,1029.00,47399.00,0.00,47399.00
1974:Q1,72648.00,1534.00,0.00,0.00,42671.00,0.00,2765.00,2452.00,29118.00,8336.00,164.00,19749.00,0.00,6639.00,1891.00,0.00,49888.00,0.00,0.00,318.00,952.00,48618.00,0.00,48618.00
