1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q3,565198.00,0.00,649.00,32869.00,155458.00,1399.00,71857.00,43387.00,0.00,38815.00,348607.00,307768.00,8611.00,32228.00,5.00,27610.00,631994.00,72045.00,55838.00,16207.00,7988.00,7613.00,315583.00,64341.00,8898.00,31394.00,124132.00,59431.00,64701.00
1996:Q4,608490.00,0.00,1119.00,47686.00,173707.00,2259.00,80714.00,49722.00,0.00,41012.00,358625.00,316959.00,9443.00,32223.00,3.00,27350.00,685572.00,83174.00,64297.00,18877.00,7998.00,8676.00,334809.00,73132.00,9643.00,30266.00,137874.00,64468.00,73406.00
1997:Q1,631101.00,0.00,653.00,44942.00,192075.00,543.00,93987.00,54772.00,0.00,42773.00,364519.00,324440.00,9314.00,30765.00,3.00,28909.00,725377.00,75014.00,48969.00,26045.00,8001.00,19439.00,337295.00,81292.00,9738.00,31648.00,162950.00,79358.00,83592.00
1997:Q2,649179.00,0.00,1019.00,58333.00,186229.00,486.00,85764.00,57467.00,0.00,42512.00,376610.00,338442.00,9891.00,28277.00,3.00,26985.00,734531.00,61191.00,39687.00,21504.00,8857.00,16773.00,357244.00,88993.00,10347.00,34970.00,156156.00,74288.00,81868.00
1997:Q3,639357.00,0.00,590.00,50298.00,194610.00,428.00,90508.00,60320.00,0.00,43354.00,368238.00,331612.00,9015.00,27611.00,0.00,25621.00,736063.00,48788.00,34414.00,14374.00,8255.00,13104.00,375336.00,81498.00,9249.00,36685.00,163148.00,82895.00,80253.00
1997:Q4,677181.00,0.00,2910.00,66382.00,202530.00,382.00,95073.00,62196.00,0.00,44879.00,376826.00,343818.00,6911.00,26097.00,0.00,28533.00,762123.00,58674.00,46069.00,12605.00,8817.00,13078.00,377056.00,93800.00,7215.00,38765.00,164718.00,78803.00,85915.00
1998:Q1,668307.00,0.00,876.00,58519.00,213952.00,289.00,99679.00,67245.00,0.00,46739.00,368418.00,339218.00,5243.00,23957.00,0.00,26542.00,724518.00,-8566.00,-22651.00,14085.00,8303.00,12301.00,388521.00,108242.00,5511.00,38740.00,171466.00,87532.00,83934.00
1998:Q2,691633.00,0.00,1693.00,70984.00,218470.00,375.00,103805.00,70462.00,0.00,43828.00,369487.00,342600.00,3861.00,23026.00,0.00,30999.00,750591.00,9177.00,-3959.00,13136.00,8842.00,14613.00,377441.00,128833.00,3996.00,38940.00,168749.00,79295.00,89454.00
1998:Q3,692318.00,0.00,772.00,87978.00,198136.00,247.00,86352.00,65883.00,0.00,45654.00,369978.00,343748.00,3390.00,22840.00,0.00,35454.00,764412.00,1034.00,-4508.00,5542.00,8323.00,9692.00,376022.00,147680.00,3541.00,43539.00,174581.00,89468.00,85113.00
1998:Q4,671916.00,0.00,998.00,74149.00,202615.00,283.00,84795.00,67436.00,0.00,50101.00,359390.00,336750.00,2244.00,20396.00,0.00,34764.00,738623.00,33608.00,29608.00,4000.00,8584.00,9358.00,349791.00,115221.00,2406.00,46133.00,173522.00,90559.00,82963.00
