date,FL893065105.Q,FL153165105.Q,FL103165105.Q,FL113165105.Q,FL893065105.Q,FL153065103.Q,FL103065105.Q,FL113065103.Q,FL313065105.Q,FL213065103.Q,FL763065105.Q,FL753065103.Q,FL743065103.Q,FL473065100.Q,FL543065105.Q,FL573065103.Q,FL223065143.Q,FL403065105.Q,FL413065105.Q,FL673065105.Q,FL613065105.Q,FL643065105.Q,FL893065125.Q,FL763065125.Q,FL753065203.Q,FL473065125.Q,FL673065123.Q,FL613065123.Q
1963:Q2,175801.00,175801.00,0.00,0.00,175801.00,13427.00,0.00,0.00,4123.00,1674.00,121487.00,0.00,154.00,1321.00,26707.00,925.00,1281.00,2127.00,0.00,0.00,2575.00,0.00,ND,ND,ND,ND,ND,ND
1963:Q3,180662.00,180662.00,0.00,0.00,180662.00,13594.00,0.00,0.00,4078.00,1677.00,125602.00,0.00,162.00,1395.00,26902.00,962.00,1329.00,2070.00,0.00,0.00,2891.00,0.00,ND,ND,ND,ND,ND,ND
1963:Q4,185106.00,185106.00,0.00,0.00,185106.00,13780.00,0.00,0.00,4124.00,1681.00,129063.00,0.00,171.00,1482.00,27331.00,1006.00,1379.00,2040.00,0.00,0.00,3049.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q1,188776.00,188776.00,0.00,0.00,188776.00,14285.00,0.00,0.00,4097.00,1686.00,131984.00,0.00,181.00,1486.00,27574.00,1067.00,1433.00,2023.00,0.00,0.00,2960.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q2,193368.00,193368.00,0.00,0.00,193368.00,14550.00,0.00,0.00,3997.00,1690.00,135852.00,0.00,192.00,1428.00,27810.00,1133.00,1487.00,2010.00,0.00,0.00,3219.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q3,198076.00,198076.00,0.00,0.00,198076.00,14978.00,0.00,0.00,4004.00,1693.00,139617.00,0.00,204.00,1485.00,28038.00,1192.00,1544.00,1972.00,0.00,0.00,3349.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q4,202335.00,202335.00,0.00,0.00,202335.00,15436.00,0.00,0.00,4023.00,1696.00,142777.00,0.00,217.00,1450.00,28525.00,1250.00,1609.00,1986.00,0.00,0.00,3366.00,0.00,ND,ND,ND,ND,ND,ND
1965:Q1,205891.00,205891.00,0.00,0.00,205891.00,15725.00,0.00,0.00,3996.00,1698.00,145365.00,0.00,233.00,1589.00,28853.00,1312.00,1686.00,2019.00,0.00,0.00,3415.00,0.00,ND,ND,ND,ND,ND,ND
1965:Q2,210329.00,210329.00,0.00,0.00,210329.00,16165.00,0.00,0.00,3900.00,1699.00,148886.00,0.00,252.00,1586.00,29020.00,1425.00,1772.00,2049.00,0.00,0.00,3575.00,0.00,ND,ND,ND,ND,ND,ND
1965:Q3,215042.00,215042.00,0.00,0.00,215042.00,16265.00,0.00,0.00,3888.00,1700.00,152807.00,0.00,271.00,1505.00,29207.00,1479.00,1863.00,2154.00,23.00,0.00,3880.00,0.00,ND,ND,ND,ND,ND,ND
1965:Q4,219449.00,219449.00,0.00,0.00,219449.00,16683.00,0.00,0.00,3900.00,1705.00,156007.00,0.00,286.00,1426.00,29589.00,1516.00,1954.00,2510.00,50.00,0.00,3823.00,0.00,ND,ND,ND,ND,ND,ND
