1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,2451.00,0.00,0.00,0.00,0.00,0.00,0.00,848.00,848.00,830.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,1603.00,1260.00,343.00,0.00,0.00,0.00,2451.00,18.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00,0.00,0.00,2433.00,1260.00,1260.00,1173.00,0.00,343.00,830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.00,0.00,-1585.00,-412.00,-1173.00,1603.00,0.00
1957:Q1,2954.00,0.00,0.00,0.00,0.00,0.00,0.00,1304.00,1304.00,1280.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,1650.00,1300.00,350.00,0.00,0.00,0.00,2954.00,24.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00,0.00,0.00,2930.00,1300.00,1300.00,1630.00,0.00,350.00,1280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,-1626.00,4.00,-1630.00,1650.00,0.00
1957:Q2,3146.00,0.00,0.00,0.00,0.00,0.00,0.00,1236.00,1236.00,1212.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,1910.00,1556.00,354.00,0.00,0.00,0.00,3146.00,24.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00,0.00,0.00,3122.00,1556.00,1556.00,1566.00,0.00,354.00,1212.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,-1886.00,-320.00,-1566.00,1910.00,0.00
1957:Q3,3200.00,0.00,0.00,0.00,0.00,0.00,0.00,1320.00,1320.00,1296.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,1880.00,1520.00,360.00,0.00,0.00,0.00,3200.00,24.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00,0.00,0.00,3176.00,1520.00,1520.00,1656.00,0.00,360.00,1296.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,-1856.00,-200.00,-1656.00,1880.00,0.00
1957:Q4,3096.00,0.00,0.00,0.00,0.00,0.00,0.00,1388.00,1388.00,1364.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,1708.00,1344.00,364.00,0.00,0.00,0.00,3096.00,24.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00,0.00,0.00,3072.00,1344.00,1344.00,1728.00,0.00,364.00,1364.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,-1684.00,44.00,-1728.00,1708.00,0.00
1958:Q1,3755.00,0.00,0.00,0.00,0.00,0.00,0.00,2004.00,2004.00,1975.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,1751.00,1384.00,367.00,0.00,0.00,0.00,3755.00,29.00,0.00,0.00,0.00,29.00,0.00,29.00,0.00,0.00,0.00,3726.00,1384.00,1384.00,2342.00,0.00,367.00,1975.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,-1722.00,620.00,-2342.00,1751.00,0.00
1958:Q2,3993.00,0.00,0.00,0.00,0.00,0.00,0.00,2300.00,2300.00,2271.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,1693.00,1324.00,369.00,0.00,0.00,0.00,3993.00,29.00,0.00,0.00,0.00,29.00,0.00,29.00,0.00,0.00,0.00,3964.00,1324.00,1324.00,2640.00,0.00,369.00,2271.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,-1664.00,976.00,-2640.00,1693.00,0.00
1958:Q3,3873.00,0.00,0.00,0.00,0.00,0.00,0.00,2220.00,2220.00,2191.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,1653.00,1284.00,369.00,0.00,0.00,0.00,3873.00,29.00,0.00,0.00,0.00,29.00,0.00,29.00,0.00,0.00,0.00,3844.00,1284.00,1284.00,2560.00,0.00,369.00,2191.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,-1624.00,936.00,-2560.00,1653.00,0.00
1958:Q4,4488.00,0.00,0.00,0.00,0.00,0.00,0.00,2804.00,2804.00,2775.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,1684.00,1324.00,360.00,0.00,0.00,0.00,4488.00,29.00,0.00,0.00,0.00,29.00,0.00,29.00,0.00,0.00,0.00,4459.00,1324.00,1324.00,3135.00,0.00,360.00,2775.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,-1655.00,1480.00,-3135.00,1684.00,0.00
1959:Q1,4895.00,0.00,0.00,0.00,0.00,0.00,0.00,3204.00,3204.00,3160.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,1691.00,1308.00,383.00,0.00,0.00,0.00,4895.00,44.00,0.00,0.00,0.00,44.00,0.00,44.00,0.00,0.00,0.00,4851.00,1308.00,1308.00,3543.00,0.00,383.00,3160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-44.00,0.00,-1647.00,1896.00,-3543.00,1691.00,0.00
