1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,22339.00,21186.00,1394.00,1570.00,-66.00,-1745.00,25361.00,2043.00,21186.00,0.00,0.00,2132.00,-3022.00,3012.00,3012.00,0.00,18174.00,18174.00,0.00,0.00,2043.00,2043.00,1590.00,453.00,525.00,525.00,0.00,1735.00,2164.00,429.00,128.00,114.00,14.00,0.00,0.00,0.00,2132.00,-1060.00,-1007.00,204.00,66.00,1745.00,53.00,-3022.00
1960:Q1,21918.00,21076.00,1038.00,1654.00,-67.00,-1783.00,25088.00,1638.00,21076.00,0.00,0.00,2374.00,-3170.00,3360.00,3360.00,0.00,17716.00,17716.00,0.00,0.00,1638.00,1638.00,823.00,815.00,643.00,643.00,0.00,1840.00,2286.00,446.00,109.00,95.00,14.00,0.00,0.00,0.00,2374.00,-1148.00,-1105.00,215.00,67.00,1783.00,43.00,-3170.00
1960:Q2,21715.00,21018.00,737.00,1724.00,-71.00,-1693.00,24891.00,1135.00,21018.00,0.00,0.00,2738.00,-3176.00,3490.00,3490.00,0.00,17528.00,17528.00,0.00,0.00,1135.00,1135.00,868.00,267.00,923.00,923.00,0.00,1934.00,2409.00,475.00,119.00,103.00,16.00,0.00,0.00,0.00,2738.00,-1218.00,-1184.00,228.00,71.00,1693.00,34.00,-3176.00
1960:Q3,23458.00,21598.00,1744.00,1826.00,-77.00,-1633.00,26156.00,1580.00,21598.00,0.00,0.00,2978.00,-2698.00,3540.00,3540.00,0.00,18058.00,18058.00,0.00,0.00,1580.00,1580.00,987.00,593.00,1057.00,1057.00,0.00,2058.00,2542.00,484.00,137.00,120.00,17.00,0.00,0.00,0.00,2978.00,-773.00,-747.00,241.00,77.00,1633.00,26.00,-2698.00
1960:Q4,22093.00,20427.00,1607.00,1918.00,-83.00,-1776.00,25280.00,1893.00,20427.00,0.00,0.00,2960.00,-3187.00,3346.00,3346.00,0.00,17081.00,17081.00,0.00,0.00,1893.00,1893.00,1868.00,25.00,948.00,948.00,0.00,2174.00,2676.00,502.00,162.00,144.00,18.00,0.00,0.00,0.00,2960.00,-1090.00,-1073.00,255.00,83.00,1776.00,17.00,-3187.00
1961:Q1,20015.00,19622.00,306.00,2123.00,-91.00,-1945.00,23706.00,861.00,19622.00,0.00,0.00,3223.00,-3691.00,3630.00,3630.00,0.00,15992.00,15992.00,0.00,0.00,861.00,861.00,755.00,106.00,1004.00,1004.00,0.00,2367.00,2900.00,533.00,148.00,131.00,17.00,0.00,0.00,0.00,3223.00,-1428.00,-1402.00,253.00,91.00,1945.00,26.00,-3691.00
1961:Q2,20440.00,19619.00,541.00,2324.00,-101.00,-1943.00,24378.00,1206.00,19619.00,0.00,0.00,3553.00,-3938.00,2903.00,2903.00,0.00,16716.00,16716.00,0.00,0.00,1206.00,1206.00,1171.00,35.00,1162.00,1162.00,0.00,2555.00,3123.00,568.00,164.00,148.00,16.00,0.00,0.00,0.00,3553.00,-1679.00,-1643.00,251.00,101.00,1943.00,36.00,-3938.00
1961:Q3,21691.00,20180.00,1257.00,2332.00,-111.00,-1967.00,25124.00,1382.00,20180.00,0.00,0.00,3562.00,-3433.00,3870.00,3870.00,0.00,16310.00,16310.00,0.00,0.00,1382.00,1382.00,1300.00,82.00,1170.00,1170.00,0.00,2573.00,3133.00,560.00,181.00,164.00,17.00,0.00,0.00,0.00,3562.00,-1131.00,-1098.00,257.00,111.00,1967.00,33.00,-3433.00
1961:Q4,23208.00,21076.00,2345.00,2062.00,-119.00,-2156.00,26578.00,2415.00,21076.00,0.00,0.00,3087.00,-3370.00,3689.00,3689.00,0.00,17387.00,17387.00,0.00,0.00,2415.00,2415.00,2300.00,115.00,1033.00,1033.00,0.00,2330.00,2866.00,536.00,276.00,254.00,22.00,0.00,0.00,0.00,3087.00,-849.00,-773.00,322.00,119.00,2156.00,76.00,-3370.00
1962:Q1,20564.00,20686.00,251.00,2101.00,-124.00,-2350.00,25123.00,1088.00,20686.00,0.00,0.00,3349.00,-4559.00,3900.00,3900.00,0.00,16786.00,16786.00,0.00,0.00,1088.00,1088.00,918.00,170.00,1191.00,1191.00,0.00,2353.00,2888.00,535.00,195.00,177.00,18.00,0.00,0.00,0.00,3349.00,-1851.00,-1801.00,284.00,124.00,2350.00,50.00,-4559.00
