1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q1,121.00,0.00,0.00,121.00,121.00,0.00,0.00,0.00,0.00,0.00,0.00,121.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121.00,0.00,0.00,121.00
1972:Q2,-142.00,0.00,0.00,-142.00,-142.00,0.00,0.00,0.00,0.00,0.00,0.00,-142.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-142.00,0.00,0.00,-142.00
1972:Q3,60.00,0.00,0.00,60.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,60.00
1972:Q4,-168.00,0.00,0.00,-168.00,-168.00,0.00,0.00,0.00,0.00,0.00,0.00,-168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-168.00,0.00,0.00,-168.00
1973:Q1,473.00,0.00,0.00,473.00,473.00,0.00,0.00,0.00,0.00,0.00,0.00,473.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,473.00,0.00,0.00,473.00
1973:Q2,155.00,0.00,0.00,155.00,155.00,0.00,0.00,0.00,0.00,0.00,0.00,155.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.00,0.00,0.00,155.00
1973:Q3,178.00,0.00,0.00,178.00,178.00,0.00,0.00,0.00,0.00,0.00,0.00,178.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,178.00,0.00,0.00,178.00
1973:Q4,-308.00,0.00,0.00,-308.00,-308.00,0.00,0.00,0.00,0.00,0.00,0.00,-308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-308.00,0.00,0.00,-308.00
1974:Q1,86.00,0.00,0.00,86.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00,0.00,0.00,86.00
1974:Q2,114.00,0.00,0.00,114.00,114.00,0.00,0.00,0.00,0.00,0.00,0.00,114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.00,0.00,0.00,114.00
