1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q1,1092.00,178.00,128.00,-61.00,-32.00,8.00,-37.00,847.00,3383.00,1126.00,2358.00,216.00,2142.00,780.00,1362.00,-101.00
2000:Q2,-496.00,-201.00,23.00,-310.00,12.00,15.00,-337.00,-8.00,2790.00,1182.00,159.00,-1474.00,1633.00,621.00,1012.00,1449.00
2000:Q3,-834.00,-474.00,-20.00,-885.00,23.00,-40.00,-868.00,545.00,-1282.00,1705.00,-3265.00,-2663.00,-602.00,606.00,-1208.00,278.00
2000:Q4,876.00,568.00,272.00,-174.00,14.00,-26.00,-162.00,210.00,1334.00,150.00,1211.00,-341.00,1552.00,1055.00,497.00,-27.00
2001:Q1,502.00,-305.00,75.00,-250.00,8.00,-143.00,-115.00,982.00,1768.00,3467.00,-1788.00,-2126.00,338.00,310.00,28.00,89.00
2001:Q2,312.00,525.00,-405.00,-536.00,4.00,93.00,-633.00,728.00,134.00,-1419.00,1936.00,-392.00,2328.00,220.00,2108.00,-383.00
2001:Q3,146.00,808.00,35.00,-163.00,34.00,36.00,-233.00,-534.00,-2240.00,1790.00,-3662.00,-1401.00,-2261.00,-695.00,-1566.00,-368.00
2001:Q4,-1082.00,-44.00,-158.00,378.00,-57.00,-183.00,618.00,-1258.00,3813.00,1283.00,2488.00,684.00,1804.00,1664.00,140.00,42.00
2002:Q1,333.00,576.00,-44.00,-420.00,-3.00,3.00,-420.00,221.00,2913.00,1179.00,1406.00,-569.00,1975.00,811.00,1164.00,328.00
2002:Q2,754.00,386.00,-113.00,-39.00,-4.00,33.00,-68.00,520.00,8342.00,1558.00,6390.00,631.00,5759.00,-59.00,5818.00,394.00
2002:Q3,417.00,135.00,9.00,106.00,56.00,-34.00,84.00,167.00,5554.00,3345.00,1243.00,-161.00,1404.00,527.00,877.00,966.00
2002:Q4,-566.00,-1374.00,-66.00,-370.00,-69.00,-197.00,-104.00,1244.00,4843.00,1036.00,2888.00,825.00,2063.00,417.00,1646.00,919.00
2003:Q1,444.00,1104.00,-60.00,-257.00,2.00,-3.00,-256.00,-343.00,-494.00,1963.00,-515.00,647.00,-1162.00,-217.00,-945.00,-1942.00
2003:Q2,749.00,79.00,-3.00,-7.00,1.00,19.00,-27.00,680.00,1335.00,254.00,305.00,-1539.00,1844.00,355.00,1489.00,776.00
2003:Q3,3064.00,1656.00,169.00,280.00,-43.00,-7.00,330.00,959.00,3800.00,273.00,3171.00,-133.00,3304.00,-131.00,3435.00,356.00
2003:Q4,3767.00,708.00,176.00,488.00,15.00,35.00,438.00,2395.00,9951.00,2736.00,5576.00,667.00,4909.00,500.00,4409.00,1639.00
2004:Q1,2609.00,685.00,108.00,-126.00,-11.00,-62.00,-53.00,1942.00,7131.00,2446.00,5281.00,-320.00,5601.00,1443.00,4158.00,-596.00
2004:Q2,2087.00,26.00,65.00,125.00,-22.00,58.00,89.00,1871.00,8701.00,-445.00,8065.00,1914.00,6151.00,980.00,5171.00,1081.00
2004:Q3,1034.00,-883.00,-66.00,130.00,2.00,-18.00,146.00,1853.00,9539.00,3178.00,5077.00,1120.00,3957.00,591.00,3366.00,1284.00
2004:Q4,4055.00,816.00,242.00,441.00,1.00,-29.00,469.00,2556.00,22910.00,9044.00,9293.00,-500.00,9793.00,565.00,9228.00,4573.00
2005:Q1,2482.00,820.00,124.00,-257.00,1.00,-34.00,-224.00,1795.00,7462.00,641.00,8389.00,3315.00,5074.00,-22.00,5096.00,-1568.00
2005:Q2,4336.00,1022.00,461.00,791.00,0.00,21.00,770.00,2062.00,13021.00,5070.00,6454.00,313.00,6141.00,-114.00,6255.00,1497.00
2005:Q3,1222.00,301.00,164.00,-69.00,-4.00,106.00,-171.00,826.00,6324.00,271.00,4236.00,460.00,3776.00,608.00,3168.00,1817.00
2005:Q4,-667.00,-1575.00,370.00,335.00,0.00,36.00,299.00,203.00,1449.00,1773.00,416.00,1297.00,-881.00,-608.00,-273.00,-740.00
2006:Q1,333.00,471.00,-118.00,-190.00,-1.00,-67.00,-122.00,170.00,5719.00,-660.00,5394.00,1250.00,4144.00,97.00,4047.00,985.00
2006:Q2,2587.00,20.00,-68.00,168.00,18.00,22.00,128.00,2467.00,7166.00,2406.00,2592.00,-1326.00,3918.00,-242.00,4160.00,2168.00
2006:Q3,2009.00,1401.00,40.00,245.00,-7.00,11.00,241.00,323.00,5255.00,2529.00,1546.00,198.00,1348.00,1027.00,321.00,1180.00
2006:Q4,871.00,2228.00,99.00,328.00,1.00,59.00,268.00,-1784.00,-9782.00,-3325.00,-6303.00,-3476.00,-2827.00,-567.00,-2260.00,-154.00
2007:Q1,3949.00,2591.00,389.00,1433.00,-18.00,-72.00,1523.00,-464.00,3944.00,9160.00,-3112.00,914.00,-4026.00,-209.00,-3817.00,-2104.00
2007:Q2,-2324.00,-2956.00,-163.00,-770.00,4.00,12.00,-786.00,1565.00,4673.00,748.00,3055.00,-145.00,3200.00,-589.00,3789.00,870.00
2007:Q3,-466.00,-185.00,-130.00,368.00,-2.00,-63.00,433.00,-519.00,6929.00,318.00,4655.00,1460.00,3195.00,-1671.00,4866.00,1956.00
2007:Q4,427.00,-1833.00,151.00,1166.00,2.00,17.00,1147.00,943.00,12628.00,2402.00,6604.00,4295.00,2309.00,135.00,2174.00,3622.00
2008:Q1,2629.00,789.00,-296.00,732.00,2.00,198.00,532.00,1404.00,3169.00,-1021.00,6838.00,1732.00,5106.00,1228.00,3878.00,-2648.00
2008:Q2,660.00,125.00,122.00,921.00,5.00,33.00,883.00,-508.00,-2279.00,2880.00,-4154.00,-3503.00,-651.00,-43.00,-608.00,-1005.00
2008:Q3,2347.00,1137.00,439.00,522.00,26.00,-72.00,568.00,249.00,1752.00,-2144.00,3749.00,2276.00,1473.00,546.00,927.00,147.00
2008:Q4,-3439.00,10.00,-42.00,39.00,5.00,3.00,31.00,-3446.00,-318.00,-1128.00,2836.00,1985.00,851.00,593.00,258.00,-2026.00
2009:Q1,16739.00,1728.00,1485.00,3741.00,8.00,-13.00,3746.00,9785.00,11582.00,5776.00,5283.00,-634.00,5917.00,784.00,5133.00,523.00
2009:Q2,4808.00,5430.00,452.00,-549.00,-1.00,-213.00,-335.00,-525.00,-8751.00,-1764.00,-1069.00,-6384.00,5315.00,1561.00,3754.00,-5918.00
2009:Q3,4428.00,4168.00,-227.00,550.00,5.00,2.00,543.00,-63.00,-1443.00,-335.00,-2637.00,-2747.00,110.00,59.00,51.00,1529.00
2009:Q4,3730.00,-1001.00,394.00,306.00,5.00,11.00,290.00,4031.00,1497.00,1031.00,353.00,-62.00,415.00,-141.00,556.00,113.00
2010:Q1,-1431.00,-1500.00,56.00,-225.00,4.00,-49.00,-180.00,238.00,-2284.00,838.00,-2897.00,-1392.00,-1505.00,-231.00,-1274.00,-225.00
2010:Q2,-1091.00,-738.00,-384.00,1.00,3.00,40.00,-42.00,30.00,-3563.00,56.00,-2804.00,-1835.00,-969.00,-22.00,-947.00,-815.00
2010:Q3,1206.00,-1884.00,331.00,0.00,2.00,-17.00,15.00,2759.00,7944.00,2198.00,4236.00,517.00,3719.00,597.00,3122.00,1510.00
2010:Q4,496.00,16.00,355.00,584.00,2.00,47.00,535.00,-459.00,-2489.00,-2043.00,527.00,945.00,-418.00,72.00,-490.00,-973.00
2011:Q1,11012.00,3189.00,-104.00,-240.00,2.00,-80.00,-162.00,8167.00,13630.00,7386.00,4893.00,-653.00,5546.00,-613.00,6159.00,1351.00
2011:Q2,766.00,-4669.00,-357.00,4061.00,11.00,5.00,4045.00,1731.00,9720.00,2274.00,5659.00,88.00,5571.00,139.00,5432.00,1787.00
2011:Q3,-1511.00,-509.00,-374.00,-837.00,31.00,-3.00,-865.00,209.00,7571.00,26.00,6327.00,5343.00,984.00,236.00,748.00,1218.00
2011:Q4,-2181.00,-341.00,244.00,-109.00,9.00,43.00,-161.00,-1975.00,6435.00,3534.00,2657.00,1304.00,1353.00,345.00,1008.00,244.00
2012:Q1,3521.00,2380.00,151.00,-509.00,-2.00,-45.00,-462.00,1499.00,7125.00,8770.00,-2410.00,-3573.00,1163.00,-839.00,2002.00,765.00
2012:Q2,289.00,-904.00,54.00,-144.00,1.00,41.00,-186.00,1283.00,4040.00,2339.00,1184.00,1425.00,-241.00,-515.00,274.00,517.00
2012:Q3,5015.00,1236.00,67.00,571.00,6.00,41.00,524.00,3141.00,9877.00,5690.00,1475.00,-1141.00,2616.00,-10.00,2626.00,2712.00
2012:Q4,5258.00,1405.00,-468.00,1730.00,27.00,34.00,1669.00,2591.00,17439.00,10837.00,6017.00,4713.00,1304.00,216.00,1088.00,585.00
2013:Q1,-1332.00,-707.00,-1012.00,-1786.00,-20.00,-45.00,-1721.00,2173.00,-793.00,930.00,42.00,-5110.00,5152.00,4567.00,585.00,-1765.00
