1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q1,294867.00,0.00,122380.00,ND,ND,7207.00,ND,ND,-3892.00,0.00,0.00,0.00,-9208.00,186032.00,-7652.00,0.00,-197348.00,8808.00,-6752.00,-382506.00,71936.00,ND,ND,55824.00,ND,ND,-19249.00,ND,ND,0.00,0.00,-3780.00,20100.00,67915.00,3828.00,3448.00,0.00,7752.00,-8488.00,0.00,-16184.00,492215.00,0.00,0.00,0.00
2000:Q2,162467.00,0.00,-3480.00,ND,ND,69987.00,ND,ND,5728.00,0.00,0.00,0.00,-1248.00,91696.00,-216.00,0.00,154831.00,-8208.00,-12188.00,31914.00,-56476.00,ND,ND,50192.00,ND,ND,-12656.00,ND,ND,0.00,0.00,-5064.00,-884.00,50356.00,20920.00,-38964.00,0.00,91676.00,-2060.00,0.00,46272.00,7636.00,0.00,0.00,0.00
2000:Q3,148992.00,0.00,-44588.00,ND,ND,71752.00,ND,ND,-3432.00,0.00,0.00,0.00,2268.00,123804.00,-812.00,0.00,-36562.00,-720.00,-8360.00,-63880.00,-31008.00,ND,ND,46988.00,ND,ND,10866.00,ND,ND,0.00,0.00,-5448.00,-13288.00,53592.00,7848.00,11360.00,0.00,-63944.00,-368.00,0.00,19800.00,185554.00,0.00,0.00,0.00
2000:Q4,306810.00,0.00,-8244.00,ND,ND,90362.00,ND,ND,-1940.00,0.00,0.00,0.00,-1868.00,225844.00,2656.00,0.00,433331.00,-6236.00,-13932.00,25411.00,185676.00,ND,ND,29288.00,ND,ND,-45.00,ND,ND,0.00,0.00,-6116.00,-8084.00,7049.00,-3748.00,-34596.00,221052.00,251592.00,11400.00,0.00,-4328.00,-126521.00,0.00,0.00,0.00
2001:Q1,399542.00,0.00,79392.00,ND,ND,22286.00,ND,ND,2656.00,3060.00,10600.00,416.00,4912.00,277036.00,-816.00,0.00,526272.00,-3420.00,-12060.00,-6355.00,125752.00,ND,ND,50112.00,ND,ND,14732.00,ND,ND,8312.00,5384.00,-19728.00,-15284.00,101239.00,-24908.00,77952.00,33480.00,219784.00,-7840.00,0.00,12600.00,-126730.00,0.00,0.00,0.00
2001:Q2,70172.00,0.00,-2104.00,ND,ND,-122180.00,ND,ND,-1460.00,-232.00,-1016.00,504.00,8288.00,205536.00,396.00,-17560.00,-4677.00,-612.00,-4996.00,15296.00,-6928.00,ND,ND,-110016.00,ND,ND,99.00,ND,ND,1144.00,5740.00,-5100.00,10716.00,23464.00,-9012.00,-28312.00,-58704.00,116804.00,-68.00,0.00,-12896.00,74848.00,0.00,0.00,0.00
2001:Q3,213602.00,0.00,71036.00,ND,ND,-20170.00,ND,ND,-2500.00,-1428.00,1724.00,96.00,10104.00,223428.00,1512.00,-70200.00,146481.00,1200.00,-19068.00,77205.00,116108.00,ND,ND,-36284.00,ND,ND,-9906.00,ND,ND,-3672.00,-4804.00,-5216.00,-9288.00,84407.00,-2528.00,-6324.00,23652.00,21872.00,768.00,0.00,-57988.00,67121.00,0.00,0.00,0.00
2001:Q4,103600.00,0.00,-51416.00,ND,ND,70344.00,ND,ND,6272.00,5220.00,-6192.00,2184.00,13460.00,-34660.00,-4956.00,103344.00,175415.00,1936.00,-7312.00,-58646.00,-82944.00,ND,ND,51548.00,ND,ND,-10961.00,ND,ND,1188.00,-1072.00,-5388.00,-9684.00,-1602.00,-6236.00,56216.00,-25904.00,87528.00,3608.00,0.00,157236.00,-71815.00,0.00,0.00,0.00
2002:Q1,121696.00,0.00,26300.00,ND,ND,-116624.00,ND,ND,-5304.00,-1840.00,58380.00,5960.00,24568.00,189196.00,180.00,-59120.00,23822.00,-5228.00,-16748.00,-14276.00,21236.00,ND,ND,-52844.00,ND,ND,8222.00,ND,ND,3640.00,21576.00,3800.00,-6084.00,16476.00,15148.00,-45740.00,21364.00,157360.00,-8632.00,0.00,-74084.00,97875.00,0.00,0.00,0.00
2002:Q2,616418.00,0.00,-24168.00,ND,ND,42514.00,ND,ND,232.00,620.00,5724.00,-2344.00,17988.00,428168.00,5344.00,142340.00,300833.00,11976.00,-17300.00,12265.00,-13512.00,ND,ND,30372.00,ND,ND,-8647.00,ND,ND,-48.00,7736.00,244.00,-14888.00,73375.00,-17640.00,-49664.00,-19732.00,147336.00,5244.00,0.00,133984.00,315584.00,0.00,0.00,0.00
2002:Q3,343860.00,0.00,78376.00,ND,ND,140868.00,ND,ND,720.00,1736.00,-9652.00,-816.00,18940.00,86348.00,-3796.00,31136.00,558397.00,-1540.00,-19800.00,-56967.00,72628.00,ND,ND,34280.00,ND,ND,3912.00,ND,ND,620.00,8472.00,1216.00,-1484.00,50073.00,-6440.00,34200.00,10848.00,255504.00,-4780.00,0.00,188504.00,-214536.00,0.00,0.00,0.00
2002:Q4,77438.00,84364.00,94564.00,ND,ND,124854.00,ND,ND,308.00,-3372.00,-4020.00,796.00,-2984.00,-202400.00,5260.00,-19932.00,-158928.00,3556.00,-11520.00,15978.00,-57756.00,ND,ND,61056.00,ND,ND,-6518.00,ND,ND,-456.00,-24244.00,128.00,-5124.00,43944.00,8928.00,32376.00,-19332.00,-132748.00,5624.00,0.00,-92152.00,236365.00,0.00,0.00,0.00
2003:Q1,338097.00,-6692.00,116700.00,ND,ND,137797.00,ND,ND,-48.00,10068.00,23236.00,804.00,-11800.00,-38348.00,24576.00,81804.00,213641.00,-1816.00,-296.00,27984.00,158024.00,ND,ND,68732.00,ND,ND,2892.00,ND,ND,2824.00,29368.00,1672.00,-4992.00,-47463.00,-8.00,-65036.00,-15600.00,-118964.00,4592.00,0.00,156128.00,124456.00,0.00,0.00,0.00
2003:Q2,720545.00,10648.00,171828.00,ND,ND,4813.00,-65772.00,70585.00,1564.00,11404.00,312.00,1200.00,20288.00,388396.00,14864.00,95228.00,486786.00,2016.00,14264.00,-8804.00,60196.00,ND,ND,1592.00,30024.00,-28432.00,3011.00,ND,ND,1024.00,-9752.00,1512.00,-2684.00,-9241.00,5256.00,46812.00,-6332.00,376840.00,4456.00,0.00,288.00,233759.00,0.00,0.00,0.00
