1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,9624.00,-640.00,2268.00,-1280.00,3840.00,5436.00,9624.00,9336.00,0.00,4088.00,1408.00,3840.00,28.00,528.00,112.00,-444.00,24.00,0.00,-192.00,0.00,0.00,0.00,0.00,260.00,9624.00,1832.00,-3888.00,4656.00,0.00,12.00,1052.00,9012.00,1648.00,2040.00,-44.00,28.00,12.00,680.00,1020.00,1968.00,180.00,852.00,0.00,104.00,88.00,0.00,-124.00,0.00,0.00,0.00,592.00,0.00,-32.00,-1220.00
1957:Q1,21016.00,2232.00,5104.00,1456.00,3740.00,8484.00,21016.00,14424.00,0.00,5744.00,4940.00,3740.00,5724.00,164.00,48.00,1588.00,32.00,0.00,3892.00,0.00,0.00,0.00,0.00,868.00,21016.00,6972.00,8268.00,-1624.00,0.00,44.00,284.00,13696.00,-2796.00,11196.00,-96.00,20.00,16.00,212.00,2272.00,1964.00,364.00,1380.00,0.00,172.00,92.00,0.00,464.00,0.00,0.00,0.00,-1580.00,0.00,16.00,348.00
1957:Q2,-3456.00,-924.00,-16572.00,2400.00,4420.00,7220.00,-3456.00,-6336.00,0.00,5856.00,-16612.00,4420.00,2376.00,-128.00,28.00,2404.00,36.00,0.00,36.00,0.00,0.00,0.00,0.00,504.00,-3456.00,7052.00,14452.00,-7440.00,0.00,-8.00,48.00,-10164.00,-1464.00,-14868.00,64.00,12.00,16.00,368.00,1992.00,1744.00,48.00,1372.00,0.00,388.00,100.00,0.00,-292.00,0.00,0.00,0.00,356.00,0.00,0.00,-344.00
1957:Q3,23032.00,1036.00,9228.00,360.00,4532.00,7876.00,23032.00,19324.00,0.00,5976.00,8816.00,4532.00,3584.00,704.00,144.00,756.00,16.00,0.00,1964.00,0.00,0.00,0.00,0.00,124.00,23032.00,3024.00,320.00,3260.00,0.00,4.00,-560.00,20488.00,200.00,12780.00,-144.00,12.00,16.00,932.00,2684.00,1516.00,772.00,1624.00,0.00,-100.00,100.00,0.00,-528.00,0.00,0.00,0.00,640.00,0.00,-16.00,-480.00
1957:Q4,9724.00,1012.00,-6632.00,2772.00,5336.00,7236.00,9724.00,7340.00,0.00,6728.00,-4724.00,5336.00,2140.00,356.00,56.00,852.00,12.00,0.00,864.00,0.00,0.00,0.00,0.00,244.00,9724.00,560.00,-2652.00,3956.00,0.00,-24.00,-720.00,7832.00,532.00,-1396.00,-104.00,4.00,12.00,1112.00,2048.00,1328.00,556.00,1352.00,0.00,56.00,108.00,0.00,24.00,0.00,0.00,0.00,2140.00,0.00,60.00,1332.00
1958:Q1,25956.00,4236.00,5128.00,1664.00,5264.00,9664.00,25956.00,21048.00,0.00,8520.00,7264.00,5264.00,3824.00,716.00,188.00,-480.00,8.00,0.00,3392.00,0.00,0.00,0.00,0.00,1084.00,25956.00,-5164.00,1204.00,-5328.00,0.00,168.00,-1208.00,33100.00,2516.00,20880.00,-128.00,32.00,16.00,-24.00,2972.00,1376.00,1036.00,1916.00,0.00,472.00,112.00,0.00,2396.00,0.00,0.00,0.00,-536.00,0.00,64.00,-1980.00
1958:Q2,26192.00,-900.00,19588.00,-3196.00,5428.00,5272.00,26192.00,26996.00,0.00,4772.00,16796.00,5428.00,-2164.00,-568.00,-80.00,-412.00,8.00,0.00,-1112.00,0.00,0.00,0.00,0.00,1360.00,26192.00,-2664.00,5512.00,-8392.00,0.00,-116.00,332.00,31392.00,6444.00,15744.00,140.00,48.00,16.00,492.00,2668.00,1440.00,68.00,968.00,0.00,720.00,116.00,0.00,-444.00,0.00,0.00,0.00,2880.00,0.00,92.00,-2536.00
1958:Q3,5272.00,-1500.00,-4656.00,1496.00,5124.00,4808.00,5272.00,6592.00,0.00,5512.00,-4044.00,5124.00,-1672.00,-232.00,-68.00,860.00,24.00,0.00,-2256.00,0.00,0.00,0.00,0.00,352.00,5272.00,-10344.00,-14556.00,4028.00,0.00,-76.00,260.00,12436.00,-2308.00,10424.00,-152.00,44.00,16.00,1212.00,3412.00,1540.00,1860.00,1516.00,0.00,-4.00,120.00,0.00,-536.00,0.00,0.00,0.00,-4660.00,0.00,-48.00,3180.00
1958:Q4,29172.00,-1888.00,19056.00,88.00,5984.00,5932.00,29172.00,29472.00,0.00,4712.00,18776.00,5984.00,-1176.00,-280.00,-132.00,340.00,28.00,0.00,-1132.00,0.00,0.00,0.00,0.00,876.00,29172.00,12712.00,304.00,11920.00,0.00,-16.00,504.00,14932.00,3480.00,2308.00,188.00,16.00,12.00,1456.00,2656.00,1636.00,772.00,1636.00,0.00,-96.00,116.00,0.00,-980.00,0.00,0.00,0.00,1868.00,0.00,-136.00,1528.00
1959:Q1,20120.00,1396.00,10312.00,-956.00,5676.00,3692.00,20120.00,16704.00,0.00,2156.00,8872.00,5676.00,2740.00,-452.00,-92.00,464.00,20.00,0.00,2800.00,0.00,0.00,0.00,0.00,676.00,20120.00,14700.00,8088.00,5840.00,0.00,-4.00,776.00,3728.00,1216.00,-4556.00,-16.00,-4.00,12.00,544.00,2976.00,1040.00,988.00,1628.00,0.00,300.00,316.00,0.00,820.00,0.00,0.00,0.00,-1668.00,0.00,132.00,1692.00
