1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q4,162618.00,133902.00,35674.00,4010.00,83.00,7814.00,-24830.00,93.00,-2237.00,-30648.00,-11282.00,-2066.00,3057.00,-18742.00,10677.00,57113.00,424698.00,203201.00,63196.00,-42.00,1632.00,280.00,43408.00,-1494.00,-48.00,-1510.00,-2823.00,-530.00,13481.00,-2982.00,23389.00,1086.00,41844.00,8629.00,3694.00,22343.00,7945.00,-262081.00
2006:Q1,227093.00,128845.00,36152.00,-2824.00,721.00,52769.00,15078.00,-947.00,-2041.00,15530.00,10233.00,-5431.00,-2432.00,3724.00,-2940.00,-19344.00,221058.00,67691.00,94442.00,127.00,23.00,-357.00,25939.00,4028.00,817.00,4070.00,3921.00,-2907.00,12208.00,-3576.00,-2941.00,2343.00,-8399.00,-16926.00,-1110.00,37178.00,4486.00,6035.00
2006:Q2,58625.00,137860.00,36152.00,4186.00,118.00,-21110.00,25113.00,114.00,-111.00,-856.00,12157.00,-17208.00,2808.00,21719.00,363.00,-142679.00,275118.00,145150.00,94000.00,-46.00,1546.00,985.00,12025.00,2240.00,2338.00,-5711.00,3856.00,-2376.00,13236.00,4358.00,-25104.00,2404.00,4617.00,-13235.00,3471.00,17539.00,13825.00,-216493.00
2006:Q3,233274.00,156891.00,36152.00,1211.00,698.00,27626.00,-14351.00,-2935.00,2812.00,7976.00,-13395.00,4350.00,3182.00,24558.00,27175.00,-28676.00,282022.00,81135.00,94005.00,641.00,3032.00,-215.00,50459.00,1249.00,-2333.00,2304.00,18051.00,4720.00,2485.00,8711.00,173.00,1069.00,8780.00,-15964.00,635.00,16970.00,6115.00,-48748.00
2006:Q4,8657.00,82441.00,36152.00,2987.00,-99.00,-108594.00,-7202.00,-778.00,-3389.00,-3800.00,3050.00,533.00,4144.00,3159.00,66135.00,-66082.00,257792.00,177441.00,94797.00,324.00,1923.00,-344.00,-109529.00,-4181.00,-183.00,4521.00,14118.00,9788.00,2374.00,-2460.00,-18654.00,2657.00,-8177.00,3586.00,4815.00,35237.00,49740.00,-249135.00
2007:Q1,314249.00,276333.00,23472.00,-3346.00,344.00,-27097.00,18779.00,-1123.00,1236.00,20110.00,-5778.00,15143.00,-4506.00,83442.00,-38816.00,-43945.00,273404.00,172303.00,81327.00,281.00,2745.00,12.00,-41783.00,3697.00,436.00,7329.00,1330.00,8052.00,2117.00,13489.00,-14851.00,2014.00,8880.00,-13294.00,-4944.00,41815.00,2449.00,40845.00
2007:Q2,444862.00,236104.00,23472.00,5704.00,-368.00,90457.00,6520.00,-881.00,-2148.00,-2422.00,8999.00,-8647.00,-1118.00,83164.00,3577.00,2449.00,307302.00,127657.00,81303.00,-240.00,1612.00,392.00,-3487.00,3478.00,2286.00,690.00,9493.00,8051.00,2637.00,-1240.00,-37396.00,302.00,16804.00,-13116.00,2666.00,98475.00,6935.00,137560.00
2007:Q3,309326.00,255858.00,23471.00,-754.00,209.00,11207.00,3987.00,-1135.00,-4776.00,19644.00,1297.00,7540.00,4947.00,-110344.00,23107.00,75069.00,266978.00,131573.00,81400.00,659.00,1705.00,590.00,62756.00,8288.00,-95.00,-1689.00,2569.00,8051.00,-557.00,13061.00,-6448.00,3752.00,-4869.00,-5034.00,-574.00,-34735.00,6576.00,42349.00
2007:Q4,327897.00,309432.00,23472.00,-2198.00,-1211.00,-76310.00,-4475.00,-8748.00,73.00,-2807.00,2825.00,-2024.00,5309.00,-35460.00,-9056.00,129075.00,335482.00,244163.00,82359.00,-319.00,1136.00,421.00,-4669.00,-7121.00,3490.00,-1556.00,18746.00,8051.00,491.00,4682.00,48949.00,2992.00,6229.00,-4613.00,-1507.00,-80609.00,14167.00,-7584.00
2008:Q1,46771.00,49227.00,28572.00,-4823.00,-1021.00,-41682.00,16726.00,689.00,4000.00,17408.00,14519.00,-515.00,-1606.00,-75498.00,21722.00,19053.00,-233306.00,-239299.00,25065.00,695.00,256.00,1950.00,28678.00,15739.00,691.00,6212.00,4154.00,94.00,-1187.00,-16797.00,18036.00,3733.00,-14311.00,-14120.00,1848.00,-75601.00,20858.00,280077.00
2008:Q2,36390.00,28535.00,28572.00,3510.00,-582.00,-51379.00,-25996.00,570.00,-4400.00,16702.00,-6087.00,3009.00,-1275.00,-23748.00,30328.00,38631.00,-262997.00,-214403.00,25771.00,-2075.00,-1485.00,-1602.00,-24178.00,-18934.00,766.00,-1967.00,-13934.00,94.00,447.00,-11136.00,-18322.00,3284.00,991.00,-2431.00,2492.00,-37756.00,51381.00,299387.00
2008:Q3,22327.00,49365.00,28572.00,-3558.00,1413.00,8231.00,11304.00,-3832.00,-1300.00,-48299.00,17227.00,1771.00,2486.00,-95433.00,-32800.00,87180.00,-160506.00,-136559.00,24913.00,-21732.00,-2870.00,-1929.00,58528.00,10971.00,-677.00,-6660.00,-1990.00,94.00,-9216.00,-9315.00,2146.00,1984.00,-20632.00,-4553.00,1582.00,-17200.00,-27392.00,182833.00
2008:Q4,298840.00,138529.00,28571.00,4543.00,199.00,-173231.00,42544.00,-1262.00,2800.00,21032.00,22023.00,2272.00,-2329.00,-81904.00,138188.00,156865.00,51031.00,-34018.00,27181.00,-6261.00,-1407.00,2523.00,-22415.00,-4720.00,-1767.00,864.00,39196.00,94.00,-10255.00,2780.00,130568.00,1567.00,-8630.00,-52.00,-6732.00,-144577.00,87092.00,247809.00
2009:Q1,195226.00,-27253.00,8162.00,-5626.00,1174.00,-19482.00,-27479.00,1206.00,16042.00,-24619.00,31646.00,4315.00,681.00,125083.00,21892.00,89484.00,-187597.00,-167067.00,-19706.00,2695.00,-2073.00,6526.00,-32440.00,1023.00,-1065.00,5256.00,-5915.00,6960.00,-7544.00,1021.00,-34882.00,14588.00,10538.00,8342.00,7360.00,-24181.00,42967.00,382823.00
