1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q4,1103964.00,8375.00,314827.00,27301.00,440336.00,73779.00,2959.00,77799.00,1450.00,629.00,892.00,68792.00,38392.00,12597.00,17698.00,185.00,917.00,6036.00,1433.00,9567.00,1009879.00,49905.00,178586.00,33488.00,5967.00,141.00,2982.00,24458.00,-224.00,2493.00,-867.00,0.00,15600.00,109930.00,439686.00,73779.00,-56.00,0.00,0.00,1023.00,0.00,5870.00,0.00,1337.00,65781.00,0.00,94085.00
1977:Q1,1148353.00,8582.00,330115.00,27590.00,449553.00,78301.00,2372.00,84470.00,1821.00,807.00,1026.00,71737.00,39419.00,12902.00,19649.00,356.00,1413.00,6835.00,1721.00,9684.00,1043928.00,51649.00,177097.00,34891.00,6084.00,145.00,2882.00,27950.00,-457.00,2525.00,-916.00,0.00,16161.00,121506.00,448977.00,78301.00,-21.00,0.00,0.00,956.00,0.00,5537.00,2.00,2419.00,68240.00,0.00,104425.00
1977:Q2,1169059.00,8818.00,332243.00,26631.00,456415.00,78206.00,2626.00,92146.00,1143.00,1018.00,1163.00,74852.00,40521.00,13479.00,19087.00,127.00,1999.00,6870.00,1706.00,10009.00,1062443.00,53549.00,180777.00,36398.00,6409.00,76.00,2829.00,31588.00,-507.00,2496.00,-960.00,0.00,16734.00,119874.00,455934.00,78206.00,-98.00,0.00,0.00,1344.00,0.00,5632.00,0.00,2252.00,69910.00,0.00,106616.00
1977:Q3,1204695.00,9060.00,349335.00,26838.00,459001.00,80709.00,2960.00,98007.00,1569.00,1047.00,1304.00,78085.00,41667.00,13094.00,21505.00,51.00,1566.00,6885.00,1803.00,10209.00,1088938.00,55481.00,188544.00,37924.00,6609.00,6.00,2768.00,30853.00,-589.00,2501.00,-992.00,0.00,17302.00,127780.00,458606.00,80709.00,-100.00,0.00,0.00,1370.00,0.00,6481.00,0.00,2067.00,71618.00,0.00,115757.00
1977:Q4,1210404.00,9284.00,345525.00,27248.00,467735.00,81457.00,3142.00,93324.00,2018.00,1057.00,1452.00,81385.00,42889.00,13929.00,19764.00,63.00,-258.00,8064.00,1825.00,10501.00,1114320.00,57320.00,200844.00,39529.00,6801.00,-13.00,2378.00,29436.00,-818.00,2505.00,-1030.00,0.00,17842.00,127438.00,467735.00,81457.00,-163.00,0.00,0.00,1996.00,0.00,6448.00,80.00,72.00,74463.00,0.00,96084.00
1978:Q1,1269370.00,9534.00,369341.00,28779.00,478751.00,83984.00,2736.00,103580.00,2466.00,1135.00,1474.00,84775.00,44044.00,14496.00,21025.00,425.00,1486.00,8054.00,2349.00,10936.00,1160483.00,59118.00,212408.00,41062.00,7136.00,-16.00,2211.00,32903.00,-303.00,2784.00,-856.00,0.00,18295.00,135893.00,478751.00,83984.00,-193.00,0.00,0.00,2518.00,0.00,6093.00,18.00,2561.00,76116.00,0.00,108887.00
1978:Q2,1299383.00,9790.00,375539.00,29376.00,487523.00,81766.00,3073.00,114900.00,3391.00,1215.00,1499.00,88282.00,45164.00,15695.00,21117.00,480.00,1850.00,6773.00,2174.00,9776.00,1161991.00,60866.00,207298.00,42641.00,7266.00,33.00,2340.00,36021.00,-26.00,3182.00,-351.00,0.00,18772.00,126301.00,487523.00,81766.00,-203.00,0.00,0.00,2421.00,0.00,6465.00,61.00,2266.00,77349.00,0.00,137392.00
1978:Q3,1344241.00,10059.00,396344.00,29553.00,491905.00,80432.00,3186.00,122813.00,4756.00,1274.00,1516.00,91856.00,46308.00,17107.00,26143.00,216.00,2550.00,6295.00,1946.00,9982.00,1185136.00,62622.00,219302.00,44209.00,7436.00,108.00,2358.00,44302.00,530.00,3394.00,88.00,0.00,19268.00,117805.00,491905.00,80432.00,-412.00,0.00,0.00,2624.00,0.00,7791.00,15.00,2982.00,78377.00,0.00,159105.00
1978:Q4,1381948.00,10349.00,405668.00,30488.00,502048.00,83219.00,4089.00,124511.00,4496.00,1346.00,1516.00,95447.00,47489.00,18472.00,30408.00,291.00,3019.00,5698.00,2898.00,10496.00,1218213.00,64442.00,222244.00,45775.00,7785.00,131.00,2887.00,44634.00,317.00,3559.00,628.00,0.00,19835.00,124157.00,502048.00,83219.00,326.00,0.00,0.00,2442.00,0.00,8620.00,230.00,3567.00,81367.00,0.00,163735.00
1979:Q1,1446602.00,10665.00,440729.00,32477.00,514278.00,84802.00,3243.00,131568.00,5980.00,1434.00,1557.00,99066.00,48739.00,19343.00,30657.00,244.00,2378.00,5665.00,2397.00,11380.00,1240752.00,66341.00,230058.00,47326.00,7995.00,191.00,2580.00,44389.00,337.00,3949.00,937.00,0.00,20476.00,118683.00,514278.00,84802.00,432.00,0.00,0.00,2759.00,0.00,8266.00,289.00,3089.00,83575.00,0.00,205850.00
