1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1987:Q4,374384.00,3587.00,0.00,27189.00,23599.00,40.00,20990.00,126.00,2443.00,0.00,307313.00,157811.00,6602.00,18151.00,133058.00,139459.00,102840.00,0.00,102840.00,8425.00,0.00,8425.00,28194.00,10043.00,12696.00,368844.00,0.00,303214.00,0.00,303214.00,4970.00,60660.00
1988:Q1,390165.00,3353.00,0.00,39023.00,27619.00,262.00,24459.00,475.00,2423.00,0.00,307317.00,154341.00,6321.00,18514.00,129506.00,142285.00,106069.00,0.00,106069.00,8596.00,0.00,8596.00,27620.00,10691.00,12853.00,383710.00,0.00,313519.00,0.00,313519.00,4970.00,65221.00
1988:Q2,391386.00,3140.00,0.00,34687.00,23178.00,200.00,20108.00,400.00,2470.00,0.00,316628.00,160429.00,6251.00,19343.00,134835.00,144704.00,108749.00,0.00,108749.00,8909.00,0.00,8909.00,27046.00,11495.00,13753.00,384581.00,0.00,317882.00,0.00,317882.00,4970.00,61729.00
1988:Q3,404340.00,3301.00,0.00,37546.00,24211.00,200.00,21301.00,400.00,2310.00,0.00,323781.00,167533.00,6425.00,19546.00,141562.00,143781.00,108159.00,0.00,108159.00,9156.00,0.00,9156.00,26466.00,12467.00,15501.00,397728.00,0.00,328487.00,0.00,328487.00,4970.00,64271.00
1988:Q4,421722.00,3556.00,0.00,33782.00,29921.00,395.00,26261.00,339.00,2926.00,0.00,334248.00,176589.00,6314.00,17494.00,152781.00,144457.00,109044.00,0.00,109044.00,9528.00,0.00,9528.00,25885.00,13202.00,20215.00,414837.00,0.00,348097.00,0.00,348097.00,4970.00,61770.00
1989:Q1,437845.00,3101.00,0.00,40715.00,30730.00,400.00,27272.00,321.00,2737.00,0.00,345213.00,187820.00,6338.00,17699.00,163783.00,143720.00,108372.00,0.00,108372.00,9843.00,0.00,9843.00,25505.00,13673.00,18086.00,430052.00,0.00,364316.00,0.00,364316.00,4970.00,60766.00
1989:Q2,444052.00,3400.00,0.00,60350.00,11322.00,800.00,7264.00,570.00,2688.00,0.00,345959.00,186371.00,5944.00,18553.00,161874.00,145345.00,109892.00,0.00,109892.00,10334.00,0.00,10334.00,25119.00,14243.00,23021.00,435834.00,0.00,368986.00,0.00,368986.00,4970.00,61878.00
1989:Q3,449542.00,3169.00,0.00,58721.00,20255.00,1397.00,14714.00,1383.00,2761.00,0.00,338967.00,176086.00,6276.00,18700.00,151110.00,147965.00,112360.00,0.00,112360.00,10876.00,0.00,10876.00,24730.00,14916.00,28430.00,442120.00,0.00,370429.00,0.00,370429.00,4970.00,66721.00
1989:Q4,454242.00,2284.00,0.00,61793.00,25406.00,3251.00,12990.00,6262.00,2903.00,0.00,334500.00,167980.00,6800.00,19383.00,141797.00,150491.00,114121.00,0.00,114121.00,12029.00,0.00,12029.00,24341.00,16029.00,30259.00,446329.00,0.00,373327.00,0.00,373327.00,4970.00,68032.00
1990:Q1,452740.00,2055.00,0.00,59695.00,32679.00,3027.00,18507.00,8008.00,3137.00,0.00,328954.00,159401.00,7249.00,19300.00,132852.00,152793.00,116565.00,0.00,116565.00,12104.00,0.00,12104.00,24124.00,16760.00,29357.00,444728.00,0.00,378070.00,0.00,378070.00,4970.00,61688.00
1990:Q2,457212.00,2234.00,0.00,61508.00,39197.00,2315.00,23942.00,9390.00,3550.00,0.00,321586.00,153830.00,7935.00,19600.00,126295.00,150461.00,114468.00,0.00,114468.00,12087.00,0.00,12087.00,23905.00,17295.00,32687.00,448645.00,0.00,380974.00,0.00,380974.00,4970.00,62701.00
1990:Q3,458238.00,2112.00,0.00,52423.00,56454.00,2246.00,40079.00,10440.00,3689.00,0.00,316029.00,145959.00,8273.00,19800.00,117886.00,152202.00,115825.00,0.00,115825.00,12693.00,0.00,12693.00,23683.00,17868.00,31220.00,449243.00,0.00,384410.00,0.00,384410.00,4970.00,59863.00
1990:Q4,477621.00,2109.00,0.00,68691.00,53659.00,3765.00,34326.00,11883.00,3685.00,0.00,320221.00,144835.00,7832.00,19900.00,117103.00,156143.00,119462.00,0.00,119462.00,13219.00,0.00,13219.00,23462.00,19243.00,32941.00,467788.00,0.00,393694.00,0.00,393694.00,4850.00,69244.00
1991:Q1,483078.00,1955.00,0.00,70120.00,65413.00,1314.00,37728.00,22869.00,3502.00,0.00,313296.00,134006.00,7302.00,19700.00,107004.00,159163.00,122760.00,0.00,122760.00,13111.00,0.00,13111.00,23292.00,20127.00,32294.00,472076.00,0.00,396972.00,0.00,396972.00,4850.00,70254.00
1991:Q2,477958.00,1855.00,0.00,71960.00,66819.00,1206.00,38214.00,23957.00,3442.00,0.00,306195.00,123584.00,7513.00,21329.00,94742.00,161994.00,125485.00,0.00,125485.00,13388.00,0.00,13388.00,23121.00,20617.00,31129.00,466476.00,0.00,389601.00,0.00,389601.00,4850.00,72025.00
1991:Q3,490140.00,1753.00,0.00,75985.00,83520.00,7627.00,43002.00,29465.00,3426.00,0.00,296709.00,113616.00,7664.00,22007.00,83945.00,162324.00,125887.00,0.00,125887.00,13489.00,0.00,13489.00,22948.00,20769.00,32173.00,477794.00,0.00,394741.00,0.00,394741.00,4850.00,78203.00
1991:Q4,496852.00,1205.00,0.00,67570.00,89358.00,10859.00,40754.00,34764.00,2981.00,0.00,299511.00,110734.00,8979.00,22690.00,79065.00,167673.00,130700.00,0.00,130700.00,14198.00,0.00,14198.00,22775.00,21104.00,39208.00,484231.00,0.00,402903.00,0.00,402903.00,4820.00,76508.00
1992:Q1,512033.00,1269.00,0.00,68778.00,105101.00,8153.00,53606.00,40286.00,3056.00,0.00,305812.00,108185.00,8589.00,23321.00,76275.00,175727.00,138227.00,0.00,138227.00,14702.00,0.00,14702.00,22798.00,21900.00,31073.00,498944.00,0.00,405736.00,0.00,405736.00,4820.00,88388.00
1992:Q2,521319.00,1009.00,0.00,67459.00,108689.00,8953.00,51144.00,45517.00,3075.00,0.00,311807.00,108976.00,8650.00,23467.00,76859.00,180157.00,142379.00,0.00,142379.00,14958.00,0.00,14958.00,22821.00,22674.00,32356.00,507105.00,0.00,418289.00,0.00,418289.00,4820.00,83996.00
1992:Q3,543508.00,927.00,0.00,71751.00,115461.00,12175.00,54792.00,45374.00,3120.00,0.00,322300.00,111866.00,8156.00,23552.00,80158.00,186746.00,148618.00,0.00,148618.00,15284.00,0.00,15284.00,22844.00,23689.00,33069.00,528839.00,0.00,435214.00,0.00,435214.00,4820.00,88805.00
1992:Q4,552814.00,1196.00,0.00,66578.00,122898.00,13526.00,58702.00,47482.00,3188.00,0.00,335241.00,111327.00,7406.00,24040.00,79881.00,199742.00,161047.00,0.00,161047.00,15828.00,0.00,15828.00,22867.00,24173.00,26901.00,537365.00,0.00,443609.00,0.00,443609.00,4790.00,88966.00
1993:Q1,549188.00,1011.00,0.00,57305.00,115661.00,9488.00,56305.00,45843.00,3025.00,1000.00,345734.00,116172.00,7395.00,23807.00,84970.00,204935.00,166021.00,0.00,166021.00,16160.00,0.00,16160.00,22754.00,24627.00,29477.00,532926.00,0.00,451677.00,0.00,451677.00,4790.00,76459.00
1993:Q2,573163.00,851.00,0.00,49568.00,122930.00,10042.00,59358.00,47525.00,3005.00,3000.00,371051.00,123348.00,7155.00,24119.00,92074.00,222373.00,183355.00,0.00,183355.00,16378.00,0.00,16378.00,22640.00,25330.00,28763.00,556309.00,0.00,468841.00,0.00,468841.00,4790.00,82678.00
1993:Q3,613538.00,1303.00,0.00,48602.00,140914.00,13355.00,65354.00,52576.00,2629.00,7000.00,388852.00,130098.00,6715.00,24460.00,98923.00,232709.00,193292.00,0.00,193292.00,16892.00,0.00,16892.00,22525.00,26045.00,33867.00,595571.00,0.00,510764.00,0.00,510764.00,4790.00,80017.00
1993:Q4,631659.00,2123.00,0.00,50334.00,143682.00,11866.00,51593.00,66041.00,3129.00,11053.00,402982.00,135157.00,6577.00,25449.00,103131.00,241020.00,201093.00,0.00,201093.00,17517.00,0.00,17517.00,22410.00,26805.00,32538.00,613009.00,0.00,524171.00,0.00,524171.00,4790.00,84048.00
1994:Q1,655479.00,1720.00,0.00,53931.00,161215.00,10237.00,57066.00,77659.00,3153.00,13100.00,407861.00,133438.00,6731.00,26284.00,100423.00,246877.00,206572.00,0.00,206572.00,17963.00,0.00,17963.00,22342.00,27546.00,30753.00,635795.00,0.00,564165.00,0.00,564165.00,0.00,71630.00
1994:Q2,685742.00,1579.00,0.00,61773.00,177463.00,13591.00,55481.00,89461.00,3730.00,15200.00,416559.00,140592.00,6126.00,25965.00,108501.00,247264.00,206827.00,0.00,206827.00,18163.00,0.00,18163.00,22274.00,28703.00,28368.00,665210.00,0.00,600793.00,0.00,600793.00,0.00,64417.00
1994:Q3,721930.00,1649.00,0.00,69243.00,199636.00,19984.00,46405.00,111418.00,4529.00,17300.00,425019.00,148948.00,6727.00,26035.00,116186.00,246636.00,206185.00,0.00,206185.00,18245.00,0.00,18245.00,22206.00,29435.00,26384.00,700912.00,0.00,638791.00,0.00,638791.00,0.00,62121.00
1994:Q4,782314.00,1337.00,0.00,85771.00,234196.00,26302.00,51942.00,130793.00,5170.00,19989.00,433717.00,158767.00,6599.00,26279.00,125889.00,244580.00,204067.00,0.00,204067.00,18376.00,0.00,18376.00,22137.00,30370.00,27293.00,760167.00,0.00,701044.00,0.00,701044.00,0.00,59123.00
1995:Q1,795240.00,1276.00,0.00,92298.00,246047.00,25307.00,56621.00,136137.00,4744.00,23238.00,428117.00,153450.00,6336.00,27119.00,119995.00,243207.00,202815.00,0.00,202815.00,18170.00,0.00,18170.00,22222.00,31460.00,27502.00,772093.00,0.00,716783.00,0.00,716783.00,0.00,55310.00
1995:Q2,833865.00,1603.00,0.00,103364.00,268872.00,22080.00,56338.00,158901.00,5235.00,26318.00,430996.00,154378.00,6150.00,27695.00,120533.00,243507.00,203073.00,0.00,203073.00,18127.00,0.00,18127.00,22307.00,33112.00,29030.00,809655.00,0.00,748564.00,0.00,748564.00,0.00,61091.00
