1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,178925.00,191.00,27935.00,1346.00,0.00,0.00,20832.00,648.00,16446.00,1190.00,2548.00,8777.00,24.00,8753.00,0.00,83319.00,29976.00,6549.00,4589.00,76.00,0.00,1884.00,224383.00,75671.00,782.00,0.00,74889.00,66249.00,36542.00,8402.00,21305.00,60583.00,11795.00,5151.00,4934.00,573.00,42041.00,-37680.00,321285.00,50304.00,118105.00,42.59,32.22
1960:Q4,180740.00,148.00,28442.00,3000.00,0.00,0.00,20038.00,788.00,15752.00,1116.00,2382.00,9647.00,24.00,9623.00,0.00,82311.00,30670.00,6483.00,4728.00,79.00,0.00,1676.00,230414.00,76985.00,769.00,0.00,76216.00,68607.00,37651.00,9131.00,21825.00,62090.00,12560.00,5169.00,5002.00,613.00,40785.00,-36396.00,365166.00,51628.00,122201.00,42.25,32.66
1961:Q1,179040.00,189.00,26661.00,3272.00,0.00,0.00,19503.00,562.00,15225.00,936.00,2780.00,7992.00,26.00,7966.00,0.00,83213.00,31393.00,6817.00,4853.00,82.00,0.00,1882.00,227218.00,77200.00,623.00,0.00,76577.00,68328.00,37641.00,8942.00,21744.00,60425.00,10921.00,5244.00,5100.00,657.00,39287.00,-34844.00,410353.00,49625.00,118552.00,41.86,32.44
1961:Q2,185005.00,213.00,27971.00,3863.00,0.00,0.00,19264.00,613.00,14636.00,1233.00,2782.00,8574.00,28.00,8546.00,0.00,85820.00,32079.00,7222.00,4963.00,84.00,0.00,2175.00,230775.00,79256.00,726.00,0.00,78530.00,68435.00,37343.00,9061.00,22031.00,61899.00,10584.00,5347.00,5253.00,674.00,39055.00,-34476.00,411555.00,51311.00,119613.00,42.90,31.91
1961:Q3,188743.00,238.00,28109.00,4606.00,0.00,0.00,17972.00,245.00,13288.00,1248.00,3191.00,8619.00,30.00,8589.00,0.00,89372.00,32846.00,6981.00,5073.00,85.00,0.00,1823.00,234331.00,80254.00,1017.00,0.00,79237.00,68112.00,37134.00,8712.00,22266.00,63546.00,11557.00,5400.00,5461.00,697.00,38375.00,-33611.00,423621.00,50925.00,121966.00,41.75,31.59
1961:Q4,193403.00,236.00,31884.00,4100.00,0.00,0.00,18828.00,1089.00,14096.00,1248.00,2395.00,9650.00,33.00,9617.00,0.00,88253.00,33387.00,7065.00,5195.00,88.00,0.00,1781.00,243057.00,81705.00,1094.00,0.00,80611.00,71282.00,38585.00,9454.00,23243.00,65845.00,13274.00,5286.00,5665.00,740.00,36522.00,-31597.00,437674.00,55048.00,128252.00,42.92,32.12
1962:Q1,193194.00,234.00,28422.00,5395.00,0.00,0.00,19393.00,562.00,14217.00,1238.00,3376.00,8569.00,38.00,8531.00,31.00,89326.00,33854.00,7970.00,5330.00,91.00,0.00,2549.00,242315.00,82568.00,1131.00,0.00,81437.00,71196.00,38089.00,9530.00,23576.00,64481.00,12916.00,5330.00,5824.00,749.00,36393.00,-31318.00,427931.00,53475.00,126148.00,42.39,31.70
1962:Q2,196393.00,296.00,29680.00,5554.00,0.00,0.00,18221.00,907.00,13061.00,1184.00,3069.00,9450.00,44.00,9406.00,82.00,90553.00,34525.00,8032.00,5477.00,95.00,0.00,2459.00,246835.00,84073.00,1092.00,0.00,82981.00,73147.00,39474.00,9680.00,23993.00,65221.00,13001.00,5417.00,5977.00,686.00,40074.00,-34783.00,326582.00,53833.00,128468.00,41.90,31.96
1962:Q3,200819.00,788.00,30463.00,4903.00,0.00,0.00,17088.00,1079.00,11645.00,1308.00,3056.00,9484.00,50.00,9434.00,134.00,94489.00,35133.00,8337.00,5623.00,97.00,0.00,2617.00,252002.00,84921.00,1363.00,0.00,83558.00,73802.00,40045.00,9269.00,24488.00,67725.00,13996.00,5473.00,6085.00,716.00,38741.00,-33372.00,345363.00,53376.00,132398.00,40.31,31.93
1962:Q4,205382.00,790.00,34786.00,5000.00,0.00,0.00,17583.00,1304.00,12307.00,1275.00,2697.00,10444.00,54.00,10390.00,168.00,92772.00,35793.00,8046.00,5749.00,99.00,0.00,2198.00,258475.00,85841.00,1198.00,0.00,84643.00,77625.00,42226.00,9836.00,25563.00,68806.00,14355.00,5673.00,6175.00,768.00,36266.00,-30859.00,424314.00,58327.00,136421.00,42.75,32.58
1963:Q1,205754.00,828.00,27991.00,5344.00,0.00,0.00,21755.00,1092.00,16367.00,930.00,3366.00,9406.00,56.00,9350.00,187.00,94615.00,36685.00,8943.00,5858.00,99.00,0.00,2986.00,258695.00,86793.00,1214.00,0.00,85579.00,77938.00,41735.00,10253.00,25950.00,68221.00,13596.00,5734.00,6413.00,803.00,34800.00,-29190.00,447981.00,56105.00,135019.00,41.55,32.30
