date,FL153050005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL153050005.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
1945:Q4,57011.00,2700.00,20697.00,24055.00,9559.00,57011.00,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,64505.00,3100.00,22077.00,28162.00,11166.00,64505.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,71873.00,3600.00,23594.00,31565.00,13114.00,71873.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,79319.00,4200.00,24957.00,35122.00,15040.00,79319.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q4,639470.00,40960.00,185881.00,300232.00,112397.00,639470.00,ND,ND,ND,ND,ND,ND,ND
1971:Q1,658349.00,42102.00,191720.00,306969.00,117558.00,658349.00,ND,ND,ND,ND,ND,ND,ND
1971:Q2,675866.00,43385.00,195635.00,313933.00,122913.00,675866.00,ND,ND,ND,ND,ND,ND,ND
1971:Q3,694721.00,44749.00,200390.00,321098.00,128484.00,694721.00,ND,ND,ND,ND,ND,ND,ND
1971:Q4,714615.00,46131.00,205877.00,328364.00,134243.00,714615.00,ND,ND,ND,ND,ND,ND,ND
1972:Q1,736650.00,47585.00,212862.00,335676.00,140527.00,736650.00,ND,ND,ND,ND,ND,ND,ND
1972:Q2,758252.00,49169.00,219066.00,343066.00,146951.00,758252.00,ND,ND,ND,ND,ND,ND,ND
1972:Q3,780812.00,50718.00,225963.00,350618.00,153513.00,780812.00,ND,ND,ND,ND,ND,ND,ND
1972:Q4,804205.00,52063.00,233770.00,358252.00,160120.00,804205.00,ND,ND,ND,ND,ND,ND,ND
1973:Q1,815640.00,53212.00,237829.00,365800.00,158799.00,815640.00,ND,ND,ND,ND,ND,ND,ND
1973:Q2,826434.00,54172.00,241212.00,373504.00,157546.00,826434.00,ND,ND,ND,ND,ND,ND,ND
1973:Q3,841684.00,55084.00,248858.00,381358.00,156384.00,841684.00,ND,ND,ND,ND,ND,ND,ND
1973:Q4,852551.00,56089.00,251894.00,389264.00,155304.00,852551.00,ND,ND,ND,ND,ND,ND,ND
1974:Q1,872832.00,57019.00,258905.00,397053.00,159855.00,872832.00,ND,ND,ND,ND,ND,ND,ND
1974:Q2,890827.00,57733.00,263523.00,404960.00,164611.00,890827.00,ND,ND,ND,ND,ND,ND,ND
1974:Q3,906445.00,58695.00,265154.00,412981.00,169615.00,906445.00,ND,ND,ND,ND,ND,ND,ND
