1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q2,1534220.00,922287.00,130582.00,318016.00,473689.00,277393.00,259977.00,188820.00,11206.00,139468.00,26524.00,11622.00,71157.00,51072.00,851.00,19157.00,77.00,17416.00,14522.00,2894.00,-2714.00,126668.00,129382.00,337254.00,261148.00,119508.00,141640.00,76106.00,35228.00,40878.00,16397.00,30328.00,13931.00,1550617.00,-1428.00,13507.00,-13939.00,1860.00,0.00
1974:Q3,1563397.00,951062.00,136325.00,327667.00,487070.00,271012.00,265434.00,194486.00,11332.00,144021.00,26895.00,12238.00,70948.00,51823.00,743.00,18299.00,83.00,5578.00,5005.00,573.00,-6972.00,126638.00,133610.00,348295.00,270172.00,123104.00,147068.00,78123.00,36404.00,41719.00,15277.00,30462.00,15185.00,1578674.00,-1456.00,-657.00,216.00,1897.00,0.00
1974:Q4,1603005.00,960868.00,127148.00,330908.00,502812.00,281337.00,260891.00,197567.00,11339.00,145489.00,28076.00,12663.00,63324.00,47389.00,716.00,15234.00,-15.00,20446.00,25253.00,-4807.00,33.00,136585.00,136552.00,360767.00,281315.00,128672.00,152643.00,79452.00,37724.00,41728.00,13339.00,28820.00,15481.00,1616344.00,-1479.00,4760.00,-5208.00,1927.00,0.00
1975:Q1,1619553.00,987077.00,131786.00,336206.00,519085.00,244307.00,254335.00,193138.00,10952.00,141582.00,28038.00,12566.00,61197.00,47233.00,579.00,13330.00,55.00,-10028.00,-14800.00,4772.00,16481.00,141369.00,124888.00,371688.00,288626.00,129852.00,158774.00,83062.00,37708.00,45354.00,11396.00,26925.00,15529.00,1630949.00,-1506.00,318.00,-773.00,1961.00,0.00
1975:Q2,1656448.00,1015822.00,136693.00,344849.00,534280.00,243281.00,257235.00,193276.00,10847.00,141177.00,28550.00,12702.00,63959.00,50606.00,489.00,12787.00,77.00,-13954.00,-14994.00,1040.00,21582.00,136827.00,115245.00,375763.00,296543.00,132092.00,164451.00,79220.00,36884.00,42336.00,11656.00,26529.00,14873.00,1668104.00,-1507.00,153.00,-609.00,1963.00,0.00
1975:Q3,1713812.00,1049589.00,146787.00,355964.00,546838.00,265191.00,266579.00,197807.00,11007.00,144276.00,29457.00,13067.00,68772.00,55388.00,496.00,12867.00,21.00,-1388.00,-1871.00,483.00,12043.00,134098.00,122055.00,386989.00,301543.00,133156.00,168387.00,85446.00,41716.00,43730.00,12998.00,28088.00,15090.00,1726810.00,-1493.00,-199.00,-253.00,1945.00,0.00
1975:Q4,1765867.00,1078524.00,153393.00,359659.00,565472.00,276235.00,275887.00,202882.00,11212.00,148182.00,30082.00,13406.00,73005.00,59364.00,447.00,13116.00,78.00,348.00,-1729.00,2077.00,13801.00,142531.00,128730.00,397307.00,307446.00,136600.00,170846.00,89861.00,43080.00,46781.00,15966.00,30554.00,14588.00,1781833.00,-1465.00,-343.00,-99.00,1907.00,0.00
1976:Q1,1824509.00,1112300.00,163297.00,367436.00,581567.00,304640.00,289947.00,209506.00,11520.00,153872.00,30335.00,13779.00,80441.00,65592.00,511.00,14318.00,20.00,14693.00,13516.00,1177.00,4650.00,143588.00,138938.00,402919.00,309981.00,136812.00,173169.00,92938.00,43660.00,49278.00,15746.00,31384.00,15638.00,1840255.00,-1413.00,412.00,-841.00,1842.00,0.00
1976:Q2,1856944.00,1131964.00,165898.00,373071.00,592995.00,322304.00,299856.00,215010.00,11798.00,158025.00,31193.00,13994.00,84846.00,69283.00,580.00,14968.00,15.00,22448.00,21537.00,911.00,-495.00,146621.00,147116.00,403171.00,314167.00,138536.00,175631.00,89004.00,43420.00,45584.00,16645.00,32254.00,15609.00,1873589.00,-1366.00,2585.00,-2998.00,1779.00,0.00
1976:Q3,1890499.00,1161344.00,169845.00,380606.00,610893.00,328309.00,307502.00,222628.00,12229.00,163872.00,32271.00,14256.00,84874.00,69317.00,685.00,14847.00,25.00,20807.00,16870.00,3937.00,-4073.00,151775.00,155848.00,404919.00,316232.00,137984.00,178248.00,88687.00,45596.00,43091.00,17119.00,32554.00,15435.00,1907618.00,-1314.00,3938.00,-4337.00,1713.00,0.00
