1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q2,86604.00,179475.00,113104.00,4050.00,109054.00,66371.00,1866801.00,328.00,0.00,1004.00,-28744.00,186.00,11961.00,38549.00,45764.00,94451.00,490832.00,70091.00,120073.00,94687.00,49188.00,156792.00,604906.00,95760.00,81124.00,302953.00,125069.00,167975.00,99561.00,2180.00,0.00,9566.00,328283.00,1800430.00,-83241.00,-27557.00,198827.00,165118.00,101751.00,604077.00,153610.00,283888.00,166580.00,36393.00,151.00,28394.00,7848.00,-6128.00,290525.00,5652.00,26212.00,294564.00,3608.00,-1196.00,-49241.00,241066.00,-92871.00
1996:Q3,81379.00,74831.00,117061.00,4831.00,112230.00,-42230.00,1766836.00,-13644.00,-1800.00,896.00,14272.00,1745.00,20021.00,52266.00,69332.00,5929.00,318838.00,80745.00,-46198.00,60155.00,3084.00,221052.00,509848.00,122319.00,37568.00,242601.00,107360.00,204306.00,98582.00,10712.00,0.00,15570.00,459963.00,1809066.00,-66596.00,114407.00,288106.00,121335.00,39898.00,390841.00,104781.00,209838.00,76223.00,28528.00,-9241.00,28405.00,9364.00,-20296.00,247387.00,5740.00,54420.00,298352.00,6060.00,1264.00,21596.00,278024.00,6548.00
1996:Q4,72886.00,25122.00,118874.00,5979.00,112895.00,-93752.00,1776674.00,274.00,0.00,888.00,22388.00,13951.00,7097.00,60492.00,117560.00,49248.00,391500.00,13388.00,-183213.00,152512.00,82544.00,326268.00,452882.00,72319.00,49638.00,260493.00,70433.00,142012.00,108645.00,11128.00,0.00,28512.00,370097.00,1870426.00,67626.00,-56445.00,170337.00,121608.00,-10154.00,572725.00,112623.00,253767.00,206335.00,199439.00,37216.00,153615.00,8608.00,-30320.00,276149.00,-716.00,55376.00,401572.00,10884.00,-212.00,17153.00,75403.00,47764.00
1997:Q1,85723.00,225537.00,120238.00,8594.00,111644.00,105299.00,2415340.00,-6694.00,-2072.00,764.00,-9692.00,1412.00,1417.00,64845.00,71236.00,354954.00,595253.00,228951.00,-31802.00,142717.00,17471.00,237916.00,602102.00,203497.00,54869.00,285878.00,57858.00,3123.00,140196.00,20300.00,0.00,15099.00,563097.00,2310041.00,-6288.00,-3691.00,184812.00,148541.00,422169.00,341700.00,203724.00,123823.00,14153.00,5508.00,-3465.00,-7623.00,16596.00,-58018.00,249078.00,13524.00,44164.00,335592.00,3212.00,3744.00,15074.00,610919.00,-139814.00
1997:Q2,91524.00,264940.00,121293.00,9021.00,112272.00,143646.00,2349031.00,314.00,0.00,468.00,-1960.00,1368.00,43494.00,76657.00,41420.00,76802.00,846364.00,141603.00,151739.00,224690.00,50477.00,277856.00,578792.00,152905.00,96228.00,261742.00,67917.00,-20156.00,112548.00,-4864.00,0.00,18874.00,578910.00,2205384.00,-11823.00,43753.00,306524.00,234296.00,100668.00,601641.00,173511.00,280930.00,147199.00,134691.00,-4921.00,123399.00,16212.00,-39832.00,262814.00,-5228.00,41044.00,421008.00,11132.00,448.00,-46520.00,150770.00,-173416.00
1997:Q3,94592.00,90190.00,129109.00,11379.00,117730.00,-38919.00,2565316.00,256.00,0.00,512.00,11176.00,-16502.00,-9787.00,28647.00,61836.00,373527.00,563574.00,161865.00,-21750.00,149216.00,62442.00,211800.00,675100.00,53820.00,155726.00,392502.00,73052.00,156504.00,129151.00,48972.00,0.00,10673.00,531678.00,2604235.00,-73593.00,-50422.00,293779.00,184744.00,459777.00,421308.00,218237.00,143250.00,59821.00,114868.00,63844.00,44340.00,6684.00,-14464.00,422397.00,29092.00,49160.00,386788.00,8380.00,1712.00,-45363.00,416072.00,4402.00
1997:Q4,100168.00,93732.00,137278.00,16257.00,121021.00,-43545.00,2080123.00,294.00,0.00,564.00,608.00,31742.00,20924.00,4371.00,45764.00,-156468.00,838925.00,43496.00,340465.00,48198.00,50578.00,356188.00,538674.00,152166.00,122541.00,248158.00,15809.00,69589.00,163030.00,30664.00,0.00,37486.00,453957.00,2123669.00,63633.00,45652.00,220545.00,60731.00,-3454.00,676946.00,71132.00,306613.00,299202.00,117049.00,-4718.00,101628.00,20140.00,568.00,387518.00,-14764.00,30416.00,353544.00,9748.00,-1568.00,101144.00,75959.00,6436.00
1998:Q1,80661.00,229128.00,142363.00,12764.00,129599.00,86765.00,3299260.00,378.00,0.00,484.00,20708.00,-10015.00,22769.00,-23065.00,70176.00,351891.00,1147087.00,368982.00,-28962.00,370058.00,81232.00,355776.00,798404.00,122051.00,145313.00,485081.00,45959.00,157521.00,116378.00,20436.00,0.00,-8125.00,634232.00,3212495.00,-200857.00,-17991.00,265586.00,231906.00,472972.00,800129.00,292179.00,247313.00,260637.00,230990.00,43824.00,178065.00,9100.00,24773.00,362219.00,-1624.00,18312.00,473708.00,-2432.00,-2044.00,-9243.00,566090.00,-148467.00
1998:Q2,74259.00,167625.00,150379.00,11070.00,139309.00,17246.00,2828023.00,1968.00,0.00,488.00,-26012.00,-3259.00,-13035.00,85794.00,111852.00,127564.00,820760.00,192167.00,-105111.00,216455.00,96033.00,421216.00,914360.00,194171.00,134105.00,433549.00,152535.00,133973.00,155615.00,1904.00,0.00,31695.00,484355.00,2810777.00,92117.00,129529.00,134272.00,409063.00,-29359.00,938985.00,241917.00,406467.00,290601.00,170404.00,23380.00,127172.00,19852.00,9931.00,357809.00,5348.00,35172.00,490108.00,1328.00,-1692.00,-42952.00,110714.00,-93366.00
1998:Q3,71105.00,-26642.00,153757.00,13559.00,140198.00,-180399.00,2815669.00,272.00,0.00,820.00,19492.00,-924.00,75.00,70987.00,162016.00,25831.00,729737.00,175016.00,-49842.00,270940.00,90622.00,243001.00,814650.00,122060.00,127838.00,449439.00,115314.00,-59377.00,212361.00,5464.00,0.00,7641.00,826625.00,2996068.00,98783.00,-109151.00,143501.00,373712.00,165666.00,872865.00,185241.00,533466.00,154158.00,302594.00,31991.00,230983.00,39620.00,14532.00,242622.00,3652.00,40948.00,462624.00,5916.00,4416.00,35682.00,337706.00,97747.00
1998:Q4,71829.00,228293.00,158707.00,8314.00,150393.00,69586.00,1919799.00,408.00,0.00,1116.00,14264.00,-20122.00,16975.00,36680.00,93860.00,-513498.00,906888.00,-174706.00,112123.00,485123.00,84727.00,399621.00,1034811.00,94958.00,292262.00,588255.00,59337.00,167405.00,72209.00,-4904.00,0.00,22637.00,91069.00,1850213.00,-12636.00,42010.00,324608.00,156490.00,-630367.00,908761.00,-75406.00,699111.00,285057.00,163352.00,18033.00,114735.00,30584.00,-35094.00,244698.00,-11400.00,64964.00,389504.00,4988.00,-6364.00,152537.00,94160.00,-156464.00
1999:Q1,93915.00,308227.00,156426.00,6380.00,150046.00,151801.00,2568931.00,-7110.00,-4000.00,1472.00,37656.00,10119.00,-40035.00,13479.00,100580.00,-56897.00,1047755.00,196437.00,91355.00,472357.00,49553.00,238054.00,959119.00,55824.00,146950.00,632933.00,123411.00,-146800.00,168256.00,-11004.00,0.00,36051.00,460290.00,2417130.00,15239.00,-13479.00,-57581.00,260144.00,121879.00,1125261.00,136800.00,587980.00,400481.00,71202.00,-12408.00,63487.00,20124.00,-3272.00,192807.00,1988.00,40752.00,258080.00,-2156.00,-1220.00,71901.00,335585.00,-214312.00
