date,FU263191005.Q,FU153091003.Q,FU103091003.Q,FU633091003.Q,FU903091005.Q
1945:Q4,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,35.00,0.00,35.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,-17.00,0.00,-17.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,-41.00,0.00,-41.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,47.00,0.00,47.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
2012:Q4,-45606.00,-2557.00,2555.00,3127.00,-48731.00
2013:Q1,50776.00,3219.00,18905.00,5529.00,23123.00
2013:Q2,50143.00,3812.00,9463.00,-11873.00,48741.00
2013:Q3,-9133.00,-23.00,-113.00,-834.00,-8163.00
2013:Q4,-60654.00,-4409.00,13876.00,-2643.00,-67478.00
2014:Q1,-25050.00,-941.00,-9265.00,-14549.00,-295.00
2014:Q2,-18960.00,-1225.00,11135.00,7381.00,-36251.00
2014:Q3,49348.00,2827.00,-6552.00,-3487.00,56560.00
2014:Q4,-123264.00,-7030.00,-4177.00,892.00,-112949.00
2015:Q1,-9953.00,-748.00,-17381.00,-4032.00,12208.00
2015:Q2,-82818.00,-5155.00,5827.00,2005.00,-85495.00
2015:Q3,-66460.00,-3749.00,-8088.00,-9926.00,-44697.00
2015:Q4,-81668.00,-4477.00,-1003.00,-1494.00,-74694.00
2016:Q1,38280.00,827.00,-10405.00,6494.00,41364.00
2016:Q2,-45183.00,-2049.00,10552.00,-4644.00,-49042.00
