1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,27160.00,16144.00,3280.00,5376.00,2360.00,27160.00,16572.00,10480.00,2308.00,8172.00,108.00,0.00,27160.00,2100.00,0.00,0.00,-1372.00,192.00,22380.00,0.00,36.00,-28.00,-12.00,3144.00,312.00,356.00,-1268.00,168.00,0.00,1152.00,0.00
1963:Q3,28732.00,18504.00,3168.00,5372.00,1688.00,28732.00,19008.00,9708.00,2536.00,7172.00,16.00,0.00,28732.00,480.00,0.00,0.00,-248.00,188.00,22208.00,0.00,32.00,296.00,-8.00,3572.00,336.00,368.00,-12.00,56.00,0.00,1464.00,0.00
1963:Q4,28996.00,18004.00,4120.00,5876.00,996.00,28996.00,18644.00,10328.00,4300.00,6028.00,24.00,0.00,28996.00,792.00,16.00,0.00,220.00,192.00,20316.00,0.00,52.00,352.00,-20.00,5352.00,404.00,400.00,108.00,64.00,0.00,748.00,0.00
1964:Q1,25072.00,17268.00,3648.00,2108.00,2048.00,25072.00,17852.00,7232.00,2360.00,4872.00,-12.00,0.00,25072.00,3000.00,20.00,0.00,48.00,224.00,17048.00,0.00,60.00,16.00,-4.00,3644.00,548.00,416.00,344.00,104.00,0.00,-396.00,0.00
1964:Q2,27388.00,16452.00,4636.00,3364.00,2936.00,27388.00,17076.00,10336.00,2080.00,8256.00,-24.00,0.00,27388.00,-88.00,28.00,0.00,-228.00,240.00,20748.00,0.00,72.00,-240.00,0.00,4136.00,596.00,424.00,360.00,120.00,0.00,1220.00,0.00
1964:Q3,29452.00,18004.00,4872.00,4704.00,1872.00,29452.00,18608.00,10772.00,3292.00,7480.00,72.00,0.00,29452.00,1516.00,28.00,0.00,-12.00,232.00,21284.00,0.00,76.00,228.00,0.00,4140.00,536.00,460.00,252.00,84.00,0.00,628.00,0.00
1964:Q4,29200.00,17192.00,5060.00,5324.00,1624.00,29200.00,17800.00,11316.00,5092.00,6224.00,84.00,0.00,29200.00,1852.00,20.00,0.00,-4.00,212.00,18928.00,0.00,72.00,-132.00,0.00,6512.00,552.00,532.00,460.00,88.00,0.00,108.00,0.00
1965:Q1,25552.00,16988.00,3224.00,3212.00,2128.00,25552.00,17700.00,7756.00,2948.00,4808.00,96.00,0.00,25552.00,1988.00,8.00,0.00,-136.00,200.00,15760.00,0.00,72.00,556.00,16.00,4660.00,564.00,604.00,812.00,208.00,0.00,240.00,0.00
1965:Q2,26988.00,15624.00,3664.00,4860.00,2840.00,26988.00,16372.00,10512.00,1712.00,8800.00,104.00,0.00,26988.00,-148.00,0.00,0.00,-452.00,192.00,19728.00,0.00,76.00,-12.00,24.00,4120.00,1024.00,672.00,800.00,216.00,0.00,748.00,0.00
1965:Q3,28876.00,18188.00,3772.00,4864.00,2052.00,28876.00,18912.00,10024.00,2120.00,7904.00,-60.00,0.00,28876.00,-540.00,0.00,0.00,124.00,180.00,21292.00,0.00,76.00,-320.00,28.00,4264.00,492.00,712.00,868.00,268.00,0.00,1432.00,0.00
1965:Q4,28488.00,17656.00,3880.00,4992.00,1960.00,28488.00,18344.00,10208.00,3848.00,6360.00,-64.00,0.00,28488.00,752.00,8.00,0.00,388.00,184.00,18024.00,0.00,68.00,-320.00,20.00,6400.00,348.00,716.00,1864.00,288.00,0.00,-252.00,0.00
1966:Q1,28504.00,17184.00,3896.00,5384.00,2040.00,28504.00,17896.00,10668.00,2308.00,8360.00,-60.00,0.00,28504.00,332.00,20.00,0.00,860.00,180.00,16016.00,0.00,64.00,984.00,-8.00,4876.00,492.00,760.00,3892.00,320.00,0.00,-284.00,0.00
1966:Q2,26348.00,13184.00,3552.00,7116.00,2496.00,26348.00,13904.00,12504.00,4524.00,7980.00,-60.00,0.00,26348.00,1752.00,28.00,0.00,848.00,188.00,14732.00,0.00,56.00,-200.00,0.00,5108.00,332.00,828.00,2640.00,336.00,0.00,-300.00,0.00
1966:Q3,22104.00,11672.00,2532.00,6084.00,1816.00,22104.00,12408.00,9756.00,3856.00,5900.00,-60.00,0.00,22104.00,2212.00,32.00,0.00,1172.00,172.00,11204.00,0.00,56.00,-484.00,0.00,4224.00,476.00,804.00,1940.00,536.00,0.00,-240.00,0.00
1966:Q4,17752.00,9772.00,2268.00,4604.00,1108.00,17752.00,10396.00,7424.00,3632.00,3792.00,-68.00,0.00,17752.00,2328.00,24.00,0.00,1268.00,160.00,7604.00,0.00,60.00,-268.00,12.00,4176.00,804.00,688.00,1740.00,588.00,0.00,-1432.00,0.00
1967:Q1,16776.00,9360.00,2772.00,3092.00,1552.00,16776.00,10132.00,6696.00,2380.00,4316.00,-52.00,0.00,16776.00,3748.00,4.00,0.00,648.00,136.00,5728.00,0.00,60.00,8.00,20.00,3440.00,320.00,660.00,1512.00,664.00,0.00,-172.00,0.00
1967:Q2,19936.00,9016.00,3332.00,5376.00,2212.00,19936.00,9208.00,10788.00,1476.00,9312.00,-60.00,0.00,19936.00,-80.00,-8.00,0.00,396.00,104.00,13296.00,0.00,64.00,-32.00,20.00,2628.00,-60.00,664.00,652.00,720.00,0.00,1572.00,0.00
1967:Q3,29004.00,17616.00,3788.00,5388.00,2212.00,29004.00,18408.00,10664.00,1180.00,9484.00,-68.00,0.00,29004.00,2240.00,-8.00,0.00,1252.00,108.00,19264.00,0.00,64.00,-12.00,20.00,2084.00,332.00,312.00,2212.00,644.00,0.00,492.00,0.00
1967:Q4,28892.00,17440.00,4268.00,5300.00,1884.00,28892.00,27648.00,1316.00,-6824.00,8140.00,-72.00,0.00,28892.00,2680.00,4.00,0.00,1408.00,112.00,17804.00,0.00,56.00,-164.00,16.00,3476.00,96.00,312.00,2732.00,668.00,0.00,-308.00,0.00
1968:Q1,26828.00,16580.00,2648.00,5176.00,2424.00,26828.00,8032.00,18708.00,13692.00,5016.00,-72.00,160.00,26828.00,4604.00,-24.00,0.00,1604.00,164.00,14324.00,0.00,20.00,-260.00,12.00,1828.00,32.00,580.00,3308.00,724.00,0.00,-692.00,604.00
1968:Q2,27568.00,15168.00,3060.00,6284.00,3056.00,27568.00,15816.00,11664.00,864.00,10800.00,-72.00,160.00,27568.00,-56.00,-8.00,0.00,1404.00,184.00,18484.00,0.00,24.00,-32.00,8.00,1792.00,-164.00,484.00,2552.00,760.00,0.00,1208.00,928.00
1968:Q3,30552.00,17908.00,3596.00,7252.00,1796.00,30552.00,18632.00,11656.00,2104.00,9552.00,-56.00,320.00,30552.00,3572.00,-4.00,0.00,1464.00,204.00,20460.00,0.00,24.00,-128.00,8.00,1944.00,84.00,24.00,1248.00,340.00,0.00,688.00,624.00
