1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,11.00,3.00,-1554.00,-226.00,0.00,3.00,-1382.00,55.00,55.00,0.00,58.00,-170.00,-27.00,-143.00,3094.00,-3237.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,50.00,0.00,58.00,0.00,58.00,-1639.00,-601.00,211.00,-1191.00,12.00,15.00,-3.00,0.00,0.00,-32.00,-1171.00,0.00,0.00,0.00,-58.00,8.00,-66.00,-78.00
1962:Q2,14.00,3.00,1466.00,-11.00,0.00,10.00,544.00,-127.00,-127.00,0.00,50.00,853.00,19.00,834.00,489.00,345.00,0.00,0.00,0.00,-32.00,0.00,0.00,0.00,-32.00,0.00,179.00,0.00,179.00,1458.00,420.00,-715.00,1708.00,92.00,-58.00,150.00,0.00,0.00,91.00,1525.00,0.00,0.00,0.00,45.00,5.00,40.00,2.00
1962:Q3,14.00,3.00,-179.00,-416.00,0.00,-48.00,179.00,719.00,719.00,0.00,50.00,-637.00,-26.00,-611.00,3465.00,-4076.00,0.00,0.00,0.00,-22.00,0.00,0.00,0.00,-22.00,0.00,-4.00,0.00,-4.00,-186.00,-101.00,1085.00,-1160.00,-75.00,26.00,-101.00,0.00,0.00,-80.00,-1005.00,0.00,0.00,0.00,-10.00,4.00,-14.00,3.00
1962:Q4,13.00,3.00,1990.00,-268.00,0.00,17.00,1262.00,-725.00,-725.00,0.00,80.00,1714.00,38.00,1676.00,3713.00,-2037.00,0.00,0.00,0.00,-10.00,0.00,0.00,0.00,-10.00,0.00,-81.00,0.00,-81.00,2044.00,349.00,249.00,1321.00,61.00,-25.00,86.00,0.00,0.00,19.00,1241.00,0.00,0.00,0.00,125.00,5.00,120.00,63.00
1963:Q1,14.00,3.00,-1832.00,-85.00,0.00,11.00,-1680.00,157.00,157.00,0.00,-80.00,-164.00,-23.00,-141.00,422.00,-563.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,29.00,0.00,-21.00,0.00,-21.00,-1925.00,-1044.00,-309.00,-350.00,314.00,60.00,254.00,0.00,0.00,-73.00,-591.00,0.00,0.00,0.00,-222.00,11.00,-233.00,-82.00
1963:Q2,14.00,3.00,1492.00,-192.00,0.00,9.00,415.00,-98.00,-98.00,0.00,-100.00,1484.00,-6.00,1490.00,1740.00,-250.00,0.00,0.00,0.00,-30.00,0.00,0.00,0.00,-30.00,0.00,4.00,0.00,4.00,1485.00,555.00,-727.00,1641.00,-116.00,-71.00,-45.00,0.00,0.00,0.00,1757.00,0.00,0.00,0.00,16.00,3.00,13.00,4.00
1963:Q3,14.00,3.00,134.00,-91.00,0.00,1.00,-203.00,369.00,369.00,0.00,-100.00,173.00,-7.00,180.00,-3754.00,3934.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,30.00,0.00,-45.00,0.00,-45.00,119.00,-344.00,1067.00,-583.00,153.00,19.00,134.00,0.00,0.00,-39.00,-697.00,0.00,0.00,0.00,-21.00,6.00,-27.00,-4.00
1963:Q4,15.00,3.00,2307.00,-45.00,0.00,-10.00,1165.00,-434.00,-434.00,0.00,-17.00,1629.00,54.00,1575.00,-2825.00,4400.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,17.00,0.00,17.00,2366.00,428.00,-291.00,2092.00,-87.00,-27.00,-60.00,0.00,0.00,36.00,2143.00,0.00,0.00,0.00,137.00,10.00,127.00,71.00
1964:Q1,-112.00,3.00,-1169.00,66.00,0.00,1.00,-1103.00,24.00,24.00,0.00,177.00,-429.00,-30.00,-399.00,-3794.00,3395.00,0.00,0.00,0.00,-32.00,0.00,0.00,0.00,-32.00,0.00,127.00,0.00,127.00,-1285.00,-438.00,241.00,-985.00,275.00,54.00,221.00,0.00,0.00,-42.00,-1218.00,0.00,0.00,0.00,-103.00,11.00,-114.00,-231.00
1964:Q2,-116.00,3.00,1262.00,-128.00,0.00,-1.00,136.00,24.00,24.00,0.00,80.00,1294.00,-17.00,1311.00,-2242.00,3553.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-143.00,0.00,-143.00,1250.00,362.00,39.00,816.00,-186.00,-24.00,-162.00,0.00,0.00,22.00,980.00,0.00,0.00,0.00,33.00,5.00,28.00,-131.00
1964:Q3,-116.00,3.00,649.00,26.00,0.00,-25.00,-66.00,14.00,14.00,0.00,80.00,492.00,36.00,456.00,-204.00,660.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,127.00,0.00,127.00,639.00,148.00,241.00,199.00,37.00,43.00,-6.00,0.00,0.00,-21.00,183.00,0.00,0.00,0.00,51.00,5.00,46.00,-129.00
1964:Q4,-122.00,3.00,2629.00,29.00,0.00,-148.00,1039.00,63.00,63.00,0.00,133.00,1556.00,0.00,1556.00,1077.00,479.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,28.00,0.00,-71.00,0.00,-71.00,3233.00,729.00,-248.00,2022.00,219.00,178.00,41.00,0.00,0.00,94.00,1709.00,0.00,0.00,0.00,730.00,6.00,724.00,479.00
1965:Q1,6.00,4.00,-1616.00,-799.00,0.00,-15.00,-1492.00,-47.00,-47.00,0.00,-23.00,619.00,34.00,585.00,782.00,-197.00,0.00,0.00,0.00,-15.00,0.00,0.00,0.00,-15.00,0.00,156.00,0.00,156.00,-1732.00,-767.00,308.00,-1196.00,-17.00,90.00,-107.00,0.00,0.00,-68.00,-1111.00,0.00,0.00,0.00,-77.00,12.00,-89.00,-114.00
1965:Q2,6.00,4.00,1611.00,-600.00,0.00,22.00,235.00,537.00,537.00,0.00,-100.00,1519.00,-90.00,1609.00,935.00,674.00,0.00,0.00,0.00,-4.00,0.00,0.00,0.00,-4.00,0.00,2.00,0.00,2.00,1604.00,952.00,138.00,629.00,-150.00,45.00,-195.00,0.00,0.00,13.00,766.00,0.00,0.00,0.00,-115.00,5.00,-120.00,-5.00
1965:Q3,7.00,4.00,430.00,128.00,0.00,60.00,56.00,-523.00,-523.00,0.00,-100.00,577.00,8.00,569.00,635.00,-66.00,0.00,0.00,0.00,-4.00,0.00,0.00,0.00,-4.00,0.00,237.00,0.00,237.00,424.00,-432.00,392.00,561.00,237.00,57.00,180.00,0.00,0.00,19.00,305.00,0.00,0.00,0.00,-97.00,3.00,-100.00,-3.00
1965:Q4,6.00,4.00,1922.00,-213.00,0.00,103.00,843.00,-27.00,-27.00,0.00,52.00,1273.00,64.00,1209.00,705.00,504.00,0.00,0.00,0.00,34.00,0.00,0.00,0.00,34.00,0.00,-143.00,0.00,-143.00,2024.00,650.00,-519.00,1898.00,-228.00,-44.00,-184.00,0.00,0.00,-32.00,2158.00,0.00,0.00,0.00,-5.00,7.00,-12.00,104.00
1966:Q1,2.00,4.00,-928.00,-220.00,0.00,161.00,-860.00,483.00,483.00,0.00,-2.00,-327.00,-45.00,-282.00,136.00,-418.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,-21.00,0.00,-142.00,0.00,-142.00,-1058.00,-506.00,619.00,-1048.00,58.00,180.00,-122.00,0.00,0.00,140.00,-1246.00,0.00,0.00,0.00,-123.00,9.00,-132.00,-132.00
1966:Q2,2.00,4.00,2348.00,-121.00,0.00,242.00,569.00,-292.00,-292.00,0.00,100.00,1681.00,108.00,1573.00,1210.00,363.00,0.00,0.00,0.00,-15.00,0.00,0.00,0.00,-15.00,0.00,184.00,0.00,184.00,2334.00,623.00,-236.00,1865.00,329.00,109.00,220.00,0.00,0.00,175.00,1361.00,0.00,0.00,0.00,82.00,2.00,80.00,-16.00
1966:Q3,4.00,4.00,209.00,46.00,0.00,108.00,-310.00,692.00,692.00,0.00,0.00,-322.00,-90.00,-232.00,5009.00,-5241.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,-15.00,0.00,-15.00,195.00,-494.00,596.00,154.00,589.00,42.00,547.00,0.00,0.00,-123.00,-312.00,0.00,0.00,0.00,-61.00,4.00,-65.00,-14.00
1966:Q4,6.00,4.00,2828.00,-18.00,0.00,231.00,863.00,-806.00,-806.00,0.00,285.00,2139.00,21.00,2118.00,699.00,1419.00,0.00,0.00,0.00,-15.00,0.00,0.00,0.00,-15.00,0.00,149.00,0.00,149.00,2967.00,1724.00,-380.00,1405.00,-812.00,85.00,-897.00,0.00,0.00,12.00,2205.00,0.00,0.00,0.00,218.00,4.00,214.00,141.00
1967:Q1,4.00,5.00,-1736.00,-559.00,0.00,187.00,-1250.00,-144.00,-144.00,0.00,-185.00,305.00,-69.00,374.00,1005.00,-631.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,-101.00,0.00,-101.00,-1902.00,-1175.00,520.00,-1059.00,420.00,159.00,261.00,0.00,0.00,-21.00,-1458.00,0.00,0.00,0.00,-188.00,8.00,-196.00,-167.00
1967:Q2,5.00,5.00,2772.00,216.00,0.00,108.00,85.00,24.00,24.00,0.00,-100.00,2326.00,36.00,2289.00,1199.00,1090.00,1.00,0.00,1.00,5.00,0.00,0.00,0.00,5.00,0.00,108.00,0.00,108.00,2772.00,886.00,-1116.00,2881.00,771.00,137.00,634.00,0.00,0.00,18.00,2092.00,0.00,0.00,0.00,121.00,7.00,114.00,1.00
