1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q2,4572948.00,1460907.00,3112041.00,587212.00,184151.00,52070.00,777410.00,708482.00,68928.00,4742.00,19734.00,0.00,0.00,44452.00,1511198.00,495146.00,4077802.00,17.00,24.98
1971:Q3,4642543.00,1490713.00,3151830.00,602289.00,189792.00,50141.00,763604.00,693654.00,69950.00,5015.00,20825.00,0.00,0.00,44110.00,1546004.00,507890.00,4134653.00,16.45,24.23
1971:Q4,4778159.00,1517856.00,3260303.00,623085.00,185910.00,50938.00,818845.00,743724.00,75121.00,6477.00,22163.00,0.00,0.00,46481.00,1581524.00,524086.00,4254073.00,17.14,25.12
1972:Q1,4941163.00,1570862.00,3370301.00,642135.00,186982.00,49756.00,865384.00,785993.00,79391.00,7123.00,24058.00,0.00,0.00,48210.00,1626043.00,531333.00,4409830.00,17.51,25.68
1972:Q2,5020249.00,1600620.00,3419629.00,660459.00,184108.00,50502.00,860783.00,781697.00,79086.00,7303.00,24271.00,0.00,0.00,47512.00,1663777.00,551272.00,4468977.00,17.15,25.17
1972:Q3,5155350.00,1649557.00,3505793.00,684343.00,182871.00,48996.00,880762.00,801771.00,78991.00,7617.00,24841.00,0.00,0.00,46533.00,1708821.00,566724.00,4588626.00,17.08,25.12
1972:Q4,5417536.00,1714193.00,3703343.00,708627.00,181778.00,50969.00,1006561.00,921384.00,85177.00,8727.00,26954.00,0.00,0.00,49496.00,1755409.00,585423.00,4832113.00,18.58,27.18
1973:Q1,5451492.00,1758650.00,3692842.00,728596.00,185863.00,48140.00,930053.00,853489.00,76564.00,8486.00,25565.00,0.00,0.00,42513.00,1800190.00,597546.00,4853946.00,17.06,25.19
1973:Q2,5509731.00,1819079.00,3690652.00,746387.00,189331.00,49631.00,856213.00,786769.00,69444.00,8169.00,23900.00,0.00,0.00,37375.00,1849090.00,616455.00,4893276.00,15.54,23.20
1973:Q3,5713960.00,1891192.00,3822768.00,758496.00,200905.00,48255.00,909600.00,833421.00,76179.00,9216.00,26195.00,0.00,0.00,40768.00,1905512.00,635549.00,5078411.00,15.92,23.79
