1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1998:Q2,26105.00,26105.00,-22155.00,14805.00,2859.00,2445.00,323.00,1894.00,539.00,459.00,24748.00,188.00
1998:Q3,98391.00,98391.00,42962.00,10868.00,2125.00,1744.00,1763.00,3941.00,773.00,772.00,33255.00,188.00
1998:Q4,84776.00,84776.00,20899.00,11306.00,2917.00,26002.00,184.00,-407.00,1186.00,577.00,21925.00,187.00
1999:Q1,86689.00,86689.00,52227.00,6112.00,1940.00,1077.00,97.00,2523.00,4070.00,1050.00,17405.00,188.00
1999:Q2,-17522.00,-17522.00,-37611.00,1367.00,214.00,838.00,-3593.00,902.00,2815.00,713.00,16645.00,188.00
1999:Q3,55883.00,55883.00,11064.00,9469.00,1310.00,840.00,664.00,4765.00,5146.00,1214.00,21223.00,188.00
1999:Q4,136418.00,136418.00,75700.00,18117.00,4671.00,1732.00,-2214.00,1071.00,546.00,471.00,36136.00,188.00
2000:Q1,81056.00,81056.00,82904.00,-4149.00,479.00,919.00,2285.00,-1739.00,285.00,-455.00,339.00,188.00
2000:Q2,-37899.00,-37899.00,-28513.00,-5331.00,275.00,493.00,167.00,-643.00,13.00,41.00,-5385.00,984.00
2000:Q3,69128.00,69128.00,35125.00,7485.00,3532.00,874.00,174.00,275.00,2913.00,559.00,17208.00,983.00
2000:Q4,117870.00,117870.00,72130.00,19125.00,4399.00,405.00,875.00,2651.00,864.00,99.00,16338.00,984.00
2001:Q1,190211.00,190211.00,88528.00,35135.00,2973.00,614.00,-3674.00,6325.00,-3551.00,1231.00,61646.00,984.00
2001:Q2,16996.00,16996.00,-32920.00,27139.00,1620.00,1368.00,-401.00,-2357.00,-194.00,748.00,21010.00,983.00
2001:Q3,109183.00,109183.00,54667.00,10357.00,1678.00,-3.00,1752.00,7855.00,-389.00,1030.00,31252.00,984.00
2001:Q4,123672.00,123672.00,53836.00,27519.00,3317.00,1268.00,-788.00,-2147.00,-1557.00,641.00,40599.00,984.00
2002:Q1,-37453.00,-37453.00,-15133.00,656.00,-750.00,306.00,-643.00,1602.00,1120.00,62.00,-25656.00,983.00
2002:Q2,-57088.00,-57088.00,-67259.00,-8117.00,1010.00,265.00,168.00,2757.00,5039.00,247.00,7818.00,984.00
2002:Q3,-32605.00,-32605.00,4052.00,-7830.00,-1646.00,-17.00,3268.00,4722.00,3116.00,-353.00,-37495.00,-422.00
2002:Q4,106911.00,106911.00,46816.00,20941.00,3731.00,1033.00,2181.00,-3486.00,143.00,-879.00,36853.00,-422.00
2003:Q1,-66211.00,-66211.00,11010.00,-11945.00,573.00,-38.00,-1564.00,2213.00,-1176.00,-892.00,-63969.00,-423.00
2003:Q2,-41253.00,-41253.00,-55627.00,-2989.00,573.00,1812.00,1260.00,-4080.00,292.00,-843.00,18771.00,-422.00
2003:Q3,-67261.00,-67261.00,-83643.00,-13041.00,574.00,858.00,-272.00,845.00,343.00,-909.00,26281.00,1703.00
2003:Q4,-50329.00,-50329.00,15281.00,-2466.00,573.00,2120.00,-394.00,-10318.00,27.00,-744.00,-56111.00,1703.00
2004:Q1,-47413.00,-47413.00,1255.00,-1040.00,618.00,2062.00,-928.00,2878.00,-108.00,-671.00,-53182.00,1703.00
2004:Q2,-50735.00,-50735.00,-27892.00,-2768.00,768.00,4395.00,-1287.00,2081.00,212.00,-1055.00,-26892.00,1703.00
2004:Q3,-49701.00,-49701.00,-58764.00,6.00,768.00,2505.00,1099.00,3356.00,267.00,2369.00,-1631.00,324.00
2004:Q4,9528.00,9528.00,30542.00,14089.00,769.00,3561.00,236.00,-5360.00,183.00,4573.00,-39389.00,324.00
