1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2014:Q2,62730.00,-6084.00,-1160.00,-824.00,99347.00,-10005.00,7696.00,1572.00,7596.00,92488.00,23054.00,5492.00,17562.00,8244.00,472.00,-1976.00,-58343.00,58924.00,9052.00,-11844.00,2332.00,42700.00,16784.00,-2052.00,10952.00,-9000.00
2014:Q3,149530.00,14888.00,6260.00,124.00,77259.00,-12865.00,10324.00,-4860.00,7404.00,77256.00,28831.00,10352.00,18479.00,824.00,472.00,4848.00,16025.00,96268.00,-2624.00,-17576.00,1284.00,45600.00,36228.00,-2440.00,16040.00,19756.00
2014:Q4,232716.00,-8776.00,19968.00,1632.00,36970.00,2702.00,20228.00,-42640.00,9460.00,47220.00,35791.00,7912.00,27879.00,8700.00,472.00,624.00,137335.00,139136.00,-2568.00,-16044.00,2104.00,63756.00,46696.00,-2600.00,-3804.00,51596.00
2015:Q1,-80876.00,-4120.00,-844.00,-684.00,-49465.00,6303.00,312.00,-22376.00,4108.00,-37812.00,-18639.00,-15456.00,-3183.00,4064.00,-244.00,7720.00,-18663.00,-121792.00,976.00,-22476.00,8592.00,-81132.00,-82584.00,7356.00,32440.00,15036.00
2015:Q2,5483.00,-27628.00,-4504.00,-1024.00,48364.00,-4552.00,3256.00,-9496.00,8232.00,50924.00,31807.00,-6344.00,38151.00,5116.00,-244.00,-260.00,-46145.00,37500.00,1208.00,-3708.00,8588.00,24920.00,92008.00,-2500.00,1108.00,-84124.00
2015:Q3,258259.00,43176.00,22640.00,1708.00,85755.00,4655.00,12276.00,-7884.00,10344.00,66364.00,33438.00,2872.00,30566.00,5564.00,-244.00,-5312.00,71533.00,267036.00,-142.00,-7544.00,4064.00,44292.00,149540.00,-5428.00,-832.00,83086.00
2015:Q4,129749.00,24680.00,-13952.00,-1900.00,55686.00,-22118.00,3032.00,-6360.00,10300.00,70832.00,57810.00,-1460.00,59270.00,-2792.00,-244.00,-3896.00,14357.00,104416.00,1531.00,-6276.00,3528.00,28224.00,63676.00,808.00,-1512.00,14437.00
2016:Q1,323133.00,-8344.00,7832.00,732.00,184671.00,18819.00,10828.00,16728.00,9920.00,128376.00,45854.00,14620.00,31234.00,2992.00,180.00,2764.00,86452.00,346848.00,307.00,-7284.00,9976.00,62488.00,84108.00,2676.00,35344.00,159233.00
2016:Q2,311437.00,37352.00,-1700.00,-156.00,156159.00,3811.00,6976.00,13632.00,8084.00,123656.00,29902.00,-5132.00,35034.00,4128.00,248.00,4524.00,80981.00,310072.00,-1276.00,-5916.00,19180.00,92704.00,35860.00,408.00,1068.00,168044.00
2016:Q3,87219.00,-21620.00,732.00,68.00,113988.00,-8036.00,6688.00,12068.00,7156.00,96112.00,30184.00,4888.00,25296.00,2576.00,152.00,9831.00,-48691.00,115076.00,552.00,-2864.00,8340.00,42968.00,30852.00,-5044.00,32740.00,7532.00
