1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,233683.00,172637.00,44202.00,128435.00,0.00,61046.00,50135.00,0.00,0.00,10911.00,0.00,233683.00,70225.00,50135.00,20090.00,16718.00,0.00,11988.00,0.00,11988.00,24610.00,12654.00,11956.00,69353.00,518.00,274.00,150.00,5657.00,0.00,5657.00,7555.00,0.00,7555.00,2751.00,2063.00,688.00,10911.00,10911.00,0.00,4944.00,0.00,0.00,0.00,276.00,0.00,276.00,195.00,0.00,1226.00,0.00,243.00,0.00,6089.00,0.00,6089.00
1957:Q1,232013.00,171487.00,44695.00,126792.00,0.00,60526.00,49552.00,0.00,0.00,10924.00,50.00,232013.00,70878.00,49552.00,21326.00,16166.00,0.00,12017.00,0.00,12017.00,22666.00,11667.00,10999.00,69737.00,484.00,277.00,154.00,5530.00,0.00,5530.00,7478.00,0.00,7478.00,2677.00,2008.00,669.00,10924.00,10924.00,0.00,5061.00,0.00,0.00,0.00,280.00,0.00,280.00,201.00,0.00,1342.00,0.00,113.00,0.00,6028.00,0.00,6028.00
1957:Q2,226421.00,166057.00,43893.00,122164.00,0.00,60364.00,49090.00,0.00,0.00,11224.00,50.00,226421.00,70743.00,49090.00,21653.00,14227.00,0.00,12006.00,0.00,12006.00,22635.00,11621.00,11014.00,66360.00,501.00,279.00,158.00,5423.00,0.00,5423.00,7348.00,0.00,7348.00,2604.00,1953.00,651.00,11224.00,11224.00,0.00,5114.00,0.00,0.00,0.00,292.00,0.00,292.00,207.00,0.00,1269.00,0.00,87.00,0.00,5944.00,0.00,5944.00
1957:Q3,230591.00,170669.00,61668.00,109001.00,0.00,59922.00,48602.00,0.00,0.00,11270.00,50.00,230591.00,71650.00,48602.00,23048.00,14773.00,0.00,11867.00,0.00,11867.00,22752.00,20511.00,2241.00,69467.00,489.00,281.00,162.00,5437.00,0.00,5437.00,7289.00,0.00,7289.00,2535.00,1901.00,634.00,11270.00,11270.00,0.00,5147.00,0.00,0.00,0.00,291.00,0.00,291.00,213.00,0.00,1137.00,0.00,223.00,0.00,5608.00,0.00,5608.00
1957:Q4,231465.00,171843.00,61411.00,110432.00,0.00,59622.00,48226.00,0.00,0.00,11346.00,50.00,231465.00,71507.00,48226.00,23281.00,15589.00,0.00,11660.00,0.00,11660.00,23719.00,20918.00,2801.00,68661.00,487.00,284.00,165.00,5480.00,0.00,5480.00,7029.00,0.00,7029.00,2461.00,1846.00,615.00,11346.00,11346.00,0.00,5058.00,0.00,0.00,0.00,277.00,0.00,277.00,220.00,0.00,1143.00,0.00,449.00,0.00,5930.00,0.00,5930.00
1958:Q1,229917.00,170060.00,54500.00,115560.00,0.00,59857.00,48146.00,0.00,0.00,11511.00,200.00,229917.00,70949.00,48146.00,22803.00,14394.00,0.00,11326.00,0.00,11326.00,23125.00,20839.00,2286.00,69928.00,473.00,289.00,169.00,5248.00,0.00,5248.00,7087.00,0.00,7087.00,2411.00,1808.00,603.00,11511.00,11511.00,0.00,5104.00,0.00,0.00,0.00,314.00,0.00,314.00,227.00,0.00,1742.00,0.00,332.00,0.00,5288.00,0.00,5288.00
1958:Q2,233403.00,173354.00,55326.00,118028.00,0.00,60049.00,48025.00,0.00,0.00,11859.00,165.00,233403.00,71186.00,48025.00,23161.00,12340.00,0.00,11395.00,0.00,11395.00,25138.00,22649.00,2489.00,72954.00,501.00,296.00,173.00,5160.00,0.00,5160.00,7075.00,0.00,7075.00,2432.00,1824.00,608.00,11859.00,11859.00,0.00,4950.00,0.00,0.00,0.00,401.00,0.00,401.00,234.00,0.00,1631.00,0.00,867.00,0.00,4811.00,0.00,4811.00
1958:Q3,234110.00,173914.00,61186.00,112728.00,0.00,60196.00,47861.00,0.00,0.00,12170.00,165.00,234110.00,68645.00,47861.00,20784.00,13175.00,0.00,11471.00,0.00,11471.00,24660.00,22492.00,2168.00,75134.00,482.00,302.00,177.00,5265.00,0.00,5265.00,7295.00,0.00,7295.00,2431.00,1823.00,608.00,12170.00,12170.00,0.00,4960.00,0.00,0.00,0.00,356.00,0.00,356.00,242.00,0.00,1497.00,0.00,199.00,0.00,5649.00,0.00,5649.00
1958:Q4,241244.00,181096.00,66112.00,114984.00,0.00,60148.00,47703.00,0.00,0.00,12280.00,165.00,241244.00,68638.00,47703.00,20935.00,16092.00,0.00,11627.00,0.00,11627.00,26252.00,20900.00,5352.00,76727.00,510.00,303.00,180.00,5439.00,0.00,5439.00,7183.00,0.00,7183.00,2451.00,1838.00,613.00,12280.00,12280.00,0.00,5021.00,0.00,0.00,0.00,401.00,0.00,401.00,249.00,0.00,1252.00,0.00,604.00,0.00,6035.00,0.00,6035.00
1959:Q1,241163.00,181118.00,66624.00,114494.00,0.00,60045.00,47467.00,0.00,0.00,12413.00,165.00,241163.00,69977.00,47467.00,22510.00,17280.00,0.00,11848.00,0.00,11848.00,25424.00,20146.00,5278.00,74034.00,513.00,233.00,183.00,5360.00,0.00,5360.00,7212.00,0.00,7212.00,2476.00,1857.00,619.00,12413.00,12413.00,0.00,5102.00,0.00,0.00,0.00,432.00,0.00,432.00,269.00,0.00,1457.00,0.00,408.00,0.00,6542.00,0.00,6542.00
