date,FU263192005.Q,FU263192101.Q,FU263192113.Q,FU263192125.Q,FU263192193.Q,FU263192305.Q,FU263192313.Q,FU263092313.Q,FU103092005.Q,FU263192193.Q,FU763092000.Q,FU513092003.Q,FU543092073.Q,FU613092003.Q,FU663092003.Q,FU103192005.Q,FU263092193.Q,FU115114005.Q,FU753192003.Q,FU513192003.Q,FU543192073.Q,FU613192003.Q,FU663192005.Q,FU733192003.Q,FU503192003.Q,FU263092001.Q,FU263092101.Q,FU263092113.Q,FU263092125.Q,FU263092193.Q,FU263092303.Q,FU263092323.Q,FU263192323.Q,FU263192035.Q,FU263192101.Q,FU263192345.Q,FU263192313.Q,FU263192323.Q,FU263092035.Q,FU263092101.Q,FU263092345.Q,FU263092313.Q,FU263092323.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,288.00,ND,ND,ND,ND,ND,ND,ND,265.00,ND,4.00,4.00,3.00,6.00,6.00,-286.00,ND,3.00,4.00,2.00,2.00,0.00,5.00,0.00,0.00,-270.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q1,302.00,ND,ND,ND,ND,ND,ND,ND,282.00,ND,3.00,2.00,3.00,5.00,7.00,91.00,ND,2.00,4.00,2.00,2.00,1.00,5.00,0.00,0.00,107.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q2,371.00,ND,ND,ND,ND,ND,ND,ND,348.00,ND,4.00,3.00,3.00,6.00,7.00,53.00,ND,2.00,3.00,1.00,1.00,1.00,3.00,0.00,0.00,64.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,550.00,ND,ND,ND,ND,ND,ND,ND,527.00,ND,4.00,3.00,3.00,6.00,7.00,33.00,ND,2.00,3.00,1.00,1.00,1.00,3.00,0.00,0.00,44.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,728.00,ND,ND,ND,ND,ND,ND,ND,703.00,ND,6.00,2.00,3.00,7.00,7.00,6.00,ND,2.00,3.00,1.00,1.00,1.00,3.00,0.00,0.00,17.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q1,474.00,ND,ND,ND,ND,ND,ND,ND,451.00,ND,4.00,2.00,3.00,6.00,8.00,20.00,ND,1.00,3.00,1.00,1.00,1.00,2.00,0.00,0.00,29.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,1189.00,ND,ND,ND,ND,ND,ND,ND,1163.00,ND,5.00,3.00,3.00,7.00,8.00,47.00,ND,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,52.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q3,399.00,ND,ND,ND,ND,ND,ND,ND,373.00,ND,5.00,3.00,3.00,7.00,8.00,-5.00,ND,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q4,380.00,ND,ND,ND,ND,ND,ND,ND,350.00,ND,5.00,3.00,4.00,9.00,9.00,71.00,ND,1.00,1.00,1.00,1.00,-2.00,1.00,0.00,0.00,74.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q1,167.00,ND,ND,ND,ND,ND,ND,ND,144.00,ND,3.00,3.00,3.00,7.00,7.00,24.00,ND,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,29.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
