1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,272301.00,48540.00,32734.00,144447.00,98745.00,14064.00,21803.00,9835.00,46580.00,272301.00,247392.00,156401.00,52543.00,37929.00,0.00,519.00,11015.00,1228.00,0.00,0.00,0.00,361.00,5268.00,0.00,4158.00,0.00,0.00,13894.00,272301.00,59282.00,25209.00,8701.00,3061.00,21590.00,721.00,213019.00,26.00,145624.00,1332.00,209.00,2244.00,161.00,36508.00,449.00,395.00,0.00,4822.00,149.00,0.00,17958.00,0.00,3142.00,0.00,0.00,0.00
1957:Q1,273710.00,48116.00,33062.00,147290.00,100851.00,14085.00,22321.00,10033.00,45242.00,273710.00,249987.00,157484.00,53682.00,38245.00,0.00,576.00,9717.00,961.00,0.00,0.00,0.00,211.00,5057.00,0.00,3488.00,0.00,0.00,14006.00,273710.00,58415.00,25686.00,7609.00,2748.00,21610.00,762.00,215295.00,26.00,146536.00,1315.00,214.00,2310.00,161.00,37274.00,482.00,425.00,0.00,5064.00,157.00,0.00,18316.00,0.00,3015.00,0.00,0.00,0.00
1957:Q2,281339.00,50490.00,33380.00,150246.00,103039.00,14182.00,22794.00,10231.00,47223.00,281339.00,257430.00,162474.00,55042.00,39336.00,0.00,578.00,9847.00,1079.00,0.00,0.00,0.00,3.00,4969.00,0.00,3796.00,0.00,0.00,14062.00,281339.00,59387.00,26147.00,8152.00,2869.00,21405.00,814.00,221952.00,1.00,151316.00,1351.00,219.00,2462.00,161.00,37859.00,514.00,460.00,0.00,5579.00,166.00,0.00,18654.00,0.00,3210.00,0.00,0.00,0.00
1957:Q3,285502.00,50151.00,33778.00,153602.00,105397.00,14379.00,23478.00,10348.00,47971.00,285502.00,261291.00,165542.00,54971.00,40086.00,48.00,644.00,10076.00,1119.00,0.00,0.00,0.00,118.00,4971.00,0.00,3868.00,0.00,0.00,14135.00,285502.00,60085.00,26676.00,8064.00,2843.00,21631.00,871.00,225417.00,7.00,153436.00,1368.00,224.00,2610.00,161.00,38461.00,547.00,499.00,0.00,5883.00,170.00,0.00,18945.00,0.00,3106.00,0.00,0.00,0.00
1957:Q4,291164.00,50713.00,34593.00,156641.00,107374.00,14611.00,24259.00,10397.00,49217.00,291164.00,265857.00,168575.00,56138.00,40378.00,96.00,670.00,10576.00,1265.00,0.00,0.00,0.00,81.00,4943.00,0.00,4287.00,0.00,0.00,14731.00,291164.00,62126.00,27177.00,8742.00,3102.00,22182.00,923.00,229038.00,5.00,155886.00,1381.00,229.00,2694.00,161.00,39105.00,583.00,540.00,0.00,6204.00,173.00,0.00,19272.00,0.00,2805.00,0.00,0.00,0.00
1958:Q1,289988.00,48684.00,35193.00,159336.00,108975.00,15025.00,24812.00,10524.00,46775.00,289988.00,265128.00,167641.00,55704.00,40840.00,222.00,721.00,10009.00,696.00,0.00,0.00,0.00,7.00,5057.00,0.00,4249.00,0.00,0.00,14851.00,289988.00,61347.00,27701.00,7512.00,2702.00,22457.00,975.00,228641.00,0.00,154909.00,1446.00,239.00,2682.00,161.00,39663.00,619.00,584.00,0.00,5833.00,175.00,0.00,19276.00,0.00,3054.00,0.00,0.00,0.00
1958:Q2,296631.00,50145.00,35873.00,162909.00,111142.00,15517.00,25496.00,10754.00,47704.00,296631.00,269951.00,171149.00,55462.00,42235.00,347.00,758.00,11633.00,929.00,0.00,0.00,0.00,0.00,5171.00,0.00,5533.00,0.00,0.00,15047.00,296631.00,62943.00,28584.00,7958.00,2774.00,22601.00,1026.00,233688.00,0.00,159049.00,1483.00,252.00,2787.00,161.00,40087.00,655.00,631.00,0.00,5945.00,177.00,0.00,18975.00,0.00,3486.00,0.00,0.00,0.00
1958:Q3,299649.00,48511.00,35982.00,167216.00,114035.00,16020.00,26204.00,10957.00,47940.00,299649.00,274244.00,174659.00,55018.00,43311.00,439.00,817.00,10006.00,1010.00,0.00,0.00,0.00,19.00,4885.00,0.00,4092.00,0.00,0.00,15399.00,299649.00,64225.00,29284.00,8051.00,2808.00,23003.00,1079.00,235424.00,1.00,160530.00,1486.00,265.00,2875.00,161.00,40563.00,695.00,681.00,0.00,6086.00,183.00,0.00,18344.00,0.00,3554.00,0.00,0.00,0.00
1958:Q4,310901.00,51916.00,37422.00,172073.00,117177.00,16565.00,27222.00,11109.00,49490.00,310901.00,283525.00,180371.00,57592.00,44180.00,532.00,850.00,11606.00,1298.00,0.00,0.00,0.00,60.00,5400.00,0.00,4848.00,0.00,0.00,15770.00,310901.00,66814.00,30043.00,8907.00,3103.00,23626.00,1135.00,244087.00,18.00,167125.00,1456.00,272.00,2961.00,160.00,41250.00,742.00,736.00,0.00,6432.00,190.00,0.00,18975.00,0.00,3770.00,0.00,0.00,0.00
1959:Q1,314545.00,50969.00,38400.00,176185.00,119935.00,17132.00,27761.00,11357.00,48991.00,314545.00,287559.00,182567.00,57891.00,45645.00,581.00,875.00,11275.00,1087.00,0.00,0.00,0.00,85.00,5914.00,0.00,4189.00,0.00,0.00,15711.00,314545.00,67091.00,30602.00,8118.00,2836.00,24339.00,1196.00,247454.00,18.00,168947.00,1453.00,230.00,3027.00,160.00,41734.00,796.00,792.00,0.00,6555.00,195.00,0.00,19743.00,0.00,3804.00,0.00,0.00,0.00
