1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q2,334908.00,332394.00,278565.00,278565.00,0.00,53829.00,53829.00,0.00,2514.00,334908.00,294788.00,0.00,0.00,0.00,1155.00,9.00,5703.00,3626.00,8981.00,0.00,340.00,8949.00,3749.00,0.00,768.00,0.00,6840.00,332394.00,0.00,0.00,0.00,ND
1958:Q3,367416.00,364630.00,310541.00,310541.00,0.00,54089.00,54089.00,0.00,2786.00,367416.00,323591.00,0.00,0.00,0.00,1279.00,10.00,6184.00,3831.00,10184.00,0.00,365.00,10142.00,3868.00,0.00,425.00,0.00,7537.00,364630.00,0.00,0.00,0.00,ND
1958:Q4,382051.00,378956.00,324670.00,324670.00,0.00,54286.00,54286.00,0.00,3095.00,382051.00,333401.00,0.00,0.00,0.00,1400.00,10.00,6721.00,4109.00,11561.00,0.00,400.00,11672.00,3984.00,0.00,488.00,0.00,8305.00,378956.00,0.00,0.00,0.00,ND
1959:Q1,389733.00,386540.00,332012.00,332012.00,0.00,54528.00,54528.00,0.00,3193.00,389733.00,339692.00,0.00,0.00,0.00,1402.00,10.00,6763.00,4133.00,12137.00,0.00,415.00,12455.00,4044.00,0.00,207.00,0.00,8475.00,386540.00,0.00,0.00,0.00,ND
1959:Q2,404640.00,401189.00,346451.00,346451.00,0.00,54738.00,54738.00,0.00,3451.00,404640.00,351283.00,0.00,0.00,0.00,1445.00,11.00,7092.00,4375.00,13278.00,0.00,453.00,13260.00,4146.00,0.00,258.00,0.00,9039.00,401189.00,0.00,0.00,0.00,ND
1959:Q3,398247.00,394795.00,339875.00,339875.00,0.00,54920.00,54920.00,0.00,3452.00,398247.00,345399.00,0.00,0.00,0.00,1371.00,11.00,6890.00,4309.00,13422.00,0.00,460.00,12861.00,4254.00,0.00,364.00,0.00,8906.00,394795.00,0.00,0.00,0.00,ND
1959:Q4,420820.00,417131.00,362157.00,362157.00,0.00,54974.00,54974.00,0.00,3689.00,420820.00,364442.00,0.00,0.00,0.00,1400.00,11.00,7204.00,4561.00,14525.00,0.00,500.00,13867.00,4381.00,0.00,566.00,0.00,9363.00,417131.00,0.00,0.00,0.00,ND
1960:Q1,397831.00,394287.00,339310.00,339310.00,0.00,54977.00,54977.00,0.00,3544.00,397831.00,344090.00,0.00,0.00,0.00,1290.00,12.00,6808.00,4368.00,14128.00,0.00,491.00,13284.00,4283.00,0.00,266.00,0.00,8811.00,394287.00,0.00,0.00,0.00,ND
1960:Q2,406755.00,403002.00,347588.00,347588.00,0.00,55414.00,55414.00,0.00,3753.00,406755.00,350070.00,0.00,0.00,0.00,1306.00,13.00,7119.00,4642.00,15118.00,0.00,532.00,13989.00,4586.00,0.00,299.00,0.00,9081.00,403002.00,0.00,0.00,0.00,ND
1960:Q3,380195.00,376615.00,321285.00,321285.00,0.00,55330.00,55330.00,0.00,3580.00,380195.00,325875.00,0.00,0.00,0.00,1199.00,14.00,6734.00,4456.00,14603.00,0.00,521.00,13425.00,4468.00,0.00,440.00,0.00,8460.00,376615.00,0.00,0.00,0.00,ND
1960:Q4,425058.00,421074.00,365166.00,365166.00,0.00,55908.00,55908.00,0.00,3984.00,425058.00,364553.00,0.00,0.00,0.00,1300.00,15.00,7456.00,4981.00,16545.00,0.00,600.00,14806.00,4964.00,0.00,536.00,0.00,9302.00,421074.00,0.00,0.00,0.00,ND
1961:Q1,471012.00,466533.00,410353.00,410353.00,0.00,56180.00,56180.00,0.00,4479.00,471012.00,403160.00,0.00,0.00,0.00,1445.00,15.00,8384.00,5621.00,19082.00,0.00,704.00,17109.00,5013.00,0.00,11.00,0.00,10468.00,466533.00,0.00,0.00,0.00,ND
1961:Q2,472076.00,467636.00,411555.00,411555.00,0.00,56081.00,56081.00,0.00,4440.00,472076.00,403029.00,0.00,0.00,0.00,1438.00,16.00,8368.00,5593.00,19596.00,0.00,735.00,17764.00,4849.00,0.00,152.00,0.00,10536.00,467636.00,0.00,0.00,0.00,ND
1961:Q3,484215.00,479691.00,423621.00,423621.00,0.00,56070.00,56070.00,0.00,4524.00,484215.00,412628.00,0.00,0.00,0.00,1477.00,16.00,8588.00,5729.00,20660.00,0.00,792.00,18591.00,4757.00,0.00,77.00,0.00,10900.00,479691.00,0.00,0.00,0.00,ND
1961:Q4,521094.00,516192.00,437674.00,437674.00,0.00,78518.00,78518.00,0.00,4902.00,521094.00,443217.00,0.00,0.00,0.00,1600.00,16.00,9309.00,6258.00,22856.00,0.00,900.00,20252.00,4684.00,0.00,194.00,0.00,11808.00,516192.00,0.00,0.00,0.00,ND
1962:Q1,510450.00,505572.00,427931.00,427931.00,0.00,77641.00,77641.00,0.00,4878.00,510450.00,433050.00,0.00,0.00,0.00,1582.00,16.00,9197.00,6290.00,22866.00,0.00,931.00,20312.00,4639.00,0.00,19.00,0.00,11548.00,505572.00,0.00,0.00,0.00,ND
1962:Q2,390218.00,386371.00,326582.00,326582.00,0.00,59789.00,59789.00,0.00,3847.00,390218.00,329789.00,0.00,0.00,0.00,1232.00,17.00,7145.00,5017.00,17845.00,0.00,753.00,15824.00,3706.00,0.00,97.00,0.00,8793.00,386371.00,0.00,0.00,0.00,ND
1962:Q3,412673.00,408488.00,345363.00,345363.00,0.00,63125.00,63125.00,0.00,4185.00,412673.00,348408.00,0.00,0.00,0.00,1328.00,17.00,7673.00,5520.00,19251.00,0.00,845.00,16215.00,3917.00,0.00,232.00,0.00,9267.00,408488.00,0.00,0.00,0.00,ND
1962:Q4,503823.00,499109.00,424314.00,424314.00,0.00,74795.00,74795.00,0.00,4714.00,503823.00,431230.00,0.00,0.00,0.00,1500.00,16.00,8620.00,6280.00,21885.00,0.00,1000.00,18339.00,4362.00,0.00,255.00,0.00,10336.00,499109.00,0.00,0.00,0.00,ND
1963:Q1,532830.00,527887.00,447981.00,447981.00,0.00,79906.00,79906.00,0.00,4943.00,532830.00,455641.00,0.00,0.00,0.00,1596.00,17.00,9092.00,6642.00,23509.00,0.00,1122.00,19587.00,4645.00,0.00,29.00,0.00,10950.00,527887.00,0.00,0.00,0.00,ND
1963:Q2,558992.00,553939.00,469026.00,469026.00,0.00,84913.00,84913.00,0.00,5053.00,558992.00,477302.00,0.00,0.00,0.00,1674.00,17.00,9417.00,6843.00,24949.00,0.00,1249.00,20917.00,4942.00,0.00,156.00,0.00,11526.00,553939.00,0.00,0.00,0.00,ND
1963:Q3,582272.00,577178.00,487677.00,487677.00,0.00,89501.00,89501.00,0.00,5094.00,582272.00,497411.00,0.00,0.00,0.00,1738.00,17.00,9665.00,6960.00,26270.00,0.00,1375.00,21491.00,5210.00,0.00,104.00,0.00,12031.00,577178.00,0.00,0.00,0.00,ND
1963:Q4,558475.00,553330.00,465779.00,465779.00,0.00,87551.00,87551.00,0.00,5145.00,558475.00,469895.00,0.00,0.00,0.00,1800.00,17.00,9959.00,7118.00,27670.00,0.00,1500.00,22085.00,5467.00,0.00,479.00,0.00,12485.00,553330.00,0.00,0.00,0.00,ND
1964:Q1,593215.00,587915.00,495027.00,495027.00,0.00,92888.00,92888.00,0.00,5300.00,593215.00,499442.00,0.00,0.00,0.00,1891.00,17.00,10499.00,7433.00,29690.00,0.00,1657.00,23697.00,5571.00,0.00,181.00,0.00,13137.00,587915.00,0.00,0.00,0.00,ND
1964:Q2,612252.00,606920.00,511094.00,511094.00,0.00,95826.00,95826.00,0.00,5332.00,612252.00,515081.00,0.00,0.00,0.00,1934.00,18.00,10866.00,7581.00,31136.00,0.00,1782.00,24256.00,5700.00,0.00,430.00,0.00,13468.00,606920.00,0.00,0.00,0.00,ND
1964:Q3,633228.00,627876.00,528953.00,528953.00,0.00,98923.00,98923.00,0.00,5352.00,633228.00,532323.00,0.00,0.00,0.00,1976.00,19.00,11227.00,7747.00,32638.00,0.00,1906.00,25693.00,5788.00,0.00,145.00,0.00,13766.00,627876.00,0.00,0.00,0.00,ND
1964:Q4,647246.00,641976.00,545955.00,545955.00,0.00,96021.00,96021.00,0.00,5270.00,647246.00,544127.00,0.00,0.00,0.00,2000.00,20.00,11351.00,7834.00,33705.00,0.00,2000.00,25638.00,5839.00,0.00,897.00,0.00,13835.00,641976.00,0.00,0.00,0.00,ND
1965:Q1,663263.00,658083.00,559834.00,559834.00,0.00,98249.00,98249.00,0.00,5180.00,663263.00,557830.00,0.00,0.00,0.00,2044.00,24.00,11435.00,7985.00,34953.00,0.00,2094.00,26533.00,5763.00,0.00,688.00,0.00,13914.00,658083.00,0.00,0.00,0.00,ND
1965:Q2,637854.00,633045.00,539451.00,539451.00,0.00,93594.00,93594.00,0.00,4809.00,637854.00,534567.00,0.00,0.00,0.00,2003.00,27.00,10887.00,7778.00,34570.00,0.00,2074.00,26183.00,5409.00,0.00,1077.00,0.00,13279.00,633045.00,0.00,0.00,0.00,ND
