1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q4,728.00,728.00,0.00,-76.00,-76.00,840.00,840.00,0.00,0.00,212.00,212.00,592.00,140.00,348.00,104.00,592.00,1444.00,684.00,352.00,408.00,0.00,0.00,0.00,140.00,140.00,0.00,0.00,0.00,0.00,-1347.00,12952.00,3648.00,-1347.00,12952.00,3648.00
1965:Q1,-564.00,-564.00,0.00,-100.00,-100.00,-604.00,-604.00,0.00,0.00,232.00,232.00,664.00,144.00,416.00,104.00,664.00,1448.00,708.00,348.00,392.00,0.00,0.00,0.00,128.00,128.00,0.00,0.00,0.00,0.00,-186.00,12552.00,1891.00,-186.00,12552.00,1891.00
1965:Q2,376.00,376.00,0.00,-92.00,-92.00,508.00,508.00,0.00,0.00,252.00,252.00,740.00,144.00,492.00,104.00,740.00,1520.00,724.00,412.00,384.00,0.00,0.00,0.00,24.00,24.00,0.00,0.00,0.00,0.00,634.00,12768.00,2719.00,634.00,12768.00,2719.00
1965:Q3,456.00,456.00,0.00,-68.00,-68.00,-924.00,-924.00,0.00,0.00,272.00,272.00,780.00,156.00,520.00,104.00,780.00,1580.00,728.00,456.00,396.00,0.00,0.00,0.00,280.00,280.00,0.00,0.00,0.00,0.00,1962.00,13256.00,3811.00,1962.00,13256.00,3811.00
1965:Q4,-204.00,-204.00,0.00,-76.00,-76.00,404.00,404.00,0.00,0.00,300.00,300.00,784.00,180.00,500.00,104.00,784.00,1636.00,716.00,484.00,436.00,0.00,0.00,0.00,184.00,184.00,0.00,0.00,0.00,0.00,1830.00,14276.00,3883.00,1830.00,14276.00,3883.00
1966:Q1,-364.00,-364.00,0.00,-80.00,-80.00,-884.00,-884.00,0.00,0.00,328.00,328.00,824.00,200.00,496.00,128.00,824.00,1696.00,708.00,524.00,464.00,0.00,0.00,0.00,92.00,92.00,0.00,0.00,0.00,0.00,1265.00,13812.00,2095.00,1265.00,13812.00,2095.00
1966:Q2,360.00,360.00,0.00,-464.00,-464.00,804.00,804.00,0.00,0.00,360.00,360.00,844.00,220.00,496.00,128.00,844.00,1760.00,696.00,568.00,496.00,0.00,0.00,0.00,-12.00,-12.00,0.00,0.00,0.00,0.00,4181.00,14112.00,3215.00,4181.00,14112.00,3215.00
1966:Q3,512.00,512.00,0.00,-208.00,-208.00,-1160.00,-1160.00,0.00,0.00,372.00,372.00,864.00,232.00,504.00,128.00,864.00,1816.00,700.00,596.00,520.00,0.00,0.00,0.00,-136.00,-136.00,0.00,0.00,0.00,0.00,4533.00,14804.00,2119.00,4533.00,14804.00,2119.00
1966:Q4,552.00,552.00,0.00,-116.00,-116.00,1208.00,1208.00,0.00,0.00,364.00,364.00,876.00,228.00,520.00,128.00,876.00,1868.00,732.00,616.00,520.00,0.00,0.00,0.00,240.00,240.00,0.00,0.00,0.00,0.00,3245.00,15364.00,3483.00,3245.00,15364.00,3483.00
1967:Q1,-1764.00,-1764.00,0.00,-144.00,-144.00,1816.00,1816.00,0.00,0.00,308.00,308.00,940.00,336.00,476.00,128.00,940.00,1988.00,776.00,648.00,564.00,0.00,0.00,0.00,416.00,416.00,0.00,0.00,0.00,0.00,4225.00,15272.00,3759.00,4225.00,15272.00,3759.00
