1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,10899.00,0.00,1314.00,2714.00,0.00,174.00,-181.00,-407.00,-156.00,592.00,326.00,655.00,255.00,114.00,820.00,5106.00,-253.00,18428.00,5843.00,3109.00,9824.00,0.00,-348.00,12438.00,1978.00,2255.00,8205.00,5990.00,3864.00,854.00,1620.00,0.00,-348.00,3917.00,2571.00,260.00,1602.00,129.00,-645.00,401.00,13373.00,1620.00,52.00,-658.00,11043.00,10623.00,420.00,81518.00,16.40,13.55,13.03,0.52
1957:Q1,12194.00,0.00,-936.00,3232.00,0.00,2423.00,416.00,653.00,-26.00,637.00,743.00,164.00,-102.00,231.00,744.00,5379.00,1059.00,19016.00,5744.00,3183.00,10003.00,0.00,86.00,12164.00,1940.00,2348.00,7876.00,6852.00,3804.00,835.00,2127.00,0.00,86.00,2437.00,2106.00,235.00,-1338.00,-28.00,1462.00,413.00,17022.00,2127.00,35.00,373.00,15233.00,8246.00,6987.00,80289.00,21.20,18.97,10.27,8.70
1957:Q2,8559.00,0.00,-1979.00,3523.00,0.00,329.00,-219.00,-135.00,221.00,275.00,187.00,582.00,106.00,224.00,667.00,5728.00,-621.00,18865.00,5621.00,3158.00,9902.00,0.00,185.00,12368.00,1978.00,2363.00,8028.00,6497.00,3643.00,795.00,1875.00,0.00,185.00,5832.00,2188.00,699.00,1981.00,311.00,653.00,478.00,9702.00,1875.00,94.00,705.00,8439.00,8432.00,7.00,81062.00,11.97,10.41,10.40,0.01
1957:Q3,13381.00,0.00,2829.00,1887.00,0.00,1974.00,96.00,907.00,-54.00,714.00,311.00,503.00,-468.00,193.00,649.00,5841.00,-27.00,18849.00,5583.00,3283.00,9833.00,0.00,150.00,12605.00,2014.00,2378.00,8213.00,6243.00,3570.00,904.00,1620.00,0.00,150.00,3975.00,2358.00,842.00,748.00,10.00,17.00,470.00,16119.00,1620.00,-6.00,-249.00,14256.00,9829.00,4428.00,83620.00,19.28,17.05,11.75,5.30
1957:Q4,9929.00,0.00,-107.00,3295.00,0.00,371.00,2.00,-143.00,363.00,325.00,-176.00,760.00,-461.00,187.00,678.00,5691.00,-485.00,18328.00,5554.00,3334.00,9737.00,0.00,-297.00,12720.00,2047.00,2397.00,8276.00,5608.00,3507.00,938.00,1461.00,0.00,-297.00,2975.00,1977.00,383.00,1246.00,-167.00,-464.00,427.00,12990.00,1461.00,-17.00,-798.00,10748.00,10420.00,328.00,84631.00,15.35,12.70,12.31,0.39
1958:Q1,12050.00,0.00,244.00,3538.00,0.00,789.00,264.00,-558.00,-255.00,531.00,807.00,124.00,-490.00,325.00,721.00,5394.00,1405.00,18198.00,5312.00,3275.00,9142.00,0.00,469.00,13182.00,2029.00,2467.00,8686.00,5017.00,3284.00,808.00,456.00,0.00,469.00,862.00,1601.00,694.00,-2442.00,390.00,619.00,438.00,16642.00,456.00,-29.00,317.00,16532.00,8980.00,7552.00,83079.00,20.03,19.90,10.81,9.09
1958:Q2,6366.00,0.00,-2975.00,4130.00,0.00,-1839.00,55.00,237.00,-384.00,-1065.00,-682.00,955.00,-406.00,467.00,775.00,5304.00,-45.00,17880.00,5335.00,3264.00,8966.00,0.00,316.00,13423.00,2057.00,2487.00,8879.00,4458.00,3278.00,777.00,87.00,0.00,316.00,5094.00,2167.00,1058.00,929.00,561.00,379.00,423.00,6154.00,87.00,47.00,758.00,6778.00,8622.00,-1844.00,83434.00,7.38,8.12,10.33,-2.21
1958:Q3,14868.00,0.00,5960.00,2873.00,0.00,-1601.00,30.00,-2541.00,-26.00,477.00,459.00,734.00,-160.00,339.00,794.00,5404.00,525.00,18684.00,5711.00,3300.00,9142.00,0.00,531.00,13456.00,2083.00,2508.00,8864.00,5228.00,3627.00,792.00,278.00,0.00,531.00,4942.00,2893.00,1046.00,236.00,169.00,598.00,413.00,15567.00,278.00,85.00,-230.00,14974.00,10158.00,4816.00,86220.00,18.06,17.37,11.78,5.59
1958:Q4,11913.00,0.00,1057.00,3558.00,0.00,767.00,-247.00,-7.00,35.00,822.00,164.00,1054.00,-866.00,277.00,783.00,5653.00,-370.00,19696.00,6291.00,3479.00,9443.00,0.00,483.00,13522.00,2107.00,2529.00,8886.00,6174.00,4184.00,950.00,557.00,0.00,483.00,6057.00,3142.00,648.00,1550.00,311.00,406.00,421.00,12451.00,557.00,-74.00,-808.00,11160.00,11140.00,20.00,88195.00,14.12,12.65,12.63,0.02
1959:Q1,12363.00,0.00,-472.00,2175.00,0.00,2770.00,97.00,1401.00,84.00,845.00,343.00,336.00,-389.00,428.00,796.00,5817.00,902.00,20592.00,6991.00,3463.00,10155.00,0.00,-16.00,13188.00,2145.00,2534.00,8509.00,7405.00,4846.00,929.00,1646.00,0.00,-16.00,4666.00,2788.00,1283.00,-499.00,151.00,943.00,423.00,15524.00,1646.00,-35.00,364.00,14278.00,9320.00,4958.00,88268.00,17.59,16.18,10.56,5.62
