1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q2,20347.00,0.00,1731.00,0.00,0.00,5747.00,0.00,500.00,86.00,5161.00,0.00,9364.00,0.00,3505.00,0.00,0.00,3505.00,20347.00
1967:Q3,21374.00,0.00,1800.00,0.00,0.00,5816.00,0.00,492.00,79.00,5245.00,0.00,10104.00,0.00,3654.00,0.00,0.00,3654.00,21374.00
1967:Q4,21766.00,0.00,1887.00,0.00,0.00,5842.00,0.00,497.00,74.00,5271.00,0.00,10221.00,0.00,3816.00,0.00,0.00,3816.00,21766.00
1968:Q1,21571.00,0.00,1944.00,0.00,0.00,5978.00,0.00,552.00,78.00,5348.00,0.00,9656.00,0.00,3993.00,0.00,0.00,3993.00,21571.00
1968:Q2,23265.00,0.00,2022.00,0.00,0.00,5979.00,0.00,545.00,83.00,5351.00,0.00,11195.00,0.00,4069.00,0.00,0.00,4069.00,23265.00
1968:Q3,24076.00,0.00,2108.00,0.00,0.00,6015.00,0.00,530.00,88.00,5397.00,0.00,11774.00,0.00,4179.00,0.00,0.00,4179.00,24076.00
1968:Q4,24859.00,0.00,2200.00,0.00,0.00,6077.00,0.00,590.00,87.00,5400.00,0.00,12291.00,0.00,4291.00,0.00,0.00,4291.00,24859.00
1969:Q1,24925.00,0.00,2256.00,0.00,0.00,6077.00,0.00,615.00,95.00,5367.00,0.00,12163.00,0.00,4429.00,0.00,0.00,4429.00,24925.00
1969:Q2,25141.00,0.00,2369.00,0.00,0.00,6033.00,0.00,548.00,103.00,5382.00,0.00,12185.00,0.00,4554.00,0.00,0.00,4554.00,25141.00
1969:Q3,25239.00,0.00,2453.00,0.00,0.00,6151.00,0.00,540.00,121.00,5490.00,0.00,11951.00,0.00,4684.00,0.00,0.00,4684.00,25239.00
1969:Q4,25838.00,0.00,2552.00,0.00,0.00,6202.00,0.00,546.00,133.00,5523.00,0.00,12285.00,0.00,4799.00,0.00,0.00,4799.00,25838.00
1970:Q1,29172.00,0.00,2654.00,0.00,0.00,6247.00,0.00,520.00,127.00,5600.00,0.00,15335.00,0.00,4936.00,0.00,0.00,4936.00,29172.00
1970:Q2,26733.00,0.00,2757.00,0.00,0.00,6267.00,0.00,496.00,145.00,5626.00,0.00,12530.00,0.00,5179.00,0.00,0.00,5179.00,26733.00
1970:Q3,29539.00,0.00,2867.00,0.00,0.00,6465.00,0.00,538.00,201.00,5726.00,0.00,14978.00,0.00,5229.00,0.00,0.00,5229.00,29539.00
1970:Q4,31671.00,0.00,2968.00,0.00,0.00,6619.00,0.00,531.00,199.00,5889.00,0.00,16772.00,0.00,5312.00,0.00,0.00,5312.00,31671.00
1971:Q1,34173.00,0.00,3086.00,0.00,0.00,6483.00,0.00,565.00,167.00,5751.00,0.00,19215.00,0.00,5389.00,0.00,0.00,5389.00,34173.00
1971:Q2,34760.00,0.00,3180.00,0.00,0.00,6301.00,0.00,500.00,130.00,5671.00,0.00,19734.00,0.00,5545.00,0.00,0.00,5545.00,34760.00
