1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q4,6.00,0.00,353.00,32.00,0.00,2.00,6.00,0.00,6.00,0.00,0.00,0.00,321.00,106.00,0.00,-40.00,146.00,215.00,191.00,0.00,191.00,0.00,0.00,0.00,24.00,0.00,-8.00,350.00,0.00,213.00,0.00,213.00,-37.00,0.00,174.00,3.00
1958:Q1,7.00,0.00,191.00,-29.00,0.00,-6.00,599.00,0.00,599.00,0.00,0.00,0.00,-371.00,-488.00,0.00,81.00,-569.00,117.00,82.00,0.00,82.00,0.00,0.00,0.00,35.00,0.00,-2.00,184.00,0.00,-120.00,0.00,-120.00,-74.00,0.00,378.00,0.00
1958:Q2,7.00,0.00,40.00,25.00,0.00,-2.00,-111.00,0.00,-111.00,0.00,0.00,0.00,112.00,401.00,0.00,168.00,233.00,-289.00,-324.00,0.00,-324.00,0.00,0.00,0.00,35.00,0.00,16.00,40.00,0.00,-103.00,0.00,-103.00,-7.00,0.00,150.00,7.00
1958:Q3,8.00,0.00,-22.00,-30.00,0.00,-3.00,-134.00,0.00,-134.00,0.00,0.00,0.00,141.00,152.00,0.00,71.00,81.00,-11.00,-61.00,0.00,-61.00,0.00,0.00,0.00,50.00,0.00,4.00,-38.00,0.00,215.00,0.00,215.00,19.00,0.00,-272.00,-8.00
1958:Q4,7.00,0.00,142.00,46.00,0.00,-7.00,-245.00,0.00,-245.00,0.00,0.00,0.00,346.00,248.00,0.00,-40.00,288.00,98.00,48.00,0.00,48.00,0.00,0.00,0.00,50.00,0.00,2.00,133.00,0.00,85.00,0.00,85.00,41.00,0.00,7.00,-2.00
1959:Q1,8.00,1.00,274.00,-42.00,0.00,0.00,205.00,0.00,205.00,0.00,0.00,0.00,123.00,-46.00,0.00,165.00,-211.00,169.00,83.00,0.00,83.00,0.00,0.00,0.00,86.00,0.00,-12.00,260.00,0.00,116.00,0.00,116.00,25.00,0.00,119.00,-6.00
1959:Q2,8.00,1.00,805.00,37.00,0.00,0.00,-129.00,0.00,-129.00,0.00,0.00,0.00,889.00,692.00,0.00,242.00,450.00,197.00,110.00,0.00,110.00,0.00,0.00,0.00,87.00,0.00,8.00,810.00,0.00,869.00,0.00,869.00,-43.00,0.00,-16.00,13.00
1959:Q3,7.00,1.00,581.00,-8.00,0.00,0.00,-11.00,0.00,-11.00,0.00,0.00,0.00,574.00,321.00,0.00,63.00,258.00,253.00,203.00,0.00,203.00,0.00,0.00,0.00,50.00,0.00,26.00,566.00,0.00,812.00,0.00,812.00,-7.00,0.00,-239.00,-8.00
1959:Q4,8.00,1.00,629.00,45.00,0.00,0.00,35.00,0.00,35.00,0.00,0.00,0.00,528.00,215.00,0.00,-124.00,339.00,313.00,263.00,0.00,263.00,0.00,0.00,0.00,50.00,0.00,21.00,625.00,0.00,398.00,0.00,398.00,104.00,0.00,123.00,4.00
1960:Q1,8.00,1.00,2.00,-55.00,0.00,0.00,204.00,0.00,204.00,0.00,0.00,0.00,-127.00,-521.00,0.00,93.00,-614.00,394.00,330.00,0.00,330.00,0.00,0.00,0.00,64.00,0.00,-20.00,-11.00,0.00,-164.00,0.00,-164.00,93.00,0.00,60.00,-5.00
1960:Q2,8.00,1.00,629.00,44.00,0.00,0.00,-119.00,0.00,-119.00,0.00,0.00,0.00,687.00,394.00,0.00,144.00,250.00,293.00,230.00,0.00,230.00,0.00,0.00,0.00,63.00,0.00,17.00,633.00,0.00,654.00,0.00,654.00,-232.00,0.00,211.00,12.00
1960:Q3,7.00,1.00,246.00,-42.00,0.00,0.00,13.00,0.00,13.00,0.00,0.00,0.00,243.00,-2.00,0.00,32.00,-34.00,245.00,206.00,0.00,206.00,1.00,0.00,1.00,38.00,0.00,32.00,230.00,0.00,116.00,0.00,116.00,56.00,0.00,58.00,-9.00
1960:Q4,7.00,1.00,318.00,48.00,0.00,3.00,44.00,0.00,44.00,0.00,0.00,0.00,249.00,114.00,0.00,-131.00,245.00,135.00,95.00,0.00,95.00,1.00,0.00,1.00,39.00,0.00,-26.00,317.00,0.00,134.00,0.00,134.00,-19.00,0.00,202.00,6.00
1961:Q1,10.00,1.00,-221.00,-71.00,0.00,-3.00,263.00,0.00,263.00,0.00,0.00,0.00,-414.00,-363.00,0.00,141.00,-504.00,-51.00,-133.00,0.00,-133.00,0.00,0.00,0.00,82.00,0.00,4.00,-234.00,0.00,-482.00,0.00,-482.00,-24.00,0.00,272.00,-5.00
1961:Q2,10.00,1.00,356.00,34.00,0.00,0.00,-49.00,0.00,-49.00,0.00,0.00,0.00,361.00,527.00,0.00,135.00,392.00,-166.00,-248.00,0.00,-248.00,0.00,0.00,0.00,82.00,0.00,10.00,365.00,0.00,337.00,0.00,337.00,-13.00,0.00,41.00,17.00
1961:Q3,10.00,1.00,382.00,0.00,0.00,0.00,-73.00,0.00,-73.00,0.00,0.00,0.00,451.00,317.00,0.00,62.00,255.00,134.00,84.00,0.00,84.00,0.00,0.00,0.00,50.00,0.00,4.00,372.00,0.00,498.00,0.00,498.00,9.00,0.00,-135.00,-2.00
1961:Q4,10.00,1.00,592.00,92.00,0.00,0.00,-216.00,0.00,-216.00,0.00,0.00,0.00,713.00,397.00,0.00,-141.00,538.00,316.00,266.00,0.00,266.00,0.00,0.00,0.00,50.00,0.00,3.00,591.00,0.00,261.00,0.00,261.00,95.00,0.00,235.00,7.00
1962:Q1,9.00,2.00,284.00,-104.00,0.00,0.00,533.00,0.00,533.00,0.00,0.00,0.00,-144.00,-365.00,0.00,146.00,-511.00,221.00,150.00,0.00,150.00,1.00,0.00,1.00,70.00,0.00,-1.00,263.00,0.00,377.00,0.00,377.00,-60.00,0.00,-54.00,-14.00
1962:Q2,10.00,2.00,416.00,45.00,0.00,0.00,-358.00,0.00,-358.00,0.00,0.00,0.00,731.00,813.00,0.00,197.00,616.00,-82.00,-157.00,0.00,-157.00,5.00,0.00,5.00,70.00,0.00,-2.00,439.00,0.00,337.00,0.00,337.00,-44.00,0.00,146.00,32.00
1962:Q3,10.00,2.00,339.00,-14.00,0.00,0.00,28.00,0.00,28.00,0.00,0.00,0.00,305.00,286.00,0.00,7.00,279.00,19.00,-23.00,0.00,-23.00,0.00,0.00,0.00,42.00,0.00,20.00,292.00,0.00,552.00,0.00,552.00,34.00,0.00,-294.00,-39.00
1962:Q4,9.00,2.00,611.00,93.00,0.00,0.00,170.00,0.00,170.00,0.00,0.00,0.00,352.00,311.00,0.00,-122.00,433.00,41.00,-5.00,0.00,-5.00,4.00,0.00,4.00,42.00,0.00,-4.00,602.00,0.00,248.00,0.00,248.00,55.00,0.00,299.00,-2.00
1963:Q1,9.00,1.00,-717.00,-120.00,0.00,0.00,440.00,0.00,440.00,0.00,0.00,0.00,-1019.00,-774.00,0.00,191.00,-965.00,-245.00,-318.00,0.00,-318.00,0.00,0.00,0.00,73.00,0.00,-18.00,-736.00,0.00,-865.00,0.00,-865.00,-26.00,0.00,155.00,-11.00
1963:Q2,8.00,1.00,891.00,86.00,0.00,0.00,126.00,0.00,94.00,32.00,0.00,0.00,667.00,984.00,0.00,228.00,756.00,-317.00,-390.00,0.00,-390.00,0.00,0.00,0.00,73.00,0.00,12.00,872.00,0.00,905.00,0.00,905.00,-63.00,0.00,30.00,-12.00
1963:Q3,6.00,1.00,321.00,-46.00,0.00,0.00,-488.00,0.00,-494.00,6.00,0.00,0.00,810.00,813.00,0.00,59.00,754.00,-3.00,-57.00,0.00,-57.00,-1.00,0.00,-1.00,55.00,0.00,45.00,306.00,0.00,672.00,0.00,672.00,0.00,0.00,-366.00,-10.00
1963:Q4,8.00,1.00,997.00,54.00,0.00,0.00,334.00,0.00,327.00,7.00,0.00,0.00,673.00,646.00,0.00,-114.00,760.00,27.00,-30.00,0.00,-30.00,1.00,0.00,1.00,56.00,0.00,-64.00,983.00,0.00,824.00,0.00,824.00,0.00,0.00,159.00,-7.00
1964:Q1,7.00,1.00,-679.00,-75.00,0.00,9.00,-198.00,0.00,-207.00,9.00,0.00,0.00,-416.00,-502.00,0.00,114.00,-616.00,86.00,-17.00,0.00,-17.00,-1.00,0.00,-1.00,104.00,0.00,1.00,-706.00,0.00,-571.00,0.00,-571.00,0.00,0.00,-135.00,-22.00
1964:Q2,8.00,1.00,997.00,62.00,0.00,7.00,46.00,0.00,36.00,10.00,0.00,0.00,899.00,809.00,0.00,208.00,601.00,90.00,-13.00,0.00,-13.00,0.00,0.00,0.00,103.00,0.00,-17.00,1000.00,0.00,732.00,0.00,732.00,4.00,0.00,264.00,10.00
