1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q1,83946.00,24600.00,8206.00,0.00,1249.00,1249.00,0.00,5665.00,3326.00,2339.00,14542.00,29684.00,18216.00,1645.00,9823.00,357887.00,295606.00,57632.00,31143.00,206831.00,29052.00,6894.00,571.00,25764.00
1976:Q2,85993.00,24958.00,8417.00,0.00,1258.00,1258.00,0.00,5840.00,3462.00,2378.00,14666.00,30854.00,19039.00,1703.00,10112.00,366947.00,303301.00,59546.00,32630.00,211125.00,29996.00,7187.00,575.00,25888.00
1976:Q3,88999.00,25526.00,8859.00,0.00,1352.00,1352.00,0.00,5997.00,3741.00,2256.00,15123.00,32142.00,19910.00,1739.00,10493.00,375754.00,310604.00,60857.00,34194.00,215553.00,30741.00,7484.00,579.00,26346.00
1976:Q4,93245.00,26271.00,9490.00,0.00,1515.00,1515.00,0.00,6632.00,4151.00,2481.00,15849.00,33488.00,20748.00,1866.00,10873.00,384189.00,317082.00,62117.00,34953.00,220013.00,31438.00,7785.00,583.00,27301.00
1977:Q1,95697.00,26808.00,9951.00,0.00,1686.00,1686.00,0.00,6482.00,4320.00,2162.00,15878.00,34891.00,21653.00,1942.00,11296.00,396850.00,327622.00,63660.00,37751.00,226211.00,32994.00,8065.00,579.00,27590.00
1977:Q2,99613.00,27405.00,10491.00,0.00,1878.00,1878.00,0.00,6615.00,4557.00,2058.00,16826.00,36398.00,22603.00,1993.00,11802.00,410110.00,340344.00,66680.00,39258.00,234407.00,34219.00,8341.00,575.00,26631.00
1977:Q3,104432.00,28130.00,11229.00,0.00,2123.00,2123.00,0.00,6805.00,4959.00,1846.00,18221.00,37924.00,23596.00,2011.00,12317.00,421272.00,350362.00,68840.00,40371.00,241151.00,34892.00,8609.00,571.00,26838.00
1977:Q4,110504.00,28954.00,12127.00,0.00,2412.00,2412.00,0.00,7506.00,5509.00,1997.00,19976.00,39529.00,24627.00,2138.00,12764.00,431590.00,359811.00,70439.00,41385.00,247987.00,35037.00,8871.00,623.00,27248.00
1978:Q1,115259.00,29752.00,12665.00,0.00,2732.00,2732.00,0.00,7489.00,6006.00,1483.00,21559.00,41062.00,25694.00,2217.00,13151.00,444535.00,370564.00,72859.00,43470.00,254235.00,35571.00,8965.00,656.00,28779.00
1978:Q2,120552.00,30560.00,13327.00,0.00,3001.00,3001.00,0.00,7910.00,6563.00,1347.00,23113.00,42641.00,26824.00,2333.00,13485.00,462888.00,387212.00,77792.00,46934.00,262486.00,36474.00,9130.00,696.00,29376.00
1978:Q3,126106.00,31385.00,14299.00,0.00,3143.00,3143.00,0.00,8476.00,7273.00,1203.00,24594.00,44209.00,27968.00,2428.00,13814.00,480973.00,403622.00,82437.00,49789.00,271396.00,37584.00,9470.00,744.00,29553.00
1978:Q4,132297.00,32227.00,15522.00,0.00,3184.00,3184.00,0.00,9572.00,8114.00,1458.00,26018.00,45775.00,29075.00,2514.00,14186.00,498116.00,418206.00,85961.00,51893.00,280351.00,38623.00,9951.00,848.00,30488.00
1979:Q1,137843.00,32981.00,17001.00,0.00,3192.00,3192.00,0.00,9922.00,8970.00,952.00,27421.00,47326.00,30145.00,2576.00,14604.00,515330.00,430838.00,89249.00,54256.00,287333.00,40543.00,10517.00,955.00,32477.00
1979:Q2,143602.00,33724.00,18463.00,0.00,3159.00,3159.00,0.00,10622.00,9771.00,851.00,28676.00,48958.00,31187.00,2698.00,15073.00,543768.00,455969.00,94380.00,59157.00,302432.00,42710.00,11141.00,1062.00,32887.00
1979:Q3,148614.00,34430.00,19882.00,0.00,3024.00,3024.00,0.00,11158.00,10437.00,721.00,29563.00,50557.00,32241.00,2787.00,15529.00,568056.00,476415.00,98714.00,61200.00,316501.00,44870.00,11910.00,1169.00,33693.00
1979:Q4,153483.00,35110.00,21269.00,0.00,2805.00,2805.00,0.00,11884.00,11001.00,883.00,30154.00,52261.00,33350.00,3003.00,15908.00,590650.00,492016.00,101694.00,64222.00,326101.00,46885.00,12795.00,1529.00,37425.00
1980:Q1,154821.00,35869.00,21537.00,0.00,2635.00,2635.00,0.00,11188.00,10779.00,409.00,30642.00,52951.00,34300.00,3143.00,15507.00,612745.00,509472.00,102154.00,67947.00,339372.00,48603.00,13870.00,1814.00,38986.00
1980:Q2,155395.00,36606.00,21994.00,0.00,2509.00,2509.00,0.00,10992.00,10767.00,225.00,31168.00,52127.00,35236.00,3268.00,13623.00,634023.00,525617.00,102796.00,70245.00,352576.00,50118.00,14768.00,2080.00,41439.00
1980:Q3,158560.00,37289.00,22923.00,0.00,2493.00,2493.00,0.00,11428.00,11278.00,150.00,31791.00,52636.00,36145.00,3359.00,13132.00,652875.00,541012.00,103488.00,72179.00,365346.00,51537.00,15225.00,2399.00,42702.00
1980:Q4,167152.00,37941.00,24231.00,0.00,2564.00,2564.00,0.00,12367.00,12217.00,150.00,32492.00,57557.00,37020.00,3630.00,16906.00,670845.00,555061.00,104594.00,74201.00,376266.00,52581.00,15328.00,3672.00,44203.00
1981:Q1,174812.00,38429.00,24670.00,0.00,2728.00,2728.00,0.00,13981.00,13906.00,75.00,33031.00,61972.00,37821.00,3730.00,20421.00,689095.00,573155.00,106493.00,78543.00,388119.00,54087.00,15036.00,3994.00,42822.00
1981:Q2,182685.00,38959.00,24981.00,0.00,2900.00,2900.00,0.00,15781.00,15731.00,50.00,33808.00,66255.00,38560.00,3885.00,23811.00,708573.00,591751.00,111361.00,83169.00,397221.00,56343.00,14703.00,4319.00,41457.00
1981:Q3,190977.00,39574.00,25276.00,0.00,3091.00,3091.00,0.00,17948.00,17898.00,50.00,35180.00,69908.00,39294.00,4038.00,26576.00,724206.00,605457.00,114801.00,85209.00,405447.00,57776.00,14266.00,4675.00,42032.00
1981:Q4,199990.00,40262.00,25700.00,0.00,3298.00,3298.00,0.00,20364.00,20339.00,25.00,37028.00,73338.00,40079.00,4293.00,28966.00,739975.00,619777.00,115997.00,85315.00,418465.00,58628.00,13744.00,4930.00,42896.00
1982:Q1,201761.00,40582.00,26211.00,0.00,3080.00,3080.00,0.00,21893.00,21868.00,25.00,38721.00,71274.00,40958.00,4482.00,25834.00,759633.00,631402.00,114722.00,85980.00,430700.00,59292.00,13774.00,5156.00,50009.00
1982:Q2,204039.00,41153.00,26769.00,0.00,2945.00,2945.00,0.00,23247.00,23247.00,0.00,40591.00,69334.00,42068.00,4439.00,22827.00,788037.00,650037.00,114130.00,88515.00,447393.00,61728.00,13941.00,5412.00,56919.00
1982:Q3,207656.00,42335.00,27392.00,0.00,3014.00,3014.00,0.00,24252.00,24252.00,0.00,42703.00,67959.00,42987.00,4528.00,20445.00,814341.00,667117.00,112249.00,89527.00,465341.00,63095.00,14450.00,5771.00,63908.00
1982:Q4,211726.00,44008.00,28100.00,0.00,3244.00,3244.00,0.00,24961.00,24961.00,0.00,45009.00,66404.00,43289.00,4678.00,18438.00,833062.00,677655.00,109439.00,88580.00,479636.00,63055.00,15235.00,5645.00,71472.00
1983:Q1,218249.00,46000.00,28909.00,0.00,3987.00,3987.00,0.00,25509.00,25509.00,0.00,46965.00,66879.00,42775.00,4702.00,19403.00,853354.00,695767.00,108888.00,89344.00,497536.00,61351.00,15738.00,6260.00,74238.00
1983:Q2,224239.00,48048.00,29837.00,0.00,4711.00,4711.00,0.00,26274.00,26274.00,0.00,48878.00,66491.00,41319.00,4679.00,20493.00,875565.00,712881.00,110273.00,90873.00,511735.00,62266.00,16224.00,6539.00,77655.00
1983:Q3,231531.00,50223.00,30796.00,0.00,5386.00,5386.00,0.00,27574.00,27574.00,0.00,50683.00,66868.00,39947.00,4714.00,22208.00,896784.00,729857.00,110852.00,91570.00,527435.00,62716.00,16668.00,6878.00,80665.00
1983:Q4,240638.00,52493.00,31700.00,0.00,6023.00,6023.00,0.00,29305.00,29305.00,0.00,52404.00,68713.00,39667.00,4747.00,24299.00,919578.00,748981.00,111560.00,92163.00,545258.00,62983.00,17081.00,6440.00,84094.00
1984:Q1,253708.00,53425.00,32533.00,0.00,6139.00,6139.00,0.00,31772.00,31772.00,0.00,54394.00,75445.00,48243.00,4753.00,22449.00,949482.00,775239.00,115513.00,94126.00,565599.00,62914.00,17188.00,6890.00,87251.00
1984:Q2,258577.00,54469.00,33281.00,0.00,6155.00,6155.00,0.00,34252.00,34252.00,0.00,56277.00,74143.00,48907.00,4761.00,20475.00,984373.00,807402.00,121669.00,94928.00,590806.00,64770.00,17359.00,7172.00,87669.00
1984:Q3,262851.00,55853.00,34089.00,0.00,5920.00,5920.00,0.00,36765.00,36765.00,0.00,57892.00,72332.00,49658.00,4798.00,17875.00,1018812.00,836359.00,126719.00,95901.00,613738.00,66509.00,17690.00,7255.00,91000.00
1984:Q4,267175.00,57539.00,35100.00,0.00,5481.00,5481.00,0.00,39311.00,39311.00,0.00,59293.00,70451.00,50724.00,4826.00,14901.00,1049405.00,862648.00,129331.00,95807.00,637510.00,67829.00,18151.00,7104.00,93673.00
