1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q2,256018.00,48723.00,32248.00,81500.00,49252.00,16475.00,66736.00,50261.00,196554.00,86430.00,40670.00,2833.00,63410.00,0.00,3211.00,0.00,11322.00,10942.00,321.00,60.00,-582.00,7468497.00,1610855.00
1978:Q3,247620.00,57935.00,31620.00,82499.00,50879.00,26315.00,73685.00,47370.00,178660.00,72671.00,43546.00,1967.00,56427.00,0.00,4049.00,0.00,12454.00,11943.00,403.00,108.00,-1428.00,7716117.00,1651029.00
1978:Q4,181513.00,65853.00,31661.00,84176.00,52515.00,34192.00,77982.00,43790.00,97966.00,74038.00,-30704.00,-2619.00,59005.00,0.00,-1754.00,0.00,13881.00,13276.00,458.00,147.00,3813.00,7897630.00,1695518.00
1979:Q1,315408.00,66658.00,30008.00,84006.00,53999.00,36650.00,62844.00,26194.00,235083.00,108367.00,42857.00,2244.00,75426.00,0.00,6190.00,0.00,15804.00,15271.00,420.00,113.00,-2137.00,8213038.00,1745731.00
1979:Q2,271803.00,45248.00,28075.00,83835.00,55759.00,17173.00,63902.00,46729.00,208986.00,110348.00,19290.00,903.00,77734.00,0.00,712.00,0.00,17423.00,16812.00,467.00,144.00,146.00,8484842.00,1777854.00
1979:Q3,287566.00,58203.00,28870.00,86396.00,57526.00,29333.00,78840.00,49507.00,217506.00,86501.00,50234.00,2305.00,75099.00,0.00,3368.00,0.00,12733.00,12103.00,456.00,174.00,-877.00,8772407.00,1830535.00
1979:Q4,275404.00,76468.00,26423.00,85517.00,59094.00,50045.00,93889.00,43844.00,177873.00,71761.00,37793.00,489.00,69028.00,0.00,-1199.00,0.00,18714.00,18012.00,531.00,171.00,2349.00,9047811.00,1883009.00
1980:Q1,190823.00,71247.00,23906.00,84840.00,60933.00,47340.00,66118.00,18778.00,97275.00,101353.00,-53069.00,-3483.00,59133.00,0.00,-6659.00,0.00,26310.00,25264.00,835.00,211.00,-4009.00,9238635.00,1945976.00
1980:Q2,343823.00,56769.00,12523.00,75527.00,63004.00,44246.00,61592.00,17346.00,269617.00,76576.00,106360.00,4237.00,74683.00,0.00,7761.00,0.00,21845.00,20792.00,875.00,178.00,-4409.00,9582457.00,1964614.00
1980:Q3,402663.00,81368.00,15442.00,79927.00,64485.00,65927.00,101643.00,35716.00,307289.00,113574.00,103802.00,4571.00,78805.00,0.00,6538.00,0.00,17096.00,16129.00,793.00,175.00,-3090.00,9985120.00,2035013.00
1980:Q4,341421.00,91556.00,19493.00,85296.00,65803.00,72063.00,114130.00,42067.00,230649.00,45718.00,103773.00,2527.00,74766.00,0.00,3865.00,0.00,16151.00,15334.00,613.00,204.00,3066.00,10326542.00,2126202.00
1981:Q1,195866.00,93874.00,20390.00,87426.00,67036.00,73484.00,83032.00,9548.00,92277.00,31983.00,10594.00,-603.00,52065.00,0.00,-1762.00,0.00,11167.00,10335.00,674.00,158.00,-1451.00,10522408.00,2173012.00
1981:Q2,263841.00,54551.00,17717.00,85922.00,68206.00,36835.00,73609.00,36774.00,191106.00,165645.00,-12798.00,-305.00,41938.00,0.00,-3374.00,0.00,17601.00,16648.00,722.00,231.00,583.00,10786249.00,2208757.00
1981:Q3,75925.00,101510.00,17509.00,87077.00,69569.00,84002.00,114465.00,30463.00,-40870.00,95093.00,-142761.00,-5341.00,22016.00,0.00,-9877.00,0.00,13431.00,12794.00,482.00,155.00,1854.00,10862174.00,2290864.00
1981:Q4,290866.00,102330.00,11187.00,81971.00,70785.00,91143.00,117230.00,26087.00,175361.00,51528.00,81537.00,2337.00,33506.00,0.00,6453.00,0.00,11866.00,11158.00,482.00,226.00,1309.00,11153041.00,2330261.00
1982:Q1,99247.00,91003.00,12665.00,83111.00,70446.00,78338.00,81974.00,3636.00,4090.00,91330.00,-124455.00,-3259.00,37482.00,0.00,2992.00,0.00,9166.00,8702.00,281.00,184.00,-5012.00,11252288.00,2362593.00
1982:Q2,114858.00,74858.00,12389.00,83703.00,71315.00,62470.00,87345.00,24875.00,29700.00,22953.00,-26610.00,51.00,31064.00,0.00,2241.00,0.00,8850.00,8140.00,565.00,146.00,1450.00,11367146.00,2398832.00
1982:Q3,213176.00,109567.00,12601.00,84724.00,72123.00,96966.00,120161.00,23195.00,92893.00,4622.00,59389.00,4396.00,12807.00,0.00,11679.00,0.00,3960.00,3663.00,214.00,83.00,6756.00,11580321.00,2449613.00
1982:Q4,332946.00,86797.00,16843.00,89525.00,72683.00,69955.00,106750.00,36795.00,246655.00,30982.00,190106.00,7795.00,18041.00,0.00,-269.00,0.00,3085.00,2954.00,33.00,98.00,-3591.00,11913267.00,2487935.00
1983:Q1,341016.00,107213.00,22532.00,94666.00,72135.00,84681.00,96960.00,12279.00,193356.00,35528.00,99972.00,4546.00,39608.00,0.00,13702.00,0.00,7202.00,6821.00,242.00,139.00,33246.00,12254283.00,2530931.00
1983:Q2,287926.00,97347.00,29741.00,102810.00,73069.00,67606.00,117756.00,50150.00,188949.00,26582.00,124736.00,7502.00,12682.00,0.00,17447.00,0.00,3192.00,3082.00,45.00,66.00,-1562.00,12542209.00,2572389.00
1983:Q3,136693.00,110749.00,35112.00,109177.00,74065.00,75637.00,133995.00,58358.00,23147.00,26221.00,-23212.00,-1156.00,24520.00,0.00,-3226.00,0.00,5252.00,5089.00,10.00,154.00,-2454.00,12678903.00,2645626.00
1983:Q4,95519.00,91164.00,39804.00,115112.00,75308.00,51361.00,114365.00,63004.00,2660.00,23299.00,-51095.00,-695.00,34213.00,0.00,-3062.00,0.00,6307.00,6029.00,167.00,111.00,-4612.00,12774422.00,2720649.00
