1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q2,468754.00,52880.00,42763.00,4336.00,0.00,0.00,0.00,206450.00,138794.00,54617.00,13039.00,0.00,22697.00,24818.00,114810.00,5446956.00,7072.00,10168.00,18280.00,4216402.00,4188197.00,3302754.00,885443.00,28205.00,5.00,82725.00,30609.00,1081695.00,1074369.00,7326.00
1996:Q3,462583.00,45069.00,47479.00,3313.00,0.00,0.00,0.00,205449.00,137690.00,52230.00,15529.00,0.00,23291.00,22988.00,114994.00,5503718.00,7052.00,9718.00,18866.00,4268808.00,4241371.00,3344692.00,896679.00,27437.00,4.00,83470.00,30648.00,1085152.00,1077978.00,7174.00
1996:Q4,511548.00,44872.00,38314.00,2376.00,0.00,0.00,0.00,201060.00,133115.00,50274.00,17671.00,0.00,23992.00,90200.00,110734.00,5567711.00,7045.00,9718.00,18865.00,4343081.00,4316468.00,3387118.00,929350.00,26613.00,2.00,82046.00,30526.00,1076428.00,1069159.00,7269.00
1997:Q1,509371.00,38315.00,39963.00,2426.00,0.00,0.00,0.00,205906.00,137356.00,48038.00,20512.00,0.00,24778.00,90200.00,107783.00,5629990.00,6795.00,9200.00,18974.00,4381251.00,4354993.00,3433093.00,921900.00,26258.00,0.00,80463.00,31236.00,1102071.00,1095518.00,6553.00
1997:Q2,527825.00,38886.00,57758.00,3270.00,0.00,0.00,0.00,206282.00,135974.00,47423.00,22885.00,0.00,25403.00,90200.00,106026.00,5577324.00,6801.00,9200.00,19013.00,4321557.00,4295238.00,3361985.00,933253.00,26319.00,0.00,79485.00,31787.00,1109481.00,1102782.00,6699.00
1997:Q3,520524.00,38599.00,49307.00,2757.00,0.00,0.00,0.00,212419.00,140537.00,46268.00,25614.00,0.00,21918.00,90200.00,105324.00,5600045.00,6689.00,9200.00,19326.00,4347737.00,4321648.00,3369532.00,952116.00,26089.00,0.00,76869.00,31763.00,1108461.00,1104269.00,4192.00
1997:Q4,515871.00,41957.00,41582.00,3395.00,0.00,0.00,0.00,212538.00,139165.00,45738.00,27635.00,0.00,20752.00,88375.00,107272.00,5650629.00,6611.00,9200.00,19325.00,4406492.00,4379966.00,3388018.00,991948.00,26526.00,0.00,73769.00,32263.00,1102969.00,1096334.00,6635.00
1998:Q1,516567.00,41682.00,37857.00,2985.00,0.00,0.00,0.00,216405.00,139558.00,45450.00,31397.00,0.00,22456.00,86550.00,108632.00,5691957.00,6545.00,9200.00,19405.00,4421163.00,4395245.00,3399328.00,995917.00,25918.00,0.00,72104.00,32443.00,1131097.00,1124492.00,6605.00
1998:Q2,565106.00,42836.00,82928.00,3230.00,0.00,0.00,0.00,218978.00,140278.00,45114.00,33586.00,0.00,22279.00,84725.00,110130.00,5626686.00,6524.00,9200.00,19461.00,4350424.00,4324866.00,3302345.00,1022521.00,25558.00,0.00,70734.00,33096.00,1137247.00,1130674.00,6573.00
1998:Q3,536480.00,46269.00,47053.00,3550.00,0.00,0.00,0.00,220596.00,138804.00,44800.00,36992.00,0.00,24305.00,82900.00,111807.00,5615638.00,6719.00,9200.00,19886.00,4336375.00,4310920.00,3265085.00,1045835.00,25455.00,0.00,70163.00,33099.00,1140196.00,1133496.00,6700.00
