1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q4,273620.00,248143.00,11570.00,236573.00,8100.00,17377.00,273620.00,78817.00,4370.00,0.00,7920.00,117847.00,297.00,1039.00,0.00,49390.00,6051.00,3544.00,0.00,2155.00,0.00,0.00,0.00,2104.00,86.00
1978:Q1,283342.00,255832.00,9887.00,245945.00,8808.00,18702.00,283342.00,84708.00,3635.00,0.00,8559.00,118165.00,263.00,1139.00,0.00,53070.00,6002.00,3386.00,0.00,2587.00,0.00,0.00,0.00,1714.00,114.00
1978:Q2,298639.00,268370.00,11430.00,256940.00,9431.00,20838.00,298639.00,92098.00,4429.00,0.00,8346.00,121428.00,206.00,1231.00,0.00,56471.00,5943.00,3732.00,0.00,2640.00,0.00,0.00,0.00,1972.00,143.00
1978:Q3,311442.00,278386.00,11898.00,266488.00,10039.00,23017.00,311442.00,97663.00,4976.00,0.00,8168.00,124741.00,187.00,1295.00,0.00,60132.00,6073.00,3668.00,0.00,2783.00,0.00,0.00,0.00,1585.00,171.00
1978:Q4,324876.00,289135.00,12154.00,276981.00,10700.00,25041.00,324876.00,104168.00,4611.00,0.00,7238.00,129292.00,164.00,1359.00,0.00,62931.00,6402.00,3951.00,0.00,2683.00,0.00,0.00,0.00,1877.00,200.00
1979:Q1,334127.00,295363.00,10970.00,284393.00,11398.00,27366.00,334127.00,109320.00,4885.00,0.00,6457.00,131181.00,154.00,1200.00,0.00,65766.00,6090.00,4073.00,0.00,3013.00,0.00,0.00,0.00,1755.00,233.00
1979:Q2,344686.00,302887.00,11801.00,291086.00,12118.00,29681.00,344686.00,116924.00,4620.00,0.00,6381.00,132496.00,178.00,1084.00,0.00,67217.00,6089.00,3867.00,0.00,3660.00,0.00,0.00,0.00,1904.00,266.00
1979:Q3,355757.00,310578.00,13424.00,297154.00,12854.00,32325.00,355757.00,121212.00,4003.00,0.00,6437.00,136379.00,197.00,1100.00,0.00,70053.00,6240.00,3880.00,0.00,4069.00,0.00,0.00,0.00,1888.00,299.00
1979:Q4,364182.00,315554.00,13131.00,302423.00,13600.00,35028.00,364182.00,123569.00,4458.00,0.00,6788.00,138318.00,230.00,1115.00,0.00,72811.00,6428.00,3910.00,0.00,4039.00,0.00,0.00,0.00,2184.00,332.00
1980:Q1,370864.00,319378.00,11846.00,307532.00,14339.00,37147.00,370864.00,124044.00,7715.00,0.00,7036.00,138927.00,261.00,1082.00,0.00,75353.00,6462.00,4101.00,756.00,3654.00,0.00,0.00,0.00,1108.00,365.00
1980:Q2,380809.00,325729.00,13147.00,312582.00,15056.00,40024.00,380809.00,126304.00,7878.00,0.00,7354.00,142460.00,336.00,1070.00,0.00,77080.00,6338.00,4025.00,1659.00,4169.00,0.00,0.00,0.00,1738.00,398.00
1980:Q3,390860.00,332297.00,14621.00,317676.00,15820.00,42743.00,390860.00,128667.00,7319.00,0.00,7409.00,147620.00,384.00,1053.00,0.00,78962.00,6466.00,3921.00,2469.00,4439.00,0.00,0.00,0.00,1718.00,433.00
1980:Q4,399440.00,336848.00,14868.00,321980.00,16700.00,45892.00,399440.00,130052.00,9362.00,0.00,7008.00,150976.00,386.00,1000.00,0.00,80533.00,6701.00,4059.00,1967.00,4420.00,0.00,0.00,0.00,2509.00,467.00
1981:Q1,408226.00,341667.00,15122.00,326545.00,17634.00,48925.00,408226.00,143005.00,5021.00,0.00,6874.00,150055.00,387.00,920.00,0.00,81607.00,6832.00,3920.00,2679.00,4730.00,0.00,0.00,0.00,1696.00,500.00
1981:Q2,418219.00,346762.00,15562.00,331200.00,18563.00,52894.00,418219.00,151239.00,3199.00,0.00,6712.00,151290.00,350.00,807.00,0.00,82699.00,6956.00,3995.00,3363.00,5010.00,0.00,0.00,0.00,2066.00,533.00
1981:Q3,431847.00,356158.00,17057.00,339101.00,19660.00,56029.00,431847.00,160071.00,3986.00,0.00,6925.00,154063.00,347.00,692.00,0.00,83862.00,7044.00,3859.00,3630.00,5035.00,0.00,0.00,0.00,1766.00,567.00
1981:Q4,443653.00,363230.00,16006.00,347224.00,21100.00,59323.00,443653.00,160269.00,10606.00,0.00,7139.00,156693.00,315.00,600.00,0.00,83923.00,7151.00,3856.00,4395.00,5102.00,0.00,0.00,0.00,3004.00,600.00
1982:Q1,456863.00,371040.00,15228.00,355812.00,22860.00,62963.00,456863.00,172575.00,8858.00,0.00,7598.00,155883.00,287.00,569.00,0.00,84687.00,7501.00,3651.00,7261.00,5487.00,0.00,0.00,0.00,1873.00,633.00
1982:Q2,474230.00,383029.00,19038.00,363991.00,24914.00,66287.00,474230.00,189633.00,6708.00,0.00,7601.00,154727.00,269.00,576.00,0.00,85885.00,7876.00,3848.00,8085.00,5924.00,0.00,0.00,0.00,2431.00,667.00
1982:Q3,491353.00,393578.00,22112.00,371466.00,27186.00,70589.00,491353.00,199585.00,8272.00,0.00,7605.00,154461.00,265.00,595.00,0.00,86588.00,8241.00,3550.00,11626.00,6757.00,0.00,0.00,0.00,3108.00,700.00
1982:Q4,508049.00,403983.00,22737.00,381246.00,29600.00,74466.00,508049.00,201050.00,12178.00,0.00,7383.00,160773.00,265.00,600.00,0.00,86968.00,9047.00,3131.00,13321.00,7972.00,0.00,0.00,0.00,4628.00,733.00
1983:Q1,520910.00,411681.00,19704.00,391977.00,32309.00,76920.00,520910.00,212501.00,14440.00,0.00,7551.00,155869.00,265.00,601.00,0.00,87144.00,9219.00,2363.00,17025.00,9715.00,0.00,0.00,131.00,3319.00,767.00
1983:Q2,543310.00,428044.00,21554.00,406490.00,35463.00,79803.00,543310.00,230727.00,16085.00,0.00,7254.00,157084.00,150.00,602.00,0.00,86988.00,9852.00,2483.00,16262.00,10862.00,0.00,0.00,340.00,3821.00,800.00
1983:Q3,559704.00,439293.00,21548.00,417745.00,38535.00,81876.00,559704.00,245174.00,14241.00,0.00,7506.00,158927.00,250.00,603.00,0.00,86747.00,10022.00,2423.00,16584.00,12216.00,0.00,0.00,564.00,3614.00,833.00
1983:Q4,575106.00,450209.00,21256.00,428953.00,41000.00,83897.00,575106.00,246647.00,18268.00,0.00,7955.00,164392.00,168.00,600.00,0.00,86667.00,9986.00,2000.00,16918.00,13424.00,0.00,0.00,742.00,6472.00,867.00
1984:Q1,590092.00,460827.00,18502.00,442325.00,43368.00,85897.00,590092.00,254723.00,23572.00,0.00,8454.00,163599.00,156.00,601.00,0.00,86081.00,9014.00,2151.00,21392.00,14867.00,0.00,0.00,886.00,3696.00,900.00
1984:Q2,610773.00,477008.00,18960.00,458048.00,45649.00,88116.00,610773.00,275031.00,23026.00,0.00,8743.00,163204.00,106.00,602.00,0.00,85528.00,8712.00,2264.00,22565.00,15678.00,0.00,0.00,1011.00,3370.00,933.00
1984:Q3,631749.00,493057.00,18439.00,474618.00,48212.00,90480.00,631749.00,290259.00,20664.00,0.00,8682.00,168573.00,171.00,603.00,0.00,85108.00,8444.00,2068.00,22613.00,17529.00,0.00,0.00,1124.00,4944.00,967.00
1984:Q4,650603.00,494993.00,17600.00,477393.00,51171.00,104439.00,650603.00,290221.00,22483.00,0.00,9016.00,176674.00,77.00,603.00,0.00,84742.00,8713.00,1534.00,23973.00,19327.00,0.00,0.00,1232.00,11008.00,1000.00
1985:Q1,675913.00,516139.00,14750.00,501389.00,53635.00,106139.00,675913.00,317494.00,18276.00,0.00,8650.00,171931.00,75.00,619.00,0.00,84943.00,8891.00,1550.00,34455.00,21942.00,200.00,0.00,1326.00,4511.00,1050.00
1985:Q2,705901.00,539249.00,14983.00,524266.00,56013.00,110639.00,705901.00,329995.00,26658.00,0.00,8151.00,173942.00,87.00,617.00,0.00,85523.00,8914.00,1278.00,35429.00,26911.00,400.00,0.00,1398.00,5498.00,1100.00
1985:Q3,737592.00,563703.00,19920.00,543783.00,57850.00,116039.00,737592.00,347018.00,22113.00,0.00,9145.00,184784.00,71.00,609.00,0.00,87176.00,9044.00,1225.00,37072.00,29926.00,650.00,0.00,1476.00,6133.00,1150.00
1985:Q4,859484.00,651111.00,20528.00,630583.00,81334.00,127039.00,859484.00,394259.00,25572.00,0.00,9605.00,234542.00,0.00,603.00,0.00,88248.00,9708.00,1128.00,36449.00,35709.00,950.00,0.00,1589.00,19922.00,1200.00
1986:Q1,855878.00,653141.00,19139.00,634002.00,78698.00,124039.00,855878.00,397674.00,20530.00,0.00,9822.00,216715.00,0.00,603.00,0.00,90732.00,10023.00,938.00,52430.00,43678.00,1200.00,0.00,1742.00,8541.00,1250.00
1986:Q2,883232.00,684072.00,23362.00,660710.00,78393.00,120767.00,883232.00,411501.00,25314.00,0.00,10086.00,211344.00,0.00,603.00,0.00,93885.00,10791.00,1196.00,56297.00,49787.00,1450.00,0.00,1941.00,7737.00,1300.00
1986:Q3,898843.00,700113.00,20400.00,679713.00,79199.00,119531.00,898843.00,397867.00,24145.00,0.00,10312.00,220252.00,0.00,603.00,0.00,97642.00,11648.00,1035.00,61830.00,58116.00,1700.00,0.00,2133.00,10210.00,1350.00
1986:Q4,920383.00,724873.00,20402.00,704471.00,78372.00,117138.00,920383.00,411316.00,25055.00,0.00,10415.00,205844.00,0.00,603.00,0.00,101937.00,11659.00,709.00,64090.00,66492.00,2000.00,0.00,2268.00,16595.00,1400.00
1987:Q1,949044.00,753356.00,18678.00,734678.00,78339.00,117349.00,949044.00,435220.00,23308.00,0.00,10444.00,194900.00,0.00,603.00,0.00,107141.00,10658.00,553.00,70546.00,77454.00,2241.00,0.00,2293.00,12233.00,1450.00
1987:Q2,965157.00,770823.00,12717.00,758106.00,78188.00,116146.00,965157.00,465178.00,19994.00,0.00,10446.00,187928.00,0.00,601.00,0.00,113625.00,10944.00,606.00,67026.00,74029.00,2458.00,0.00,2465.00,8357.00,1500.00
1987:Q3,989645.00,795600.00,16238.00,779362.00,77948.00,116097.00,989645.00,493301.00,19285.00,0.00,10381.00,182470.00,0.00,601.00,0.00,119972.00,10208.00,647.00,65231.00,72650.00,2751.00,0.00,2627.00,7971.00,1550.00
1987:Q4,1011975.00,817678.00,19574.00,798104.00,78073.00,116224.00,1011975.00,520819.00,19364.00,0.00,10205.00,176707.00,0.00,603.00,0.00,124765.00,10681.00,808.00,61820.00,70603.00,3271.00,0.00,2443.00,8286.00,1600.00
1988:Q1,1020754.00,826823.00,18145.00,808678.00,78178.00,115753.00,1020754.00,527164.00,19051.00,0.00,10039.00,168993.00,0.00,614.00,0.00,128262.00,10565.00,667.00,70508.00,70898.00,3914.00,0.00,2423.00,6006.00,1650.00
1988:Q2,1032495.00,838042.00,16253.00,821789.00,78285.00,116168.00,1032495.00,543377.00,16091.00,0.00,10000.00,163694.00,0.00,633.00,0.00,130723.00,10035.00,742.00,66203.00,74456.00,4996.00,0.00,2470.00,7375.00,1700.00
1988:Q3,1056583.00,861662.00,19952.00,841710.00,78989.00,115932.00,1056583.00,567505.00,16012.00,0.00,10086.00,160880.00,0.00,651.00,0.00,132529.00,9511.00,622.00,65502.00,76083.00,6175.00,0.00,2310.00,6967.00,1750.00
1988:Q4,1079962.00,883989.00,21536.00,862453.00,79564.00,116409.00,1079962.00,590828.00,16794.00,0.00,10288.00,153752.00,0.00,658.00,0.00,134060.00,9136.00,533.00,66088.00,78122.00,7497.00,0.00,2926.00,7480.00,1800.00
1989:Q1,1087465.00,892568.00,20333.00,872235.00,79271.00,115626.00,1087465.00,591150.00,22931.00,0.00,10514.00,149837.00,0.00,657.00,0.00,134751.00,8842.00,467.00,68117.00,82156.00,8565.00,0.00,2737.00,4891.00,1850.00
1989:Q2,1094584.00,899977.00,18847.00,881130.00,79517.00,115090.00,1094584.00,593906.00,24648.00,0.00,10673.00,145120.00,0.00,647.00,0.00,134774.00,8830.00,403.00,66820.00,87732.00,9426.00,0.00,2688.00,7017.00,1900.00
1989:Q3,1112503.00,917344.00,24085.00,893259.00,80471.00,114688.00,1112503.00,605579.00,27997.00,0.00,10771.00,142060.00,0.00,636.00,0.00,134580.00,8982.00,336.00,69752.00,90061.00,11252.00,0.00,2761.00,5786.00,1950.00
1989:Q4,1129798.00,931593.00,24843.00,906750.00,82715.00,115490.00,1129798.00,619514.00,32351.00,0.00,10816.00,135806.00,0.00,627.00,0.00,134766.00,9028.00,268.00,70065.00,92456.00,12101.00,0.00,2903.00,7097.00,2000.00
1990:Q1,1147494.00,949669.00,23433.00,926236.00,82882.00,114943.00,1147494.00,634998.00,24637.00,0.00,10871.00,132320.00,0.00,627.00,0.00,135208.00,9322.00,479.00,77892.00,96868.00,12923.00,0.00,3137.00,6162.00,2050.00
1990:Q2,1159783.00,960810.00,21854.00,938956.00,83695.00,115278.00,1159783.00,649028.00,23911.00,0.00,11000.00,126402.00,0.00,632.00,0.00,135776.00,10963.00,486.00,76495.00,99946.00,12768.00,0.00,3550.00,6726.00,2100.00
1990:Q3,1170082.00,970791.00,27903.00,942888.00,84265.00,115026.00,1170082.00,651675.00,25802.00,0.00,11229.00,125139.00,0.00,635.00,0.00,136382.00,11818.00,245.00,79518.00,101163.00,13248.00,0.00,3689.00,7389.00,2150.00
1990:Q4,1178619.00,977772.00,27788.00,949984.00,85694.00,115153.00,1178619.00,655388.00,24671.00,0.00,11583.00,119815.00,0.00,628.00,0.00,136936.00,12308.00,473.00,84009.00,104908.00,14121.00,0.00,3685.00,7894.00,2200.00
1991:Q1,1191778.00,991423.00,28012.00,963411.00,85495.00,114860.00,1191778.00,651168.00,25480.00,0.00,11896.00,115501.00,0.00,611.00,0.00,135084.00,14000.00,364.00,91347.00,117714.00,16225.00,0.00,3502.00,6636.00,2250.00
1991:Q2,1211966.00,1009504.00,27857.00,981647.00,86925.00,115537.00,1211966.00,671909.00,25455.00,0.00,12000.00,110837.00,0.00,581.00,0.00,131523.00,11329.00,487.00,87910.00,125811.00,19233.00,0.00,3442.00,9149.00,2300.00
1991:Q3,1242263.00,1037959.00,34805.00,1003154.00,89027.00,115277.00,1242263.00,686731.00,36642.00,0.00,11907.00,107546.00,0.00,552.00,0.00,128130.00,11909.00,549.00,86735.00,134946.00,22405.00,0.00,3426.00,8435.00,2350.00
1991:Q4,1272079.00,1068584.00,34659.00,1033925.00,89511.00,113984.00,1272079.00,687041.00,44818.00,0.00,11627.00,105093.00,0.00,533.00,0.00,126778.00,10228.00,619.00,90603.00,154497.00,25413.00,0.00,2981.00,9448.00,2400.00
1992:Q1,1275453.00,1070532.00,29685.00,1040847.00,90587.00,114334.00,1275453.00,688205.00,33322.00,0.00,11284.00,102468.00,0.00,525.00,0.00,127215.00,10138.00,554.00,97320.00,161639.00,29411.00,0.00,3056.00,7866.00,2450.00
1992:Q2,1287091.00,1080174.00,26923.00,1053251.00,91820.00,115097.00,1287091.00,677795.00,40878.00,0.00,11000.00,100617.00,0.00,525.00,0.00,129179.00,10281.00,534.00,93959.00,173453.00,33176.00,0.00,3075.00,10120.00,2500.00
1992:Q3,1301309.00,1093769.00,38379.00,1055390.00,91436.00,116104.00,1301309.00,676048.00,39984.00,0.00,10751.00,100771.00,0.00,515.00,0.00,131829.00,10743.00,378.00,92346.00,186180.00,36731.00,0.00,3120.00,9364.00,2550.00
1992:Q4,1295401.00,1085225.00,33586.00,1051639.00,91891.00,118285.00,1295401.00,642789.00,45813.00,0.00,10502.00,99082.00,0.00,484.00,0.00,134324.00,11375.00,445.00,96024.00,197781.00,39682.00,0.00,3188.00,11313.00,2600.00
1993:Q1,1314788.00,1102882.00,34103.00,1068779.00,92579.00,119327.00,1314788.00,638464.00,44494.00,0.00,10253.00,97535.00,0.00,432.00,0.00,136948.00,11501.00,460.00,101271.00,215151.00,42700.00,0.00,3025.00,9904.00,2650.00
1993:Q2,1343078.00,1128561.00,33848.00,1094713.00,93812.00,120705.00,1343078.00,635673.00,47081.00,0.00,10000.00,98355.00,0.00,340.00,0.00,139982.00,12545.00,617.00,98627.00,234084.00,45718.00,0.00,3005.00,14351.00,2700.00
1993:Q3,1360066.00,1143629.00,37630.00,1105999.00,93740.00,122697.00,1360066.00,617825.00,56150.00,0.00,9746.00,100938.00,0.00,263.00,0.00,143137.00,13898.00,1222.00,101315.00,247241.00,48736.00,0.00,2629.00,14216.00,2750.00
1993:Q4,1361698.00,1143882.00,35378.00,1108504.00,92952.00,124864.00,1361698.00,596799.00,54708.00,1484.00,9483.00,101039.00,0.00,238.00,0.00,146124.00,14726.00,1371.00,105612.00,255298.00,51754.00,0.00,3129.00,17133.00,2800.00
1994:Q1,1361402.00,1140838.00,37493.00,1103345.00,93617.00,126947.00,1361402.00,606111.00,52060.00,1516.00,9229.00,101453.00,0.00,325.00,0.00,147250.00,14604.00,716.00,117503.00,239395.00,52159.00,0.00,3153.00,13079.00,2850.00
1994:Q2,1352276.00,1128085.00,30781.00,1097304.00,94724.00,129467.00,1352276.00,617724.00,49969.00,1549.00,9000.00,101107.00,0.00,400.00,0.00,148500.00,13025.00,845.00,113789.00,224671.00,52564.00,0.00,3730.00,12503.00,2900.00
1994:Q3,1341280.00,1115642.00,34360.00,1081282.00,95193.00,130445.00,1341280.00,596863.00,50035.00,1581.00,8796.00,100335.00,0.00,500.00,0.00,150500.00,12598.00,1104.00,113287.00,232832.00,52969.00,0.00,4529.00,12402.00,2950.00
1994:Q4,1325770.00,1097943.00,33200.00,1064743.00,96138.00,131689.00,1325770.00,584451.00,56706.00,1614.00,8608.00,98983.00,0.00,622.00,0.00,153782.00,12837.00,1112.00,113472.00,216584.00,53374.00,0.00,5170.00,15455.00,3000.00
1995:Q1,1311393.00,1083130.00,36797.00,1046333.00,96515.00,131748.00,1311393.00,560617.00,47372.00,1763.00,8442.00,96766.00,0.00,602.00,0.00,155400.00,11736.00,1053.00,119350.00,234866.00,54606.00,0.00,4744.00,10838.00,3238.00
1995:Q2,1304195.00,1074431.00,32680.00,1041751.00,97003.00,132761.00,1304195.00,530379.00,63360.00,1913.00,8300.00,95848.00,0.00,560.00,0.00,157100.00,13159.00,1131.00,120917.00,234949.00,56167.00,0.00,5235.00,11702.00,3476.00
1995:Q3,1278456.00,1048582.00,32618.00,1015964.00,96364.00,133510.00,1278456.00,521881.00,40286.00,2062.00,7192.00,94689.00,0.00,670.00,0.00,159050.00,12706.00,1374.00,123403.00,238088.00,58044.00,0.00,5992.00,9305.00,3714.00
1995:Q4,1268157.00,1037040.00,34430.00,1002610.00,96359.00,134758.00,1268157.00,490640.00,36787.00,2212.00,5115.00,94676.00,0.00,687.00,0.00,161036.00,11894.00,1830.00,127800.00,250641.00,60318.00,0.00,7846.00,12723.00,3952.00
1996:Q1,1264843.00,1032290.00,35865.00,996425.00,97616.00,134937.00,1264843.00,490850.00,28016.00,2315.00,4057.00,94239.00,0.00,720.00,0.00,163004.00,12333.00,2271.00,141145.00,243577.00,58908.00,0.00,10353.00,8866.00,4190.00
1996:Q2,1269829.00,1033512.00,34210.00,999302.00,99207.00,137110.00,1269829.00,490943.00,31437.00,2419.00,4793.00,93930.00,0.00,708.00,0.00,166999.00,12111.00,1297.00,136833.00,244562.00,58755.00,0.00,11812.00,8802.00,4428.00
1996:Q3,1251696.00,1014241.00,37548.00,976693.00,100371.00,137084.00,1251696.00,466634.00,33603.00,2523.00,4560.00,94172.00,0.00,619.00,0.00,168247.00,12382.00,496.00,138758.00,245767.00,59478.00,0.00,11924.00,7867.00,4666.00
1996:Q4,1261631.00,1021340.00,40682.00,980658.00,102440.00,137851.00,1261631.00,455351.00,31017.00,2627.00,4639.00,95778.00,0.00,548.00,0.00,175366.00,13371.00,561.00,144615.00,250373.00,59541.00,0.00,12111.00,10830.00,4904.00
1997:Q1,1266301.00,1024126.00,41691.00,982435.00,103523.00,138652.00,1266301.00,442322.00,30361.00,2764.00,4430.00,95471.00,0.00,486.00,0.00,187643.00,13517.00,2051.00,155867.00,245708.00,58526.00,0.00,11958.00,10056.00,5142.00
1997:Q2,1283206.00,1036877.00,39296.00,997581.00,106529.00,139800.00,1283206.00,445039.00,36262.00,2901.00,4540.00,95868.00,0.00,491.00,0.00,188632.00,13735.00,2059.00,151980.00,253428.00,59812.00,0.00,11716.00,11363.00,5380.00
1997:Q3,1294019.00,1045093.00,44566.00,1000527.00,107244.00,141682.00,1294019.00,439286.00,33371.00,3039.00,4000.00,97802.00,0.00,440.00,0.00,189950.00,14115.00,2467.00,159059.00,261528.00,60542.00,0.00,11753.00,11049.00,5618.00
1997:Q4,1318530.00,1066957.00,48996.00,1017961.00,109571.00,142002.00,1318530.00,444852.00,27380.00,3176.00,3900.00,98254.00,0.00,526.00,0.00,191625.00,16651.00,1503.00,167136.00,269819.00,61992.00,0.00,12658.00,13203.00,5856.00
1998:Q1,1344209.00,1086783.00,49897.00,1036886.00,113584.00,143842.00,1344209.00,446860.00,29203.00,3088.00,3500.00,96911.00,0.00,592.00,0.00,196617.00,17174.00,2080.00,180008.00,274344.00,61679.00,0.00,13678.00,12381.00,6094.00
1998:Q2,1373908.00,1110880.00,44448.00,1066432.00,117536.00,145492.00,1373908.00,464041.00,26479.00,3001.00,3000.00,99837.00,0.00,459.00,0.00,199293.00,17573.00,2227.00,177515.00,282032.00,62616.00,0.00,14209.00,15294.00,6332.00
1998:Q3,1380576.00,1114893.00,40797.00,1074096.00,118674.00,147009.00,1380576.00,441805.00,25803.00,2913.00,3040.00,103249.00,0.00,469.00,0.00,201438.00,17956.00,2151.00,185892.00,292780.00,64227.00,0.00,17584.00,14699.00,6570.00
1998:Q4,1402728.00,1133636.00,42728.00,1090908.00,121329.00,147763.00,1402728.00,440231.00,25748.00,2825.00,3194.00,106870.00,0.00,475.00,0.00,208089.00,18364.00,3252.00,193307.00,297633.00,63628.00,0.00,19159.00,13145.00,6808.00
1999:Q1,1425161.00,1152668.00,43649.00,1109019.00,123350.00,149143.00,1425161.00,448549.00,24734.00,2793.00,3272.00,108633.00,0.00,586.00,0.00,204214.00,19010.00,4536.00,204312.00,301658.00,65086.00,0.00,18342.00,12390.00,7046.00
1999:Q2,1441525.00,1165057.00,41503.00,1123554.00,126171.00,150297.00,1441525.00,478716.00,21096.00,2762.00,3333.00,109881.00,0.00,607.00,0.00,204839.00,19485.00,3241.00,196328.00,294678.00,65185.00,0.00,19751.00,14339.00,7284.00
1999:Q3,1447418.00,1166567.00,42974.00,1123593.00,128874.00,151977.00,1447418.00,482314.00,29423.00,2730.00,3395.00,111794.00,0.00,558.00,0.00,201454.00,19861.00,3122.00,199338.00,285656.00,66013.00,0.00,21395.00,12844.00,7522.00
1999:Q4,1457089.00,1172521.00,45291.00,1127230.00,131742.00,152826.00,1457089.00,500934.00,25002.00,2698.00,3519.00,113205.00,0.00,559.00,0.00,198988.00,20077.00,3044.00,211793.00,270315.00,64513.00,0.00,22735.00,11947.00,7760.00
2000:Q1,1461603.00,1175824.00,46952.00,1128872.00,132517.00,153262.00,1461603.00,500276.00,28229.00,2635.00,3587.00,114332.00,0.00,680.00,0.00,194732.00,19960.00,2900.00,221548.00,265228.00,66339.00,0.00,22315.00,10842.00,8000.00
2000:Q2,1472014.00,1182717.00,45705.00,1137012.00,135917.00,153380.00,1472014.00,522884.00,32062.00,2572.00,3625.00,114755.00,0.00,670.00,0.00,190365.00,19620.00,2836.00,217025.00,258807.00,66032.00,0.00,22893.00,9868.00,8000.00
2000:Q3,1466923.00,1176656.00,43774.00,1132882.00,136330.00,153937.00,1466923.00,510136.00,26918.00,2509.00,3690.00,115833.00,0.00,680.00,0.00,188084.00,19400.00,2272.00,224154.00,263789.00,66446.00,0.00,24177.00,10836.00,8000.00
2000:Q4,1480713.00,1189025.00,46648.00,1142377.00,137501.00,154187.00,1480713.00,488710.00,31938.00,2446.00,3723.00,116603.00,0.00,693.00,0.00,184118.00,19111.00,1707.00,242356.00,272556.00,68267.00,0.00,29197.00,11289.00,8000.00
2001:Q1,1509553.00,1216228.00,52839.00,1163389.00,138656.00,154669.00,1509553.00,503075.00,26641.00,2711.00,3770.00,116185.00,0.00,354.00,0.00,180991.00,19082.00,1943.00,253518.00,281701.00,69474.00,0.00,29450.00,12658.00,8000.00
2001:Q2,1548554.00,1250414.00,55118.00,1195296.00,142324.00,155816.00,1548554.00,539578.00,23426.00,2976.00,3870.00,120035.00,0.00,350.00,0.00,180991.00,19005.00,1779.00,250741.00,283415.00,70092.00,0.00,30619.00,13677.00,8000.00
2001:Q3,1557240.00,1256372.00,65514.00,1190858.00,144462.00,156406.00,1557240.00,531077.00,26337.00,3240.00,3875.00,122050.00,0.00,325.00,0.00,174795.00,18974.00,715.00,255323.00,292181.00,73537.00,0.00,30814.00,15997.00,8000.00
2001:Q4,1603398.00,1294383.00,70496.00,1223887.00,151328.00,157687.00,1603398.00,547504.00,29331.00,3505.00,3968.00,124528.00,0.00,467.00,0.00,173812.00,18715.00,1651.00,269711.00,293372.00,74467.00,0.00,35357.00,19010.00,8000.00
2002:Q1,1627094.00,1316154.00,71605.00,1244549.00,153440.00,157500.00,1627094.00,566791.00,29835.00,3471.00,3994.00,123176.00,0.00,449.00,0.00,175906.00,19102.00,686.00,273910.00,295756.00,76000.00,0.00,36412.00,13606.00,8000.00
2002:Q2,1681145.00,1366203.00,76729.00,1289474.00,156625.00,158317.00,1681145.00,600990.00,27818.00,3437.00,4018.00,122984.00,0.00,444.00,0.00,177853.00,19335.00,822.00,271531.00,309072.00,79949.00,0.00,37473.00,17419.00,8000.00
2002:Q3,1706636.00,1389412.00,85135.00,1304277.00,158059.00,159165.00,1706636.00,585057.00,33223.00,3403.00,4022.00,125952.00,0.00,478.00,0.00,178632.00,19721.00,837.00,272161.00,328111.00,86421.00,0.00,38602.00,20266.00,9750.00
2002:Q4,1762821.00,1438302.00,95717.00,1342585.00,163897.00,160622.00,1762821.00,619331.00,32131.00,3369.00,4099.00,126994.00,0.00,475.00,0.00,182980.00,19900.00,858.00,286085.00,324655.00,90024.00,0.00,39394.00,21026.00,11500.00
2003:Q1,1793878.00,1465117.00,97398.00,1367719.00,167987.00,160774.00,1793878.00,612405.00,32334.00,3199.00,4096.00,128576.00,0.00,513.00,0.00,191998.00,21583.00,876.00,306559.00,329805.00,90401.00,0.00,39076.00,19208.00,13250.00
2003:Q2,1853615.00,1519965.00,97180.00,1422785.00,171757.00,161893.00,1853615.00,644319.00,30865.00,3029.00,4223.00,132711.00,0.00,519.00,0.00,200697.00,23271.00,851.00,302964.00,342304.00,91696.00,0.00,39037.00,22129.00,15000.00
2003:Q3,1865836.00,1528795.00,99902.00,1428893.00,174523.00,162518.00,1865836.00,636013.00,34611.00,2859.00,4337.00,137998.00,0.00,614.00,0.00,211241.00,24652.00,2570.00,300411.00,336398.00,92441.00,0.00,40357.00,24085.00,17250.00
2003:Q4,1900376.00,1558759.00,106092.00,1452667.00,177703.00,163914.00,1900376.00,634536.00,35404.00,2689.00,4539.00,138750.00,0.00,566.00,0.00,224198.00,26086.00,4386.00,309240.00,337184.00,94060.00,0.00,44381.00,24858.00,19500.00
2004:Q1,2715380.00,2331411.00,24853.00,2306558.00,191358.00,192611.00,2715380.00,1418713.00,33487.00,3104.00,4740.00,140039.00,0.00,612.00,0.00,237637.00,27215.00,6478.00,311096.00,342942.00,94611.00,0.00,47928.00,25028.00,21750.00
2004:Q2,2790143.00,2394454.00,29662.00,2364792.00,196958.00,198731.00,2790143.00,1490254.00,32561.00,3519.00,5111.00,143340.00,0.00,637.00,0.00,247660.00,28217.00,8253.00,312350.00,321838.00,92031.00,0.00,50201.00,30172.00,24000.00
2004:Q3,2827172.00,2428981.00,40755.00,2388226.00,198382.00,199809.00,2827172.00,1506095.00,31750.00,3934.00,5347.00,146009.00,0.00,255.00,0.00,258696.00,29217.00,2304.00,308683.00,328369.00,94725.00,0.00,53207.00,33582.00,25000.00
