date,FL263192005.Q,FL263192101.Q,FL263192305.Q,FL263192313.Q,FL263092313.Q,FL103092005.Q,FL763092000.Q,FL513092003.Q,FL543092073.Q,FL613092003.Q,FL663092003.Q,FL103192005.Q,FL115114005.Q,FL753192003.Q,FL513192003.Q,FL543192073.Q,FL613192003.Q,FL663192005.Q,FL733192003.Q,FL503192003.Q,FL263092001.Q,FL263092101.Q,FL263092303.Q,FL263092323.Q,FL263192323.Q,FL263192035.Q,FL263192101.Q,FL263192345.Q,FL263192313.Q,FL263192323.Q,FL263092035.Q,FL263092101.Q,FL263092345.Q,FL263092313.Q,FL263092323.Q,LM263192045.Q,LM263192141.Q,LM263192305.Q,FL263192055.Q,FL263192151.Q,FL263192305.Q,LM263092045.Q,LM263092141.Q,LM263092303.Q,FL263092055.Q,FL263092151.Q,FL263092303.Q
1960:Q4,31865.00,ND,ND,ND,ND,30670.00,173.00,178.00,237.00,285.00,322.00,5169.00,149.00,308.00,543.00,471.00,36.00,249.00,0.00,0.00,6925.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,32620.00,ND,ND,ND,ND,31393.00,177.00,181.00,241.00,295.00,333.00,5244.00,151.00,313.00,545.00,473.00,38.00,256.00,0.00,0.00,7020.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q2,33340.00,ND,ND,ND,ND,32079.00,182.00,184.00,245.00,305.00,345.00,5347.00,154.00,316.00,546.00,474.00,39.00,258.00,0.00,0.00,7134.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,34141.00,ND,ND,ND,ND,32846.00,186.00,187.00,249.00,316.00,357.00,5400.00,157.00,319.00,547.00,475.00,40.00,260.00,0.00,0.00,7198.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q4,34717.00,ND,ND,ND,ND,33387.00,190.00,190.00,254.00,327.00,369.00,5286.00,160.00,344.00,608.00,527.00,41.00,287.00,0.00,0.00,7253.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,35221.00,ND,ND,ND,ND,33854.00,195.00,194.00,258.00,338.00,382.00,5330.00,161.00,347.00,609.00,528.00,42.00,292.00,0.00,0.00,7309.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q2,35929.00,ND,ND,ND,ND,34525.00,199.00,197.00,263.00,350.00,395.00,5417.00,162.00,350.00,610.00,529.00,43.00,296.00,0.00,0.00,7407.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q3,36577.00,ND,ND,ND,ND,35133.00,204.00,201.00,268.00,362.00,409.00,5473.00,163.00,353.00,611.00,530.00,44.00,299.00,0.00,0.00,7473.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,37276.00,ND,ND,ND,ND,35793.00,209.00,204.00,272.00,375.00,423.00,5673.00,164.00,330.00,583.00,505.00,39.00,261.00,0.00,0.00,7555.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,38210.00,ND,ND,ND,ND,36685.00,214.00,208.00,277.00,388.00,438.00,5734.00,165.00,333.00,584.00,506.00,40.00,264.00,0.00,0.00,7626.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,39143.00,ND,ND,ND,ND,37577.00,219.00,211.00,282.00,401.00,453.00,5869.00,166.00,333.00,584.00,506.00,40.00,263.00,0.00,0.00,7761.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q3,39793.00,ND,ND,ND,ND,38183.00,224.00,215.00,287.00,415.00,469.00,5991.00,168.00,333.00,584.00,506.00,40.00,261.00,0.00,0.00,7883.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q4,40736.00,ND,ND,ND,ND,39081.00,229.00,219.00,292.00,430.00,485.00,5852.00,172.00,348.00,614.00,532.00,41.00,276.00,0.00,0.00,7835.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q1,41523.00,ND,ND,ND,ND,39821.00,235.00,223.00,297.00,445.00,502.00,5938.00,174.00,348.00,614.00,532.00,41.00,274.00,0.00,0.00,7921.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q2,42522.00,ND,ND,ND,ND,40774.00,240.00,227.00,302.00,460.00,519.00,6045.00,176.00,350.00,615.00,533.00,42.00,276.00,0.00,0.00,8037.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
