date,FU153050005.Q,FU543150005.Q,FU574190005.Q,FU344090005.Q,FU224190005.Q,FU153050005.Q,FU893131573.Q,FU763131573.Q,FU473131573.Q,FU543131503.Q,FU633131573.Q,FU653131573.Q,FU153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6555.00,400.00,1380.00,3892.00,883.00,6555.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6558.00,500.00,1517.00,3435.00,1106.00,6558.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1989:Q4,76185.00,18509.00,23217.00,17020.00,17439.00,76185.00,14235.00,4076.00,554.00,-327.00,2237.00,2550.00,5145.00
1990:Q1,74835.00,18951.00,21819.00,16704.00,17361.00,74835.00,24097.00,4862.00,1023.00,1090.00,3250.00,2429.00,11443.00
1990:Q2,77990.00,31950.00,11282.00,17017.00,17741.00,77990.00,24097.00,6529.00,1022.00,1090.00,3250.00,2429.00,9777.00
1990:Q3,73405.00,10846.00,27289.00,17244.00,18026.00,73405.00,24097.00,4244.00,582.00,1090.00,3250.00,2429.00,12502.00
1990:Q4,71561.00,15398.00,20270.00,17619.00,18274.00,71561.00,24097.00,3404.00,582.00,1090.00,3250.00,2429.00,13342.00
1991:Q1,63215.00,3528.00,25144.00,17106.00,17437.00,63215.00,23899.00,4553.00,1293.00,1770.00,0.00,6486.00,9797.00
1991:Q2,80959.00,13763.00,30805.00,17561.00,18830.00,80959.00,23899.00,4640.00,1292.00,1770.00,0.00,6486.00,9711.00
1991:Q3,79590.00,13184.00,28633.00,17952.00,19821.00,79590.00,23899.00,934.00,513.00,1770.00,0.00,6486.00,14196.00
1991:Q4,81848.00,12612.00,29740.00,18434.00,21062.00,81848.00,23899.00,2687.00,512.00,1770.00,0.00,6486.00,12444.00
1992:Q1,74875.00,7892.00,26913.00,18316.00,21754.00,74875.00,20726.00,-2560.00,304.00,1237.00,750.00,9415.00,11580.00
1992:Q2,87161.00,16786.00,28863.00,18569.00,22943.00,87161.00,20726.00,-1716.00,304.00,1237.00,750.00,9415.00,10736.00
1992:Q3,91384.00,20069.00,28989.00,18593.00,23733.00,91384.00,20726.00,-3069.00,165.00,1237.00,750.00,9415.00,12228.00
1992:Q4,87647.00,44515.00,329.00,18613.00,24190.00,87647.00,20726.00,-1483.00,165.00,1237.00,750.00,9415.00,10642.00
1993:Q1,109390.00,25880.00,42153.00,17850.00,23507.00,109390.00,21673.00,-2826.00,-48.00,3140.00,1500.00,13442.00,6465.00
1993:Q2,95212.00,21178.00,32393.00,17968.00,23673.00,95212.00,21673.00,-3169.00,-49.00,3140.00,1500.00,13442.00,6809.00
1993:Q3,90409.00,33137.00,16722.00,18052.00,22498.00,90409.00,21673.00,-1928.00,-88.00,3140.00,1500.00,13442.00,5607.00
