1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q1,377885.00,1282.00,3034.00,0.00,642.00,74788.00,0.00,29538.00,967.00,2579.00,41704.00,7444.00,43345.00,372.00,246978.00,0.00,1226.00,241201.00,4551.00,378549.00,360769.00,119568.00,241201.00,ND,360105.00,17780.00,ND,ND
1966:Q2,386013.00,1126.00,3151.00,0.00,671.00,76790.00,0.00,30258.00,1097.00,2543.00,42892.00,7734.00,42501.00,384.00,253656.00,0.00,1223.00,247613.00,4820.00,386681.00,368804.00,121191.00,247613.00,ND,368136.00,17877.00,ND,ND
1966:Q3,394081.00,1068.00,3271.00,0.00,702.00,78183.00,0.00,30452.00,1113.00,2513.00,44105.00,8054.00,39238.00,397.00,263168.00,0.00,1189.00,256847.00,5132.00,394756.00,377189.00,120342.00,256847.00,ND,376514.00,17567.00,ND,ND
1966:Q4,403527.00,1126.00,3418.00,0.00,734.00,79390.00,0.00,30396.00,1098.00,2481.00,45415.00,8427.00,42268.00,414.00,267750.00,0.00,1249.00,261146.00,5355.00,404208.00,385775.00,124629.00,261146.00,ND,385094.00,18433.00,ND,ND
1967:Q1,412659.00,1231.00,3539.00,0.00,767.00,80072.00,0.00,29873.00,1101.00,2461.00,46637.00,8672.00,48789.00,435.00,269154.00,0.00,1353.00,262251.00,5550.00,413356.00,393503.00,131252.00,262251.00,ND,392806.00,19853.00,ND,ND
1967:Q2,421094.00,1254.00,3699.00,0.00,803.00,81833.00,0.00,30688.00,1134.00,2442.00,47569.00,8823.00,50240.00,459.00,273983.00,0.00,1380.00,266761.00,5842.00,421814.00,401467.00,134706.00,266761.00,ND,400747.00,20347.00,ND,ND
1967:Q3,430319.00,1263.00,3898.00,0.00,838.00,82955.00,0.00,30349.00,1121.00,2424.00,49061.00,8984.00,54259.00,485.00,277637.00,0.00,1451.00,270096.00,6090.00,431062.00,409688.00,139592.00,270096.00,ND,408945.00,21374.00,ND,ND
1967:Q4,439109.00,1197.00,4175.00,0.00,870.00,84248.00,0.00,30444.00,1122.00,2406.00,50276.00,9086.00,55004.00,510.00,284019.00,0.00,1470.00,276189.00,6360.00,439879.00,418113.00,141924.00,276189.00,ND,417343.00,21766.00,ND,ND
1968:Q1,448728.00,1236.00,4244.00,0.00,900.00,85455.00,0.00,30760.00,1116.00,2437.00,51142.00,9239.00,52127.00,535.00,294992.00,0.00,1443.00,286894.00,6655.00,449544.00,427973.00,141079.00,286894.00,ND,427157.00,21571.00,ND,ND
1968:Q2,460615.00,1353.00,4378.00,0.00,928.00,87519.00,0.00,31904.00,1407.00,2372.00,51836.00,9319.00,60670.00,561.00,295887.00,0.00,1566.00,287540.00,6781.00,461470.00,438205.00,150665.00,287540.00,ND,437350.00,23265.00,ND,ND
1968:Q3,472220.00,1412.00,4631.00,0.00,954.00,88457.00,0.00,31737.00,1539.00,2384.00,52797.00,9346.00,64101.00,587.00,302732.00,0.00,1621.00,294146.00,6965.00,473128.00,449052.00,154906.00,294146.00,ND,448144.00,24076.00,ND,ND
1968:Q4,484413.00,1392.00,4910.00,0.00,980.00,89662.00,0.00,31908.00,1807.00,2382.00,53565.00,9429.00,67256.00,614.00,310170.00,0.00,1671.00,301348.00,7151.00,485373.00,460514.00,159166.00,301348.00,ND,459554.00,24859.00,ND,ND
1969:Q1,495933.00,1502.00,4851.00,0.00,1006.00,90558.00,0.00,32065.00,1870.00,2386.00,54237.00,9505.00,66904.00,639.00,320968.00,0.00,1667.00,311919.00,7382.00,496900.00,471975.00,160056.00,311919.00,ND,471008.00,24925.00,ND,ND
1969:Q2,508319.00,1324.00,5183.00,0.00,1030.00,92464.00,0.00,32877.00,1933.00,2368.00,55286.00,9544.00,67383.00,664.00,330727.00,0.00,1674.00,321463.00,7590.00,509288.00,484147.00,162684.00,321463.00,ND,483178.00,25141.00,ND,ND
