1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q3,7227.00,3879.00,8753.00,717.00,-614.00,761.00,-268.00,89.00,940.00,-463.00,0.00,8352.00,7110.00,0.00,0.00,-277.00,1105.00,1963.00,-1549.00,5520.00,-129.00,118.00,-676.00,794.00,430.00,753.00,4348.00,4229.00,119.00,115.00
1993:Q4,9027.00,4021.00,13516.00,-697.00,427.00,304.00,-278.00,601.00,-19.00,-1496.00,0.00,14978.00,7340.00,0.00,0.00,-1411.00,10200.00,-1060.00,-91.00,7426.00,-102.00,3061.00,2756.00,305.00,348.00,772.00,3347.00,6277.00,-2930.00,-1084.00
1994:Q1,7720.00,3718.00,5187.00,-383.00,-342.00,956.00,510.00,261.00,185.00,-192.00,0.00,5148.00,5192.00,0.00,0.00,-1029.00,-1060.00,-77.00,2122.00,-22.00,102.00,874.00,1105.00,-231.00,68.00,-273.00,-793.00,-2366.00,1573.00,-1207.00
1994:Q2,8383.00,3805.00,7288.00,58.00,294.00,-429.00,-1002.00,383.00,190.00,487.00,0.00,6878.00,1717.00,0.00,0.00,1853.00,-3025.00,6277.00,56.00,964.00,-103.00,2519.00,2213.00,306.00,1531.00,-572.00,-2411.00,-827.00,-1584.00,-1747.00
1994:Q3,9157.00,3864.00,10403.00,41.00,-88.00,819.00,10.00,489.00,320.00,-154.00,0.00,9785.00,6643.00,0.00,0.00,2874.00,804.00,-2163.00,1627.00,1823.00,75.00,2874.00,2924.00,-50.00,351.00,-1861.00,384.00,913.00,-529.00,-3287.00
1994:Q4,11474.00,3995.00,11833.00,-147.00,364.00,-402.00,-259.00,604.00,-747.00,-206.00,0.00,12224.00,1975.00,0.00,0.00,325.00,3937.00,3809.00,2178.00,346.00,-33.00,3990.00,-306.00,4296.00,1307.00,-2370.00,-2548.00,-5810.00,3262.00,-4008.00
1995:Q1,9151.00,4019.00,16160.00,54.00,-299.00,-1024.00,-629.00,-733.00,338.00,647.00,0.00,16782.00,13211.00,0.00,0.00,-1241.00,4550.00,1379.00,-1117.00,11359.00,72.00,4074.00,-577.00,4651.00,-191.00,-664.00,8068.00,6765.00,1303.00,331.00
1995:Q2,9020.00,4094.00,14159.00,-54.00,189.00,1566.00,1683.00,-189.00,72.00,-249.00,0.00,12707.00,6866.00,0.00,0.00,2501.00,2677.00,830.00,-167.00,7107.00,1903.00,5212.00,-228.00,5440.00,-1663.00,-1983.00,3638.00,3889.00,-251.00,-2126.00
1995:Q3,9157.00,4146.00,15636.00,-14.00,-435.00,-2096.00,-2593.00,236.00,261.00,-306.00,0.00,18487.00,13356.00,0.00,0.00,600.00,1179.00,2338.00,1014.00,7086.00,-1966.00,7423.00,3294.00,4129.00,573.00,-2510.00,3566.00,3126.00,440.00,-3539.00
1995:Q4,12603.00,4215.00,8398.00,-81.00,326.00,801.00,365.00,524.00,-88.00,349.00,0.00,7003.00,5467.00,0.00,0.00,1557.00,-1873.00,-698.00,2550.00,-7837.00,186.00,-2332.00,-3922.00,1590.00,688.00,-6186.00,-193.00,-1013.00,820.00,-7847.00
1996:Q1,9984.00,4264.00,8236.00,-7.00,-264.00,-906.00,-611.00,62.00,-357.00,-378.00,0.00,9791.00,4739.00,0.00,0.00,626.00,2928.00,1109.00,389.00,-1754.00,-122.00,-6648.00,409.00,-7057.00,10617.00,-3456.00,-2145.00,-3935.00,1790.00,-4270.00
1996:Q2,9851.00,4370.00,13008.00,-29.00,34.00,1271.00,-23.00,87.00,1207.00,85.00,0.00,11647.00,15051.00,0.00,0.00,3326.00,-2480.00,-2999.00,-1251.00,3005.00,1.00,7068.00,3884.00,3184.00,-1168.00,-3508.00,612.00,3521.00,-2909.00,-4522.00
1996:Q3,14110.00,4506.00,5701.00,218.00,-228.00,1058.00,544.00,-134.00,648.00,154.00,0.00,4499.00,2610.00,0.00,0.00,-740.00,-676.00,1459.00,1846.00,-10563.00,-78.00,714.00,-1272.00,1986.00,-487.00,-6018.00,-4694.00,-6110.00,1416.00,-6660.00
1996:Q4,15268.00,4670.00,22072.00,-493.00,600.00,2289.00,711.00,244.00,1334.00,345.00,0.00,19331.00,11272.00,0.00,0.00,-267.00,-10116.00,4577.00,13865.00,5484.00,693.00,867.00,-1127.00,1994.00,1680.00,-4511.00,6755.00,-4715.00,11470.00,-5990.00
