1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q4,37752.00,1764.00,-5716.00,41640.00,64.00,37752.00,112.00,8872.00,644.00,672.00,1128.00,13612.00,472.00,-72.00,396.00,7440.00,4136.00,160.00,0.00,0.00,120.00,60.00
1983:Q1,50456.00,6156.00,-15712.00,59972.00,40.00,50456.00,4920.00,2228.00,648.00,256.00,632.00,27120.00,124.00,-228.00,596.00,7236.00,7148.00,80.00,0.00,0.00,-196.00,-108.00
1983:Q2,55540.00,5136.00,17103.00,33277.00,24.00,55540.00,1004.00,3968.00,1116.00,396.00,272.00,37320.00,-204.00,-416.00,820.00,8240.00,1500.00,192.00,0.00,0.00,1440.00,-108.00
1983:Q3,55040.00,8988.00,16640.00,29400.00,12.00,55040.00,1388.00,-3524.00,2276.00,416.00,580.00,37236.00,-564.00,-400.00,824.00,11172.00,4020.00,20.00,0.00,0.00,1704.00,-108.00
1983:Q4,61796.00,9760.00,17194.00,34850.00,-8.00,61796.00,-72.00,4812.00,3216.00,420.00,-12.00,36140.00,1428.00,-296.00,604.00,14488.00,-1484.00,956.00,0.00,0.00,1700.00,-104.00
1984:Q1,60260.00,13680.00,-7438.00,53798.00,220.00,60260.00,24.00,14688.00,3760.00,60.00,256.00,42376.00,-3072.00,-140.00,412.00,3756.00,-4468.00,220.00,0.00,0.00,1948.00,440.00
1984:Q2,85116.00,8068.00,22843.00,53841.00,364.00,85116.00,-592.00,14428.00,4012.00,280.00,148.00,54008.00,-632.00,-68.00,304.00,11112.00,-1516.00,848.00,0.00,0.00,2316.00,468.00
1984:Q3,88364.00,4392.00,16400.00,67224.00,348.00,88364.00,-1796.00,19424.00,4648.00,-612.00,320.00,55892.00,572.00,52.00,360.00,9012.00,-2524.00,156.00,0.00,0.00,2416.00,444.00
1984:Q4,80476.00,1564.00,4014.00,74730.00,168.00,80476.00,-2716.00,12624.00,5148.00,396.00,332.00,49940.00,4836.00,-20.00,336.00,5496.00,1924.00,1144.00,0.00,0.00,728.00,308.00
1985:Q1,68278.00,6848.00,-4964.00,66366.00,28.00,68278.00,3156.00,-72.00,3788.00,184.00,228.00,39056.00,-652.00,-4.00,820.00,16803.00,2524.00,376.00,0.00,-149.00,1996.00,224.00
1985:Q2,75621.00,504.00,6987.00,68098.00,32.00,75621.00,-2088.00,6208.00,3628.00,300.00,564.00,45472.00,-292.00,100.00,712.00,15610.00,3364.00,132.00,0.00,235.00,1368.00,308.00
1985:Q3,68685.00,2316.00,-3374.00,69703.00,40.00,68685.00,1520.00,2128.00,3236.00,348.00,948.00,42968.00,364.00,128.00,600.00,14355.00,-1020.00,104.00,0.00,1182.00,1492.00,332.00
1985:Q4,66468.00,3204.00,24465.00,38751.00,48.00,66468.00,1132.00,-116.00,2928.00,340.00,1176.00,25736.00,1088.00,84.00,568.00,19212.00,2804.00,84.00,0.00,988.00,3596.00,6848.00
1986:Q1,57769.00,6208.00,12894.00,38308.00,360.00,57769.00,-5020.00,-11692.00,780.00,72.00,2656.00,44132.00,1724.00,88.00,1136.00,19729.00,1748.00,588.00,0.00,-112.00,1332.00,608.00
1986:Q2,46555.00,12468.00,12747.00,20732.00,608.00,46555.00,-1608.00,-5564.00,760.00,364.00,-40.00,28500.00,1652.00,60.00,880.00,22673.00,-5852.00,-208.00,0.00,2086.00,2044.00,808.00
1986:Q3,56930.00,9484.00,20067.00,27418.00,-40.00,56930.00,428.00,-9152.00,708.00,264.00,-240.00,36792.00,1624.00,68.00,928.00,20676.00,-1576.00,1304.00,0.00,1329.00,3508.00,268.00
1986:Q4,79470.00,-9488.00,13768.00,75434.00,-244.00,79470.00,1780.00,-19564.00,-4332.00,-312.00,336.00,74076.00,6728.00,24.00,1092.00,22686.00,-4760.00,1476.00,528.00,-1096.00,2472.00,-1664.00
1987:Q1,66193.00,11288.00,21093.00,33568.00,244.00,66193.00,3912.00,-20520.00,-3296.00,68.00,224.00,57888.00,-1256.00,60.00,384.00,16063.00,6160.00,-588.00,-20.00,1994.00,4500.00,620.00
1987:Q2,64510.00,3584.00,44781.00,16132.00,12.00,64510.00,-6000.00,-5448.00,-4296.00,360.00,208.00,49300.00,5664.00,0.00,1224.00,16886.00,-760.00,8.00,-4.00,3316.00,4124.00,-72.00
1987:Q3,53486.00,-956.00,38840.00,15502.00,100.00,53486.00,3196.00,-10340.00,-4096.00,-7844.00,756.00,44760.00,5832.00,44.00,472.00,17679.00,-1984.00,256.00,-8.00,1127.00,2748.00,888.00
1987:Q4,105051.00,11308.00,71479.00,21760.00,504.00,105051.00,6396.00,18064.00,-2712.00,44.00,1024.00,46632.00,10744.00,104.00,504.00,19816.00,-936.00,-260.00,-244.00,1599.00,3000.00,1276.00
1988:Q1,63053.00,8068.00,25545.00,29476.00,-36.00,63053.00,-812.00,21868.00,700.00,148.00,768.00,-9332.00,8152.00,232.00,580.00,31791.00,3684.00,272.00,-20.00,482.00,3752.00,788.00
1988:Q2,87737.00,5056.00,2065.00,80568.00,48.00,87737.00,-824.00,23460.00,2100.00,-1408.00,1184.00,31868.00,7616.00,344.00,520.00,14971.00,3752.00,780.00,-68.00,1443.00,1896.00,104.00
1988:Q3,97294.00,5052.00,34130.00,58175.00,-64.00,97294.00,-808.00,24216.00,2300.00,-3952.00,160.00,32276.00,8368.00,412.00,548.00,18204.00,8308.00,648.00,-12.00,2534.00,2684.00,1408.00
1988:Q4,94352.00,-488.00,38678.00,55378.00,784.00,94352.00,-764.00,15460.00,1300.00,172.00,-596.00,37260.00,8432.00,436.00,672.00,18342.00,8016.00,364.00,0.00,1530.00,1556.00,2172.00
1989:Q1,49785.00,8856.00,23120.00,17681.00,128.00,49785.00,880.00,-17868.00,-3500.00,-968.00,224.00,40112.00,6200.00,468.00,820.00,17053.00,420.00,104.00,-16.00,2436.00,4116.00,-696.00
1989:Q2,26379.00,6904.00,7212.00,12211.00,52.00,26379.00,908.00,-27104.00,-4096.00,-4864.00,504.00,27484.00,7764.00,512.00,992.00,15118.00,2548.00,-472.00,-32.00,3661.00,3624.00,-168.00
1989:Q3,41000.00,6256.00,5338.00,29058.00,348.00,41000.00,944.00,-25564.00,-4296.00,1924.00,180.00,25088.00,9452.00,556.00,972.00,19281.00,2920.00,488.00,-1.00,5008.00,4448.00,-400.00
1989:Q4,4094.00,6904.00,-31754.00,28596.00,348.00,4094.00,976.00,-28256.00,-4108.00,308.00,736.00,-5916.00,9088.00,588.00,760.00,20240.00,4904.00,-464.00,-1.00,3883.00,924.00,432.00
1990:Q1,51045.00,6892.00,61156.00,-17350.00,348.00,51045.00,-720.00,-16576.00,-1752.00,8224.00,1084.00,-6172.00,22288.00,628.00,620.00,21474.00,12696.00,-156.00,-3.00,4707.00,4904.00,-200.00
1990:Q2,11200.00,6196.00,6459.00,-1803.00,348.00,11200.00,-664.00,3616.00,-2328.00,9248.00,872.00,-32800.00,11136.00,644.00,548.00,10840.00,2536.00,36.00,-2.00,254.00,7344.00,-80.00
1990:Q3,15609.00,6892.00,16352.00,-8250.00,616.00,15609.00,-652.00,-4904.00,-2396.00,16884.00,208.00,-16592.00,11124.00,716.00,388.00,3611.00,1268.00,688.00,-1.00,1335.00,3992.00,-60.00
1990:Q4,4733.00,8952.00,4591.00,-9158.00,348.00,4733.00,-692.00,-4332.00,-2420.00,1576.00,504.00,-15688.00,16832.00,836.00,144.00,2671.00,840.00,2896.00,-2.00,824.00,2204.00,-1460.00
1991:Q1,31022.00,8552.00,28835.00,-6553.00,188.00,31022.00,-80.00,3784.00,-3572.00,15908.00,296.00,-3400.00,14380.00,636.00,-104.00,6562.00,-4408.00,1500.00,-1.00,3284.00,-3344.00,-420.00
1991:Q2,11893.00,8548.00,488.00,2637.00,220.00,11893.00,-168.00,128.00,-2636.00,12828.00,844.00,-13924.00,10276.00,928.00,-372.00,4023.00,-5872.00,-400.00,-10.00,4477.00,1984.00,-212.00
1991:Q3,-47206.00,8552.00,-25252.00,-30762.00,256.00,-47206.00,-104.00,7664.00,-6068.00,-505.00,-160.00,-45520.00,3392.00,828.00,-504.00,-3558.00,-4052.00,668.00,-2.00,923.00,320.00,-528.00
1991:Q4,-49189.00,8552.00,-29056.00,-29261.00,576.00,-49189.00,116.00,5212.00,-2604.00,2764.00,1224.00,-28288.00,7012.00,372.00,-516.00,-29527.00,-5156.00,1556.00,-5.00,1064.00,-1480.00,-932.00
1992:Q1,-36650.00,6576.00,-20951.00,-22850.00,576.00,-36650.00,892.00,744.00,-1328.00,5630.00,264.00,-35324.00,-364.00,4.00,-492.00,-9522.00,-2872.00,-648.00,-4.00,5878.00,884.00,-392.00
1992:Q2,-27412.00,6580.00,-23471.00,-10578.00,56.00,-27412.00,892.00,836.00,-1308.00,-5235.00,888.00,-16528.00,732.00,-360.00,-484.00,-18277.00,-3416.00,3116.00,0.00,7988.00,2384.00,1360.00
1992:Q3,-45468.00,6576.00,-33408.00,-18931.00,296.00,-45468.00,892.00,1972.00,-1284.00,-11383.00,-1752.00,-24744.00,-3496.00,-368.00,-616.00,-17534.00,-1904.00,-1676.00,-2.00,14847.00,2368.00,-788.00
1992:Q4,-65185.00,6576.00,-70262.00,-2079.00,580.00,-65185.00,888.00,2620.00,-1524.00,-15223.00,72.00,-24524.00,-7648.00,24.00,-896.00,-15239.00,-2556.00,1416.00,-3.00,-2761.00,-800.00,968.00
1993:Q1,-29751.00,9964.00,-34290.00,-6349.00,924.00,-29751.00,916.00,-2312.00,-1792.00,-6194.00,40.00,-12664.00,-5480.00,-188.00,-1204.00,-7742.00,312.00,-2564.00,-6.00,10267.00,-608.00,-532.00
1993:Q2,-40166.00,9960.00,-36855.00,-14175.00,904.00,-40166.00,916.00,-2656.00,-568.00,-6192.00,1200.00,-13796.00,-4944.00,-8.00,-1584.00,-13155.00,-948.00,-5044.00,-2.00,9228.00,-2404.00,-208.00
1993:Q3,-20768.00,9964.00,-12514.00,-22354.00,4136.00,-20768.00,920.00,-2828.00,-396.00,-2544.00,-1544.00,1156.00,-4792.00,140.00,-1600.00,-14150.00,1444.00,2368.00,-5.00,2060.00,-852.00,-144.00
1993:Q4,-50436.00,12856.00,-39678.00,-27266.00,3652.00,-50436.00,916.00,-2768.00,-848.00,-2916.00,1080.00,-10504.00,-10964.00,436.00,-1280.00,-28909.00,-6988.00,-2416.00,-5.00,14369.00,580.00,-220.00
1994:Q1,-31506.00,-824.00,-19603.00,-17663.00,6584.00,-31506.00,-144.00,1852.00,-1116.00,-11125.00,652.00,-5308.00,-6096.00,344.00,-676.00,-12456.00,-2356.00,-8.00,-3.00,2266.00,-352.00,3020.00
1994:Q2,-3146.00,-816.00,-753.00,-9884.00,8308.00,-3146.00,-140.00,1964.00,1972.00,-2155.00,344.00,2992.00,-4088.00,1780.00,-676.00,-13964.00,-1036.00,552.00,-8.00,5461.00,1444.00,2412.00
1994:Q3,9169.00,-820.00,9523.00,-7574.00,8040.00,9169.00,-144.00,2012.00,280.00,-7508.00,756.00,2592.00,-4360.00,888.00,-680.00,-195.00,-1084.00,-396.00,-4.00,12168.00,3228.00,1616.00
1994:Q4,-34632.00,-824.00,-22255.00,-14837.00,3284.00,-34632.00,-140.00,1980.00,996.00,-8260.00,432.00,6220.00,-4652.00,708.00,-676.00,-7521.00,-19596.00,52.00,0.00,-5571.00,1844.00,-448.00
1995:Q1,26329.00,-560.00,13103.00,11529.00,2256.00,26329.00,872.00,1228.00,-848.00,-2988.00,-524.00,30516.00,-5740.00,248.00,-980.00,365.00,124.00,72.00,-9.00,1849.00,2420.00,-276.00
1995:Q2,7756.00,-560.00,-3965.00,7024.00,5256.00,7756.00,880.00,1220.00,-388.00,-2809.00,216.00,13640.00,-4672.00,-976.00,-976.00,-4251.00,128.00,-88.00,-3.00,2747.00,2872.00,216.00
1995:Q3,25137.00,-560.00,10886.00,11803.00,3008.00,25137.00,868.00,1276.00,-620.00,-3307.00,-1600.00,6564.00,-3316.00,216.00,-1024.00,13324.00,128.00,16.00,-3.00,9871.00,3148.00,-404.00
1995:Q4,-14943.00,-556.00,-26653.00,8514.00,3752.00,-14943.00,876.00,1188.00,-388.00,-6281.00,-272.00,22632.00,-6824.00,384.00,-936.00,-25250.00,124.00,4.00,-1.00,1514.00,-244.00,-1468.00
1996:Q1,33665.00,4104.00,14530.00,11271.00,3760.00,33665.00,632.00,9896.00,-436.00,2444.00,240.00,16664.00,-7676.00,940.00,-980.00,-437.00,120.00,-20.00,0.00,11574.00,2664.00,-1960.00
1996:Q2,36487.00,4104.00,11739.00,15388.00,5256.00,36487.00,632.00,2824.00,-612.00,-832.00,-328.00,27260.00,-3576.00,-640.00,-16.00,-4819.00,120.00,4.00,0.00,9374.00,8452.00,-1356.00
1996:Q3,17855.00,4104.00,3833.00,3642.00,6276.00,17855.00,632.00,3600.00,-204.00,-2032.00,-808.00,16980.00,-328.00,-720.00,-112.00,-2920.00,132.00,0.00,-4.00,9575.00,-4556.00,-1380.00
1996:Q4,30525.00,4104.00,3079.00,17578.00,5764.00,30525.00,632.00,4000.00,-236.00,-3084.00,156.00,33900.00,-20.00,204.00,-580.00,-14072.00,196.00,0.00,-16.00,12365.00,-3624.00,704.00
1997:Q1,37844.00,3052.00,11916.00,11757.00,11120.00,37844.00,628.00,20000.00,-760.00,-380.00,528.00,11088.00,-5832.00,656.00,344.00,1402.00,224.00,-4.00,0.00,9922.00,-1788.00,1816.00
1997:Q2,66414.00,3052.00,20467.00,32032.00,10864.00,66414.00,632.00,20000.00,-296.00,-368.00,712.00,40096.00,-9952.00,220.00,-440.00,-3667.00,220.00,-12.00,0.00,15793.00,1308.00,2168.00
1997:Q3,78517.00,3052.00,59800.00,11189.00,4476.00,78517.00,624.00,20000.00,-416.00,-436.00,-428.00,41540.00,-2664.00,460.00,-16.00,-2189.00,260.00,-4.00,0.00,20474.00,-128.00,1440.00
1997:Q4,68916.00,3052.00,16749.00,35620.00,13496.00,68916.00,632.00,20000.00,-320.00,-1444.00,-204.00,26756.00,-6056.00,588.00,-544.00,-1690.00,-504.00,-12.00,0.00,32810.00,-4492.00,3396.00
1998:Q1,69855.00,9876.00,-15615.00,69498.00,6096.00,69855.00,864.00,-9856.00,2040.00,156.00,32.00,22120.00,-8560.00,328.00,-108.00,5592.00,-8.00,1880.00,0.00,53175.00,-2280.00,4480.00
1998:Q2,72388.00,9880.00,-26626.00,75834.00,13300.00,72388.00,860.00,-9932.00,2044.00,-60.00,-200.00,20524.00,-3724.00,172.00,-172.00,340.00,12.00,3208.00,0.00,59540.00,-2356.00,2132.00
1998:Q3,94309.00,9880.00,-9405.00,67286.00,26548.00,94309.00,864.00,-10088.00,2040.00,64.00,8792.00,50468.00,-744.00,708.00,-1028.00,2511.00,12.00,1308.00,0.00,25910.00,10272.00,3220.00
1998:Q4,120364.00,9880.00,39834.00,50162.00,20488.00,120364.00,860.00,-10088.00,2036.00,244.00,1364.00,67700.00,-9776.00,484.00,204.00,11517.00,-816.00,1460.00,0.00,49727.00,5200.00,248.00
1999:Q1,112004.00,2536.00,40636.00,55347.00,13484.00,112004.00,820.00,-19000.00,-28.00,136.00,356.00,55992.00,-8136.00,1520.00,-184.00,21918.00,860.00,612.00,0.00,48730.00,5708.00,2700.00
1999:Q2,88089.00,2536.00,49397.00,44368.00,-8212.00,88089.00,824.00,-19000.00,-636.00,372.00,132.00,62656.00,-4860.00,1476.00,116.00,15501.00,864.00,1880.00,0.00,22592.00,6392.00,-220.00
1999:Q3,105211.00,2536.00,44103.00,52296.00,6276.00,105211.00,820.00,-19000.00,-644.00,732.00,108.00,72024.00,-1104.00,1044.00,208.00,7670.00,860.00,-180.00,0.00,36825.00,6340.00,-492.00
1999:Q4,105324.00,2540.00,35670.00,58076.00,9039.00,105324.00,824.00,-19000.00,-640.00,1120.00,824.00,90836.00,-3724.00,560.00,-272.00,11135.00,856.00,2932.00,0.00,12541.00,6920.00,412.00
2000:Q1,129365.00,11616.00,40002.00,72299.00,5448.00,129365.00,1720.00,1140.00,-172.00,-3524.00,124.00,91708.00,2848.00,420.00,2512.00,3622.00,-232.00,-2136.00,0.00,33747.00,-1396.00,-1016.00
2000:Q2,116002.00,11620.00,26904.00,73430.00,4048.00,116002.00,1716.00,1140.00,-180.00,112.00,-240.00,76764.00,2208.00,1300.00,-2804.00,8247.00,-700.00,384.00,0.00,23795.00,4676.00,-416.00
2000:Q3,91254.00,11620.00,18814.00,65652.00,-4832.00,91254.00,1712.00,1140.00,-172.00,472.00,48.00,59676.00,-800.00,1128.00,-688.00,7695.00,-1068.00,-4832.00,0.00,25587.00,4612.00,-3256.00
2000:Q4,93266.00,11616.00,-1061.00,80723.00,1988.00,93266.00,1716.00,1140.00,-180.00,1524.00,-336.00,56408.00,496.00,428.00,-168.00,-728.00,-1596.00,512.00,0.00,32766.00,4464.00,-3180.00
2001:Q1,-54059.00,14300.00,-106415.00,37944.00,112.00,-54059.00,-668.00,1500.00,912.00,720.00,-188.00,54516.00,-68.00,10584.00,32.00,3466.00,-2188.00,-668.00,0.00,-121313.00,684.00,-1380.00
2001:Q2,80862.00,10104.00,29143.00,33183.00,8432.00,80862.00,-668.00,1484.00,904.00,-8.00,364.00,61424.00,-1488.00,2520.00,128.00,5394.00,1944.00,-2256.00,0.00,15404.00,-1756.00,-2528.00
2001:Q3,153794.00,6736.00,105313.00,48009.00,-6264.00,153794.00,-668.00,1500.00,908.00,-3160.00,-684.00,79272.00,4600.00,876.00,128.00,7918.00,1564.00,552.00,0.00,61676.00,-420.00,-268.00
2001:Q4,158295.00,4176.00,111548.00,42011.00,560.00,158295.00,-672.00,1500.00,912.00,1944.00,244.00,59476.00,-88.00,2820.00,684.00,1698.00,944.00,-192.00,0.00,91881.00,-6632.00,3776.00
2002:Q1,76456.00,12168.00,3731.00,55901.00,4656.00,76456.00,2568.00,960.00,-176.00,660.00,-480.00,62296.00,1540.00,720.00,8.00,7312.00,4048.00,-152.00,0.00,15424.00,-15908.00,-2364.00
2002:Q2,105079.00,12172.00,29681.00,39954.00,23272.00,105079.00,840.00,972.00,-168.00,256.00,-512.00,68376.00,1364.00,-344.00,68.00,4333.00,1416.00,-396.00,0.00,21282.00,6380.00,1212.00
2002:Q3,117311.00,12168.00,60959.00,40676.00,3508.00,117311.00,728.00,980.00,-164.00,980.00,-716.00,63376.00,1692.00,1668.00,12.00,3456.00,1344.00,-3456.00,0.00,46895.00,-524.00,1040.00
2002:Q4,125577.00,12172.00,103198.00,3623.00,6584.00,125577.00,996.00,980.00,-176.00,2736.00,0.00,66884.00,-108.00,-1292.00,320.00,11554.00,1036.00,236.00,0.00,40407.00,1108.00,896.00
2003:Q1,110138.00,6264.00,60659.00,46995.00,-3780.00,110138.00,676.00,960.00,28.00,-7848.00,-28.00,67572.00,44.00,476.00,20.00,12213.00,920.00,268.00,0.00,34782.00,480.00,-424.00
2003:Q2,122922.00,6268.00,36516.00,74181.00,5956.00,122922.00,1056.00,960.00,32.00,852.00,1228.00,57324.00,2172.00,1120.00,-236.00,11013.00,468.00,2036.00,0.00,42121.00,1632.00,1144.00
2003:Q3,152334.00,6268.00,57142.00,75184.00,13740.00,152334.00,1104.00,960.00,36.00,-824.00,-256.00,63504.00,18584.00,3104.00,-32.00,9386.00,812.00,-1824.00,0.00,49280.00,5596.00,2904.00
2003:Q4,97831.00,6268.00,-7436.00,81362.00,17636.00,97831.00,1104.00,960.00,28.00,1472.00,580.00,79392.00,-26748.00,1652.00,656.00,3012.00,916.00,-1436.00,0.00,19206.00,12572.00,4464.00
2004:Q1,196855.00,4952.00,145355.00,29916.00,16632.00,196855.00,1136.00,960.00,1232.00,7824.00,552.00,96008.00,1120.00,1608.00,236.00,9344.00,380.00,-1828.00,0.00,73295.00,-1520.00,6508.00
2004:Q2,150565.00,4952.00,47044.00,77885.00,20684.00,150565.00,1212.00,960.00,1228.00,-5204.00,1980.00,101312.00,-10876.00,2756.00,312.00,3668.00,-112.00,-1768.00,0.00,56354.00,-4380.00,3124.00
2004:Q3,209930.00,4952.00,96229.00,95285.00,13464.00,209930.00,1280.00,960.00,1228.00,1344.00,744.00,102396.00,2172.00,3892.00,528.00,11642.00,200.00,-804.00,0.00,76868.00,6664.00,816.00
2004:Q4,201846.00,4952.00,38545.00,121437.00,36912.00,201846.00,1700.00,960.00,1232.00,3368.00,1360.00,106352.00,5040.00,4128.00,320.00,15903.00,-448.00,-2940.00,0.00,45539.00,15776.00,3556.00
2005:Q1,178004.00,8012.00,74108.00,75501.00,20384.00,178004.00,1292.00,628.00,1440.00,756.00,784.00,102988.00,3780.00,-10396.00,172.00,11005.00,-208.00,-1900.00,0.00,69063.00,-3908.00,2508.00
2005:Q2,246027.00,7708.00,177808.00,35492.00,25020.00,246027.00,1864.00,632.00,1444.00,1588.00,652.00,122380.00,2620.00,2832.00,244.00,5598.00,-28.00,-2652.00,0.00,106798.00,-2708.00,4764.00
2005:Q3,242847.00,7708.00,176713.00,45754.00,12672.00,242847.00,2052.00,644.00,1444.00,4856.00,2256.00,151180.00,12632.00,6960.00,504.00,5466.00,-56.00,3508.00,0.00,53841.00,-2228.00,-212.00
2005:Q4,288329.00,7708.00,256608.00,25106.00,-1092.00,288329.00,2548.00,640.00,1444.00,4164.00,1276.00,130372.00,-3104.00,12160.00,280.00,18624.00,-212.00,-1080.00,0.00,116238.00,-812.00,5792.00
2006:Q1,271252.00,17868.00,91170.00,146025.00,16188.00,271252.00,2184.00,-3200.00,-416.00,2960.00,308.00,152888.00,2684.00,4748.00,64.00,13391.00,-104.00,-492.00,0.00,88684.00,548.00,7004.00
2006:Q2,222710.00,17872.00,20838.00,167360.00,16640.00,222710.00,2032.00,-3240.00,-416.00,6172.00,1244.00,134720.00,6584.00,3248.00,436.00,15468.00,-248.00,240.00,0.00,53918.00,1208.00,1344.00
2006:Q3,261597.00,17872.00,63598.00,178842.00,1284.00,261597.00,2164.00,-3272.00,-420.00,3588.00,2164.00,149492.00,564.00,820.00,228.00,6074.00,-216.00,1396.00,0.00,82366.00,2636.00,14012.00
2006:Q4,292758.00,17868.00,106643.00,177287.00,-9040.00,292758.00,2260.00,-3272.00,-416.00,2196.00,1512.00,114076.00,6476.00,4072.00,2168.00,9643.00,-40.00,1440.00,0.00,130819.00,2940.00,18884.00
2007:Q1,199368.00,13268.00,18970.00,182398.00,-15268.00,199368.00,1320.00,-7164.00,2012.00,3928.00,2024.00,15920.00,10976.00,1440.00,416.00,13387.00,2384.00,1464.00,0.00,139601.00,-9952.00,21612.00
2007:Q2,306787.00,13264.00,84945.00,193422.00,15156.00,306787.00,2524.00,-7244.00,2008.00,2556.00,1348.00,129296.00,9284.00,1360.00,1992.00,13837.00,2124.00,1500.00,0.00,136866.00,3204.00,6132.00
2007:Q3,337737.00,13264.00,115909.00,189100.00,19464.00,337737.00,2620.00,-7328.00,2008.00,768.00,1420.00,97824.00,20916.00,2892.00,972.00,8479.00,1940.00,-136.00,0.00,181837.00,14660.00,8864.00
2007:Q4,221460.00,13264.00,21158.00,178342.00,8696.00,221460.00,1820.00,-7320.00,2012.00,956.00,1080.00,149320.00,15096.00,-16628.00,1884.00,31460.00,2476.00,-148.00,0.00,30168.00,5440.00,3844.00
2008:Q1,195829.00,-3032.00,67793.00,115556.00,15512.00,195829.00,1348.00,-2300.00,-804.00,2232.00,528.00,142272.00,3440.00,624.00,380.00,22767.00,-9108.00,-112.00,0.00,2314.00,30920.00,1328.00
2008:Q2,167198.00,-3032.00,18866.00,153796.00,-2432.00,167198.00,1148.00,-2956.00,-800.00,9060.00,-576.00,129892.00,4776.00,320.00,584.00,17513.00,-8488.00,-152.00,0.00,1517.00,14444.00,916.00
2008:Q3,90807.00,-3032.00,-115333.00,205464.00,3708.00,90807.00,388.00,-2992.00,-804.00,11296.00,-1472.00,115364.00,2776.00,-72.00,-1404.00,10103.00,-9386.00,-1828.00,0.00,-30570.00,-2540.00,1948.00
2008:Q4,75614.00,-3032.00,-141651.00,219265.00,1032.00,75614.00,596.00,-2988.00,-804.00,19068.00,-548.00,81964.00,16080.00,828.00,1176.00,9269.00,-6687.00,-1744.00,0.00,-37193.00,-932.00,-2472.00
2009:Q1,-6333.00,2692.00,-46533.00,16976.00,20532.00,-6333.00,-216.00,-1556.00,-324.00,4364.00,-992.00,17268.00,3412.00,-180.00,152.00,-7591.00,-3736.00,-1704.00,0.00,-31278.00,-1760.00,17808.00
2009:Q2,-65520.00,3376.00,-99737.00,15825.00,15016.00,-65520.00,-428.00,-1576.00,-328.00,11640.00,884.00,-9384.00,-960.00,572.00,160.00,-13467.00,-3116.00,-1728.00,0.00,-34261.00,-3368.00,-10160.00
2009:Q3,-106216.00,3892.00,-156948.00,46636.00,204.00,-106216.00,-872.00,-1592.00,-324.00,14448.00,1568.00,-72480.00,4660.00,432.00,-968.00,-14775.00,-3456.00,-64.00,0.00,-20249.00,-476.00,-12068.00
2009:Q4,-140175.00,4284.00,-179065.00,32382.00,2224.00,-140175.00,-1432.00,-1592.00,-328.00,-4980.00,680.00,-82464.00,-6812.00,-968.00,-1376.00,-10339.00,-3640.00,-56.00,0.00,-17752.00,-2052.00,-7064.00
2010:Q1,-89076.00,2264.00,-77332.00,-8912.00,-5096.00,-89076.00,-976.00,-592.00,1128.00,-9384.00,296.00,-71176.00,-900.00,-1356.00,-716.00,-9494.00,1691.00,-72.00,0.00,-17933.00,6520.00,13888.00
2010:Q2,-181550.00,3644.00,-160051.00,-21355.00,-3788.00,-181550.00,-1404.00,-604.00,1124.00,2300.00,68.00,-100312.00,-6320.00,-14516.00,-76.00,-12127.00,954.00,-48.00,0.00,-29941.00,-7248.00,-13400.00
2010:Q3,-161336.00,3248.00,-117650.00,-59422.00,12488.00,-161336.00,-1320.00,-604.00,1124.00,-6152.00,1696.00,-108276.00,-2708.00,-188.00,-76.00,-5474.00,4087.00,-128.00,0.00,-33086.00,-6328.00,-3904.00
2010:Q4,-127198.00,1900.00,-73532.00,-53605.00,-1960.00,-127198.00,-836.00,-608.00,1128.00,-1612.00,1388.00,-100584.00,1408.00,240.00,-360.00,43.00,3112.00,-168.00,0.00,-21496.00,-7632.00,-1220.00
2011:Q1,-99233.00,-5268.00,-110553.00,-8048.00,24636.00,-99233.00,-632.00,-212.00,-1568.00,3492.00,-244.00,-90048.00,-6060.00,1468.00,-196.00,8254.00,-3492.00,-204.00,0.00,-12902.00,52.00,3060.00
2011:Q2,-119758.00,-7636.00,-117590.00,-16261.00,21728.00,-119758.00,-796.00,-212.00,-1568.00,4108.00,-12.00,-68512.00,-2000.00,-1460.00,1024.00,13846.00,-3720.00,-236.00,0.00,-54140.00,-17240.00,11160.00
2011:Q3,-115450.00,-7500.00,-79415.00,-31528.00,2992.00,-115450.00,-772.00,-216.00,-1568.00,1140.00,40.00,-71072.00,2888.00,-1056.00,980.00,12562.00,-3444.00,-144.00,0.00,-22144.00,-24284.00,-8360.00
2011:Q4,-57823.00,-4040.00,-18121.00,-39693.00,4032.00,-57823.00,-332.00,-216.00,-1568.00,3904.00,-432.00,-22024.00,-3980.00,836.00,1360.00,14651.00,-5348.00,-204.00,0.00,-39629.00,-2712.00,-2128.00
2012:Q1,-74911.00,-5816.00,-176586.00,99483.00,8008.00,-74911.00,-660.00,-720.00,-652.00,1516.00,-360.00,-30488.00,-1208.00,-876.00,976.00,18714.00,1336.00,-220.00,0.00,-50021.00,-4188.00,-8060.00
2012:Q2,-69244.00,-4828.00,-148122.00,82610.00,1096.00,-69244.00,-424.00,-724.00,-652.00,1540.00,316.00,-30148.00,904.00,-1080.00,840.00,10507.00,1592.00,-180.00,0.00,-30415.00,-20216.00,-1104.00
