1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q3,3489462.00,2343580.00,289493.00,527386.00,1526702.00,671101.00,651829.00,448393.00,34711.00,317834.00,48356.00,47493.00,203436.00,175491.00,-229.00,25885.00,2289.00,19273.00,18133.00,1140.00,-201398.00,370034.00,571432.00,676179.00,526320.00,192212.00,334108.00,149859.00,59706.00,90153.00,14264.00,186165.00,171902.00,3503726.00,-2576.00,406.00,-629.00,2800.00,0.00
2006:Q4,3513405.00,2363408.00,291537.00,523823.00,1548049.00,660396.00,650623.00,455309.00,35493.00,321634.00,49854.00,48329.00,195314.00,168237.00,2042.00,25080.00,-45.00,9772.00,9258.00,514.00,-179850.00,386131.00,565981.00,669452.00,529481.00,190817.00,338664.00,139971.00,60556.00,79415.00,16888.00,192701.00,175813.00,3530293.00,-2718.00,12716.00,-12874.00,2954.00,-77.00
2007:Q1,3542881.00,2397964.00,293338.00,532189.00,1572437.00,658553.00,653512.00,466179.00,37148.00,327305.00,49040.00,52687.00,187333.00,158653.00,776.00,26538.00,1367.00,5040.00,3579.00,1461.00,-182120.00,395118.00,577237.00,668485.00,538780.00,192580.00,346200.00,129705.00,60294.00,69411.00,17157.00,200762.00,183605.00,3560038.00,-2633.00,-34.00,-549.00,3215.00,0.00
2007:Q2,3606775.00,2425230.00,296236.00,541535.00,1587459.00,667978.00,656212.00,476885.00,38003.00,333406.00,53214.00,52262.00,179327.00,151763.00,1906.00,25500.00,159.00,11766.00,11340.00,426.00,-183244.00,406268.00,589511.00,696811.00,546922.00,196256.00,350666.00,149889.00,63082.00,86807.00,22658.00,217288.00,194630.00,3629433.00,-2783.00,157.00,-1267.00,3399.00,494.00
2007:Q3,3657672.00,2449807.00,297547.00,546077.00,1606184.00,664559.00,652398.00,484468.00,38976.00,338568.00,53827.00,53097.00,167930.00,141916.00,13012.00,24067.00,-11064.00,12162.00,11242.00,920.00,-178028.00,421881.00,599909.00,721334.00,559144.00,204663.00,354481.00,162190.00,64479.00,97711.00,37035.00,227928.00,190893.00,3694707.00,-2868.00,-448.00,-187.00,3503.00,0.00
2007:Q4,3670308.00,2477507.00,297513.00,557142.00,1622852.00,652654.00,647170.00,493082.00,39741.00,346345.00,53564.00,53431.00,154088.00,129932.00,1499.00,22370.00,287.00,5484.00,5033.00,451.00,-175149.00,441358.00,616507.00,715297.00,564875.00,204851.00,360024.00,150422.00,63567.00,86855.00,48731.00,229677.00,180946.00,3719039.00,-2890.00,706.00,-1346.00,3530.00,0.00
2008:Q1,3650346.00,2493592.00,288079.00,563487.00,1642027.00,631754.00,636788.00,495404.00,38911.00,348400.00,56368.00,51726.00,141384.00,116786.00,1693.00,22740.00,165.00,-5034.00,-3336.00,-1698.00,-189190.00,453653.00,642843.00,714190.00,576208.00,210615.00,365593.00,137982.00,64246.00,73736.00,45068.00,226527.00,181459.00,3695414.00,-2771.00,1957.00,-2662.00,3476.00,0.00
2008:Q2,3703140.00,2523941.00,284961.00,579728.00,1659252.00,623315.00,629295.00,494687.00,39162.00,349550.00,55103.00,50873.00,134608.00,111044.00,1486.00,21768.00,310.00,-5980.00,-6013.00,34.00,-189857.00,480115.00,669971.00,745740.00,585740.00,214502.00,371238.00,160000.00,68610.00,91390.00,46126.00,224902.00,178776.00,3749266.00,-2746.00,4764.00,-5463.00,3445.00,0.00
2008:Q3,3727435.00,2531215.00,275463.00,587102.00,1668650.00,608968.00,613663.00,486822.00,39013.00,343129.00,55165.00,49515.00,126841.00,104467.00,1600.00,20665.00,110.00,-4695.00,-5332.00,637.00,-193407.00,480897.00,674304.00,780659.00,605537.00,227496.00,378041.00,175122.00,71299.00,103823.00,50551.00,219079.00,168528.00,3777986.00,-2737.00,1744.00,-2440.00,3433.00,-1.00
2008:Q4,3637667.00,2464899.00,253780.00,543101.00,1668018.00,560778.00,577065.00,464045.00,38064.00,324251.00,57648.00,44083.00,113020.00,92990.00,2014.00,18526.00,-510.00,-16287.00,-15043.00,-1244.00,-150611.00,427278.00,577889.00,762601.00,601080.00,227209.00,373871.00,161521.00,71629.00,89892.00,30266.00,186421.00,156155.00,3667933.00,-2745.00,9122.00,-9820.00,3443.00,0.00
